symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CPRI,2024-12-05,23.01,23.04,21.81,21.98,3374127
CPRI,2024-12-06,22.27,22.66,21.82,22.29,3651100
CPRI,2024-12-09,22.3,23.05,22.21,22.3,4096824
CPRI,2024-12-10,22.18,22.67,21.77,22.19,3220831
CPRI,2024-12-11,22.16,22.29,21.74,21.74,3692078
CPRI,2024-12-12,21.81,21.95,21.2,21.61,3916200
CPRI,2024-12-13,21.51,21.6,20.98,21.36,2791141
CPRI,2024-12-16,22.2,23.12,21.42,22.15,7584100
CPRI,2024-12-17,22.28,22.78,21.85,22.21,2986263
CPRI,2024-12-18,22.1,22.23,21.05,21.18,2752038
CPRI,2024-12-19,21.15,21.29,20.7,20.98,3391644
CPRI,2024-12-20,20.94,21.59,20.83,21.1,7761578
CPRI,2024-12-23,21.1,21.37,20.83,21.35,2176409
CPRI,2024-12-24,21.4,21.55,20.93,21.13,896029
CPRI,2024-12-26,20.99,21.49,20.91,21.2,1443338
CPRI,2024-12-27,21.1,21.29,20.9,20.96,1594646
CPRI,2024-12-30,20.75,20.86,20.27,20.52,2365018
CPRI,2024-12-31,20.62,21.1,20.48,21.06,2239400
CPRI,2025-01-02,21.3,21.37,20.6,20.61,1485768
CPRI,2025-01-03,20.65,20.71,20.09,20.28,3306030
CPRI,2025-01-06,21.31,22.14,21.12,21.89,3635224
CPRI,2025-01-07,22.19,22.25,21.29,21.46,2239500
CPRI,2025-01-08,21.09,21.54,20.88,21.51,1604900
CPRI,2025-01-10,23.0,23.78,22.4,23.71,5197700
CPRI,2025-01-13,23.55,23.88,23.07,23.78,3017600
CPRI,2025-01-14,23.84,24.05,23.42,23.51,2348734
CPRI,2025-01-15,23.9,24.08,22.88,22.97,2149556
CPRI,2025-01-16,23.38,23.87,22.76,23.78,3543116
CPRI,2025-01-17,23.86,24.54,23.75,23.82,2829948
CPRI,2025-01-21,24.0,24.48,23.77,24.26,2338878
CPRI,2025-01-22,24.09,24.95,23.9,24.57,2931998
CPRI,2025-01-23,24.39,24.92,24.22,24.86,2440329
CPRI,2025-01-24,25.0,25.5,24.82,24.93,2463228
CPRI,2025-01-27,25.2,25.54,25.0,25.34,2916675
CPRI,2025-01-28,25.4,26.12,25.4,25.69,2632346
CPRI,2025-01-29,25.46,25.87,25.34,25.5,2485931
CPRI,2025-01-30,25.7,26.12,25.59,25.84,2507702
CPRI,2025-01-31,25.8,26.23,24.76,24.78,2813200
CPRI,2025-02-03,24.2,24.27,23.46,23.95,3313800
CPRI,2025-02-04,24.02,24.36,23.52,24.03,3499818
CPRI,2025-02-05,22.44,22.6,20.36,21.61,13639400
CPRI,2025-02-06,21.82,23.03,21.27,21.38,5996316
CPRI,2025-02-07,21.34,21.91,20.92,21.69,3256400
CPRI,2025-02-10,21.58,22.64,21.38,21.98,3341430
CPRI,2025-02-11,21.55,22.13,21.37,22.05,2185019
CPRI,2025-02-12,21.86,22.72,21.68,22.62,2412965
CPRI,2025-02-13,22.75,23.0,22.49,22.63,2808179
CPRI,2025-02-14,22.64,22.75,22.02,22.46,2173231
CPRI,2025-02-18,22.47,22.67,21.42,21.51,3136635
CPRI,2025-02-19,22.1,22.77,21.71,22.58,3823274
