symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CPT,2024-08-27,114.32,116.37,113.8,116.03,633070
CPT,2024-08-28,116.12,117.36,116.1,116.78,714318
CPT,2024-08-29,116.6,117.03,115.46,116.05,651017
CPT,2024-08-30,116.61,117.26,115.6,117.22,938900
CPT,2024-09-03,116.97,119.13,116.92,118.54,733100
CPT,2024-09-04,118.58,119.05,116.71,117.43,980000
CPT,2024-09-05,118.36,118.5,115.34,116.22,1154400
CPT,2024-09-06,116.43,116.51,113.05,114.39,2652907
CPT,2024-09-09,114.22,115.02,113.37,113.59,2291600
CPT,2024-09-10,114.16,115.54,113.88,115.32,1849400
CPT,2024-09-11,113.85,115.07,113.6,114.72,1708718
CPT,2024-09-12,114.71,115.61,114.42,115.26,1195845
CPT,2024-09-13,115.76,117.71,115.66,117.6,1131048
CPT,2024-09-16,118.37,118.43,116.38,116.97,1916000
CPT,2024-09-17,116.84,117.15,115.54,116.09,1140300
CPT,2024-09-18,116.19,118.36,115.82,117.27,1922647
CPT,2024-09-19,117.88,119.26,116.9,118.59,1676669
CPT,2024-09-20,117.96,118.22,116.68,117.23,1551700
CPT,2024-09-23,118.27,119.17,117.84,118.8,1311300
CPT,2024-09-24,118.17,119.55,117.68,118.45,911303
CPT,2024-09-25,118.78,119.18,117.71,118.12,680065
CPT,2024-09-26,118.05,118.45,116.27,116.45,845800
CPT,2024-09-27,117.33,117.52,115.72,115.83,636371
CPT,2024-09-30,115.4,117.15,115.09,116.63,1141217
CPT,2024-10-01,117.31,117.31,114.84,115.76,759810
CPT,2024-10-02,114.67,115.54,114.0,115.49,778700
CPT,2024-10-03,115.5,115.89,113.62,114.04,463042
CPT,2024-10-04,113.47,114.5,112.65,114.11,710000
CPT,2024-10-07,113.39,113.39,112.41,112.97,541241
CPT,2024-10-08,113.63,113.8,111.69,113.29,653118
CPT,2024-10-09,113.52,113.79,112.91,113.49,730123
CPT,2024-10-10,113.17,113.96,111.67,112.16,767330
CPT,2024-10-11,112.7,113.07,111.9,112.65,766000
CPT,2024-10-14,112.18,113.53,111.81,112.97,566047
CPT,2024-10-15,113.42,114.47,112.95,112.99,1093900
CPT,2024-10-16,113.04,114.79,113.04,114.1,1106948
CPT,2024-10-17,113.76,113.8,112.48,112.65,679900
CPT,2024-10-18,113.2,114.31,112.89,114.0,682742
CPT,2024-10-21,113.54,113.54,111.13,111.48,1161000
CPT,2024-10-22,111.28,113.12,110.65,112.58,678100
CPT,2024-10-23,112.93,114.94,112.93,113.9,1503638
CPT,2024-10-24,114.34,114.85,113.59,113.63,684900
CPT,2024-10-25,114.47,114.47,111.51,111.69,474600
CPT,2024-10-28,112.43,113.28,111.6,112.07,547724
CPT,2024-10-29,111.69,112.28,110.53,110.87,825021
CPT,2024-10-30,110.78,111.81,110.48,110.81,666859
CPT,2024-10-31,109.88,110.99,109.1,109.33,1843100
CPT,2024-11-01,103.66,108.04,103.14,107.38,2430518
CPT,2024-11-04,107.7,109.52,107.64,109.44,979234
CPT,2024-11-05,108.8,111.41,108.62,111.41,662146
CPT,2024-11-06,112.69,112.93,108.01,110.88,1471700
CPT,2024-11-07,111.22,112.21,110.74,111.97,633743
CPT,2024-11-08,112.63,115.96,112.44,114.94,1111500
CPT,2024-11-11,114.72,116.26,114.72,115.14,756400
CPT,2024-11-12,114.87,116.0,114.0,114.06,1106872
CPT,2024-11-13,114.24,116.85,114.24,116.4,923747
CPT,2024-11-14,116.09,116.31,113.53,113.63,877900
CPT,2024-11-15,113.04,114.1,112.15,113.08,864418
CPT,2024-11-18,112.33,113.47,112.33,113.2,749628
CPT,2024-11-19,112.81,114.83,112.07,114.52,746647
CPT,2024-11-20,113.77,114.69,113.27,113.83,537600
CPT,2024-11-21,113.86,115.63,113.66,115.18,477548
CPT,2024-11-22,115.52,116.46,115.42,116.04,452826
CPT,2024-11-25,117.08,117.64,116.55,117.0,941620
CPT,2024-11-26,117.0,119.12,116.7,118.74,881507
CPT,2024-11-27,119.45,120.53,119.36,119.94,581320
CPT,2024-11-29,119.94,120.2,118.6,118.78,428802
CPT,2024-12-02,118.03,118.12,116.47,117.03,651200
CPT,2024-12-03,117.17,117.3,115.69,115.77,494416
CPT,2024-12-04,115.77,115.85,114.77,115.32,505100
CPT,2024-12-05,114.7,115.12,113.54,114.69,562814
CPT,2024-12-06,115.09,115.39,114.08,115.1,493000
CPT,2024-12-09,114.74,116.09,114.3,115.92,643200
CPT,2024-12-10,116.35,116.4,114.54,115.12,668428
CPT,2024-12-11,115.72,116.14,113.4,113.74,1169208
CPT,2024-12-12,113.76,115.45,113.23,114.2,760500
CPT,2024-12-13,113.85,114.26,112.85,113.46,611500
CPT,2024-12-16,113.22,115.26,112.96,113.64,445952
CPT,2024-12-17,112.52,113.51,111.51,111.97,1042100
CPT,2024-12-18,111.73,113.41,107.89,107.96,694000
CPT,2024-12-19,107.94,109.59,107.07,107.17,696036
CPT,2024-12-20,107.71,110.13,107.71,109.45,1757135
CPT,2024-12-23,108.88,109.92,108.45,109.77,507402
CPT,2024-12-24,109.77,110.98,109.54,110.9,225300
CPT,2024-12-26,110.23,111.15,110.23,110.87,295903
CPT,2024-12-27,110.42,111.15,109.46,109.76,301649
CPT,2024-12-30,108.9,109.55,107.82,109.32,359108
CPT,2024-12-31,110.23,110.62,109.15,110.53,502876
CPT,2025-01-02,110.16,110.64,108.82,109.23,547444
CPT,2025-01-03,109.11,111.63,108.83,111.51,540500
CPT,2025-01-06,111.25,111.46,107.61,108.07,862000
CPT,2025-01-07,108.65,109.54,104.78,105.07,1619746
CPT,2025-01-08,104.99,105.89,103.84,105.76,882140
CPT,2025-01-10,104.15,105.58,103.3,103.97,1106900
CPT,2025-01-13,103.75,106.51,103.75,106.36,537800
CPT,2025-01-14,106.35,107.65,106.35,107.17,491326
CPT,2025-01-15,110.11,110.11,106.46,106.53,643154
CPT,2025-01-16,106.87,107.36,105.55,107.3,973174
CPT,2025-01-17,107.22,107.55,106.42,107.25,1064948
CPT,2025-01-21,107.64,108.68,106.47,107.41,861400
CPT,2025-01-22,106.52,106.77,105.36,105.71,1066500
CPT,2025-01-23,105.53,105.68,103.63,104.78,914700
CPT,2025-01-24,104.72,106.39,104.31,105.38,543118
CPT,2025-01-27,106.05,108.92,105.95,108.56,662604
CPT,2025-01-28,108.67,109.19,106.97,107.24,660645
CPT,2025-01-29,107.64,107.79,104.93,105.33,756200
