symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CRMD,2025-02-07,10.47,10.76,10.12,10.16,573717
CRMD,2025-02-10,10.24,10.4,10.08,10.29,482466
CRMD,2025-02-11,10.15,10.26,9.79,10.05,576590
CRMD,2025-02-12,9.91,10.17,9.88,10.0,561433
CRMD,2025-02-13,10.14,10.53,10.01,10.44,518400
CRMD,2025-02-14,10.5,10.68,10.34,10.48,430595
CRMD,2025-02-18,10.61,10.72,10.41,10.63,612400
CRMD,2025-02-19,10.63,11.28,10.51,11.18,1411617
CRMD,2025-02-20,11.18,11.18,10.63,10.82,797500
CRMD,2025-02-21,10.87,11.0,10.12,10.13,863941
CRMD,2025-02-24,10.15,10.31,9.76,10.1,747000
CRMD,2025-02-25,10.1,10.33,9.83,10.29,663013
CRMD,2025-02-26,10.33,10.89,10.33,10.54,601448
CRMD,2025-02-27,10.5,10.73,10.23,10.25,612816
CRMD,2025-02-28,10.24,10.51,10.1,10.36,1613800
CRMD,2025-03-03,10.42,10.5,9.58,9.59,682694
CRMD,2025-03-04,9.42,9.94,9.25,9.85,640100
CRMD,2025-03-05,9.74,10.17,9.74,10.11,502864
CRMD,2025-03-06,9.98,10.02,9.46,9.49,579300
CRMD,2025-03-07,9.95,10.85,9.81,10.71,1576900
CRMD,2025-03-10,10.59,10.87,10.14,10.73,938006
CRMD,2025-03-11,10.61,10.87,10.2,10.59,944537
CRMD,2025-03-12,10.66,11.0,10.41,10.97,710532
CRMD,2025-03-13,10.89,10.91,9.99,10.38,662100
CRMD,2025-03-14,10.47,10.64,10.3,10.47,404300
CRMD,2025-03-17,10.46,10.6,10.33,10.47,537303
CRMD,2025-03-18,10.47,10.78,10.21,10.43,826732
CRMD,2025-03-19,10.4,11.0,10.37,10.97,799800
CRMD,2025-03-20,10.78,11.32,10.53,10.86,875570
CRMD,2025-03-21,10.69,11.17,10.68,10.91,1070219
CRMD,2025-03-24,11.09,11.16,10.66,10.77,1225300
CRMD,2025-03-25,8.69,9.25,6.92,7.34,18784049
CRMD,2025-03-26,7.46,7.6,7.02,7.16,3013608
CRMD,2025-03-27,7.11,7.11,6.64,6.71,2994400
CRMD,2025-03-28,6.62,6.77,6.31,6.74,2203500
CRMD,2025-03-31,6.59,6.64,6.09,6.16,2353900
CRMD,2025-04-01,6.08,6.18,5.94,6.07,1221000
CRMD,2025-04-02,6.02,6.35,5.88,6.3,1194747
CRMD,2025-04-03,5.99,6.21,5.97,6.1,977406
CRMD,2025-04-04,5.9,6.03,5.73,5.86,1174608
CRMD,2025-04-07,5.6,6.29,5.6,6.07,1570600
CRMD,2025-04-08,7.51,7.71,6.69,6.79,4176800
CRMD,2025-04-09,6.59,7.18,6.32,7.0,2137005
CRMD,2025-04-10,6.93,7.07,6.7,6.84,1147644
CRMD,2025-04-11,6.88,6.97,6.76,6.91,727614
CRMD,2025-04-14,7.02,7.15,6.84,7.13,1121257
CRMD,2025-04-15,7.11,7.45,7.05,7.4,1609200
CRMD,2025-04-16,7.33,7.54,7.08,7.52,1140482
CRMD,2025-04-17,7.47,7.84,7.39,7.67,2024635
CRMD,2025-04-21,7.61,8.17,7.57,8.14,1136489
CRMD,2025-04-22,8.14,8.57,8.04,8.5,1918126
CRMD,2025-04-23,8.68,8.76,8.36,8.45,1210500
CRMD,2025-04-24,8.52,9.15,8.47,9.15,1007007
