symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
CTAS,2024-08-27,196.33,197.53,196.07,197.47,1187280
CTAS,2024-08-28,198.68,199.03,195.9,197.02,1408460
CTAS,2024-08-29,198.03,199.54,196.93,197.38,1126260
CTAS,2024-08-30,197.61,199.29,196.43,198.83,1584000
CTAS,2024-09-03,198.83,200.53,196.41,197.42,1342000
CTAS,2024-09-04,197.56,198.99,196.8,198.75,1051848
CTAS,2024-09-05,197.67,197.67,194.45,197.3,1568416
CTAS,2024-09-06,196.96,197.64,192.35,193.1,1502932
CTAS,2024-09-09,194.03,199.31,194.03,198.73,2057432
CTAS,2024-09-10,199.31,202.02,198.83,201.63,1100428
CTAS,2024-09-11,201.0,202.75,196.42,202.47,1446948
CTAS,2024-09-12,203.0,204.96,199.46,203.51,1340598
CTAS,2024-09-13,203.41,206.57,202.84,205.24,1030142
CTAS,2024-09-16,205.52,206.15,201.81,202.46,1116367
CTAS,2024-09-17,203.03,204.34,200.89,201.29,1194900
CTAS,2024-09-18,201.47,202.29,198.59,198.93,1334000
CTAS,2024-09-19,202.48,202.88,199.84,201.26,1243835
CTAS,2024-09-20,201.31,202.21,200.19,201.68,3160626
CTAS,2024-09-23,201.96,202.29,200.58,201.51,1239358
CTAS,2024-09-24,201.51,203.13,200.0,202.36,1689413
CTAS,2024-09-25,205.57,207.04,201.68,204.69,1944100
CTAS,2024-09-26,206.28,208.99,203.97,204.49,2056542
CTAS,2024-09-27,205.15,205.47,199.84,199.89,2332500
CTAS,2024-09-30,201.01,203.68,200.83,203.38,1819872
CTAS,2024-10-01,202.69,202.98,199.72,201.38,1518701
CTAS,2024-10-02,200.77,203.0,199.92,202.8,1114400
CTAS,2024-10-03,201.9,202.42,200.67,202.06,1390005
CTAS,2024-10-04,203.24,203.62,200.38,202.42,1747411
CTAS,2024-10-07,200.53,203.5,200.33,201.98,1261600
CTAS,2024-10-08,203.49,204.81,202.96,204.5,1050969
CTAS,2024-10-09,204.49,206.77,204.0,206.6,977008
CTAS,2024-10-10,206.07,206.72,203.11,203.62,1015326
CTAS,2024-10-11,204.88,205.52,203.68,205.52,1347619
CTAS,2024-10-14,205.99,209.64,205.72,208.93,944800
CTAS,2024-10-15,209.67,210.46,207.48,208.14,1318400
