symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DAR,2024-08-27,39.9,41.67,39.74,41.46,2198600
DAR,2024-08-28,41.0,41.69,40.75,41.56,1884034
DAR,2024-08-29,41.79,41.92,40.65,41.78,1976033
DAR,2024-08-30,41.89,41.97,41.28,41.73,1298300
DAR,2024-09-03,40.63,41.56,40.19,40.35,1466656
DAR,2024-09-04,40.05,40.44,38.98,39.12,1633914
DAR,2024-09-05,39.84,39.92,39.03,39.04,1033007
DAR,2024-09-06,39.01,39.3,36.47,36.74,2206200
DAR,2024-09-09,36.8,37.1,35.22,35.24,2552415
DAR,2024-09-10,35.27,35.56,33.76,33.99,2827100
DAR,2024-09-11,33.79,34.5,32.67,34.39,3013500
DAR,2024-09-12,34.2,34.57,33.68,34.23,2618300
DAR,2024-09-13,34.48,35.9,34.32,35.21,1298222
DAR,2024-09-16,35.51,35.64,34.87,35.34,1070950
DAR,2024-09-17,35.64,36.22,35.14,35.46,1255400
DAR,2024-09-18,35.51,37.12,35.48,35.93,1244100
DAR,2024-09-19,36.85,37.26,36.5,37.1,2091328
DAR,2024-09-20,36.96,37.1,36.05,36.75,2698286
DAR,2024-09-23,36.49,37.05,35.82,36.6,1280400
DAR,2024-09-24,37.01,37.66,36.44,36.93,2265300
DAR,2024-09-25,36.87,36.99,35.86,36.06,2161046
DAR,2024-09-26,35.34,37.06,35.22,36.46,1620400
DAR,2024-09-27,37.34,38.55,37.01,37.76,1760900
DAR,2024-09-30,37.69,37.69,36.85,37.16,1236638
DAR,2024-10-01,37.01,37.27,36.37,36.61,1221821
DAR,2024-10-02,36.59,36.59,35.69,36.29,1204232
DAR,2024-10-03,35.98,36.24,35.17,36.11,998200
DAR,2024-10-04,36.8,37.13,36.59,36.94,943902
DAR,2024-10-07,36.23,37.58,35.96,37.45,1516200
DAR,2024-10-08,36.85,37.4,36.54,36.57,1196940
DAR,2024-10-09,36.65,36.95,36.18,36.25,1460939
DAR,2024-10-10,36.38,36.63,35.85,36.02,1738023
DAR,2024-10-11,35.95,37.13,35.95,36.98,1141300
DAR,2024-10-14,36.95,36.95,36.03,36.74,1502030
DAR,2024-10-15,36.2,36.37,35.07,35.12,2018000
DAR,2024-10-16,35.37,36.45,35.23,36.24,2287200
DAR,2024-10-17,36.44,37.26,35.82,37.21,1956629
DAR,2024-10-18,37.3,38.43,36.69,38.32,2125571
DAR,2024-10-21,38.38,38.59,37.63,38.19,1309019
DAR,2024-10-22,38.29,38.81,38.0,38.56,1871514
DAR,2024-10-23,38.43,38.84,37.96,38.25,2628735
DAR,2024-10-24,36.5,39.33,36.5,37.76,3872300
DAR,2024-10-25,38.42,40.12,38.13,39.11,2307411
DAR,2024-10-28,39.17,40.07,38.91,39.47,1825014
DAR,2024-10-29,39.5,39.72,39.05,39.06,1546528
DAR,2024-10-30,39.15,41.0,38.8,39.86,2599703
DAR,2024-10-31,39.65,39.89,39.11,39.11,1259100
DAR,2024-11-01,39.5,40.42,39.11,39.4,1584610
DAR,2024-11-04,39.69,40.39,39.62,39.8,1681200
DAR,2024-11-05,39.55,40.18,39.22,40.03,2360032
DAR,2024-11-06,39.01,39.93,36.08,39.38,4332100
DAR,2024-11-07,39.4,40.41,38.81,40.35,2034043
DAR,2024-11-08,39.87,40.88,39.83,40.68,1910503
DAR,2024-11-11,41.11,43.32,41.0,42.7,2572041
DAR,2024-11-12,42.34,42.87,42.03,42.66,2121524
DAR,2024-11-13,42.64,42.91,41.72,42.0,1417605
DAR,2024-11-14,42.2,42.33,40.99,41.08,1695502
DAR,2024-11-15,41.35,43.27,41.35,43.05,3703018
DAR,2024-11-18,42.74,43.49,42.26,42.49,2363019
DAR,2024-11-19,41.65,42.1,41.03,41.8,1814619
DAR,2024-11-20,41.7,42.16,41.21,41.78,2627400
DAR,2024-11-21,41.47,41.68,41.03,41.16,2173916
DAR,2024-11-22,40.93,41.04,39.97,40.13,2463200
DAR,2024-11-25,40.57,41.28,39.86,40.04,2932500
DAR,2024-11-26,40.4,41.47,39.81,41.11,2257444
DAR,2024-11-27,41.41,42.29,40.43,40.52,1033123
DAR,2024-11-29,40.66,40.98,40.3,40.53,744400
DAR,2024-12-02,40.56,40.71,39.04,39.73,2186659
DAR,2024-12-03,40.0,40.32,36.18,37.47,6446500
DAR,2024-12-04,37.31,37.44,35.12,36.54,4665200
DAR,2024-12-05,36.65,37.26,35.51,35.57,2125431
DAR,2024-12-06,35.59,36.01,34.87,35.95,2052751
DAR,2024-12-09,36.37,37.68,36.22,36.24,3770864
DAR,2024-12-10,36.21,37.99,36.02,36.98,2723900
DAR,2024-12-11,37.13,37.41,36.7,37.28,1980800
DAR,2024-12-12,37.5,37.63,35.27,35.49,1281641
DAR,2024-12-13,34.97,35.16,34.25,35.08,1491907
DAR,2024-12-16,34.57,34.76,33.6,33.9,1912841
DAR,2024-12-17,33.33,35.54,32.9,35.32,3224553
DAR,2024-12-18,35.08,35.6,33.65,33.69,2904546
DAR,2024-12-19,33.87,34.82,32.83,33.63,3442037
DAR,2024-12-20,33.42,34.6,33.06,33.06,4076657
DAR,2024-12-23,33.14,33.49,32.55,33.38,1577147
DAR,2024-12-24,33.63,33.88,32.99,33.7,483600
DAR,2024-12-26,33.52,33.65,33.05,33.34,872418
DAR,2024-12-27,33.19,34.13,33.13,33.46,1446000
DAR,2024-12-30,33.34,33.38,32.6,33.0,2478869
DAR,2024-12-31,33.05,34.01,32.87,33.69,1258900
DAR,2025-01-02,34.06,34.62,33.95,34.31,1103670
DAR,2025-01-03,34.37,35.05,34.08,34.69,1780906
DAR,2025-01-06,34.99,35.48,34.28,34.55,2915842
DAR,2025-01-07,34.67,35.22,34.34,34.59,1619300
DAR,2025-01-08,33.8,33.97,33.1,33.66,1639000
DAR,2025-01-10,33.77,37.09,33.77,36.3,3430743
DAR,2025-01-13,36.52,37.44,36.13,36.88,2187500
DAR,2025-01-14,36.94,37.0,35.69,35.95,1762700
DAR,2025-01-15,36.48,37.52,35.91,37.0,1988533
DAR,2025-01-16,36.71,37.25,36.07,37.1,1385600
DAR,2025-01-17,37.08,37.34,36.4,36.64,1355514
DAR,2025-01-21,36.45,36.8,35.02,35.43,2272014
DAR,2025-01-22,35.2,35.57,34.64,34.94,2057265
DAR,2025-01-23,35.16,36.47,34.51,36.06,1610000
DAR,2025-01-24,36.06,36.32,35.41,36.05,1485017
DAR,2025-01-27,36.45,36.64,35.36,35.74,2154000
DAR,2025-01-28,35.85,35.88,34.54,35.23,2360544
DAR,2025-01-29,35.09,35.45,34.28,34.73,1393814
DAR,2025-01-30,36.61,37.18,36.0,36.65,3974300
DAR,2025-01-31,36.83,38.27,36.3,37.46,2805925
DAR,2025-02-03,36.82,37.03,35.92,36.33,1677653
DAR,2025-02-04,35.76,36.73,34.23,36.27,1674709
DAR,2025-02-05,35.94,36.41,35.62,36.05,2343303
DAR,2025-02-06,38.25,39.95,37.77,38.5,3299128
DAR,2025-02-07,38.49,40.66,38.41,39.75,3122100
DAR,2025-02-10,39.85,40.62,39.0,39.6,3285016
DAR,2025-02-11,39.9,40.67,39.51,40.5,2036700
DAR,2025-02-12,40.01,40.39,39.37,40.12,1923327
DAR,2025-02-13,40.04,41.0,39.91,40.49,1586400
DAR,2025-02-14,40.72,41.54,40.52,40.92,1461911
DAR,2025-02-18,41.02,42.15,40.98,41.85,2361344
DAR,2025-02-19,40.59,40.72,38.17,38.39,4289142
DAR,2025-02-20,38.44,39.96,37.87,39.56,2666548
DAR,2025-02-21,39.72,39.72,38.56,39.22,1734749
DAR,2025-02-24,39.29,40.14,38.87,39.37,2025016
DAR,2025-02-25,38.95,39.47,38.12,38.56,1664901
DAR,2025-02-26,38.68,38.68,36.64,36.78,2318553
DAR,2025-02-27,36.87,37.33,36.52,36.87,1519400
DAR,2025-02-28,36.87,37.59,35.77,36.09,1694500
DAR,2025-03-03,36.28,36.41,34.13,34.42,1794442
DAR,2025-03-04,33.94,34.23,33.02,33.29,3022511
DAR,2025-03-05,33.54,33.76,32.79,33.49,2288300
DAR,2025-03-06,33.17,33.55,31.87,32.78,2590600
DAR,2025-03-07,32.72,33.4,32.17,32.18,1901207
DAR,2025-03-10,32.25,32.36,30.43,30.43,2723151
DAR,2025-03-11,30.43,31.38,30.03,30.84,2985559
DAR,2025-03-12,31.08,31.45,29.49,29.5,2169600
DAR,2025-03-13,29.5,29.5,27.2,28.51,3151015
DAR,2025-03-14,29.11,29.92,28.97,29.51,2718259
DAR,2025-03-17,29.72,30.39,29.51,29.61,1951406
DAR,2025-03-18,29.65,29.8,29.21,29.52,1738800
DAR,2025-03-19,29.28,30.48,29.0,30.23,1668700
DAR,2025-03-20,29.98,30.59,29.71,30.39,1709017
DAR,2025-03-21,29.95,30.28,29.57,29.82,1875551
DAR,2025-03-24,30.0,30.63,29.44,29.87,2581500
DAR,2025-03-25,30.06,30.44,29.66,29.67,1281700
DAR,2025-03-26,29.84,30.97,29.63,30.48,1215941
DAR,2025-03-27,30.76,32.11,30.29,31.91,3833787
DAR,2025-03-28,31.72,32.36,31.32,31.55,1857049
DAR,2025-03-31,31.01,31.44,30.41,31.24,2337442
DAR,2025-04-01,30.92,32.35,30.14,32.25,3080967
DAR,2025-04-02,31.81,33.27,31.81,33.13,2456100
DAR,2025-04-03,31.91,32.0,30.4,31.47,3159742
DAR,2025-04-04,29.58,29.58,27.96,29.22,3751312
DAR,2025-04-07,28.03,30.91,27.02,28.86,3025587
DAR,2025-04-08,29.72,29.72,27.22,27.63,2881224
DAR,2025-04-09,27.31,30.46,26.0,30.16,3784700
DAR,2025-04-10,29.8,30.12,27.71,28.67,2112200
DAR,2025-04-11,28.76,29.23,28.03,28.98,1570322
DAR,2025-04-14,29.59,29.67,28.71,29.29,1472203
DAR,2025-04-15,29.02,29.8,28.77,29.51,2066430
DAR,2025-04-16,29.72,30.23,29.18,29.77,1501600
