symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DG,2024-12-05,77.46,78.07,72.8,76.91,11391814
DG,2024-12-06,78.58,81.89,78.15,78.84,6926900
DG,2024-12-09,78.83,79.0,77.19,78.07,3471603
DG,2024-12-10,78.19,80.18,76.57,79.61,3400500
DG,2024-12-11,79.41,79.9,77.05,77.13,3205600
DG,2024-12-12,77.38,77.5,75.31,75.77,2738700
DG,2024-12-13,75.85,76.01,73.05,74.34,3770999
DG,2024-12-16,73.77,74.3,72.43,72.73,3316400
DG,2024-12-17,72.68,73.7,72.61,73.44,3389103
DG,2024-12-18,73.21,75.46,73.06,73.38,4537800
DG,2024-12-19,73.03,73.26,70.36,71.4,4032400
DG,2024-12-20,71.3,74.22,71.3,73.82,5865587
DG,2024-12-23,73.01,73.22,70.9,72.1,5089440
DG,2024-12-24,71.98,72.48,71.62,72.12,1542336
DG,2024-12-26,72.23,73.26,71.66,73.08,3601876
DG,2024-12-27,72.85,73.94,72.65,73.33,2660052
DG,2024-12-30,73.22,73.67,72.24,73.14,3775739
DG,2024-12-31,73.13,73.75,72.39,73.26,3500400
DG,2025-01-02,73.73,75.41,72.7,73.08,2675819
DG,2025-01-03,73.35,73.35,71.94,72.15,3120883
DG,2025-01-06,72.39,74.84,71.95,73.29,3234794
DG,2025-01-07,73.67,75.96,72.14,72.23,3592243
DG,2025-01-08,71.85,72.06,68.31,69.74,5786143
DG,2025-01-10,69.32,69.99,68.93,69.49,4669626
DG,2025-01-13,69.7,70.38,68.53,69.72,4094800
DG,2025-01-14,69.62,70.14,67.51,67.56,3946515
DG,2025-01-15,68.95,69.45,66.72,66.77,3489800
DG,2025-01-16,66.04,67.64,64.69,67.45,5026119
DG,2025-01-17,67.7,68.17,66.32,66.65,3386400
DG,2025-01-21,67.28,70.65,67.28,70.06,7589600
DG,2025-01-22,69.93,69.97,68.57,68.87,3184829
DG,2025-01-23,68.75,69.5,68.07,69.46,2454800
DG,2025-01-24,69.78,70.31,69.37,69.9,2207862
DG,2025-01-27,70.88,71.77,70.52,71.38,2762120
DG,2025-01-28,71.14,71.38,69.56,70.81,2721500
DG,2025-01-29,71.08,71.47,69.75,70.15,2229290
DG,2025-01-30,70.56,71.3,69.87,70.26,2240774
DG,2025-01-31,70.14,71.19,69.17,69.2,3130114
DG,2025-02-03,68.26,70.79,67.51,69.6,3853300
DG,2025-02-04,69.15,71.14,69.15,69.92,2545441
DG,2025-02-05,70.44,71.94,70.31,70.91,2973942
DG,2025-02-06,71.77,71.82,70.36,70.71,2592981
DG,2025-02-07,70.6,71.55,69.83,70.59,3511794
DG,2025-02-10,70.88,72.23,69.75,72.2,3031307
DG,2025-02-11,71.99,72.37,71.01,72.19,2882200
DG,2025-02-12,71.16,71.98,70.85,71.88,2311800
DG,2025-02-13,72.02,72.17,70.76,70.93,2803039
DG,2025-02-14,71.77,72.01,70.12,70.66,2809330
DG,2025-02-18,70.79,73.34,70.46,73.06,3788323
DG,2025-02-19,73.26,73.91,72.54,73.65,2447700
DG,2025-02-20,72.99,76.11,72.28,74.14,4486124
DG,2025-02-21,74.2,74.74,73.01,74.68,3528428
DG,2025-02-24,74.34,77.79,74.28,76.96,4827000
DG,2025-02-25,76.78,77.2,75.07,76.52,4423291
DG,2025-02-26,76.12,76.26,71.39,72.25,5391119
DG,2025-02-27,71.8,72.71,70.82,72.04,2156207
DG,2025-02-28,72.7,72.98,71.22,72.24,3051439
DG,2025-03-03,71.65,72.6,69.4,70.01,3695700
DG,2025-03-04,68.67,72.08,68.18,71.01,3426140
DG,2025-03-05,70.73,71.94,70.62,71.77,2615311
DG,2025-03-06,71.8,74.74,71.67,74.24,3082626
DG,2025-03-07,73.59,80.46,73.58,79.7,7380800
DG,2025-03-10,79.6,82.85,78.48,80.63,7211600
DG,2025-03-11,80.92,80.92,75.22,76.58,4468500
DG,2025-03-12,77.2,77.27,72.71,72.89,4955500
DG,2025-03-13,76.56,79.02,74.44,77.86,8556000
DG,2025-03-14,77.82,77.89,75.49,76.95,5170934
DG,2025-03-17,77.81,78.69,76.06,77.76,3230530
DG,2025-03-18,77.74,79.6,77.03,79.28,3101409
DG,2025-03-19,78.69,80.47,78.4,80.17,3385700
DG,2025-03-20,79.93,81.03,79.12,79.53,3225200
DG,2025-03-21,79.05,81.94,78.4,81.47,6957600
DG,2025-03-24,80.32,81.37,79.53,80.98,4698370
DG,2025-03-25,81.04,82.03,80.08,80.42,3894200
DG,2025-03-26,80.13,83.56,79.61,82.48,4877198
DG,2025-03-27,83.1,85.56,82.87,85.25,4717019
DG,2025-03-28,85.12,85.46,82.91,83.85,3901936
DG,2025-03-31,83.17,86.19,83.17,85.63,5923331
DG,2025-04-01,86.17,87.24,84.54,85.31,3601201
DG,2025-04-02,85.14,88.18,85.14,87.84,4966300
DG,2025-04-03,87.02,92.51,85.99,91.94,11232400
DG,2025-04-04,89.84,95.28,89.84,90.19,10629000
DG,2025-04-07,90.06,92.17,88.25,89.61,7925100
DG,2025-04-08,91.11,91.35,85.06,85.96,7396327
DG,2025-04-09,85.26,89.38,83.02,84.31,9408534
DG,2025-04-10,84.29,87.13,83.9,85.4,6501400
DG,2025-04-11,85.68,87.45,84.66,87.27,4211716
DG,2025-04-14,87.09,88.99,86.18,88.52,3264533
DG,2025-04-15,88.21,88.66,86.55,86.67,2832100
DG,2025-04-16,87.34,87.96,85.52,87.59,3332874
DG,2025-04-17,87.28,91.42,87.28,91.22,4172031
DG,2025-04-21,91.69,94.04,91.31,93.71,4640700
DG,2025-04-22,93.77,94.98,92.25,94.87,3668800
DG,2025-04-23,93.97,94.78,91.82,93.53,3852100
DG,2025-04-24,93.72,93.76,90.45,91.95,3693406
DG,2025-04-25,92.13,92.62,91.41,91.7,3040300
DG,2025-04-28,91.45,91.95,89.53,90.62,3048872
DG,2025-04-29,91.24,91.63,89.95,91.48,2560800
DG,2025-04-30,91.64,92.62,90.19,91.83,3588600
DG,2025-05-01,91.31,91.31,87.56,88.75,5236600
DG,2025-05-02,89.75,89.85,88.44,88.51,3770391
DG,2025-05-05,89.24,90.85,88.65,90.38,2617100
DG,2025-05-06,90.07,92.17,90.07,91.8,2948847
DG,2025-05-07,91.96,92.25,89.88,91.05,2187731
DG,2025-05-08,91.05,91.77,89.9,90.14,2572454
DG,2025-05-09,89.79,90.66,89.32,89.84,2185232
DG,2025-05-12,88.7,89.57,85.31,87.71,5487442
DG,2025-05-13,87.29,88.16,84.97,85.13,4068543
DG,2025-05-14,85.69,86.52,84.54,85.96,3927809
DG,2025-05-15,85.96,91.16,85.8,91.14,3890115
DG,2025-05-16,90.73,91.9,90.28,91.69,2562948
DG,2025-05-19,91.78,96.57,91.7,96.23,4711200
DG,2025-05-20,97.73,100.65,96.79,100.17,6814300
DG,2025-05-21,99.25,100.17,98.29,98.78,2967140
DG,2025-05-22,99.01,99.46,97.78,98.64,2963641
DG,2025-05-23,98.88,99.96,98.48,99.38,2240400
DG,2025-05-27,99.37,99.48,97.7,98.97,3235618
DG,2025-05-28,98.82,98.82,95.61,95.83,3157004
DG,2025-05-29,95.71,96.09,94.23,95.14,2419827
DG,2025-05-30,94.91,96.21,94.6,95.32,5254701
DG,2025-06-02,95.37,96.24,94.45,95.24,4878000
DG,2025-06-03,104.83,111.35,103.97,110.33,15320300
DG,2025-06-04,112.45,112.45,107.62,109.55,6039502
DG,2025-06-05,109.83,112.82,109.54,111.58,4560940
DG,2025-06-06,110.2,111.85,109.22,111.23,2938300
DG,2025-06-09,111.34,112.25,110.22,111.06,3059213
DG,2025-06-10,111.15,112.1,107.68,109.03,3324300
DG,2025-06-11,109.16,110.01,108.69,109.24,2693832
DG,2025-06-12,109.43,109.75,107.64,109.62,2831852
DG,2025-06-13,109.95,110.85,109.09,109.46,2319390
DG,2025-06-16,109.27,112.31,108.9,111.37,2901300
