symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DINO,2024-08-28,43.8,44.35,43.54,43.75,2378200
DINO,2024-08-29,44.05,44.4,43.14,44.2,2701500
DINO,2024-08-30,44.02,45.97,43.95,45.75,3884604
DINO,2024-09-03,45.14,45.14,43.98,44.19,2004801
DINO,2024-09-04,44.25,44.68,43.52,44.13,2560100
DINO,2024-09-05,44.44,44.44,42.39,42.44,2981100
DINO,2024-09-06,42.56,43.01,41.8,42.54,2357118
DINO,2024-09-09,42.42,42.99,42.21,42.48,2448639
DINO,2024-09-10,42.59,43.2,42.03,43.1,2732200
DINO,2024-09-11,43.06,43.06,41.21,41.36,2012386
DINO,2024-09-12,41.4,41.75,41.03,41.18,1497600
DINO,2024-09-13,41.51,42.73,41.43,42.07,2174000
DINO,2024-09-16,42.26,42.72,41.3,42.18,1780600
DINO,2024-09-17,42.55,43.43,42.23,43.33,2319973
DINO,2024-09-18,43.5,44.59,43.3,43.67,2049440
DINO,2024-09-19,44.43,44.65,43.81,43.99,4059429
DINO,2024-09-20,43.66,43.66,42.23,43.06,6053746
DINO,2024-09-23,42.75,43.31,42.38,42.58,2176250
DINO,2024-09-24,43.23,43.28,41.75,41.77,1763552
DINO,2024-09-25,41.84,42.43,41.53,41.82,2439200
DINO,2024-09-26,41.66,43.38,41.61,42.11,3295388
DINO,2024-09-27,42.49,42.7,41.74,42.17,1989500
DINO,2024-09-30,41.95,42.05,41.21,41.5,2945514
DINO,2024-10-01,41.13,42.11,40.86,41.2,2680400
DINO,2024-10-02,41.38,42.16,41.02,41.76,2049533
DINO,2024-10-03,41.76,44.58,41.3,44.41,2946552
DINO,2024-10-04,44.67,44.93,43.15,43.52,2081045
DINO,2024-10-07,43.29,43.92,43.2,43.54,1277606
DINO,2024-10-08,42.77,42.95,41.24,41.44,1721724
DINO,2024-10-09,41.11,42.08,40.93,41.85,1674444
DINO,2024-10-10,42.21,43.02,41.95,42.75,1921041
DINO,2024-10-11,42.65,43.01,42.49,42.72,1751400
DINO,2024-10-14,42.41,42.49,41.86,42.12,1178426
DINO,2024-10-15,41.16,41.36,40.2,40.29,2234301
DINO,2024-10-16,40.82,40.9,40.49,40.65,1519956
DINO,2024-10-17,40.84,41.47,40.67,41.26,1531800
DINO,2024-10-18,41.15,41.61,40.86,41.22,1519200
DINO,2024-10-21,41.45,41.54,40.62,40.88,1497571
DINO,2024-10-22,41.02,41.17,40.54,41.01,1276011
DINO,2024-10-23,40.6,40.94,39.49,39.93,1802711
DINO,2024-10-24,39.86,40.06,39.53,39.95,1331203
DINO,2024-10-25,39.98,40.45,39.78,40.04,1459200
DINO,2024-10-28,39.19,40.17,39.19,39.92,1463892
