symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DIS,2024-12-05,114.76,115.47,114.28,114.71,9823600
DIS,2024-12-06,114.76,115.46,114.44,114.94,6677906
DIS,2024-12-09,114.6,115.38,112.16,112.85,8666121
DIS,2024-12-10,112.89,113.19,111.98,112.97,7526428
DIS,2024-12-11,112.88,113.28,112.23,112.85,6426831
DIS,2024-12-12,112.94,113.25,112.41,113.14,5285116
DIS,2024-12-13,112.56,113.2,111.56,111.6,6864500
DIS,2024-12-16,111.76,111.83,110.5,110.88,10528533
DIS,2024-12-17,109.81,112.79,109.58,111.78,12238619
DIS,2024-12-18,112.1,114.85,110.02,110.13,12292800
DIS,2024-12-19,110.44,111.67,110.03,110.15,9468516
DIS,2024-12-20,109.4,111.73,109.22,110.8,17955325
DIS,2024-12-23,110.39,110.63,109.1,110.18,6037212
DIS,2024-12-24,110.03,111.51,109.97,111.33,2475000
DIS,2024-12-26,110.89,112.08,110.64,111.32,4782814
DIS,2024-12-27,110.6,110.89,109.65,110.33,4523820
DIS,2024-12-30,109.22,110.32,108.63,109.59,5716337
DIS,2024-12-31,109.57,110.37,109.46,110.13,4757538
DIS,2025-01-02,110.48,110.97,108.97,109.61,5688100
DIS,2025-01-03,110.15,110.32,108.97,109.94,5394318
DIS,2025-01-06,110.25,111.61,109.65,109.83,6274419
DIS,2025-01-07,110.92,112.49,110.07,110.17,7878807
DIS,2025-01-08,109.79,109.9,107.45,108.56,7805312
DIS,2025-01-10,108.8,109.33,106.44,107.46,8835518
DIS,2025-01-13,106.75,107.42,105.55,106.9,6690232
DIS,2025-01-14,107.49,107.77,106.44,106.94,5501600
DIS,2025-01-15,107.97,108.39,106.8,106.99,6296900
DIS,2025-01-16,107.1,107.41,104.99,105.29,7872800
DIS,2025-01-17,105.66,106.56,105.38,105.85,7144300
DIS,2025-01-21,105.93,108.25,105.63,107.51,8643700
DIS,2025-01-22,108.35,108.35,107.05,107.62,8781705
DIS,2025-01-23,107.31,109.85,107.3,109.82,7608300
DIS,2025-01-24,109.94,112.15,109.42,110.93,8304500
DIS,2025-01-27,110.46,112.83,110.24,112.1,10176938
DIS,2025-01-28,111.61,111.72,110.34,110.91,6516800
DIS,2025-01-29,112.26,113.13,111.52,111.95,7607100
DIS,2025-01-30,112.84,113.92,111.88,112.19,6236200
DIS,2025-01-31,112.06,112.76,111.52,111.82,7797700
DIS,2025-02-03,110.13,113.34,109.64,112.75,8870700
DIS,2025-02-04,112.55,113.41,111.28,112.06,13521149
DIS,2025-02-05,114.43,117.29,109.02,109.33,23310000
DIS,2025-02-06,110.65,111.44,107.95,110.86,12470800
DIS,2025-02-07,110.38,111.31,109.59,109.64,8669320
DIS,2025-02-10,109.92,110.16,107.5,108.08,8239512
DIS,2025-02-11,107.2,107.86,106.51,107.83,7456717
DIS,2025-02-12,107.06,108.33,106.57,108.03,6521246
DIS,2025-02-13,107.73,108.56,107.37,108.39,6553224
DIS,2025-02-14,108.66,109.3,108.39,109.17,5964541
DIS,2025-02-18,108.58,108.72,107.52,108.36,8362900
DIS,2025-02-19,107.94,110.54,107.94,110.13,8452114
DIS,2025-02-20,110.02,110.3,108.18,109.34,5970106
DIS,2025-02-21,109.78,110.54,106.74,107.47,9082100
DIS,2025-02-24,107.65,110.34,107.46,109.98,7093300
DIS,2025-02-25,110.21,110.68,107.88,109.32,7289000
DIS,2025-02-26,108.85,112.0,108.85,110.6,7831600
DIS,2025-02-27,111.09,111.88,109.84,110.09,7854700
DIS,2025-02-28,110.24,112.74,109.78,112.55,14609401
DIS,2025-03-03,112.82,114.28,110.77,111.55,7884746
DIS,2025-03-04,110.48,111.02,107.09,107.82,12658024
DIS,2025-03-05,108.14,109.72,107.03,108.11,9956143
DIS,2025-03-06,107.19,107.63,103.86,104.27,11618800
DIS,2025-03-07,103.85,104.61,102.17,104.35,12715904
DIS,2025-03-10,103.29,103.65,100.99,101.95,10947100
DIS,2025-03-11,98.7,99.94,96.38,96.83,16906005
DIS,2025-03-12,97.6,98.4,95.33,97.68,11891800
DIS,2025-03-13,96.7,97.57,94.88,95.81,11059500
DIS,2025-03-14,96.37,98.01,96.35,97.56,10199800
DIS,2025-03-17,97.66,99.02,97.58,98.27,8332119
DIS,2025-03-18,98.18,98.64,97.4,98.26,6727404
DIS,2025-03-19,98.57,99.85,98.38,99.19,8614622
DIS,2025-03-20,98.48,98.96,97.56,97.78,7836515
DIS,2025-03-21,97.3,98.8,96.68,98.37,15089900
DIS,2025-03-24,99.12,99.34,97.77,99.08,8224405
DIS,2025-03-25,99.55,100.65,99.31,100.5,7365249
DIS,2025-03-26,100.59,101.15,99.17,99.68,6316413
DIS,2025-03-27,99.61,99.92,98.49,99.35,6598800
DIS,2025-03-28,98.96,99.29,96.67,97.0,7679702
DIS,2025-03-31,95.77,97.77,94.65,97.62,10554041
DIS,2025-04-01,97.24,97.51,95.78,96.61,8762700
DIS,2025-04-02,95.56,97.24,95.4,96.81,7959946
DIS,2025-04-03,93.48,93.75,87.64,87.87,19353400
DIS,2025-04-04,85.05,86.58,82.16,82.61,22580900
DIS,2025-04-07,80.11,85.68,79.22,82.39,20456000
DIS,2025-04-08,85.0,85.99,79.96,80.82,14845638
DIS,2025-04-09,80.4,91.24,80.3,90.44,24970930
DIS,2025-04-10,87.95,88.04,82.16,84.3,16377000
DIS,2025-04-11,84.18,84.73,82.44,83.96,10204400
DIS,2025-04-14,84.89,85.5,83.11,83.73,10841307
DIS,2025-04-15,83.82,85.04,83.6,84.08,7840500
DIS,2025-04-16,83.35,83.87,81.11,81.86,10144300
DIS,2025-04-17,82.46,84.84,82.45,83.88,14810894
DIS,2025-04-21,83.98,84.3,82.07,83.08,14166825
DIS,2025-04-22,84.08,85.61,83.68,85.15,9578500
DIS,2025-04-23,88.05,88.88,86.07,86.33,12089123
DIS,2025-04-24,86.49,89.25,85.82,89.02,10310000
DIS,2025-04-25,89.08,89.35,88.09,89.29,7749630
DIS,2025-04-28,89.46,90.37,88.66,89.17,8491800
DIS,2025-04-29,88.84,90.65,88.78,90.17,6359924
DIS,2025-04-30,88.9,90.19,87.59,89.95,8474834
DIS,2025-05-01,90.26,90.6,89.36,89.81,7790638
DIS,2025-05-02,90.84,92.17,90.84,91.48,7594041
