symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DKS,2024-08-27,224.03,229.14,223.02,227.05,694800
DKS,2024-08-28,225.6,227.5,224.34,225.78,698500
DKS,2024-08-29,227.88,229.33,224.26,225.86,802515
DKS,2024-08-30,227.34,228.07,222.97,227.69,1087115
DKS,2024-09-03,226.77,229.65,221.22,223.04,2109600
DKS,2024-09-04,208.47,212.8,199.37,212.13,3673600
DKS,2024-09-05,210.21,211.49,202.66,206.42,1363422
DKS,2024-09-06,206.65,207.32,198.86,199.9,1295318
DKS,2024-09-09,200.51,201.1,197.18,199.31,1262900
DKS,2024-09-10,199.54,199.73,196.2,198.83,921027
DKS,2024-09-11,197.96,200.27,194.43,200.13,883675
DKS,2024-09-12,200.39,204.05,200.39,202.46,619800
DKS,2024-09-13,203.79,209.57,203.79,208.46,743242
DKS,2024-09-16,208.74,210.48,202.42,204.02,1012365
DKS,2024-09-17,205.25,205.98,203.35,204.92,840300
DKS,2024-09-18,206.06,210.46,202.26,204.26,1005864
DKS,2024-09-19,208.38,209.73,204.89,207.0,750117
DKS,2024-09-20,206.69,207.17,203.83,205.26,1178424
DKS,2024-09-23,206.09,208.37,202.94,207.92,1079100
DKS,2024-09-24,209.33,211.01,208.04,209.52,691832
DKS,2024-09-25,209.77,210.16,207.13,207.83,882900
DKS,2024-09-26,213.63,219.29,208.3,209.8,1075343
DKS,2024-09-27,210.18,210.18,199.59,201.99,1390820
DKS,2024-09-30,201.34,202.17,198.09,201.57,1010408
DKS,2024-10-01,198.74,200.57,195.77,198.38,806000
DKS,2024-10-02,196.65,198.36,195.19,198.23,617699
DKS,2024-10-03,196.84,201.05,195.5,200.43,675677
DKS,2024-10-04,204.75,210.31,204.75,207.68,966000
DKS,2024-10-07,205.72,206.68,194.39,199.15,1023666
DKS,2024-10-08,200.86,201.13,197.97,198.71,494000
DKS,2024-10-09,199.31,200.23,195.82,195.96,655132
DKS,2024-10-10,195.05,196.32,192.43,193.83,683428
DKS,2024-10-11,194.44,199.92,194.44,198.54,620340
DKS,2024-10-14,198.49,198.81,194.17,197.9,913339
DKS,2024-10-15,197.67,205.3,197.26,202.48,749335
DKS,2024-10-16,203.39,205.99,201.43,205.39,723318
DKS,2024-10-17,206.29,209.53,205.36,207.69,679100
DKS,2024-10-18,208.18,211.93,205.76,211.19,588269
DKS,2024-10-21,210.25,210.68,203.94,206.11,516044
DKS,2024-10-22,204.54,205.83,201.34,201.47,649527
DKS,2024-10-23,200.89,201.13,196.89,198.67,696028
DKS,2024-10-24,200.27,202.02,196.62,197.53,627500
DKS,2024-10-25,199.82,200.11,197.02,197.38,495356
DKS,2024-10-28,198.45,200.45,197.71,198.25,544996
DKS,2024-10-29,195.3,196.4,191.64,195.22,664300
DKS,2024-10-30,195.01,197.5,193.59,194.01,559266
DKS,2024-10-31,192.67,193.74,189.06,189.06,834299
DKS,2024-11-01,190.13,191.2,186.09,187.08,1261750
DKS,2024-11-04,187.55,192.69,187.45,190.01,695808
DKS,2024-11-05,189.45,192.69,188.48,191.33,694579
DKS,2024-11-06,194.03,194.3,182.25,188.45,1519165
DKS,2024-11-07,189.28,195.22,189.14,193.14,841352
DKS,2024-11-08,192.07,196.92,192.07,196.0,727641
DKS,2024-11-11,198.18,198.39,190.8,191.7,683880
DKS,2024-11-12,193.78,195.93,191.08,192.0,968607
DKS,2024-11-13,193.23,197.29,189.81,190.59,700947
DKS,2024-11-14,191.2,196.87,190.59,191.93,1046212
DKS,2024-11-15,190.27,194.37,189.8,191.47,905323
DKS,2024-11-18,192.76,194.93,191.36,193.63,1064698
