symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DOC,2024-08-27,20.1,20.23,19.98,20.08,4858131
DOC,2024-08-28,20.0,20.06,19.75,19.86,4731000
DOC,2024-08-29,19.87,19.98,19.53,19.95,7088200
DOC,2024-08-30,20.03,20.28,19.92,20.08,10247300
DOC,2024-09-03,19.93,20.12,19.89,20.01,7452833
DOC,2024-09-04,20.05,20.2,19.93,19.99,5290718
DOC,2024-09-05,20.15,20.33,19.87,19.91,4152936
DOC,2024-09-06,19.92,19.96,19.59,19.82,4574000
DOC,2024-09-09,19.81,20.05,19.81,19.95,5985737
DOC,2024-09-10,20.03,20.09,19.89,20.03,4942100
DOC,2024-09-11,19.84,20.04,19.64,19.96,4647020
DOC,2024-09-12,19.95,20.24,19.91,20.2,3601800
DOC,2024-09-13,20.3,20.38,20.16,20.35,8214886
DOC,2024-09-16,20.51,20.54,20.17,20.2,4436584
DOC,2024-09-17,20.17,20.22,19.74,19.77,8241960
DOC,2024-09-18,19.78,20.28,19.74,19.94,4508800
DOC,2024-09-19,20.14,20.21,19.73,19.74,5442500
DOC,2024-09-20,19.61,19.84,19.56,19.84,11123814
DOC,2024-09-23,19.95,20.36,19.84,20.34,4437908
DOC,2024-09-24,20.24,20.7,20.18,20.52,3665600
DOC,2024-09-25,20.6,20.86,20.5,20.55,6715200
DOC,2024-09-26,20.66,20.72,20.17,20.28,3513719
DOC,2024-09-27,20.44,20.51,20.32,20.37,5217700
DOC,2024-09-30,20.28,20.63,20.2,20.61,6697832
DOC,2024-10-01,20.7,20.7,20.23,20.43,4316721
DOC,2024-10-02,20.24,20.28,19.97,20.13,3047243
DOC,2024-10-03,20.13,20.14,19.89,20.03,4839200
DOC,2024-10-04,19.92,20.04,19.82,19.94,3345641
DOC,2024-10-07,19.83,19.91,19.71,19.84,2557736
DOC,2024-10-08,19.91,19.95,19.54,19.67,2557300
DOC,2024-10-09,19.66,19.78,19.51,19.63,2786046
DOC,2024-10-10,19.52,19.66,19.26,19.38,4656568
DOC,2024-10-11,19.48,19.59,19.4,19.53,3460504
DOC,2024-10-14,19.5,19.79,19.44,19.72,2983000
DOC,2024-10-15,19.83,20.33,19.81,20.12,3609647
DOC,2024-10-16,20.17,20.46,20.13,20.45,4387600
DOC,2024-10-17,20.34,20.41,20.09,20.11,3237700
DOC,2024-10-18,20.18,20.41,19.99,20.4,3709260
DOC,2024-10-21,20.5,20.59,19.97,19.99,4222109
DOC,2024-10-22,19.97,20.34,19.83,20.22,4198842
DOC,2024-10-23,20.21,20.87,20.18,20.84,7193658
DOC,2024-10-24,20.78,20.96,20.62,20.73,8096674
DOC,2024-10-25,20.42,20.84,20.09,20.09,8802307
DOC,2024-10-28,20.3,20.51,20.0,20.36,9525914
DOC,2024-10-29,20.2,20.36,20.07,20.3,7367700
DOC,2024-10-30,20.36,20.66,20.3,20.48,6978020
DOC,2024-10-31,20.37,20.62,20.22,20.23,8922052
DOC,2024-11-01,20.34,20.54,19.81,19.81,5994861
DOC,2024-11-04,19.89,20.23,19.86,20.1,4254201
DOC,2024-11-05,19.99,20.62,19.93,20.57,5013500
DOC,2024-11-06,20.71,20.77,20.14,20.41,12041700
DOC,2024-11-07,20.44,20.7,20.3,20.62,6297638
DOC,2024-11-08,20.63,21.07,20.63,20.8,3908435
DOC,2024-11-11,20.79,20.86,20.37,20.42,4101724
DOC,2024-11-12,20.35,20.45,19.87,19.91,5057800
DOC,2024-11-13,20.13,20.28,19.77,19.78,6902335
DOC,2024-11-14,19.69,19.74,19.41,19.42,6212000
DOC,2024-11-15,19.39,19.43,18.99,19.06,7300800
DOC,2024-11-18,18.96,19.08,18.85,19.07,5345708
DOC,2024-11-19,19.02,19.67,18.98,19.56,5079713
DOC,2024-11-20,19.47,19.77,19.32,19.58,4968301
DOC,2024-11-21,19.46,19.94,19.45,19.84,3879317
DOC,2024-11-22,19.99,20.06,19.73,19.76,4224123
DOC,2024-11-25,19.86,20.2,19.79,20.09,7006968
DOC,2024-11-26,20.07,20.45,20.05,20.4,3352400
DOC,2024-11-27,20.5,20.75,20.27,20.32,4668200
DOC,2024-11-29,20.34,20.38,20.08,20.1,4748600
DOC,2024-12-02,20.03,20.07,19.6,19.78,4920024
DOC,2024-12-03,19.76,19.78,19.55,19.66,3783820
DOC,2024-12-04,19.65,19.68,19.4,19.46,3640200
DOC,2024-12-05,19.26,19.69,19.2,19.64,3340247
DOC,2024-12-06,19.67,19.83,19.41,19.54,3822934
DOC,2024-12-09,19.46,19.92,19.42,19.83,5050100
DOC,2024-12-10,19.74,19.95,19.44,19.59,3502987
DOC,2024-12-11,19.63,19.77,19.33,19.44,3642976
DOC,2024-12-12,19.39,19.6,19.12,19.13,4047800
DOC,2024-12-13,19.05,19.13,18.85,18.97,7231713
DOC,2024-12-16,18.93,19.13,18.86,18.93,3887700
DOC,2024-12-17,18.82,19.3,18.73,19.07,3128800
DOC,2024-12-18,18.95,19.14,18.25,18.26,4300600
DOC,2024-12-19,18.24,18.54,18.06,18.06,6564100
DOC,2024-12-20,18.27,18.55,18.06,18.39,12559233
DOC,2024-12-23,18.29,18.47,18.19,18.44,3875332
DOC,2024-12-24,18.41,18.65,18.38,18.63,1415700
DOC,2024-12-26,18.55,18.63,18.46,18.51,1946445
DOC,2024-12-27,18.36,18.65,18.26,18.35,2716209
DOC,2024-12-30,18.27,18.3,18.0,18.26,3150967
DOC,2024-12-31,18.39,18.55,18.32,18.52,3541732
DOC,2025-01-02,18.52,18.63,18.33,18.42,2547595
DOC,2025-01-03,18.44,18.67,18.38,18.66,2469413
DOC,2025-01-06,18.58,18.61,18.25,18.29,5719046
DOC,2025-01-07,18.29,18.51,18.16,18.19,4882200
DOC,2025-01-08,18.23,18.62,18.1,18.57,4306350
DOC,2025-01-10,18.24,18.39,17.76,17.97,4556000
DOC,2025-01-13,17.99,18.31,17.94,18.28,2907866
DOC,2025-01-14,18.25,18.49,18.24,18.4,3802700
DOC,2025-01-15,19.01,19.01,18.53,18.57,2636800
