symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DOCS,2024-08-27,36.37,37.23,36.16,36.74,1097200
DOCS,2024-08-28,36.56,36.96,36.0,36.52,1696919
DOCS,2024-08-29,36.76,37.55,36.64,36.69,1570243
DOCS,2024-08-30,36.95,37.19,36.04,36.78,1338409
DOCS,2024-09-03,36.27,36.85,35.62,35.9,1412674
DOCS,2024-09-04,35.68,36.33,35.51,36.17,769400
DOCS,2024-09-05,36.12,36.4,35.6,35.7,1235213
DOCS,2024-09-06,35.91,36.37,35.32,36.34,1261500
DOCS,2024-09-09,36.49,37.13,36.38,36.93,1273919
DOCS,2024-09-10,36.95,37.08,36.25,36.54,1312613
DOCS,2024-09-11,36.29,36.87,36.12,36.83,996391
DOCS,2024-09-12,36.83,38.37,36.78,38.22,2166189
DOCS,2024-09-13,38.35,39.69,38.3,39.32,2081815
DOCS,2024-09-16,39.33,39.75,39.27,39.44,1247639
DOCS,2024-09-17,39.75,40.92,39.75,40.16,2173714
DOCS,2024-09-18,40.1,40.99,39.62,40.06,1596200
DOCS,2024-09-19,40.7,40.86,40.04,40.63,1307410
DOCS,2024-09-20,40.7,41.05,40.15,40.88,2355378
DOCS,2024-09-23,40.9,41.69,40.57,41.5,1605639
DOCS,2024-09-24,41.66,41.87,41.33,41.37,1298541
DOCS,2024-09-25,41.6,42.02,41.41,41.87,1646000
DOCS,2024-09-26,42.24,42.56,41.8,42.53,1933715
DOCS,2024-09-27,42.7,43.56,42.58,42.9,1961098
DOCS,2024-09-30,42.83,43.99,42.73,43.57,1700408
DOCS,2024-10-01,43.44,43.5,42.41,43.2,1129592
DOCS,2024-10-02,43.19,43.5,42.63,43.49,992945
DOCS,2024-10-03,43.24,43.93,43.18,43.37,1299901
DOCS,2024-10-04,43.84,43.96,43.5,43.83,785642
DOCS,2024-10-07,44.36,44.88,42.98,43.22,1543929
DOCS,2024-10-08,43.37,44.77,43.01,44.34,1276400
DOCS,2024-10-09,44.34,44.64,43.97,44.0,1690335
DOCS,2024-10-10,43.75,44.02,43.03,43.35,1705300
DOCS,2024-10-11,43.45,43.78,43.21,43.31,1157021
DOCS,2024-10-14,43.36,43.43,41.9,41.96,1463506
DOCS,2024-10-15,43.44,43.87,42.93,43.86,2205415
DOCS,2024-10-16,43.76,44.59,43.65,44.41,1190500
DOCS,2024-10-17,44.11,44.33,42.45,42.86,1284312
DOCS,2024-10-18,43.06,43.55,42.82,43.5,914600
DOCS,2024-10-21,43.21,43.45,41.75,41.95,1980700
DOCS,2024-10-22,41.89,42.53,41.62,42.16,1064100
DOCS,2024-10-23,42.05,42.5,41.24,41.42,1072800
DOCS,2024-10-24,41.72,42.26,41.25,41.47,953037
DOCS,2024-10-25,41.64,41.79,40.87,41.25,870406
DOCS,2024-10-28,41.47,41.87,41.32,41.42,590217
DOCS,2024-10-29,41.32,41.88,41.09,41.88,834000
DOCS,2024-10-30,42.0,42.45,41.74,41.99,817132
DOCS,2024-10-31,41.59,41.8,41.03,41.74,1033439
DOCS,2024-11-01,42.0,42.46,41.54,42.35,904600
DOCS,2024-11-04,42.29,42.84,41.7,41.82,1158247
DOCS,2024-11-05,41.8,42.12,41.34,41.94,860661
DOCS,2024-11-06,43.02,43.36,41.82,42.35,1246200
DOCS,2024-11-07,42.41,43.74,42.36,43.42,2891300
DOCS,2024-11-08,58.89,60.9,55.25,58.25,8543200
DOCS,2024-11-11,59.03,61.75,58.8,61.25,5378100
DOCS,2024-11-12,57.91,60.31,56.79,58.05,3720400
DOCS,2024-11-13,56.59,56.97,52.56,52.86,4317420
DOCS,2024-11-14,53.91,53.91,51.63,52.04,2219139
DOCS,2024-11-15,50.69,50.81,48.16,49.4,3180900
DOCS,2024-11-18,50.28,52.35,49.48,52.21,1812900
DOCS,2024-11-19,51.88,52.54,51.51,51.53,2262703
DOCS,2024-11-20,51.36,51.58,49.66,49.9,2337148
DOCS,2024-11-21,49.9,50.14,47.66,48.0,2732279
DOCS,2024-11-22,48.33,48.64,47.72,48.2,2135681
DOCS,2024-11-25,49.25,49.81,48.73,48.75,2748153
DOCS,2024-11-26,48.39,53.59,48.21,53.54,3571200
DOCS,2024-11-27,54.03,54.39,52.45,53.39,2064209
DOCS,2024-11-29,53.66,54.28,52.9,53.0,859144
DOCS,2024-12-02,53.1,53.81,52.82,53.41,1353519
DOCS,2024-12-03,52.84,54.79,52.79,54.2,1264673
DOCS,2024-12-04,54.4,54.57,52.7,54.2,1594230
DOCS,2024-12-05,54.0,55.68,53.9,55.32,1442423
DOCS,2024-12-06,55.9,56.67,55.5,55.53,1621387
DOCS,2024-12-09,55.7,56.21,53.02,53.83,1684800
DOCS,2024-12-10,53.81,54.73,52.01,52.9,1980962
DOCS,2024-12-11,53.6,54.0,52.48,52.54,1179423
DOCS,2024-12-12,52.5,53.65,51.87,52.7,1413547
DOCS,2024-12-13,52.7,53.32,50.96,52.14,1467100
DOCS,2024-12-16,52.5,53.88,52.43,53.28,1408835
