symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DOX,2024-08-27,81.45,81.69,81.05,81.51,488300
DOX,2024-08-28,81.52,81.99,80.95,81.48,432700
DOX,2024-08-29,81.63,82.38,81.23,81.6,509842
DOX,2024-08-30,81.96,83.23,81.66,83.18,605500
DOX,2024-09-03,82.6,83.82,82.36,82.8,698800
DOX,2024-09-04,82.59,83.36,81.96,83.22,596629
DOX,2024-09-05,83.09,83.23,81.86,81.93,466700
DOX,2024-09-06,82.1,82.41,81.18,81.21,371700
DOX,2024-09-09,81.21,82.54,81.21,81.68,524336
DOX,2024-09-10,81.99,82.29,81.49,82.1,375132
DOX,2024-09-11,81.66,81.74,80.54,81.34,456900
DOX,2024-09-12,81.57,82.02,80.95,81.34,713040
DOX,2024-09-13,81.76,83.43,81.57,82.72,478200
DOX,2024-09-16,82.75,83.33,82.45,83.15,543982
DOX,2024-09-17,83.15,83.5,82.47,82.64,539900
DOX,2024-09-18,82.5,83.16,82.04,82.5,449301
DOX,2024-09-19,83.2,83.55,82.21,83.48,832101
DOX,2024-09-20,83.11,83.41,82.25,82.45,2841400
DOX,2024-09-23,82.71,82.93,82.06,82.7,791335
DOX,2024-09-24,82.9,83.46,82.56,82.93,612900
DOX,2024-09-25,82.91,83.12,81.81,82.15,684204
DOX,2024-09-26,82.8,83.95,82.59,83.53,698700
DOX,2024-09-27,83.79,84.53,83.24,84.0,798390
DOX,2024-09-30,84.0,84.32,83.53,84.13,537525
DOX,2024-10-01,83.94,84.62,83.53,84.03,572976
DOX,2024-10-02,83.92,84.71,83.21,84.65,500607
DOX,2024-10-03,84.55,84.82,83.81,84.78,546231
DOX,2024-10-04,85.29,86.0,84.48,84.81,457400
DOX,2024-10-07,84.65,84.65,83.83,83.92,407904
DOX,2024-10-08,84.15,84.59,83.65,84.01,468045
DOX,2024-10-09,84.0,85.36,84.0,84.74,364300
DOX,2024-10-10,84.57,84.91,84.17,84.42,643600
DOX,2024-10-11,84.63,84.9,84.29,84.87,500400
DOX,2024-10-14,85.03,85.83,84.59,85.79,835826
DOX,2024-10-15,85.79,86.52,85.31,85.33,644000
DOX,2024-10-16,85.63,86.47,85.4,86.22,326544
DOX,2024-10-17,86.09,87.51,85.98,87.45,497200
DOX,2024-10-18,87.59,87.82,87.12,87.5,328141
DOX,2024-10-21,87.12,87.58,86.62,86.82,341740
DOX,2024-10-22,87.33,87.58,86.02,86.24,339300
DOX,2024-10-23,86.29,86.41,85.68,86.21,327800
DOX,2024-10-24,86.21,86.32,85.69,86.3,364526
DOX,2024-10-25,86.3,86.67,85.43,85.46,243000
DOX,2024-10-28,86.02,86.54,84.83,84.9,487326
DOX,2024-10-29,84.6,85.86,84.6,85.23,434000
DOX,2024-10-30,84.84,85.48,84.42,84.71,548522
DOX,2024-10-31,84.79,85.08,84.24,84.39,617602
DOX,2024-11-01,84.37,85.05,84.37,84.68,440100
DOX,2024-11-04,84.87,85.28,84.24,85.09,500617
DOX,2024-11-05,85.31,85.93,85.23,85.89,400000
DOX,2024-11-06,87.9,88.45,87.21,87.57,676876
DOX,2024-11-07,87.35,88.92,87.35,88.61,404100
DOX,2024-11-08,88.81,89.29,88.54,88.64,492900
DOX,2024-11-11,88.96,89.76,88.6,89.3,604015
DOX,2024-11-12,89.05,89.75,88.91,89.16,995669
DOX,2024-11-13,82.03,86.04,78.87,84.39,3115949
DOX,2024-11-14,83.36,85.09,82.26,82.42,1283438
DOX,2024-11-15,82.24,82.38,80.46,80.76,944000
DOX,2024-11-18,80.76,81.69,80.41,80.77,734900
DOX,2024-11-19,80.06,80.45,79.6,79.76,761300
DOX,2024-11-20,79.66,80.57,79.66,80.52,565808
DOX,2024-11-21,80.8,82.05,80.76,81.93,513574
DOX,2024-11-22,81.73,82.67,81.67,82.39,466400
DOX,2024-11-25,82.9,84.25,82.77,83.95,823400
DOX,2024-11-26,84.15,84.25,83.14,84.02,614218
DOX,2024-11-27,84.11,84.24,83.33,83.84,730329
DOX,2024-11-29,83.93,84.4,83.3,83.4,500218
DOX,2024-12-02,83.5,84.53,83.5,84.33,502235
DOX,2024-12-03,84.05,84.48,83.6,83.91,516814
DOX,2024-12-04,83.74,84.5,83.74,83.97,637400
DOX,2024-12-05,83.94,84.4,83.51,83.71,404118
DOX,2024-12-06,83.6,83.96,83.07,83.32,779800
DOX,2024-12-09,83.67,84.74,83.31,83.36,492400
DOX,2024-12-10,83.38,83.59,82.53,82.77,720431
DOX,2024-12-11,82.77,83.98,82.56,83.79,781400
DOX,2024-12-12,83.51,85.93,83.51,85.05,902233
DOX,2024-12-13,84.9,84.91,83.73,83.95,554903
DOX,2024-12-16,83.67,84.39,83.28,83.84,645754
DOX,2024-12-17,83.5,84.11,83.09,83.59,600100
DOX,2024-12-18,83.63,84.14,82.09,82.33,804524
DOX,2024-12-19,82.62,83.66,81.8,82.85,1228339
DOX,2024-12-20,82.74,84.21,82.36,83.67,1393100
DOX,2024-12-23,83.33,83.6,82.49,83.22,677024
DOX,2024-12-24,82.84,83.62,82.61,83.54,502000
DOX,2024-12-26,83.54,84.06,83.3,83.38,552715
DOX,2024-12-27,83.37,83.63,82.23,82.5,621500
DOX,2024-12-30,81.92,82.45,81.01,82.02,623400
DOX,2024-12-31,82.39,82.67,81.94,82.34,628700
DOX,2025-01-02,82.64,82.95,81.22,81.39,537529
DOX,2025-01-03,81.55,81.81,80.79,81.4,473611
DOX,2025-01-06,81.35,82.69,81.35,81.69,447700
DOX,2025-01-07,81.12,82.36,80.81,81.41,478600
DOX,2025-01-08,81.45,81.46,80.1,81.44,817213
DOX,2025-01-10,80.77,80.93,79.44,79.51,778243
DOX,2025-01-13,79.16,80.91,79.06,80.82,505937
DOX,2025-01-14,80.85,81.41,80.55,80.92,386100
DOX,2025-01-15,81.83,81.83,81.05,81.49,335839
DOX,2025-01-16,81.48,82.12,81.06,81.9,360940
DOX,2025-01-17,82.47,82.47,81.76,82.1,329203
DOX,2025-01-21,82.2,83.48,81.72,82.88,798800
DOX,2025-01-22,82.71,83.41,82.23,82.38,622300
DOX,2025-01-23,82.15,82.73,81.07,81.81,718339
DOX,2025-01-24,82.21,82.64,82.02,82.48,400200
DOX,2025-01-27,82.82,84.43,82.21,83.86,472800
DOX,2025-01-28,83.91,84.55,82.97,83.89,530801
DOX,2025-01-29,84.0,84.24,83.08,83.47,549748
DOX,2025-01-30,83.75,85.29,83.74,84.58,480400
DOX,2025-01-31,84.69,85.53,84.62,85.29,510809
DOX,2025-02-03,83.98,85.04,83.68,84.52,798600
DOX,2025-02-04,84.22,85.32,82.68,84.0,1254200
DOX,2025-02-05,88.75,88.75,82.38,85.24,1663437
DOX,2025-02-06,85.13,85.38,82.75,83.13,1152567
DOX,2025-02-07,83.63,83.63,82.7,83.14,671300
DOX,2025-02-10,83.27,83.75,82.55,82.98,866800
DOX,2025-02-11,82.55,84.05,82.38,83.48,687500
DOX,2025-02-12,82.82,83.66,82.78,83.13,592838
DOX,2025-02-13,83.17,84.62,82.99,84.36,576244
DOX,2025-02-14,84.43,85.41,84.4,85.4,663600
DOX,2025-02-18,85.11,86.84,84.93,86.61,718701
DOX,2025-02-19,86.6,87.52,85.97,86.65,651978
DOX,2025-02-20,86.22,86.81,85.89,86.37,596537
DOX,2025-02-21,86.59,86.59,84.96,85.11,726673
DOX,2025-02-24,85.29,86.08,84.46,85.41,793000
DOX,2025-02-25,85.05,86.39,85.05,86.02,564738
DOX,2025-02-26,86.59,86.94,84.83,85.03,976400
DOX,2025-02-27,85.6,86.32,84.7,84.86,747415
DOX,2025-02-28,85.38,85.65,83.4,84.38,716100
DOX,2025-03-03,84.29,85.01,83.47,83.97,728946
DOX,2025-03-04,83.38,84.48,83.2,83.64,505200
DOX,2025-03-05,83.65,85.16,83.35,84.95,574500
DOX,2025-03-06,84.57,85.58,84.21,85.56,452300
DOX,2025-03-07,84.98,88.01,84.9,87.49,758000
DOX,2025-03-10,86.75,88.83,86.61,87.51,956300
DOX,2025-03-11,87.22,87.53,85.13,85.87,907506
DOX,2025-03-12,86.11,86.41,84.25,84.56,1100700
DOX,2025-03-13,84.15,84.89,83.43,83.77,742767
DOX,2025-03-14,84.2,85.34,83.9,85.1,577500
DOX,2025-03-17,84.84,86.34,84.83,85.99,497200
DOX,2025-03-18,85.86,86.49,85.48,86.34,597476
DOX,2025-03-19,86.37,86.62,85.68,86.26,594201
DOX,2025-03-20,85.39,86.06,84.37,85.42,564225
DOX,2025-03-21,85.22,85.8,84.49,85.37,2964402
DOX,2025-03-24,86.48,87.03,86.04,86.83,646000
DOX,2025-03-25,87.11,88.32,86.54,87.45,621300
DOX,2025-03-26,87.52,89.03,86.83,88.95,730214
DOX,2025-03-27,88.73,89.29,87.97,88.99,504135
DOX,2025-03-28,88.81,89.28,87.66,87.96,561422
DOX,2025-03-31,88.0,89.21,87.67,89.01,935800
DOX,2025-04-01,88.92,89.21,88.01,88.53,828745
DOX,2025-04-02,87.95,89.03,87.59,88.64,543410
DOX,2025-04-03,86.89,87.79,85.45,85.92,692900
DOX,2025-04-04,83.94,84.65,81.37,81.42,806000
DOX,2025-04-07,79.63,82.45,77.03,79.84,1373918
DOX,2025-04-08,81.52,81.52,77.41,78.27,951700
DOX,2025-04-09,77.41,83.33,76.47,83.0,1425609
DOX,2025-04-10,82.5,82.5,79.13,79.97,1090400
DOX,2025-04-11,80.13,81.37,78.71,80.91,739800
DOX,2025-04-14,82.02,82.35,80.75,81.81,488900
DOX,2025-04-15,81.95,83.39,81.95,82.25,573619
DOX,2025-04-16,82.01,82.94,80.46,81.01,610310
DOX,2025-04-17,81.04,82.29,80.43,80.91,808941
DOX,2025-04-21,80.45,80.81,79.27,79.87,626700
DOX,2025-04-22,80.54,81.71,80.3,81.62,980400
DOX,2025-04-23,82.74,84.63,82.25,82.64,474300
DOX,2025-04-24,82.78,83.57,82.27,83.48,602200
DOX,2025-04-25,83.56,84.08,83.2,83.67,478600
DOX,2025-04-28,84.08,85.11,83.73,84.42,658217
DOX,2025-04-29,84.24,86.17,84.24,85.71,523800
DOX,2025-04-30,85.23,86.31,84.24,86.17,691300
DOX,2025-05-01,86.77,87.02,86.1,86.21,459608
DOX,2025-05-02,87.07,87.72,86.29,86.95,404400
DOX,2025-05-05,86.69,87.89,86.27,87.23,345017
DOX,2025-05-06,86.52,88.06,86.52,88.0,725830
DOX,2025-05-07,88.11,88.42,86.37,86.91,1256713
DOX,2025-05-08,87.55,92.03,87.22,90.03,1249400
DOX,2025-05-09,90.03,90.18,88.75,88.99,599200
DOX,2025-05-12,90.36,90.84,89.18,89.78,371600
DOX,2025-05-13,89.84,90.96,88.52,88.64,471100
DOX,2025-05-14,88.13,88.83,87.22,87.23,470231
DOX,2025-05-15,87.54,88.3,87.43,88.21,406531
DOX,2025-05-16,87.74,88.95,87.29,88.89,437300
DOX,2025-05-19,88.61,89.44,88.57,88.73,331600
DOX,2025-05-20,88.31,88.93,88.03,88.51,339100
DOX,2025-05-21,88.47,90.01,87.88,89.22,837326
DOX,2025-05-22,89.19,90.03,88.64,89.12,624500
DOX,2025-05-23,88.73,89.15,87.94,88.87,690100
DOX,2025-05-27,88.79,90.3,88.79,89.83,534400
DOX,2025-05-28,89.66,90.21,88.78,88.82,754245
DOX,2025-05-29,89.05,89.4,88.64,89.16,528100
DOX,2025-05-30,89.06,89.43,88.33,89.26,628142
DOX,2025-06-02,89.28,89.46,88.28,89.21,556100
DOX,2025-06-03,88.68,89.58,88.49,89.49,426100
DOX,2025-06-04,89.49,90.17,89.06,89.23,474417
DOX,2025-06-05,89.55,89.72,88.33,88.5,340843
DOX,2025-06-06,88.48,89.86,88.48,89.77,658600
DOX,2025-06-09,89.78,90.59,89.66,89.87,764746
DOX,2025-06-10,90.3,91.18,90.12,90.79,659500
DOX,2025-06-11,90.6,91.48,90.3,90.95,770645
DOX,2025-06-12,90.63,91.75,90.41,91.52,598601
DOX,2025-06-13,91.0,91.12,89.26,89.44,732525
DOX,2025-06-16,89.83,90.94,89.58,90.87,810800
DOX,2025-06-17,90.69,91.23,90.16,90.27,613700
DOX,2025-06-18,90.28,90.66,89.66,89.84,663124
DOX,2025-06-20,90.2,90.2,88.19,88.74,787800
DOX,2025-06-23,88.52,89.46,88.21,89.42,579900
DOX,2025-06-24,89.55,92.81,89.23,90.1,752928
DOX,2025-06-25,90.1,90.1,88.13,88.19,1108400
DOX,2025-06-26,88.7,89.2,87.9,88.88,641500
DOX,2025-06-27,89.18,89.8,87.98,88.53,1723320
DOX,2025-06-30,89.51,89.51,88.59,89.27,619338
DOX,2025-07-01,89.13,91.11,88.67,90.2,654202
DOX,2025-07-02,89.81,90.18,89.0,89.75,544300
DOX,2025-07-03,89.88,90.67,89.83,90.6,359800
DOX,2025-07-07,90.43,91.01,89.64,89.84,605231
DOX,2025-07-08,90.74,91.42,90.19,90.62,740212
DOX,2025-07-09,90.62,90.74,89.17,89.59,792305
DOX,2025-07-10,89.32,89.41,87.2,87.31,767200
DOX,2025-07-11,87.13,87.21,86.31,86.35,965107
DOX,2025-07-14,86.21,87.06,86.21,86.81,876403
DOX,2025-07-15,86.77,87.51,86.12,86.15,971702
DOX,2025-07-16,86.69,87.49,85.97,87.24,630800
DOX,2025-07-17,87.38,87.81,86.87,87.38,453300
DOX,2025-07-18,87.86,88.05,87.39,87.49,520714
DOX,2025-07-21,87.36,87.62,86.09,86.13,798400
DOX,2025-07-22,86.48,87.91,86.22,87.55,718633
DOX,2025-07-23,87.55,88.3,87.42,87.77,802305
DOX,2025-07-24,87.55,87.93,86.5,86.5,681900
DOX,2025-07-25,86.62,86.63,85.61,85.95,357900
DOX,2025-07-28,85.95,86.18,84.73,84.94,539045
DOX,2025-07-29,85.13,85.32,84.56,84.87,701800
DOX,2025-07-30,84.93,85.2,83.98,84.26,695128
DOX,2025-07-31,84.23,84.96,83.44,83.52,676713
DOX,2025-08-01,83.44,83.8,82.26,82.66,1027433
DOX,2025-08-04,82.79,83.96,82.79,83.83,988921
DOX,2025-08-05,83.61,83.95,82.47,82.96,1023100
DOX,2025-08-06,82.98,83.04,82.02,82.74,916545
DOX,2025-08-07,84.59,87.71,83.28,86.95,1554718
DOX,2025-08-08,86.94,88.17,86.74,87.48,827006
DOX,2025-08-11,87.48,88.34,84.54,84.58,1154600
DOX,2025-08-12,84.54,85.54,84.04,84.59,811400
DOX,2025-08-13,84.58,86.7,84.45,86.69,1049043
DOX,2025-08-14,86.31,86.57,85.09,85.46,676000
DOX,2025-08-15,85.56,85.99,85.21,85.47,773500
DOX,2025-08-18,86.53,86.53,85.06,85.12,945500
DOX,2025-08-19,85.41,86.18,85.12,85.56,955802
DOX,2025-08-20,85.88,86.15,84.99,85.04,874318
DOX,2025-08-21,84.91,84.97,84.23,84.74,792300
DOX,2025-08-22,85.26,86.55,85.01,86.36,700100
DOX,2025-08-25,86.39,86.39,85.18,85.32,548016
DOX,2025-08-26,85.13,85.68,84.54,84.67,594600
DOX,2025-08-27,84.12,85.37,84.12,85.25,1088246
DOX,2025-08-28,85.22,85.22,82.63,82.76,1380300
DOX,2025-08-29,82.78,83.75,82.5,83.72,1357251
DOX,2025-09-02,83.12,83.8,82.33,82.6,1327208
DOX,2025-09-03,82.18,82.85,81.29,82.79,1107315
DOX,2025-09-04,83.01,83.01,82.05,82.77,701345
DOX,2025-09-05,82.67,84.15,82.59,84.14,558600
DOX,2025-09-08,84.1,84.28,82.94,83.95,728445
DOX,2025-09-09,84.02,84.25,83.46,83.9,695028
DOX,2025-09-10,83.75,83.88,81.8,82.08,594500
DOX,2025-09-11,82.31,83.75,81.76,83.49,483200
DOX,2025-09-12,83.17,83.81,82.87,83.16,555419
DOX,2025-09-15,83.65,83.81,82.15,82.36,999127
DOX,2025-09-16,82.43,82.79,81.89,82.17,609100
DOX,2025-09-17,82.49,83.3,81.96,82.26,615200
DOX,2025-09-18,82.05,82.92,82.05,82.66,680500
DOX,2025-09-19,83.11,83.11,81.63,81.98,1066800
DOX,2025-09-22,81.95,82.92,81.63,82.79,865600
DOX,2025-09-23,82.79,82.92,81.34,81.41,639800
DOX,2025-09-24,81.5,81.89,81.12,81.21,1037612
DOX,2025-09-25,81.12,81.49,79.22,79.45,1070500
DOX,2025-09-26,79.61,80.39,79.27,79.87,1029200
DOX,2025-09-29,80.07,80.58,79.16,79.7,993429
DOX,2025-09-30,79.7,80.85,79.6,80.8,1054548
DOX,2025-10-01,80.65,81.28,79.51,80.03,1313600
DOX,2025-10-02,80.1,80.98,80.04,80.86,725505
DOX,2025-10-03,80.99,81.64,80.74,81.06,866100
DOX,2025-10-06,81.06,81.36,80.5,81.17,1253100
DOX,2025-10-07,81.47,81.85,80.98,81.16,735700
DOX,2025-10-08,81.17,82.5,80.12,81.1,992650
DOX,2025-10-09,81.74,81.74,80.07,80.55,735918
DOX,2025-10-10,80.81,81.11,79.13,79.54,1111069
DOX,2025-10-13,79.85,80.24,79.21,80.2,976801
DOX,2025-10-14,79.76,82.67,79.41,82.38,969900
DOX,2025-10-15,82.38,82.72,80.99,81.17,1029602
DOX,2025-10-16,81.32,81.8,80.77,81.23,967600
DOX,2025-10-17,81.28,81.93,81.04,81.67,540617
DOX,2025-10-20,82.25,82.58,81.3,81.38,589519
DOX,2025-10-21,81.44,82.89,81.09,82.43,661500
DOX,2025-10-22,82.28,83.1,81.97,82.55,703300
DOX,2025-10-23,82.43,82.47,81.51,82.25,453518
DOX,2025-10-24,82.67,83.2,82.0,82.15,600912
DOX,2025-10-27,82.22,83.13,81.37,82.98,938000
DOX,2025-10-28,82.98,83.61,82.57,83.11,542700
DOX,2025-10-29,83.32,84.12,82.49,82.88,1285700
DOX,2025-10-30,82.5,83.62,82.29,82.57,989000
DOX,2025-10-31,82.38,83.27,82.06,82.97,787200
DOX,2025-11-03,82.71,83.62,82.09,82.85,840900
DOX,2025-11-04,82.77,83.47,81.98,82.22,897800
DOX,2025-11-05,82.22,82.93,82.14,82.69,827000
DOX,2025-11-06,82.39,82.94,82.0,82.38,627700
DOX,2025-11-07,82.39,83.35,82.17,83.28,622000
DOX,2025-11-10,83.52,84.26,82.86,84.19,925172
DOX,2025-11-11,83.88,84.32,82.37,82.68,1706633
DOX,2025-11-12,81.06,83.21,75.33,76.18,4157360
DOX,2025-11-13,75.34,76.1,74.2,75.74,1999049
DOX,2025-11-14,75.49,77.19,75.39,76.55,1773517
DOX,2025-11-17,76.43,76.57,73.42,73.9,1735359
DOX,2025-11-18,73.97,75.22,73.19,74.86,1549448
DOX,2025-11-19,74.57,75.39,73.65,74.24,878546
DOX,2025-11-20,74.65,75.16,73.32,73.84,844035
DOX,2025-11-21,74.14,75.25,73.41,75.01,1374830
DOX,2025-11-24,74.68,75.17,73.86,74.22,1484800
DOX,2025-11-25,74.63,75.47,74.31,75.24,775300
DOX,2025-11-26,75.28,75.52,74.77,74.89,730100
DOX,2025-11-28,74.98,75.7,74.54,75.31,411300
DOX,2025-12-01,74.52,75.63,74.29,74.4,1078700
DOX,2025-12-02,74.74,74.74,73.32,73.81,3859107
DOX,2025-12-03,74.37,74.93,73.69,74.82,1839000
DOX,2025-12-04,74.82,75.65,74.5,75.28,850914
DOX,2025-12-05,75.22,76.15,75.14,75.89,818300
DOX,2025-12-08,75.89,75.89,75.0,75.82,1567600
DOX,2025-12-09,75.76,76.77,75.75,75.97,789700
DOX,2025-12-10,76.01,77.39,75.83,77.15,841827
DOX,2025-12-11,77.23,78.3,77.23,77.62,894704
DOX,2025-12-12,77.62,78.45,77.62,78.14,1037433
DOX,2025-12-15,78.2,78.53,77.43,77.57,1161306
DOX,2025-12-16,77.56,78.55,77.11,78.41,930200
DOX,2025-12-17,78.28,79.8,78.02,78.49,1039322
