symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DRH,2024-08-27,7.93,7.97,7.9,7.92,1545217
DRH,2024-08-28,7.92,7.94,7.86,7.92,1446000
DRH,2024-08-29,7.98,8.06,7.92,7.97,1572803
DRH,2024-08-30,8.01,8.09,7.94,8.09,1959507
DRH,2024-09-03,8.05,8.06,7.86,7.96,1766300
DRH,2024-09-04,7.92,8.01,7.73,7.73,2190007
DRH,2024-09-05,7.77,7.83,7.62,7.65,2076500
DRH,2024-09-06,7.66,7.75,7.58,7.64,2476100
DRH,2024-09-09,7.61,7.73,7.58,7.65,1854407
DRH,2024-09-10,7.68,7.69,7.55,7.65,1414039
DRH,2024-09-11,7.58,7.7,7.53,7.65,1949300
DRH,2024-09-12,7.7,7.8,7.62,7.78,1710400
DRH,2024-09-13,7.85,7.88,7.78,7.84,1476219
DRH,2024-09-16,7.85,7.87,7.77,7.77,1618546
DRH,2024-09-17,7.85,7.95,7.79,7.93,2599116
DRH,2024-09-18,7.9,8.1,7.86,7.94,2306908
DRH,2024-09-19,8.13,8.39,8.09,8.38,3074700
DRH,2024-09-20,8.21,8.44,8.2,8.33,7647600
DRH,2024-09-23,8.36,8.4,8.27,8.32,1673900
DRH,2024-09-24,8.38,8.45,8.32,8.33,2080005
DRH,2024-09-25,8.3,8.3,8.18,8.18,2217736
DRH,2024-09-26,8.26,8.29,8.16,8.23,1556200
DRH,2024-09-27,8.32,8.38,8.21,8.24,1525545
DRH,2024-09-30,8.18,8.2,7.96,8.06,2328804
DRH,2024-10-01,8.06,8.12,7.89,8.08,1895300
DRH,2024-10-02,8.02,8.19,8.0,8.16,1135600
DRH,2024-10-03,8.09,8.13,7.98,8.11,1426100
DRH,2024-10-04,8.21,8.44,8.15,8.41,1996600
DRH,2024-10-07,8.32,8.36,8.12,8.17,2546300
DRH,2024-10-08,8.21,8.21,7.93,8.12,2933918
DRH,2024-10-09,8.11,8.17,8.05,8.05,1341800
DRH,2024-10-10,7.96,8.14,7.96,8.14,1568100
DRH,2024-10-11,8.15,8.26,8.09,8.22,1426300
DRH,2024-10-14,8.21,8.21,8.11,8.17,811800
DRH,2024-10-15,8.24,8.34,8.2,8.22,1567700
