symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DVN,2024-12-06,34.52,34.53,33.43,33.65,13002512
DVN,2024-12-09,34.04,34.53,33.52,34.15,11704118
DVN,2024-12-10,34.32,34.39,33.36,33.4,8887400
DVN,2024-12-11,33.58,33.59,33.21,33.43,10382723
DVN,2024-12-12,33.37,33.42,32.58,32.82,11943730
DVN,2024-12-13,32.91,33.15,32.32,32.79,10477200
DVN,2024-12-16,32.66,32.66,31.51,31.54,15130700
DVN,2024-12-17,31.14,31.32,30.82,31.13,14450817
DVN,2024-12-18,31.07,31.32,30.07,30.1,13828400
DVN,2024-12-19,30.44,30.64,29.51,29.54,15241500
DVN,2024-12-20,29.47,30.13,29.41,29.78,34647849
DVN,2024-12-23,29.72,30.09,29.53,29.98,11098900
DVN,2024-12-24,29.99,30.27,29.57,30.23,5806600
DVN,2024-12-26,30.24,30.29,29.91,30.11,9003279
DVN,2024-12-27,30.08,30.57,29.99,30.19,9097644
DVN,2024-12-30,30.25,31.19,30.11,30.94,12334300
DVN,2024-12-31,30.92,31.72,30.86,31.67,10409844
DVN,2025-01-02,32.29,32.83,32.08,32.32,10072200
DVN,2025-01-03,32.61,32.94,32.28,32.84,8817900
DVN,2025-01-06,33.07,33.74,32.59,32.66,12626900
DVN,2025-01-07,32.94,33.97,32.9,33.57,11021727
DVN,2025-01-08,33.35,34.07,33.26,34.02,10936925
DVN,2025-01-10,35.08,35.69,34.5,34.83,14356715
DVN,2025-01-13,35.21,36.31,35.17,35.58,12201125
DVN,2025-01-14,35.44,36.18,35.35,35.98,9395647
DVN,2025-01-15,36.47,37.48,36.16,37.19,15331700
DVN,2025-01-16,36.8,37.39,36.7,37.18,8471239
DVN,2025-01-17,36.96,37.39,36.51,36.73,9359835
DVN,2025-01-21,36.3,36.44,35.25,35.55,13092100
DVN,2025-01-22,35.52,36.0,35.25,35.28,7971638
DVN,2025-01-23,35.51,36.02,35.13,35.27,6550341
DVN,2025-01-24,35.55,35.56,34.61,34.8,7202300
DVN,2025-01-27,34.84,35.29,34.0,34.19,9972027
DVN,2025-01-28,34.52,34.52,33.43,33.75,6961200
DVN,2025-01-29,33.73,34.09,33.36,33.94,7126622
DVN,2025-01-30,34.22,34.26,33.64,33.92,6101941
DVN,2025-01-31,33.87,33.9,32.7,33.0,8392628
DVN,2025-02-03,33.08,33.09,32.31,32.66,9706600
DVN,2025-02-04,32.26,33.48,32.14,33.31,7057200
DVN,2025-02-05,33.15,33.26,32.68,33.04,7592821
DVN,2025-02-06,33.38,33.49,31.95,32.34,8907100
DVN,2025-02-07,32.46,32.64,32.05,32.08,5509819
