symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DX,2024-08-27,9.73,9.8,9.72,9.78,918808
DX,2024-08-28,9.8,9.87,9.75,9.8,1296900
DX,2024-08-29,9.88,9.89,9.8,9.82,1393809
DX,2024-08-30,9.87,9.87,9.75,9.81,1291881
DX,2024-09-03,9.78,9.8,9.65,9.71,1320827
DX,2024-09-04,9.69,9.77,9.62,9.67,1044102
DX,2024-09-05,9.72,9.78,9.65,9.7,1352700
DX,2024-09-06,9.67,9.73,9.62,9.71,1247456
DX,2024-09-09,9.73,9.75,9.69,9.71,1204488
DX,2024-09-10,9.75,9.81,9.73,9.8,2019943
DX,2024-09-11,9.78,9.8,9.67,9.73,1887141
DX,2024-09-12,9.75,9.84,9.71,9.77,1230800
DX,2024-09-13,9.81,9.93,9.79,9.93,1807789
DX,2024-09-16,9.98,10.05,9.85,10.03,2022807
DX,2024-09-17,10.07,10.09,9.93,9.95,1947300
DX,2024-09-18,9.99,10.07,9.93,9.98,1763200
DX,2024-09-19,10.11,10.17,10.0,10.09,2534100
DX,2024-09-20,10.09,10.19,10.03,10.03,5500013
DX,2024-09-23,10.12,10.12,9.75,9.75,2708400
DX,2024-09-24,9.75,9.93,9.74,9.91,1719400
DX,2024-09-25,9.92,9.94,9.75,9.76,1816521
DX,2024-09-26,9.83,9.88,9.73,9.86,1864000
DX,2024-09-27,9.91,9.98,9.87,9.95,1199680
DX,2024-09-30,9.95,10.07,9.95,10.04,1349326
DX,2024-10-01,10.05,10.06,9.78,9.85,1683920
DX,2024-10-02,9.83,9.9,9.7,9.71,1511072
DX,2024-10-03,9.77,9.78,9.67,9.68,1916037
DX,2024-10-04,9.69,9.74,9.55,9.6,2328643
DX,2024-10-07,9.58,9.59,9.44,9.49,2331035
DX,2024-10-08,9.5,9.62,9.48,9.6,1477146
DX,2024-10-09,9.62,9.71,9.58,9.62,1427600
DX,2024-10-10,9.59,9.69,9.54,9.68,1087700
DX,2024-10-11,9.72,9.72,9.6,9.64,1083337
DX,2024-10-14,9.65,9.7,9.62,9.68,1230700
DX,2024-10-15,9.73,9.83,9.7,9.75,1380100
DX,2024-10-16,9.8,9.92,9.78,9.91,1503703
DX,2024-10-17,9.91,9.96,9.87,9.96,1766023
DX,2024-10-18,9.97,10.02,9.92,9.93,3786400
DX,2024-10-21,10.15,10.16,9.85,9.87,6356800
DX,2024-10-22,9.87,9.93,9.75,9.81,2340300
DX,2024-10-23,9.79,9.9,9.7,9.9,2065037
DX,2024-10-24,9.93,9.96,9.81,9.95,2973300
