symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
DY,2025-02-12,190.97,192.52,186.58,188.91,286300
DY,2025-02-13,189.85,190.42,181.83,185.42,262947
DY,2025-02-14,186.54,186.54,177.43,178.2,391634
DY,2025-02-18,179.13,179.96,173.19,174.67,596600
DY,2025-02-19,170.99,180.82,169.74,179.75,916738
DY,2025-02-20,182.25,182.45,171.0,171.54,658064
DY,2025-02-21,176.0,177.58,166.94,171.49,554711
DY,2025-02-24,172.22,174.97,164.61,168.6,704510
DY,2025-02-25,168.93,173.16,165.81,171.94,1073700
DY,2025-02-26,176.3,181.77,154.22,161.96,1295127
DY,2025-02-27,161.05,167.52,159.54,162.13,931800
DY,2025-02-28,162.35,166.37,159.1,163.86,821355
DY,2025-03-03,165.6,167.07,159.83,161.02,543700
DY,2025-03-04,157.49,159.75,152.35,153.05,975308
DY,2025-03-05,153.47,155.35,147.21,153.89,1322900
DY,2025-03-06,149.59,151.72,140.62,143.52,907747
DY,2025-03-07,144.69,146.39,136.12,140.96,870000
DY,2025-03-10,138.0,139.3,133.45,136.75,758600
DY,2025-03-11,137.5,145.57,135.5,144.12,944700
DY,2025-03-12,148.13,150.3,144.73,148.81,978126
DY,2025-03-13,148.66,150.06,143.43,147.47,753700
DY,2025-03-14,151.0,156.02,149.92,155.57,642821
DY,2025-03-17,153.84,158.18,153.84,157.46,499646
DY,2025-03-18,155.2,157.55,152.93,155.93,451445
DY,2025-03-19,155.69,160.08,154.6,158.12,340200
DY,2025-03-20,156.86,161.43,156.21,159.15,386000
DY,2025-03-21,157.21,159.24,155.69,156.24,573500
DY,2025-03-24,159.37,162.96,159.37,161.57,234100
DY,2025-03-25,160.88,162.66,158.68,161.23,372606
DY,2025-03-26,160.35,162.31,155.99,157.77,337402
DY,2025-03-27,156.73,157.48,151.87,154.14,498143
DY,2025-03-28,154.44,157.24,151.28,153.89,214468
DY,2025-03-31,150.18,153.31,147.11,152.34,400100
DY,2025-04-01,151.63,155.15,150.72,155.06,332500
DY,2025-04-02,152.18,159.25,150.27,157.95,291322
DY,2025-04-03,149.16,151.84,147.73,147.94,460800
DY,2025-04-04,142.35,143.35,135.0,138.96,646011
DY,2025-04-07,133.29,148.43,131.37,141.29,606639
DY,2025-04-08,147.13,149.45,138.75,140.69,528333
DY,2025-04-09,140.0,160.1,139.79,155.96,851400
DY,2025-04-10,151.04,153.75,148.0,151.07,565010
DY,2025-04-11,149.82,154.76,148.24,153.27,289573
DY,2025-04-14,155.78,155.95,150.97,152.16,418700
DY,2025-04-15,152.78,155.0,152.07,152.08,378203
DY,2025-04-16,149.39,152.97,149.09,152.32,491068
DY,2025-04-17,152.54,156.58,150.47,154.51,440434
DY,2025-04-21,155.1,155.1,149.38,151.59,515245
DY,2025-04-22,152.0,156.36,150.29,154.6,395315
DY,2025-04-23,162.86,166.98,159.68,160.74,550628
DY,2025-04-24,160.34,164.9,157.98,164.47,204233
DY,2025-04-25,164.34,166.48,163.14,165.2,358000
DY,2025-04-28,165.17,167.61,164.2,166.96,408858
DY,2025-04-29,168.0,168.72,165.38,167.74,342021
DY,2025-04-30,164.59,168.31,162.3,167.55,300898
DY,2025-05-01,172.01,176.91,169.18,173.06,309735
DY,2025-05-02,178.19,184.13,177.28,180.53,488319
DY,2025-05-05,179.7,184.53,179.7,182.96,279855
DY,2025-05-06,181.17,185.21,181.17,183.91,206349
DY,2025-05-07,184.3,186.4,182.67,183.33,343140
DY,2025-05-08,186.21,188.0,183.93,186.41,393800
DY,2025-05-09,187.23,189.78,185.9,188.43,246449
DY,2025-05-12,194.1,196.66,187.96,192.56,435700
DY,2025-05-13,196.15,196.15,192.67,193.99,351000
DY,2025-05-14,195.78,196.7,192.61,193.37,270846
DY,2025-05-15,191.75,193.76,186.42,192.1,220800
DY,2025-05-16,192.86,194.84,190.0,194.83,326100
DY,2025-05-19,191.73,194.93,190.71,192.12,568940
DY,2025-05-20,198.99,198.99,190.89,193.62,840732
DY,2025-05-21,215.0,228.66,212.26,224.13,1282440
DY,2025-05-22,226.08,226.37,217.58,224.21,690748
DY,2025-05-23,223.16,228.03,220.6,225.2,793241
DY,2025-05-27,226.26,228.45,223.19,227.76,505837
DY,2025-05-28,227.32,228.02,225.3,227.24,328400
DY,2025-05-29,228.0,228.89,225.34,228.34,293724
DY,2025-05-30,228.01,230.57,226.21,229.92,403500
DY,2025-06-02,228.83,229.15,225.79,228.62,313012
DY,2025-06-03,230.15,235.64,229.41,235.29,419200
DY,2025-06-04,234.06,237.9,234.06,236.43,331400
DY,2025-06-05,237.89,238.73,234.82,237.79,355524
DY,2025-06-06,240.36,243.06,235.11,243.02,350241
DY,2025-06-09,243.25,243.38,237.05,238.24,414367
DY,2025-06-10,237.84,238.08,230.32,233.33,433200
DY,2025-06-11,233.33,237.77,232.41,236.46,336049
DY,2025-06-12,236.29,236.56,234.33,235.54,294541
DY,2025-06-13,234.16,234.9,231.73,233.15,299700
DY,2025-06-16,235.61,236.64,232.23,233.11,334800
DY,2025-06-17,230.88,233.53,230.82,231.83,260649
DY,2025-06-18,231.5,235.13,229.97,232.83,303022
DY,2025-06-20,234.14,235.5,230.0,234.0,844200
DY,2025-06-23,232.68,237.74,232.09,235.62,326800
DY,2025-06-24,237.34,239.17,234.86,238.81,263317
DY,2025-06-25,236.29,239.93,236.29,237.56,258300
DY,2025-06-26,240.0,240.68,238.23,239.37,165233
DY,2025-06-27,240.85,245.82,238.9,245.71,518900
DY,2025-06-30,245.02,246.94,240.61,244.39,307200
DY,2025-07-01,242.5,248.74,239.84,244.32,498614
DY,2025-07-02,244.0,248.63,243.13,247.19,340700
DY,2025-07-03,248.15,251.73,246.85,250.27,209400
DY,2025-07-07,250.27,255.42,249.19,252.13,306451
DY,2025-07-08,251.55,251.55,244.56,248.96,341000
DY,2025-07-09,251.35,252.78,248.62,252.28,156702
DY,2025-07-10,250.84,252.81,246.82,250.27,225011
DY,2025-07-11,250.93,253.91,250.34,252.4,184027
DY,2025-07-14,252.89,255.65,252.57,253.63,122732
DY,2025-07-15,254.81,254.81,250.61,250.63,199025
DY,2025-07-16,251.76,252.82,248.5,252.82,283433
DY,2025-07-17,254.12,257.36,252.83,256.35,234900
DY,2025-07-18,256.94,258.02,255.66,256.58,287024
DY,2025-07-21,256.57,260.83,254.96,256.73,190900
DY,2025-07-22,256.71,257.4,248.26,252.68,303300
DY,2025-07-23,255.73,262.21,254.93,261.0,324100
DY,2025-07-24,261.01,264.11,259.72,262.41,313630
DY,2025-07-25,264.44,267.33,261.86,264.69,228900
DY,2025-07-28,263.01,264.65,259.45,264.27,303900
DY,2025-07-29,268.18,268.82,264.76,268.69,156800
DY,2025-07-30,269.43,271.41,268.28,268.49,327511
DY,2025-07-31,267.85,271.8,265.56,268.81,254300
DY,2025-08-01,263.55,265.15,252.03,263.29,298742
DY,2025-08-04,264.3,266.97,262.33,264.98,181223
DY,2025-08-05,266.1,268.57,263.27,267.76,185000
