symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EBC,2024-08-27,15.81,15.89,15.63,15.78,928600
EBC,2024-08-28,15.76,16.02,15.63,15.93,634400
EBC,2024-08-29,16.01,16.14,15.83,15.97,1021700
EBC,2024-08-30,15.98,16.17,15.91,16.14,885400
EBC,2024-09-03,15.97,16.25,15.91,16.02,1291000
EBC,2024-09-04,15.97,16.2,15.78,15.94,1042734
EBC,2024-09-05,16.12,16.14,15.65,15.83,950300
EBC,2024-09-06,15.83,15.87,15.43,15.46,909717
EBC,2024-09-09,15.49,15.62,15.32,15.43,1047700
EBC,2024-09-10,15.46,15.49,15.07,15.38,743800
EBC,2024-09-11,15.24,15.24,14.81,15.15,679128
EBC,2024-09-12,15.26,15.34,15.11,15.21,879306
EBC,2024-09-13,15.46,15.68,15.34,15.58,725007
EBC,2024-09-16,15.58,15.96,15.22,15.93,904800
EBC,2024-09-17,16.0,16.27,15.92,15.93,987300
EBC,2024-09-18,15.92,16.44,15.83,16.03,1302700
EBC,2024-09-19,16.29,16.45,16.12,16.36,1609600
EBC,2024-09-20,16.36,16.36,16.16,16.18,3559118
EBC,2024-09-23,16.21,16.27,15.86,15.9,654300
EBC,2024-09-24,15.87,15.94,15.55,15.55,724738
EBC,2024-09-25,15.58,15.58,15.27,15.27,761900
EBC,2024-09-26,15.51,15.62,15.37,15.42,817900
EBC,2024-09-27,15.58,15.66,15.36,15.42,551840
EBC,2024-09-30,15.34,15.8,15.28,15.69,669317
EBC,2024-10-01,15.61,15.61,15.1,15.16,1050821
EBC,2024-10-02,15.12,15.37,14.94,15.21,712539
EBC,2024-10-03,15.1,15.39,15.03,15.32,725435
EBC,2024-10-04,15.65,15.67,15.47,15.5,772200
EBC,2024-10-07,15.39,15.5,15.3,15.45,554923
EBC,2024-10-08,15.5,15.6,15.41,15.42,642123
EBC,2024-10-09,15.39,15.66,15.39,15.53,618619
EBC,2024-10-10,15.37,15.7,15.28,15.66,1002619
EBC,2024-10-11,15.75,16.17,15.71,16.04,644403
EBC,2024-10-14,16.04,16.22,15.92,16.15,1482234
EBC,2024-10-15,16.28,16.47,16.01,16.18,1238700
EBC,2024-10-16,16.36,16.58,16.1,16.51,1270833
EBC,2024-10-17,16.5,16.75,16.45,16.74,1072425
EBC,2024-10-18,16.68,16.73,16.47,16.54,1022624
EBC,2024-10-21,16.54,16.54,15.76,15.78,773006
EBC,2024-10-22,15.76,15.91,15.73,15.89,570500
EBC,2024-10-23,15.78,15.99,15.75,15.97,529741
EBC,2024-10-24,16.03,16.08,15.71,16.01,829547
EBC,2024-10-25,15.37,15.87,15.13,15.24,1549827
EBC,2024-10-28,15.34,16.06,15.24,15.99,1309800
EBC,2024-10-29,15.98,16.2,15.94,16.09,1362834
EBC,2024-10-30,16.07,16.53,15.9,15.92,796200
EBC,2024-10-31,15.93,16.01,15.63,15.64,710800
EBC,2024-11-01,15.72,15.87,15.55,15.63,666500
EBC,2024-11-04,15.59,15.86,15.27,15.64,727800
EBC,2024-11-05,15.72,15.89,15.6,15.87,804200
EBC,2024-11-06,16.87,18.0,16.65,17.99,3585100
EBC,2024-11-07,17.76,17.77,17.22,17.42,1447800
EBC,2024-11-08,17.43,17.62,17.34,17.5,975500
EBC,2024-11-11,17.84,18.26,17.74,18.06,1076100
EBC,2024-11-12,17.94,18.34,17.88,18.02,1254502
EBC,2024-11-13,18.16,18.28,17.78,17.8,670358
EBC,2024-11-14,17.83,17.93,17.61,17.77,653700
EBC,2024-11-15,17.02,17.94,17.02,17.67,608200
EBC,2024-11-18,17.67,17.89,17.65,17.73,914942
EBC,2024-11-19,17.42,17.71,17.41,17.6,559700
EBC,2024-11-20,17.56,17.62,17.28,17.59,716100
EBC,2024-11-21,17.66,18.02,17.6,17.74,531746
EBC,2024-11-22,17.75,18.05,17.73,18.03,1113000
EBC,2024-11-25,18.26,18.57,18.2,18.22,1233400
EBC,2024-11-26,18.11,18.23,17.87,17.96,699333
EBC,2024-11-27,18.19,18.21,17.87,17.89,671815
EBC,2024-11-29,18.08,18.08,17.67,17.85,422100
EBC,2024-12-02,17.71,17.89,16.98,17.78,771700
EBC,2024-12-03,17.75,17.84,17.41,17.41,570800
EBC,2024-12-04,17.4,17.61,17.24,17.53,747600
EBC,2024-12-05,17.61,17.81,17.41,17.42,853100
EBC,2024-12-06,17.59,17.61,17.29,17.51,537109
EBC,2024-12-09,17.53,17.65,17.22,17.25,687531
EBC,2024-12-10,17.3,17.48,17.06,17.26,588408
EBC,2024-12-11,17.46,17.62,17.26,17.49,919600
EBC,2024-12-12,17.47,17.56,17.24,17.34,857500
EBC,2024-12-13,17.26,17.41,17.15,17.3,909744
EBC,2024-12-16,17.31,17.87,17.21,17.82,1454600
EBC,2024-12-17,17.75,17.99,17.08,17.14,1258500
EBC,2024-12-18,17.31,17.42,16.15,16.3,1679200
EBC,2024-12-19,16.6,16.71,16.12,16.18,1084600
EBC,2024-12-20,16.06,16.81,15.93,16.63,2979300
EBC,2024-12-23,16.49,16.74,16.35,16.59,890441
EBC,2024-12-24,16.65,16.72,16.52,16.7,239607
EBC,2024-12-26,16.58,16.87,16.5,16.84,526008
EBC,2024-12-27,16.59,16.95,16.49,16.61,823100
EBC,2024-12-30,16.56,16.73,16.38,16.62,611900
EBC,2024-12-31,16.75,16.84,16.53,16.62,752700
EBC,2025-01-02,16.73,16.84,16.26,16.33,778722
EBC,2025-01-03,16.43,16.61,16.15,16.58,686947
EBC,2025-01-06,16.61,17.04,16.53,16.66,715231
EBC,2025-01-07,16.72,16.82,16.34,16.48,867500
EBC,2025-01-08,16.38,16.6,16.25,16.53,600534
EBC,2025-01-10,16.15,16.23,15.73,16.0,983500
EBC,2025-01-13,15.81,16.18,15.81,16.08,972100
EBC,2025-01-14,16.26,16.73,16.23,16.71,766200
EBC,2025-01-15,17.16,17.34,16.89,17.05,828100
EBC,2025-01-16,16.86,17.07,16.26,16.85,990840
EBC,2025-01-17,16.97,17.07,16.73,16.86,944645
EBC,2025-01-21,16.99,17.25,16.93,17.06,912707
EBC,2025-01-22,16.88,17.05,16.8,16.9,966733
EBC,2025-01-23,16.84,17.24,16.73,16.96,2094600
EBC,2025-01-24,17.26,17.59,16.85,17.2,1378238
EBC,2025-01-27,17.34,17.94,17.3,17.66,1583511
EBC,2025-01-28,17.62,17.74,17.3,17.47,815239
EBC,2025-01-29,17.44,17.7,17.27,17.49,965803
EBC,2025-01-30,17.58,17.97,17.58,17.78,1475800
EBC,2025-01-31,17.77,17.91,17.59,17.69,1062522
EBC,2025-02-03,17.26,17.64,17.03,17.41,871727
EBC,2025-02-04,17.34,17.99,17.34,17.94,884500
EBC,2025-02-05,18.06,18.29,17.86,18.28,891017
EBC,2025-02-06,18.31,18.47,18.23,18.45,597923
EBC,2025-02-07,18.41,18.41,17.82,18.16,720800
EBC,2025-02-10,18.2,18.2,17.93,18.06,774019
EBC,2025-02-11,17.93,18.23,17.91,18.2,774000
EBC,2025-02-12,17.95,18.01,17.67,17.72,836500
EBC,2025-02-13,17.8,17.85,17.64,17.8,914138
EBC,2025-02-14,17.89,18.09,17.84,17.96,914800
EBC,2025-02-18,17.93,18.2,17.82,18.11,1101537
EBC,2025-02-19,17.85,18.02,17.79,17.94,1108400
EBC,2025-02-20,17.85,18.01,17.46,17.63,804848
EBC,2025-02-21,17.7,17.81,17.0,17.1,1301841
EBC,2025-02-24,17.23,17.33,16.86,16.87,880315
EBC,2025-02-25,16.92,17.13,16.85,17.03,981825
EBC,2025-02-26,16.98,17.16,16.75,16.97,1056839
EBC,2025-02-27,16.93,17.14,16.63,17.03,772116
EBC,2025-02-28,17.06,17.35,17.02,17.24,1086325
EBC,2025-03-03,17.26,17.51,17.02,17.2,979500
EBC,2025-03-04,16.94,17.05,16.3,16.54,1052800
EBC,2025-03-05,16.61,16.75,16.24,16.41,1111514
EBC,2025-03-06,16.32,16.33,15.98,16.09,1230200
EBC,2025-03-07,16.08,16.08,15.56,15.74,1333027
EBC,2025-03-10,15.48,15.55,14.81,14.83,1497741
EBC,2025-03-11,14.9,15.33,14.87,14.98,1851982
EBC,2025-03-12,15.18,15.47,15.11,15.21,1545000
EBC,2025-03-13,15.31,15.48,15.18,15.32,1492100
EBC,2025-03-14,15.47,15.84,15.45,15.78,1330548
EBC,2025-03-17,15.76,16.0,15.73,15.92,1748400
EBC,2025-03-18,15.78,15.89,15.73,15.89,1064700
EBC,2025-03-19,15.92,16.18,15.88,16.09,1189028
EBC,2025-03-20,15.92,16.22,15.59,15.96,978200
EBC,2025-03-21,15.78,16.12,15.75,16.1,6650532
EBC,2025-03-24,16.3,16.48,16.21,16.43,1081300
EBC,2025-03-25,16.42,16.53,16.26,16.26,827306
