symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EHC,2024-08-27,89.71,90.76,89.44,90.2,310209
EHC,2024-08-28,90.33,90.75,89.69,90.46,415400
EHC,2024-08-29,90.91,91.07,90.04,90.53,366200
EHC,2024-08-30,90.49,92.1,89.86,91.94,601343
EHC,2024-09-03,91.89,92.15,91.11,92.15,481300
EHC,2024-09-04,91.84,92.59,91.64,92.5,498500
EHC,2024-09-05,92.49,92.78,91.97,92.28,373448
EHC,2024-09-06,92.53,93.1,90.39,90.57,382700
EHC,2024-09-09,90.8,91.12,89.78,90.28,516600
EHC,2024-09-10,90.38,91.8,89.46,90.58,530641
EHC,2024-09-11,90.02,90.79,89.36,90.62,304800
EHC,2024-09-12,90.52,91.52,89.97,91.5,304800
EHC,2024-09-13,91.89,92.56,91.76,92.14,332200
EHC,2024-09-16,92.64,93.47,92.41,92.52,341439
EHC,2024-09-17,92.91,93.28,90.13,90.23,701900
EHC,2024-09-18,90.48,92.43,89.64,91.35,464338
EHC,2024-09-19,92.08,92.49,90.84,90.96,582536
EHC,2024-09-20,90.82,91.61,89.79,91.55,1467800
EHC,2024-09-23,91.96,92.48,90.75,91.72,545434
EHC,2024-09-24,91.41,94.82,91.18,94.13,1257921
EHC,2024-09-25,94.66,95.78,94.41,95.6,958309
EHC,2024-09-26,95.68,96.4,95.34,96.01,834843
EHC,2024-09-27,95.85,95.93,93.74,94.87,793500
EHC,2024-09-30,94.99,95.68,93.94,95.49,611144
EHC,2024-10-01,95.21,95.21,94.35,94.77,350900
EHC,2024-10-02,94.24,95.06,93.96,94.12,282231
EHC,2024-10-03,94.18,94.3,93.33,93.77,419600
EHC,2024-10-04,94.31,94.33,93.18,93.54,427000
EHC,2024-10-07,93.25,93.96,92.9,93.15,480400
EHC,2024-10-08,93.55,93.55,92.3,92.47,434016
EHC,2024-10-09,92.23,93.59,92.2,93.23,528900
EHC,2024-10-10,92.93,93.8,91.99,92.62,405100
EHC,2024-10-11,93.5,95.22,93.2,94.99,566041
EHC,2024-10-14,95.07,95.73,94.66,95.32,266926
EHC,2024-10-15,94.77,96.47,94.77,95.35,310113
EHC,2024-10-16,95.7,97.74,95.59,96.38,489845
EHC,2024-10-17,95.85,96.62,95.85,95.9,343936
EHC,2024-10-18,95.64,96.75,95.46,96.2,770100
EHC,2024-10-21,96.18,96.92,94.67,94.78,538801
EHC,2024-10-22,94.67,94.94,94.16,94.52,439600
EHC,2024-10-23,94.42,95.18,94.2,94.69,355900
EHC,2024-10-24,94.74,95.11,93.69,93.7,414100
EHC,2024-10-25,92.04,92.8,91.0,92.51,893533
EHC,2024-10-28,92.76,94.02,91.82,92.14,1279460
EHC,2024-10-29,99.47,101.32,97.04,98.98,2378606
EHC,2024-10-30,98.77,100.53,98.07,100.31,1205650
EHC,2024-10-31,99.62,101.16,98.41,98.45,863300
EHC,2024-11-01,99.2,99.8,97.64,97.9,771700
EHC,2024-11-04,97.9,99.81,97.9,99.21,867800
EHC,2024-11-05,99.06,101.0,98.57,100.31,631627
EHC,2024-11-06,100.96,102.58,98.4,100.87,859959
EHC,2024-11-07,101.26,102.84,101.02,102.48,693737
EHC,2024-11-08,103.06,103.47,101.85,102.15,620628
EHC,2024-11-11,102.54,103.49,102.19,102.23,376324
EHC,2024-11-12,102.45,102.64,100.68,101.57,665318
EHC,2024-11-13,102.01,102.69,101.57,101.64,477324
EHC,2024-11-14,101.5,102.1,99.99,100.18,540600
EHC,2024-11-15,100.11,100.51,97.62,97.84,867700
EHC,2024-11-18,98.12,98.97,97.88,98.22,679535
EHC,2024-11-19,97.44,98.26,96.58,98.09,520624
EHC,2024-11-20,98.27,98.66,97.29,97.92,678100
EHC,2024-11-21,97.48,98.64,97.09,98.39,695900
EHC,2024-11-22,98.42,100.19,98.09,100.09,776100
EHC,2024-11-25,100.01,101.71,100.01,100.96,768400
EHC,2024-11-26,101.2,102.74,100.54,102.71,546807
EHC,2024-11-27,102.53,103.1,101.3,101.79,543900
EHC,2024-11-29,101.87,102.31,101.06,101.89,273200
EHC,2024-12-02,101.72,101.95,100.45,101.36,521100
EHC,2024-12-03,101.7,101.7,100.69,101.42,546734
EHC,2024-12-04,101.42,102.68,100.74,101.36,783757
EHC,2024-12-05,101.35,101.95,100.11,101.82,690006
EHC,2024-12-06,101.88,102.74,100.62,101.46,536415
EHC,2024-12-09,101.47,101.78,100.3,100.62,623334
EHC,2024-12-10,100.63,101.4,99.76,100.26,501500
EHC,2024-12-11,100.18,101.15,99.94,100.55,816983
EHC,2024-12-12,101.09,101.09,97.21,97.66,474842
EHC,2024-12-13,97.4,98.46,97.09,97.19,523446
EHC,2024-12-16,96.89,98.72,96.2,96.73,790100
EHC,2024-12-17,96.28,96.8,94.67,95.95,962300
EHC,2024-12-18,96.3,96.35,93.21,93.35,708955
EHC,2024-12-19,93.23,94.38,92.81,92.87,736800
EHC,2024-12-20,93.01,94.22,92.78,93.49,1396933
EHC,2024-12-23,93.0,93.38,91.99,93.23,426738
EHC,2024-12-24,92.98,93.42,92.36,93.21,135400
EHC,2024-12-26,93.06,93.61,92.92,93.38,325500
EHC,2024-12-27,92.72,93.57,91.86,92.64,415700
EHC,2024-12-30,92.45,92.64,91.11,91.48,539512
EHC,2024-12-31,91.94,92.25,91.06,91.41,518838
EHC,2025-01-02,91.98,92.09,90.55,91.08,520300
EHC,2025-01-03,90.54,91.11,87.11,90.41,815633
EHC,2025-01-06,89.67,91.09,89.5,90.44,664029
EHC,2025-01-07,91.04,91.58,89.91,90.8,823700
EHC,2025-01-08,90.45,92.17,90.15,92.06,601442
EHC,2025-01-10,91.07,92.15,90.15,90.29,464614
EHC,2025-01-13,89.91,91.84,89.91,91.78,529122
EHC,2025-01-14,91.67,92.35,90.56,92.28,442810
EHC,2025-01-15,93.11,93.23,91.95,92.82,352500
EHC,2025-01-16,92.8,93.77,92.4,93.62,369007
EHC,2025-01-17,93.66,94.77,93.61,93.95,471100
EHC,2025-01-21,94.49,95.57,94.49,94.99,490500
EHC,2025-01-22,95.02,95.02,93.3,93.72,455047
EHC,2025-01-23,93.75,94.54,93.03,94.47,558902
EHC,2025-01-24,94.11,95.12,93.66,94.85,534235
EHC,2025-01-27,95.12,97.75,94.64,95.54,776028
EHC,2025-01-28,95.77,98.19,95.6,95.97,889102
EHC,2025-01-29,95.86,96.13,94.22,94.77,778600
EHC,2025-01-30,95.29,97.78,94.75,97.58,644600
EHC,2025-01-31,97.48,102.26,97.18,98.44,1031410
EHC,2025-02-03,97.16,100.73,96.9,99.74,800799
EHC,2025-02-04,98.92,100.59,98.92,100.31,628000
EHC,2025-02-05,100.57,101.52,100.54,101.34,718820
EHC,2025-02-06,100.87,101.2,97.06,97.77,1096306
EHC,2025-02-07,101.5,102.96,96.2,99.02,1202551
EHC,2025-02-10,98.39,99.24,95.88,97.8,725800
EHC,2025-02-11,98.01,100.12,98.01,98.57,630202
EHC,2025-02-12,97.79,98.33,96.62,97.21,660325
EHC,2025-02-13,97.68,99.32,96.96,99.3,507600
EHC,2025-02-14,99.46,100.79,98.2,100.01,588630
EHC,2025-02-18,99.79,101.48,99.59,101.34,605100
EHC,2025-02-19,100.53,102.0,100.44,100.73,634000
EHC,2025-02-20,100.08,100.53,97.97,99.05,667430
EHC,2025-02-21,98.14,98.92,96.54,96.71,791510
EHC,2025-02-24,96.77,98.46,96.76,98.05,465200
EHC,2025-02-25,98.38,100.16,97.89,99.79,527722
EHC,2025-02-26,98.96,99.56,97.67,98.39,525143
EHC,2025-02-27,98.63,100.39,97.81,99.5,732700
EHC,2025-02-28,98.42,99.31,94.88,99.3,946340
EHC,2025-03-03,99.09,99.94,98.24,98.95,681600
EHC,2025-03-04,98.34,98.5,96.77,97.62,714600
EHC,2025-03-05,97.25,99.35,97.25,99.16,770900
EHC,2025-03-06,98.7,99.16,97.8,98.83,541912
EHC,2025-03-07,98.28,99.46,96.58,98.42,2101908
EHC,2025-03-10,97.62,99.17,97.01,98.28,922220
EHC,2025-03-11,98.41,98.72,95.97,96.18,585805
EHC,2025-03-12,96.3,96.37,92.59,93.49,842300
EHC,2025-03-13,93.2,94.06,91.75,92.89,836806
EHC,2025-03-14,92.77,95.38,92.51,95.17,625700
EHC,2025-03-17,95.19,97.46,95.16,96.93,575500
EHC,2025-03-18,96.65,97.22,95.52,96.82,560635
EHC,2025-03-19,96.79,98.56,96.05,98.53,513866
EHC,2025-03-20,97.96,98.82,97.51,98.33,565615
EHC,2025-03-21,97.99,98.19,96.07,96.29,841200
EHC,2025-03-24,97.4,99.29,96.97,99.12,710800
EHC,2025-03-25,99.25,100.49,99.01,100.02,640231
EHC,2025-03-26,100.74,101.11,99.3,99.52,503931
EHC,2025-03-27,99.71,100.61,98.98,100.29,581700
EHC,2025-03-28,100.52,100.94,99.22,99.93,457600
EHC,2025-03-31,99.31,101.1,98.66,100.43,597309
EHC,2025-04-01,100.78,101.19,98.93,100.6,486300
EHC,2025-04-02,99.67,101.76,99.67,101.4,576300
EHC,2025-04-03,99.98,102.48,99.34,101.19,1014531
EHC,2025-04-04,98.43,101.44,97.12,97.3,1218300
EHC,2025-04-07,94.58,99.28,92.29,96.06,1302600
EHC,2025-04-08,98.86,100.72,96.31,97.25,1508537
EHC,2025-04-09,96.4,103.8,96.4,102.51,1566800
EHC,2025-04-10,101.78,103.31,99.49,101.45,1141000
EHC,2025-04-11,101.45,102.93,100.31,101.49,971045
EHC,2025-04-14,103.31,103.85,101.57,102.57,892100
EHC,2025-04-15,102.07,103.06,101.02,101.62,775400
EHC,2025-04-16,102.0,102.88,101.0,102.31,1548900
EHC,2025-04-17,101.76,103.21,101.49,102.66,1002401
EHC,2025-04-21,102.47,103.23,94.33,95.48,1704131
EHC,2025-04-22,96.55,98.4,96.17,98.34,968223
EHC,2025-04-23,99.74,101.38,99.69,100.05,835414
EHC,2025-04-24,100.31,101.97,100.31,100.73,1436800
EHC,2025-04-25,110.7,113.61,107.52,112.61,2076600
EHC,2025-04-28,112.68,115.16,112.68,114.55,1228383
EHC,2025-04-29,114.62,116.73,113.41,115.13,1251100
EHC,2025-04-30,114.8,116.56,113.75,116.21,1095245
EHC,2025-05-01,115.28,116.34,113.27,115.16,950300
EHC,2025-05-02,115.77,116.4,114.83,115.86,780137
EHC,2025-05-05,116.34,117.19,115.16,115.53,759800
EHC,2025-05-06,115.37,116.63,114.39,116.24,732200
EHC,2025-05-07,116.15,117.47,115.98,116.69,885707
EHC,2025-05-08,116.31,117.03,115.13,115.13,652345
EHC,2025-05-09,115.43,115.97,115.03,115.63,623027
EHC,2025-05-12,115.82,116.74,115.06,116.15,687743
EHC,2025-05-13,116.12,117.42,114.73,116.82,604840
EHC,2025-05-14,116.58,119.15,116.31,118.47,1195594
EHC,2025-05-15,118.6,119.04,117.32,118.97,924912
EHC,2025-05-16,119.2,120.47,117.46,120.06,904533
EHC,2025-05-19,119.82,120.63,119.22,120.37,543146
EHC,2025-05-20,120.58,121.15,120.13,120.92,751820
EHC,2025-05-21,120.07,120.93,118.56,119.05,562119
EHC,2025-05-22,118.6,119.57,117.65,117.82,474127
EHC,2025-05-23,117.24,118.59,117.24,118.1,388163
EHC,2025-05-27,118.94,120.26,118.1,120.2,494435
EHC,2025-05-28,119.9,120.73,118.6,118.72,721407
EHC,2025-05-29,119.1,119.96,118.56,119.21,554400
EHC,2025-05-30,119.2,121.27,118.86,120.09,979700
EHC,2025-06-02,119.85,120.46,118.72,120.04,893409
EHC,2025-06-03,119.67,121.08,119.46,120.7,429315
EHC,2025-06-04,121.19,122.31,120.42,120.46,573518
EHC,2025-06-05,121.0,121.27,120.19,120.48,445100
EHC,2025-06-06,120.75,121.18,120.49,120.73,406135
EHC,2025-06-09,120.35,120.69,117.03,119.5,542828
EHC,2025-06-10,119.46,120.12,118.06,118.43,605000
EHC,2025-06-11,118.54,120.1,117.95,118.61,674700
EHC,2025-06-12,118.42,119.47,117.85,119.38,955036
EHC,2025-06-13,118.2,120.58,118.2,120.11,376139
EHC,2025-06-16,120.2,121.19,116.61,119.7,658106
EHC,2025-06-17,119.13,119.42,118.05,118.39,769500
EHC,2025-06-18,118.56,120.08,118.36,118.95,526500
