symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EMBC,2025-02-07,16.65,16.98,16.06,16.37,468100
EMBC,2025-02-10,16.28,16.67,16.08,16.44,672500
EMBC,2025-02-11,16.31,16.97,16.27,16.44,819300
EMBC,2025-02-12,16.17,16.25,15.56,15.62,377418
EMBC,2025-02-13,15.64,15.74,15.1,15.17,374400
EMBC,2025-02-14,15.17,15.28,13.67,13.95,555070
EMBC,2025-02-18,13.91,14.47,13.83,14.38,460043
EMBC,2025-02-19,14.37,14.67,14.14,14.53,439242
EMBC,2025-02-20,14.53,14.77,13.51,13.54,514808
EMBC,2025-02-21,13.6,13.6,12.97,13.25,955934
EMBC,2025-02-24,13.32,13.54,12.85,12.9,677838
EMBC,2025-02-25,12.84,12.98,12.42,12.52,660642
EMBC,2025-02-26,12.86,13.48,12.74,13.08,659413
EMBC,2025-02-27,12.91,13.11,12.46,12.6,553100
EMBC,2025-02-28,12.75,12.89,12.39,12.83,654200
EMBC,2025-03-03,12.71,13.0,12.19,12.23,1162112
EMBC,2025-03-04,12.08,12.35,11.54,11.97,681912
EMBC,2025-03-05,11.94,12.49,11.8,12.35,464500
EMBC,2025-03-06,12.23,12.5,12.09,12.24,415500
EMBC,2025-03-07,12.23,12.49,11.89,12.12,649121
EMBC,2025-03-10,12.03,13.28,12.03,13.27,910657
EMBC,2025-03-11,13.31,13.74,12.69,13.61,1028700
EMBC,2025-03-12,13.64,13.64,12.64,12.84,1026609
EMBC,2025-03-13,12.87,12.95,12.01,12.35,672135
EMBC,2025-03-14,12.4,12.64,12.13,12.5,675700
EMBC,2025-03-17,12.72,13.07,12.42,12.95,617300
EMBC,2025-03-18,12.82,12.88,12.43,12.81,460314
EMBC,2025-03-19,12.79,13.01,12.66,12.95,602244
EMBC,2025-03-20,12.82,12.91,12.54,12.57,522036
EMBC,2025-03-21,12.34,12.47,12.06,12.18,1305958
EMBC,2025-03-24,12.37,12.39,11.93,12.22,575526
EMBC,2025-03-25,12.25,12.34,12.01,12.02,684000
EMBC,2025-03-26,12.01,12.01,11.74,11.9,345300
EMBC,2025-03-27,11.9,12.09,11.7,11.81,335000
EMBC,2025-03-28,11.77,11.77,11.47,11.67,425100
EMBC,2025-03-31,11.51,12.24,11.31,12.12,571401
EMBC,2025-04-01,12.11,12.53,11.94,12.0,436784
EMBC,2025-04-02,11.8,12.15,11.71,11.9,466601
EMBC,2025-04-03,11.72,11.97,11.56,11.75,639707
EMBC,2025-04-04,11.38,11.63,10.76,11.4,1414500
EMBC,2025-04-07,10.78,12.0,10.78,11.49,931033
EMBC,2025-04-08,11.7,11.7,10.64,10.93,1105306
EMBC,2025-04-09,10.78,12.03,10.78,12.02,665300
EMBC,2025-04-10,11.65,11.67,11.19,11.41,439200
EMBC,2025-04-11,11.43,11.72,11.01,11.69,559900
EMBC,2025-04-14,11.96,11.96,11.15,11.31,831200
EMBC,2025-04-15,11.24,11.48,11.07,11.32,513100
EMBC,2025-04-16,11.22,11.35,10.68,10.78,426449
EMBC,2025-04-17,10.7,10.83,10.48,10.78,444431
EMBC,2025-04-21,10.65,10.67,10.29,10.37,406400
EMBC,2025-04-22,10.55,10.73,10.4,10.66,407546
