symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EME,2025-02-10,462.19,468.09,459.82,465.32,345770
EME,2025-02-11,460.47,462.58,441.89,445.1,373200
EME,2025-02-12,432.63,437.59,429.91,432.38,604050
EME,2025-02-13,436.46,438.22,420.36,426.46,519400
EME,2025-02-14,427.82,427.82,421.16,425.2,303336
EME,2025-02-18,426.81,434.85,426.66,432.8,466321
EME,2025-02-19,429.93,434.98,429.42,433.74,340652
EME,2025-02-20,434.46,434.99,417.78,423.55,432220
EME,2025-02-21,431.8,431.8,401.67,403.31,702717
EME,2025-02-24,402.27,405.4,387.3,390.43,841081
EME,2025-02-25,389.46,399.44,384.53,397.01,827896
EME,2025-02-26,418.9,432.52,414.06,419.8,881452
EME,2025-02-27,417.55,423.06,400.81,401.68,576992
EME,2025-02-28,399.04,407.96,395.0,407.86,676931
EME,2025-03-03,410.05,410.05,393.0,394.72,560400
EME,2025-03-04,384.02,397.36,375.33,387.09,662300
EME,2025-03-05,388.15,395.18,383.81,391.59,522745
EME,2025-03-06,379.25,386.38,369.26,373.91,689258
EME,2025-03-07,374.89,381.64,362.87,374.39,583600
EME,2025-03-10,363.91,369.05,354.62,360.24,640181
EME,2025-03-11,361.27,379.02,359.08,371.65,620400
EME,2025-03-12,384.51,389.0,376.64,381.41,530117
EME,2025-03-13,379.28,381.55,368.78,371.97,335806
EME,2025-03-14,379.85,389.31,378.33,387.52,330500
EME,2025-03-17,384.84,397.63,383.35,394.08,391234
EME,2025-03-18,387.84,391.55,382.14,385.55,359700
EME,2025-03-19,387.68,400.85,385.13,397.52,412300
EME,2025-03-20,389.72,405.51,389.72,398.5,559663
EME,2025-03-21,392.84,394.88,389.44,394.13,1255904
EME,2025-03-24,403.96,414.45,403.4,411.79,560918
EME,2025-03-25,410.67,415.73,406.09,411.22,359430
EME,2025-03-26,410.71,410.81,390.13,391.25,296600
EME,2025-03-27,387.68,388.93,376.41,378.36,637146
EME,2025-03-28,378.75,379.32,365.78,369.92,400400
EME,2025-03-31,360.25,368.75,351.2,368.68,775936
EME,2025-04-01,367.58,376.13,365.02,374.54,408300
EME,2025-04-02,363.76,384.06,361.87,383.96,400000
EME,2025-04-03,361.22,366.71,351.28,353.63,491219
EME,2025-04-04,339.13,346.87,320.06,341.14,1172100
EME,2025-04-07,324.96,361.06,323.97,349.58,1144110
EME,2025-04-08,368.2,374.59,346.79,353.35,819300
EME,2025-04-09,349.82,395.66,348.89,390.0,931535
EME,2025-04-10,375.05,385.24,364.92,374.24,643623
EME,2025-04-11,374.32,384.29,366.04,382.75,455213
EME,2025-04-14,391.84,391.99,378.02,384.8,388500
EME,2025-04-15,385.49,394.67,385.02,389.1,395799
EME,2025-04-16,381.87,388.31,374.04,381.42,498400
EME,2025-04-17,381.34,383.21,373.4,378.08,359206
EME,2025-04-21,373.35,374.98,356.28,362.01,400608
EME,2025-04-22,370.01,375.61,365.16,372.48,370609
EME,2025-04-23,391.94,396.74,381.39,383.39,404705
EME,2025-04-24,382.51,401.93,381.58,399.85,331896
EME,2025-04-25,404.46,413.85,403.65,409.45,524514
EME,2025-04-28,410.07,416.52,403.32,409.47,689300
EME,2025-04-29,408.1,414.05,405.78,412.23,501129
EME,2025-04-30,384.26,400.03,373.92,399.93,1128446
EME,2025-05-01,410.68,418.15,406.7,411.73,606964
EME,2025-05-02,415.86,432.99,414.92,429.36,678618
EME,2025-05-05,425.46,438.79,425.46,435.15,551420
EME,2025-05-06,430.8,436.45,428.91,432.24,411839
EME,2025-05-07,433.25,436.62,427.08,433.32,430400
EME,2025-05-08,439.48,447.57,434.18,439.39,312400
EME,2025-05-09,440.54,443.17,435.79,438.59,219900
EME,2025-05-12,457.61,464.11,450.9,456.43,441855
EME,2025-05-13,456.72,473.39,456.18,471.47,750110
EME,2025-05-14,474.91,477.83,465.01,465.67,599575
EME,2025-05-15,462.8,468.53,460.12,463.4,489900
EME,2025-05-16,465.07,471.43,462.11,469.53,424096
EME,2025-05-19,460.14,469.99,459.24,469.09,298811
EME,2025-05-20,471.72,477.24,470.49,471.61,564800
EME,2025-05-21,466.54,474.83,462.37,462.88,355153
EME,2025-05-22,459.12,461.31,451.12,457.43,455756
EME,2025-05-23,452.05,464.39,449.81,462.43,397634
EME,2025-05-27,468.7,475.11,466.06,474.68,340500
EME,2025-05-28,475.93,475.93,467.16,468.24,280831
EME,2025-05-29,471.41,476.08,463.91,467.36,343822
EME,2025-05-30,466.55,471.12,463.26,470.95,807400
EME,2025-06-02,467.43,469.23,456.42,468.65,330900
EME,2025-06-03,471.28,485.63,467.93,482.85,435329
EME,2025-06-04,481.65,489.06,479.54,481.71,340406
EME,2025-06-05,482.89,487.86,479.08,483.13,350953
EME,2025-06-06,489.06,490.78,483.13,487.88,336302
EME,2025-06-09,483.28,485.82,470.95,472.88,488957
EME,2025-06-10,473.51,473.52,454.27,465.04,404819
EME,2025-06-11,467.52,471.47,463.31,470.98,329948
EME,2025-06-12,466.67,475.21,465.6,474.02,380755
EME,2025-06-13,473.2,480.53,469.12,477.0,401014
EME,2025-06-16,482.08,488.74,479.1,484.88,376700
EME,2025-06-17,482.27,485.99,478.48,480.47,571500
EME,2025-06-18,480.46,492.44,480.22,484.28,541500
EME,2025-06-20,486.78,488.38,477.24,484.1,1452509
EME,2025-06-23,484.35,495.28,482.64,493.65,389430
EME,2025-06-24,498.15,502.4,492.52,499.69,359700
EME,2025-06-25,503.38,504.69,498.36,501.61,266750
EME,2025-06-26,505.42,511.74,503.61,510.01,340400
EME,2025-06-27,518.18,531.47,516.65,529.6,681300
EME,2025-06-30,528.65,537.26,522.49,533.86,421530
EME,2025-07-01,530.44,534.83,515.92,529.86,635634
EME,2025-07-02,528.72,540.76,528.02,540.76,389114
EME,2025-07-03,536.44,549.12,532.06,546.17,302500
EME,2025-07-07,547.29,552.9,544.05,550.08,481117
EME,2025-07-08,551.53,551.53,531.23,540.3,416919
EME,2025-07-09,545.43,547.04,538.4,545.23,389111
EME,2025-07-10,544.95,549.8,536.08,546.54,383300
EME,2025-07-11,546.58,555.55,540.96,553.16,215600
EME,2025-07-14,552.54,558.93,550.94,555.79,283946
EME,2025-07-15,561.45,561.94,546.1,548.95,341600
EME,2025-07-16,550.9,554.77,545.64,552.49,258505
