symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EOG,2024-12-06,122.68,123.27,120.01,121.44,2928012
EOG,2024-12-09,122.85,123.1,121.27,121.48,3047000
EOG,2024-12-10,122.36,122.91,119.72,120.3,3440500
EOG,2024-12-11,120.34,121.72,119.8,121.2,5778600
EOG,2024-12-12,121.1,121.22,120.03,120.26,2169587
EOG,2024-12-13,120.27,120.87,119.07,120.45,1878838
EOG,2024-12-16,119.91,120.56,118.0,118.41,2898651
EOG,2024-12-17,117.76,118.63,115.7,117.01,3820108
EOG,2024-12-18,117.01,117.61,113.58,113.67,4507103
EOG,2024-12-19,114.68,115.05,112.24,112.33,3589764
EOG,2024-12-20,111.76,113.95,111.66,113.11,10044400
EOG,2024-12-23,112.75,114.25,112.21,113.88,2554632
EOG,2024-12-24,114.17,114.95,113.17,114.81,1325818
EOG,2024-12-26,114.88,114.95,114.2,114.41,2104006
EOG,2024-12-27,114.11,115.65,113.87,114.4,2048400
EOG,2024-12-30,114.69,115.27,113.52,114.57,3197100
EOG,2024-12-31,114.86,116.7,114.54,116.47,3302510
EOG,2025-01-02,117.82,119.35,117.39,118.49,2920565
EOG,2025-01-03,119.36,120.61,118.98,120.26,3012049
EOG,2025-01-06,120.67,122.1,119.8,120.09,2678500
EOG,2025-01-07,120.65,122.19,120.13,121.2,2766949
EOG,2025-01-08,121.38,122.47,120.59,122.06,3052946
EOG,2025-01-10,124.74,128.12,123.57,124.86,4882870
EOG,2025-01-13,125.34,129.15,125.11,127.79,5523612
EOG,2025-01-14,127.05,129.2,127.03,129.0,3223814
EOG,2025-01-15,129.15,130.38,128.34,130.23,2530010
EOG,2025-01-16,129.49,131.29,129.41,131.17,2730697
EOG,2025-01-17,130.96,131.92,130.24,130.7,2839004
EOG,2025-01-21,129.12,130.56,128.43,130.18,3706217
EOG,2025-01-22,129.96,130.34,128.08,128.25,3376691
EOG,2025-01-23,129.02,129.72,127.45,128.21,3003200
EOG,2025-01-24,128.72,129.03,125.81,126.14,3178833
EOG,2025-01-27,126.35,128.89,125.24,126.28,3187389
EOG,2025-01-28,126.72,127.46,123.98,124.64,2386500
EOG,2025-01-29,124.31,125.16,123.81,124.62,1852945
EOG,2025-01-30,125.21,125.62,123.54,124.19,2025340
EOG,2025-01-31,123.95,124.1,119.85,120.37,3427868
EOG,2025-02-03,120.85,121.53,119.09,120.95,2871700
EOG,2025-02-04,119.61,123.75,119.26,122.6,2162042
EOG,2025-02-05,122.3,123.21,121.43,122.2,1913400
EOG,2025-02-06,122.8,123.19,119.87,121.22,2772282
EOG,2025-02-07,121.4,122.25,120.9,121.05,2006150
EOG,2025-02-10,121.95,125.19,121.16,124.94,2723200
EOG,2025-02-11,125.61,127.88,125.28,126.59,2381434
EOG,2025-02-12,126.39,128.02,123.11,123.29,3133025
EOG,2025-02-13,123.15,123.57,122.02,123.46,1950174
EOG,2025-02-14,123.85,126.26,123.66,123.74,2220600
EOG,2025-02-18,124.81,126.36,122.74,125.3,2393146
EOG,2025-02-19,126.31,129.06,126.1,128.73,2306000
EOG,2025-02-20,128.74,130.02,128.15,129.83,2837383
EOG,2025-02-21,128.91,129.32,126.83,127.35,3456999
EOG,2025-02-24,127.41,128.14,126.62,127.87,2233328
EOG,2025-02-25,127.57,128.69,125.26,125.66,2367131
EOG,2025-02-26,125.42,126.04,123.06,124.25,2524059
EOG,2025-02-27,125.37,126.4,124.17,124.98,2704800
EOG,2025-02-28,122.58,123.27,119.0,121.47,6868754
EOG,2025-03-03,121.46,121.5,114.23,115.35,7432300
EOG,2025-03-04,114.01,118.53,112.66,116.85,6657605
EOG,2025-03-05,114.83,116.99,113.76,116.6,5336578
EOG,2025-03-06,116.95,118.18,115.44,116.93,3956800
EOG,2025-03-07,117.69,120.26,117.39,119.86,4767200
EOG,2025-03-10,121.32,123.26,119.58,120.47,3172907
EOG,2025-03-11,121.47,121.94,118.93,119.13,4408915
EOG,2025-03-12,118.71,120.58,117.84,118.92,3428671
EOG,2025-03-13,117.82,119.21,114.9,115.87,3549626
EOG,2025-03-14,115.79,118.82,115.07,118.58,3266819
EOG,2025-03-17,118.47,119.34,118.0,118.26,3695800
EOG,2025-03-18,119.34,119.38,116.74,117.29,3028590
EOG,2025-03-19,117.45,120.11,117.45,119.56,3479300
EOG,2025-03-20,118.62,120.09,117.71,118.95,4074900
EOG,2025-03-21,118.22,119.78,117.69,119.78,9750401
EOG,2025-03-24,119.85,123.62,119.57,122.74,3236224
EOG,2025-03-25,122.87,123.98,121.59,121.89,3337200
EOG,2025-03-26,123.2,124.89,122.77,123.61,2716776
EOG,2025-03-27,123.37,123.5,120.98,121.27,2367009
EOG,2025-03-28,121.09,121.48,119.62,121.14,2354300
EOG,2025-03-31,121.16,124.06,121.04,122.72,3149140
EOG,2025-04-01,122.26,123.92,121.83,123.73,1926719
EOG,2025-04-02,122.75,124.79,122.75,124.37,1827430
EOG,2025-04-03,117.46,119.9,114.33,114.73,5530585
EOG,2025-04-04,110.6,111.59,104.5,105.79,8834855
EOG,2025-04-07,102.66,108.67,100.73,104.33,8269748
EOG,2025-04-08,105.99,107.19,99.0,100.44,5531837
EOG,2025-04-09,98.13,110.7,98.13,109.14,9991792
EOG,2025-04-10,105.26,107.02,98.1,100.1,8314500
EOG,2025-04-11,101.28,104.89,99.06,103.86,4992134
EOG,2025-04-14,106.37,106.69,101.55,103.0,4030300
EOG,2025-04-15,103.1,104.4,102.55,102.85,3192474
EOG,2025-04-16,103.47,106.37,102.97,104.52,4270816
EOG,2025-04-17,105.92,108.82,105.08,106.71,5905456
EOG,2025-04-21,104.85,105.56,103.72,105.36,3001801
EOG,2025-04-22,107.05,108.6,106.43,107.5,2947640
EOG,2025-04-23,108.64,109.77,106.25,107.74,3037950
EOG,2025-04-24,108.95,109.88,107.8,109.56,2075633
EOG,2025-04-25,108.44,109.63,107.96,109.19,2093425
EOG,2025-04-28,109.0,110.62,108.83,110.22,1908486
EOG,2025-04-29,109.3,110.12,108.15,109.05,2323709
EOG,2025-04-30,108.15,108.15,104.81,106.54,5383379
EOG,2025-05-01,105.77,109.4,105.51,107.84,4603751
EOG,2025-05-02,107.3,108.29,104.3,107.05,6415038
EOG,2025-05-05,105.12,105.49,103.34,104.79,5226327
EOG,2025-05-06,105.73,106.45,104.19,104.99,4505000
EOG,2025-05-07,105.58,105.58,103.38,104.26,4013510
EOG,2025-05-08,105.29,108.27,104.88,105.94,6135469
EOG,2025-05-09,106.68,107.33,105.76,107.3,4080006
EOG,2025-05-12,112.06,113.14,110.04,110.14,3983600
EOG,2025-05-13,110.69,113.72,110.05,112.64,4113071
EOG,2025-05-14,111.32,112.21,110.66,111.62,3878579
EOG,2025-05-15,110.0,112.0,109.23,111.88,3243833
EOG,2025-05-16,112.51,112.7,110.92,111.53,3406061
EOG,2025-05-19,110.33,110.7,108.82,110.04,2864014
EOG,2025-05-20,110.15,110.39,108.57,108.71,2336500
EOG,2025-05-21,108.99,109.3,107.34,107.56,3198507
EOG,2025-05-22,106.62,107.62,104.92,106.99,3050900
EOG,2025-05-23,105.56,106.81,105.56,106.4,1993300
EOG,2025-05-27,106.81,107.66,105.67,107.41,2475133
EOG,2025-05-28,108.83,108.83,106.29,106.66,2260894
EOG,2025-05-29,106.67,107.22,105.62,106.11,3421596
EOG,2025-05-30,104.77,105.75,103.77,104.84,5536320
EOG,2025-06-02,107.3,107.97,105.94,107.52,4151461
EOG,2025-06-03,107.54,109.98,106.39,108.95,3279210
EOG,2025-06-04,109.08,110.6,106.97,106.97,3333941
EOG,2025-06-05,108.08,108.23,106.64,107.22,2697583
EOG,2025-06-06,108.82,110.76,108.82,110.13,3055903
EOG,2025-06-09,110.27,111.32,109.29,110.4,3647654
EOG,2025-06-10,112.34,115.41,112.01,113.83,4952225
EOG,2025-06-11,114.86,116.44,113.14,115.8,3893007
EOG,2025-06-12,115.17,116.61,114.39,116.45,3318656
EOG,2025-06-13,120.94,121.56,118.3,120.98,7915200
EOG,2025-06-16,119.15,120.58,117.48,118.95,5142500
EOG,2025-06-17,120.31,121.63,119.39,120.36,4563620
EOG,2025-06-18,120.71,122.38,118.91,119.53,4553402
EOG,2025-06-20,119.74,121.64,119.55,121.02,11229400
EOG,2025-06-23,122.5,123.42,117.35,117.8,5080000
EOG,2025-06-24,116.73,118.08,115.69,116.54,3981320
EOG,2025-06-25,116.12,117.02,115.18,115.71,2799001
EOG,2025-06-26,115.88,117.0,115.36,116.97,2705318
EOG,2025-06-27,116.84,116.98,115.77,116.65,4187904
EOG,2025-06-30,115.88,116.26,114.77,115.5,3491334
EOG,2025-07-01,115.85,117.46,114.03,117.03,3680329
EOG,2025-07-02,118.97,119.03,116.53,118.66,3460765
EOG,2025-07-03,118.65,119.46,117.81,118.92,1437200
EOG,2025-07-07,117.98,118.46,114.01,115.5,3692400
EOG,2025-07-08,115.61,120.78,115.12,119.69,3753441
EOG,2025-07-09,118.75,119.68,117.34,117.7,2245706
EOG,2025-07-10,116.97,118.08,115.71,117.55,2703860
EOG,2025-07-11,117.67,119.32,116.95,118.81,2215922
EOG,2025-07-14,118.4,118.78,117.01,118.39,3074527
EOG,2025-07-15,118.38,118.6,115.56,115.6,2993487
EOG,2025-07-16,115.6,115.97,113.66,114.72,3682495
EOG,2025-07-17,114.12,115.48,114.09,115.3,2795751
EOG,2025-07-18,115.85,116.52,114.33,114.57,5901955
EOG,2025-07-21,114.91,115.03,113.42,113.42,3248052
EOG,2025-07-22,113.63,115.29,113.27,114.82,2200012
EOG,2025-07-23,115.19,115.91,114.18,115.74,2798106
EOG,2025-07-24,115.65,116.54,114.97,115.91,2452124
EOG,2025-07-25,115.92,116.19,114.75,115.27,1785464
EOG,2025-07-28,116.58,118.51,116.3,118.44,2795000
EOG,2025-07-29,118.78,119.97,117.67,119.9,2916207
EOG,2025-07-30,119.0,119.62,117.47,118.04,2691404
EOG,2025-07-31,117.11,119.4,116.6,116.85,2657427
EOG,2025-08-01,116.3,116.73,112.87,113.52,2689009
EOG,2025-08-04,112.87,114.47,112.79,113.92,2300555
EOG,2025-08-05,114.12,114.95,113.23,114.67,3035320
EOG,2025-08-06,115.82,116.77,113.01,113.51,3050500
EOG,2025-08-07,114.07,116.06,112.69,112.91,4400422
EOG,2025-08-08,113.22,114.53,110.37,113.21,3969223
EOG,2025-08-11,113.82,114.75,112.02,113.76,3043244
EOG,2025-08-12,113.98,116.77,113.6,114.9,2902200
EOG,2025-08-13,114.89,116.32,114.38,116.32,2951200
EOG,2025-08-14,115.65,116.86,115.12,116.63,2246727
EOG,2025-08-15,116.66,117.58,115.8,115.85,2944400
EOG,2025-08-18,115.23,115.4,114.14,114.62,2743228
EOG,2025-08-19,113.95,115.42,113.49,114.22,2425702
EOG,2025-08-20,114.64,115.68,113.95,115.24,2527511
EOG,2025-08-21,115.01,115.68,114.25,115.38,1853000
EOG,2025-08-22,115.89,118.2,115.66,117.91,2245953
EOG,2025-08-25,117.42,118.42,116.55,118.23,2092800
EOG,2025-08-26,117.41,118.53,117.1,118.1,3191300
EOG,2025-08-27,117.7,120.22,117.7,119.64,2195301
EOG,2025-08-28,119.73,121.26,118.82,121.06,1937900
EOG,2025-08-29,120.99,122.33,120.78,121.53,1738341
EOG,2025-09-02,121.19,122.79,120.28,122.77,2224900
EOG,2025-09-03,121.62,122.46,116.77,117.4,2658472
EOG,2025-09-04,117.2,119.03,116.64,118.39,1689700
EOG,2025-09-05,116.75,117.39,113.95,114.82,3711246
EOG,2025-09-08,114.74,115.3,113.0,114.55,2550516
EOG,2025-09-09,115.25,116.59,114.16,114.21,2359304
EOG,2025-09-10,114.65,117.12,114.29,117.09,2128152
EOG,2025-09-11,115.93,117.22,115.41,116.83,2283146
EOG,2025-09-12,117.58,117.82,114.86,115.04,1967253
