symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EPAM,2024-08-27,195.69,202.5,195.32,200.25,318916
EPAM,2024-08-28,199.87,204.7,198.06,198.57,414670
EPAM,2024-08-29,200.42,204.94,200.09,201.24,263000
EPAM,2024-08-30,201.72,202.63,197.53,200.76,455700
EPAM,2024-09-03,199.4,202.0,194.92,195.34,347900
EPAM,2024-09-04,195.43,202.82,194.67,200.5,1254900
EPAM,2024-09-05,202.0,207.27,200.17,204.0,629900
EPAM,2024-09-06,205.49,207.5,201.96,204.82,507137
EPAM,2024-09-09,205.51,208.8,205.0,206.12,1029731
EPAM,2024-09-10,206.69,209.38,204.05,206.5,1147300
EPAM,2024-09-11,205.25,205.37,200.53,203.6,880271
EPAM,2024-09-12,204.98,205.42,201.76,202.3,830348
EPAM,2024-09-13,203.24,204.52,201.49,201.88,484376
EPAM,2024-09-16,202.4,206.15,202.15,205.46,564309
EPAM,2024-09-17,206.39,206.91,197.95,200.4,505009
EPAM,2024-09-18,199.57,200.93,196.2,198.0,569901
EPAM,2024-09-19,200.91,200.91,196.74,198.06,561100
EPAM,2024-09-20,193.78,197.84,192.98,197.0,2473220
EPAM,2024-09-23,197.76,198.89,194.93,198.63,499900
EPAM,2024-09-24,199.17,201.46,197.97,200.22,620100
EPAM,2024-09-25,200.0,201.22,195.21,196.18,613700
EPAM,2024-09-26,199.82,204.93,197.5,200.58,819020
EPAM,2024-09-27,201.84,202.53,198.44,199.46,300932
EPAM,2024-09-30,198.32,200.54,196.71,199.03,337919
EPAM,2024-10-01,199.19,199.4,194.75,196.38,432400
EPAM,2024-10-02,195.0,196.86,194.27,196.0,305824
EPAM,2024-10-03,195.54,195.89,192.61,195.72,350506
EPAM,2024-10-04,198.4,200.2,195.83,198.35,570016
EPAM,2024-10-07,197.41,197.6,191.93,192.99,371014
EPAM,2024-10-08,193.1,195.86,191.58,195.18,437574
EPAM,2024-10-09,195.52,195.57,193.0,194.15,421200
EPAM,2024-10-10,191.99,194.14,191.52,192.77,344100
EPAM,2024-10-11,193.1,196.02,193.1,195.03,703300
EPAM,2024-10-14,195.85,199.21,194.65,198.0,684460
EPAM,2024-10-15,197.06,201.17,196.99,198.49,563938
EPAM,2024-10-16,198.6,204.55,198.48,199.45,1031600
EPAM,2024-10-17,199.54,200.66,196.96,198.45,309800
EPAM,2024-10-18,199.7,202.47,199.21,201.58,463014
EPAM,2024-10-21,200.63,202.12,199.57,199.98,259500
EPAM,2024-10-22,199.45,200.01,196.7,197.95,247900
EPAM,2024-10-23,197.47,198.93,192.21,193.16,277118
EPAM,2024-10-24,194.37,194.67,190.67,190.98,263356
EPAM,2024-10-25,191.5,194.85,190.59,191.52,376017
EPAM,2024-10-28,193.55,195.01,190.87,191.29,259800
EPAM,2024-10-29,191.12,195.76,191.12,193.88,1030500
EPAM,2024-10-30,192.33,195.07,188.97,189.11,340845
EPAM,2024-10-31,189.0,191.98,188.1,188.65,844511
