symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EQPT,2026-01-23,28.5,33.0,28.0,32.56,17411100
EQPT,2026-01-26,33.55,33.78,29.52,29.92,3274649
EQPT,2026-01-27,30.77,33.54,30.77,32.31,2671416
EQPT,2026-01-28,32.2,35.23,32.15,34.63,3070700
EQPT,2026-01-29,34.76,35.5,30.0,30.36,6279804
EQPT,2026-01-30,30.85,31.35,28.0,31.1,3131600
EQPT,2026-02-02,30.47,33.04,29.75,33.04,1152200
EQPT,2026-02-03,32.61,33.39,30.93,32.28,1240900
EQPT,2026-02-04,32.08,34.62,30.65,34.21,1532228
EQPT,2026-02-05,33.52,34.29,31.31,32.0,891935
EQPT,2026-02-06,32.0,33.24,31.51,32.96,851847
EQPT,2026-02-09,32.91,33.99,31.15,32.57,776501
EQPT,2026-02-10,32.39,34.34,32.01,34.24,930000
EQPT,2026-02-11,34.25,35.19,33.0,33.33,728200
EQPT,2026-02-12,33.52,34.0,31.5,32.39,1054800
EQPT,2026-02-13,32.46,33.81,32.25,33.77,309921
EQPT,2026-02-17,34.0,34.3,32.48,33.96,467400
EQPT,2026-02-18,33.94,33.94,31.3,32.34,672240
EQPT,2026-02-19,32.32,33.83,32.14,33.75,599129
EQPT,2026-02-20,33.94,34.5,31.34,31.55,801804
EQPT,2026-02-23,31.55,31.76,28.64,29.25,1452113
EQPT,2026-02-24,29.16,30.2,28.5,29.88,810700
EQPT,2026-02-25,30.04,30.67,28.72,29.77,790807
EQPT,2026-02-26,29.72,29.82,28.62,29.47,758947
EQPT,2026-02-27,29.02,29.87,27.75,29.02,1076040
EQPT,2026-03-02,28.53,30.76,28.22,30.07,876011
EQPT,2026-03-03,29.5,30.6,28.25,30.06,630733
EQPT,2026-03-04,30.2,30.25,29.35,29.76,385666
EQPT,2026-03-05,29.39,29.75,28.31,29.46,552815
EQPT,2026-03-06,29.02,29.25,27.61,27.82,572232
EQPT,2026-03-09,27.5,28.17,25.61,28.0,1590842
EQPT,2026-03-10,27.95,29.49,27.03,27.19,731908
EQPT,2026-03-11,27.02,28.76,26.5,28.76,624500
EQPT,2026-03-12,28.46,28.46,25.87,25.88,1105166
EQPT,2026-03-13,25.89,26.48,25.16,25.44,1053342
EQPT,2026-03-16,25.44,26.17,24.85,25.0,766229
EQPT,2026-03-17,24.96,26.32,23.99,24.8,1580580
EQPT,2026-03-18,24.93,25.83,23.93,24.54,1263300
EQPT,2026-03-19,26.01,26.15,22.63,22.74,1889505
EQPT,2026-03-20,22.5,22.75,21.06,21.8,5375800
EQPT,2026-03-23,21.92,22.79,20.2,20.34,2364801
EQPT,2026-03-24,20.2,21.23,19.61,20.8,2317405
EQPT,2026-03-25,21.32,21.82,20.37,20.83,1095636
EQPT,2026-03-26,20.65,21.41,20.17,20.42,947900
EQPT,2026-03-27,20.13,20.47,19.77,20.05,2217412
EQPT,2026-03-30,20.06,20.51,19.29,19.31,2278044
EQPT,2026-03-31,19.74,20.68,18.8,20.37,2682348
EQPT,2026-04-01,20.49,21.52,20.0,20.75,3274121
EQPT,2026-04-02,20.31,20.62,19.42,20.33,1116129
EQPT,2026-04-06,20.34,20.5,19.42,19.61,1287300
EQPT,2026-04-07,19.4,19.58,18.8,19.32,1733635
EQPT,2026-04-08,20.24,21.4,20.09,20.5,2047715
EQPT,2026-04-09,20.31,21.41,19.91,20.31,1137323
EQPT,2026-04-10,20.33,20.54,19.85,20.38,1317300
EQPT,2026-04-13,20.07,21.17,19.62,21.04,994806
EQPT,2026-04-14,21.04,21.45,20.07,20.36,1468693
EQPT,2026-04-15,20.4,20.4,19.21,20.01,1853500
EQPT,2026-04-16,20.0,20.4,19.76,20.21,926504
EQPT,2026-04-17,20.74,21.55,20.39,21.37,1483892
EQPT,2026-04-20,20.8,22.6,20.8,22.23,1184833
EQPT,2026-04-21,22.35,24.04,22.35,23.43,2046967
EQPT,2026-04-22,23.62,23.85,21.23,21.48,2250634
EQPT,2026-04-23,22.28,25.89,22.28,24.53,5046782
EQPT,2026-04-24,24.51,24.79,22.44,22.99,1830916
EQPT,2026-04-27,22.85,22.88,21.66,21.99,1540327
EQPT,2026-04-28,21.93,23.01,21.22,23.0,1840336
EQPT,2026-04-29,23.0,23.37,20.69,20.88,1171806
EQPT,2026-04-30,21.33,21.76,20.68,21.0,1379700
EQPT,2026-05-01,21.0,21.07,19.88,20.13,1497648
EQPT,2026-05-04,20.21,20.84,18.26,18.4,2434100
EQPT,2026-05-05,18.58,19.36,17.95,19.28,2070699
EQPT,2026-05-06,19.43,21.5,19.24,20.71,2442600
EQPT,2026-05-07,20.71,21.34,20.46,20.6,2392200
EQPT,2026-05-08,20.72,22.05,20.65,21.8,1740728
