symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EQR,2024-12-05,68.79,69.14,68.45,68.9,1180334
EQR,2024-12-06,69.13,69.46,68.75,69.25,1029000
EQR,2024-12-09,69.19,69.39,68.38,69.16,1302905
EQR,2024-12-10,69.33,69.33,68.32,68.45,1092630
EQR,2024-12-11,68.67,68.94,68.09,68.34,1309823
EQR,2024-12-12,68.29,69.85,68.21,69.29,1479400
EQR,2024-12-13,68.95,69.5,68.5,68.81,1029800
EQR,2024-12-16,68.72,69.83,68.66,68.98,1116300
EQR,2024-12-17,68.69,69.1,68.29,68.33,1551700
EQR,2024-12-18,68.08,68.75,65.87,65.91,1402826
EQR,2024-12-19,66.04,67.03,65.12,65.25,1458300
EQR,2024-12-20,66.21,67.71,65.67,66.99,5177014
EQR,2024-12-23,66.43,67.24,66.21,67.08,1300900
EQR,2024-12-24,66.87,67.92,66.73,67.81,568700
EQR,2024-12-26,67.65,68.12,67.41,67.95,747229
EQR,2024-12-27,67.34,68.22,67.05,67.21,946105
EQR,2024-12-30,66.83,67.06,66.04,66.82,894200
EQR,2024-12-31,67.53,67.57,66.57,67.38,1684505
EQR,2025-01-02,67.06,67.61,66.23,66.42,1183815
EQR,2025-01-03,66.27,67.27,66.18,67.2,1096813
EQR,2025-01-06,66.96,67.32,64.77,64.83,1654700
EQR,2025-01-07,65.18,65.47,63.67,63.93,2072000
EQR,2025-01-08,64.06,64.14,63.19,64.0,1735210
EQR,2025-01-10,63.65,64.46,63.17,63.49,2038100
EQR,2025-01-13,63.69,65.77,63.51,65.6,2270302
EQR,2025-01-14,65.73,66.46,65.3,66.28,1417500
EQR,2025-01-15,67.91,68.25,65.79,65.84,1777848
EQR,2025-01-16,66.05,66.66,65.51,66.59,1331320
EQR,2025-01-17,66.28,66.86,65.94,66.13,1346399
EQR,2025-01-21,66.23,66.98,65.93,66.47,1438004
EQR,2025-01-22,65.89,66.04,64.69,64.82,1608225
EQR,2025-01-23,64.98,65.27,64.19,64.64,1533900
EQR,2025-01-24,64.38,65.15,64.27,64.69,1632236
EQR,2025-01-27,64.81,66.74,64.59,66.48,1527427
EQR,2025-01-28,66.37,66.69,65.46,65.65,1675200
EQR,2025-01-29,65.66,66.13,64.73,64.91,2498632
EQR,2025-01-30,65.95,66.78,65.65,66.11,1515077
EQR,2025-01-31,66.07,67.25,65.81,66.95,2584200
EQR,2025-02-03,66.43,66.97,65.48,66.66,2594434
EQR,2025-02-04,66.83,67.67,65.51,66.94,2609800
EQR,2025-02-05,67.5,68.53,67.03,68.18,1629135
EQR,2025-02-06,68.45,68.79,67.97,68.36,1962404
EQR,2025-02-07,68.5,68.66,67.26,67.61,1374761
EQR,2025-02-10,67.48,67.5,66.32,67.21,1015797
EQR,2025-02-11,66.73,67.76,66.68,67.72,1235000
EQR,2025-02-12,66.53,67.77,66.45,67.27,931308
EQR,2025-02-13,67.25,68.01,67.09,67.79,796005
EQR,2025-02-14,68.16,68.74,67.51,67.52,1901216
EQR,2025-02-18,67.34,67.9,66.86,67.55,1850700
EQR,2025-02-19,67.26,67.67,66.85,67.41,993111
EQR,2025-02-20,67.35,68.16,67.03,67.93,1105800
EQR,2025-02-21,67.96,68.18,67.19,67.83,1115048
EQR,2025-02-24,67.94,68.91,67.59,68.45,997000
EQR,2025-02-25,68.67,69.74,68.67,69.18,1236311
EQR,2025-02-26,69.16,69.74,68.82,69.02,1456600
EQR,2025-02-27,68.84,70.51,68.75,69.84,1816737
EQR,2025-02-28,70.4,71.01,69.39,70.3,2851600
EQR,2025-03-03,70.3,71.68,69.94,71.11,1779533
EQR,2025-03-04,71.37,71.9,69.58,69.61,2141700
EQR,2025-03-05,68.88,70.06,68.45,69.83,1387700
EQR,2025-03-06,69.28,69.34,67.65,68.16,1715100
EQR,2025-03-07,68.38,68.93,67.66,68.22,1811737
EQR,2025-03-10,68.36,69.33,66.94,67.19,2076100
EQR,2025-03-11,67.49,67.62,65.6,66.14,2180633
EQR,2025-03-12,66.0,66.34,65.18,65.38,1245913
EQR,2025-03-13,65.37,66.05,64.59,64.72,1912121
EQR,2025-03-14,64.96,65.38,64.23,65.35,2577200
EQR,2025-03-17,65.13,66.93,65.13,66.41,1600700
EQR,2025-03-18,66.24,66.73,65.51,65.89,1553252
EQR,2025-03-19,65.68,66.45,65.21,66.13,1248010
EQR,2025-03-20,66.26,66.72,65.61,66.51,1501247
EQR,2025-03-21,66.21,66.53,65.33,66.17,3054300
EQR,2025-03-24,66.46,67.82,66.26,67.64,1375080
EQR,2025-03-25,67.7,68.41,66.76,67.33,1646700
EQR,2025-03-26,67.83,68.14,67.34,67.84,1111100
EQR,2025-03-27,68.0,68.87,67.43,67.55,1374225
EQR,2025-03-28,68.07,68.07,67.05,67.66,1163200
EQR,2025-03-31,68.11,69.01,67.85,68.51,2257500
EQR,2025-04-01,68.51,68.87,67.43,68.22,1379232
EQR,2025-04-02,67.82,68.89,67.57,68.56,1376854
EQR,2025-04-03,67.93,68.47,65.31,65.61,1816252
EQR,2025-04-04,64.74,65.28,60.91,61.06,2449900
EQR,2025-04-07,60.04,62.02,58.08,59.84,3494500
EQR,2025-04-08,61.61,61.61,58.3,59.17,2515065
EQR,2025-04-09,58.01,64.57,56.86,63.99,5593349
EQR,2025-04-10,62.84,64.12,59.86,61.52,2599100
EQR,2025-04-11,61.16,62.43,59.6,61.87,2335800
EQR,2025-04-14,62.52,64.47,62.35,64.05,1884000
EQR,2025-04-15,64.3,64.58,63.59,64.15,1900711
EQR,2025-04-16,64.02,65.03,63.8,64.18,1978414
EQR,2025-04-17,64.24,66.28,64.17,65.32,2743814
EQR,2025-04-21,64.74,65.17,63.67,64.61,1531937
EQR,2025-04-22,65.53,66.31,65.17,65.98,1709224
EQR,2025-04-23,66.57,67.62,65.93,66.41,1666337
EQR,2025-04-24,66.27,66.74,65.84,66.34,1145800
EQR,2025-04-25,66.15,66.33,65.43,65.59,1318700
EQR,2025-04-28,65.63,66.47,65.52,66.34,1949203
EQR,2025-04-29,65.99,66.88,65.38,66.55,2841512
EQR,2025-04-30,66.44,67.58,65.49,67.25,3164000
EQR,2025-05-01,67.02,68.13,66.36,67.59,2366700
EQR,2025-05-02,68.44,69.3,68.28,68.65,2103200
EQR,2025-05-05,68.1,68.37,67.4,67.79,2079065
EQR,2025-05-06,67.46,67.9,66.96,67.52,1586338
EQR,2025-05-07,67.57,68.0,67.3,67.54,2220900
EQR,2025-05-08,67.76,67.89,66.63,66.69,2324829
EQR,2025-05-09,66.77,67.15,66.5,66.94,1135000
EQR,2025-05-12,67.67,68.0,67.44,67.86,1557100
EQR,2025-05-13,67.74,67.98,66.31,66.61,2416234
EQR,2025-05-14,66.0,66.68,65.42,66.1,2106200
