symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ERAS,2024-08-27,2.89,2.94,2.71,2.72,1155700
ERAS,2024-08-28,2.71,2.9,2.68,2.87,1939518
ERAS,2024-08-29,2.9,2.96,2.81,2.81,965482
ERAS,2024-08-30,2.85,2.94,2.8,2.89,3553808
ERAS,2024-09-03,2.84,2.95,2.7,2.74,1315603
ERAS,2024-09-04,2.7,2.87,2.62,2.79,1062900
ERAS,2024-09-05,2.79,3.03,2.75,2.99,3584547
ERAS,2024-09-06,2.98,3.06,2.81,2.86,2529604
ERAS,2024-09-09,2.86,3.07,2.86,3.07,2225808
ERAS,2024-09-10,3.09,3.14,2.94,3.1,1457000
ERAS,2024-09-11,3.08,3.15,3.04,3.07,1310638
ERAS,2024-09-12,3.08,3.12,2.96,3.06,1720500
ERAS,2024-09-13,3.1,3.11,2.94,2.97,1581000
ERAS,2024-09-16,2.98,3.01,2.73,2.82,2282300
ERAS,2024-09-17,2.87,3.03,2.8,2.89,2187535
ERAS,2024-09-18,2.87,2.99,2.83,2.89,1492705
ERAS,2024-09-19,2.99,3.03,2.89,2.97,2342600
ERAS,2024-09-20,2.94,2.97,2.84,2.89,18558700
ERAS,2024-09-23,2.9,2.9,2.58,2.6,2288622
ERAS,2024-09-24,2.59,2.63,2.53,2.54,1737092
ERAS,2024-09-25,2.54,2.77,2.52,2.74,2057195
ERAS,2024-09-26,2.76,2.82,2.65,2.71,1268922
ERAS,2024-09-27,2.71,2.77,2.67,2.68,2175029
ERAS,2024-09-30,2.68,2.77,2.64,2.73,1201300
ERAS,2024-10-01,2.71,2.75,2.51,2.59,1561800
ERAS,2024-10-02,2.56,2.59,2.41,2.52,3281900
ERAS,2024-10-03,2.5,2.52,2.41,2.45,980618
ERAS,2024-10-04,2.49,2.55,2.46,2.54,894200
ERAS,2024-10-07,2.53,2.53,2.41,2.44,638330
ERAS,2024-10-08,2.45,2.61,2.41,2.52,889348
ERAS,2024-10-09,2.51,2.67,2.45,2.6,1323019
ERAS,2024-10-10,2.55,2.58,2.47,2.56,663700
ERAS,2024-10-11,2.54,2.78,2.54,2.75,2196900
ERAS,2024-10-14,2.73,2.81,2.65,2.75,716400
ERAS,2024-10-15,2.75,2.84,2.7,2.81,1311500
ERAS,2024-10-16,2.86,2.92,2.8,2.85,2163600
ERAS,2024-10-17,2.86,2.93,2.78,2.8,1007200
ERAS,2024-10-18,2.8,2.94,2.73,2.91,1019226
ERAS,2024-10-21,2.9,2.92,2.71,2.73,826928
ERAS,2024-10-22,2.68,2.73,2.59,2.67,633800
ERAS,2024-10-23,2.66,2.74,2.55,2.58,816541
ERAS,2024-10-24,2.55,2.76,2.55,2.58,1219037
ERAS,2024-10-25,2.66,2.78,2.57,2.64,1000535
ERAS,2024-10-28,2.7,2.73,2.44,2.64,4707215
ERAS,2024-10-29,2.59,2.82,2.51,2.8,2488795
ERAS,2024-10-30,2.78,2.83,2.69,2.7,863023
ERAS,2024-10-31,2.68,2.69,2.59,2.59,717437
ERAS,2024-11-01,2.62,2.72,2.62,2.72,1151611
ERAS,2024-11-04,2.75,2.91,2.63,2.87,1637600
ERAS,2024-11-05,2.88,2.95,2.79,2.94,1113510
ERAS,2024-11-06,3.05,3.25,2.96,3.18,4168700
ERAS,2024-11-07,3.06,3.31,3.06,3.11,2142654
ERAS,2024-11-08,3.12,3.23,3.1,3.14,1512400
ERAS,2024-11-11,3.2,3.24,3.09,3.11,2684400
ERAS,2024-11-12,3.07,3.13,2.98,2.99,1072604
ERAS,2024-11-13,3.06,3.19,2.82,2.85,1201310
ERAS,2024-11-14,2.85,2.86,2.71,2.81,1433300
ERAS,2024-11-15,2.82,2.82,2.62,2.67,1832100
ERAS,2024-11-18,2.94,2.97,2.64,2.73,1416481
ERAS,2024-11-19,2.72,2.83,2.67,2.79,1201835
ERAS,2024-11-20,2.77,2.82,2.6,2.64,738012
ERAS,2024-11-21,2.66,2.67,2.51,2.6,1640107
ERAS,2024-11-22,2.63,2.8,2.57,2.7,1246400
ERAS,2024-11-25,2.7,2.86,2.7,2.76,1815600
ERAS,2024-11-26,2.74,2.82,2.68,2.78,746800
ERAS,2024-11-27,2.85,2.93,2.79,2.92,1057300
ERAS,2024-11-29,2.92,3.01,2.84,2.86,696100
ERAS,2024-12-02,2.8,3.26,2.71,3.23,3437200
ERAS,2024-12-03,3.2,3.3,3.01,3.07,1592700
ERAS,2024-12-04,3.06,3.18,2.9,3.13,879340
ERAS,2024-12-05,3.11,3.12,2.89,2.9,870721
ERAS,2024-12-06,2.92,3.03,2.9,3.03,619700
ERAS,2024-12-09,3.0,3.12,2.94,2.98,884515
ERAS,2024-12-10,2.98,3.05,2.9,2.96,1349200
ERAS,2024-12-11,2.96,2.98,2.69,2.78,1690641
ERAS,2024-12-12,2.8,2.8,2.62,2.63,1012500
ERAS,2024-12-13,2.62,2.67,2.53,2.56,1468706
ERAS,2024-12-16,2.62,2.64,2.51,2.62,909000
ERAS,2024-12-17,2.66,2.68,2.57,2.63,945515
ERAS,2024-12-18,2.61,2.66,2.4,2.49,1816503
ERAS,2024-12-19,2.48,2.54,2.39,2.45,3758900
ERAS,2024-12-20,2.43,2.59,2.38,2.54,2427000
ERAS,2024-12-23,2.51,2.53,2.44,2.48,859053
ERAS,2024-12-24,2.49,2.6,2.45,2.57,1042315
ERAS,2024-12-26,2.57,2.63,2.52,2.62,715500
ERAS,2024-12-27,2.58,2.63,2.47,2.54,1029200
ERAS,2024-12-30,2.49,2.58,2.45,2.55,817600
ERAS,2024-12-31,2.57,2.58,2.49,2.51,504000
ERAS,2025-01-02,2.59,2.83,2.54,2.7,1010919
ERAS,2025-01-03,2.73,2.79,2.67,2.74,775337
ERAS,2025-01-06,2.76,2.79,2.65,2.67,809500
ERAS,2025-01-07,2.82,2.84,2.69,2.75,1442500
ERAS,2025-01-08,2.74,2.79,2.68,2.75,582314
ERAS,2025-01-10,2.66,2.68,2.36,2.37,2469700
ERAS,2025-01-13,2.37,2.38,2.03,2.15,2195509
ERAS,2025-01-14,2.16,2.16,1.88,1.93,2510908
ERAS,2025-01-15,2.04,2.05,1.91,1.92,1300759
ERAS,2025-01-16,1.93,1.97,1.77,1.86,2237918
ERAS,2025-01-17,1.89,1.94,1.83,1.85,1389842
ERAS,2025-01-21,1.88,1.98,1.88,1.9,1354908
ERAS,2025-01-22,1.9,1.97,1.89,1.93,826714
ERAS,2025-01-23,1.91,2.03,1.88,1.99,1464671
ERAS,2025-01-24,1.97,2.11,1.93,1.95,1183400
ERAS,2025-01-27,1.92,2.05,1.91,1.93,985900
ERAS,2025-01-28,1.93,1.97,1.88,1.9,862204
ERAS,2025-01-29,1.88,1.92,1.82,1.84,896103
ERAS,2025-01-30,1.85,2.0,1.84,1.88,1075945
ERAS,2025-01-31,1.88,2.03,1.84,1.89,1557132
ERAS,2025-02-03,1.88,1.88,1.73,1.76,1926728
ERAS,2025-02-04,1.76,1.79,1.67,1.78,1717822
ERAS,2025-02-05,1.8,1.88,1.77,1.83,1094222
ERAS,2025-02-06,1.83,1.85,1.66,1.67,1632100
ERAS,2025-02-07,1.67,1.72,1.58,1.59,1190762
ERAS,2025-02-10,1.64,1.68,1.61,1.64,1844400
ERAS,2025-02-11,1.64,1.66,1.51,1.58,1935619
ERAS,2025-02-12,1.55,1.62,1.55,1.57,1024225
ERAS,2025-02-13,1.62,1.65,1.52,1.63,1235732
ERAS,2025-02-14,1.69,1.76,1.53,1.57,1813700
ERAS,2025-02-18,1.56,1.6,1.51,1.55,663200
ERAS,2025-02-19,1.53,1.55,1.45,1.51,822800
ERAS,2025-02-20,1.49,1.53,1.43,1.46,807601
ERAS,2025-02-21,1.54,1.54,1.41,1.41,918300
ERAS,2025-02-24,1.4,1.48,1.36,1.41,1374300
ERAS,2025-02-25,1.43,1.46,1.33,1.4,1260021
ERAS,2025-02-26,1.39,1.46,1.35,1.39,1326600
ERAS,2025-02-27,1.38,1.43,1.29,1.29,843550
ERAS,2025-02-28,1.29,1.4,1.29,1.37,1532903
ERAS,2025-03-03,1.39,1.42,1.27,1.28,1607600
ERAS,2025-03-04,1.25,1.34,1.23,1.32,1691334
ERAS,2025-03-05,1.32,1.44,1.31,1.42,1624009
ERAS,2025-03-06,1.39,1.47,1.37,1.42,1764405
ERAS,2025-03-07,1.45,1.55,1.41,1.53,1171248
ERAS,2025-03-10,1.52,1.56,1.41,1.43,1632700
ERAS,2025-03-11,1.44,1.56,1.41,1.54,1631043
ERAS,2025-03-12,1.56,1.59,1.49,1.53,1134758
ERAS,2025-03-13,1.54,1.56,1.44,1.47,799000
ERAS,2025-03-14,1.45,1.49,1.42,1.44,857636
ERAS,2025-03-17,1.45,1.51,1.42,1.46,992162
ERAS,2025-03-18,1.45,1.51,1.4,1.44,873616
ERAS,2025-03-19,1.46,1.5,1.44,1.48,953324
ERAS,2025-03-20,1.45,1.57,1.43,1.48,1920526
ERAS,2025-03-21,1.48,1.59,1.4,1.53,8897000
ERAS,2025-03-24,1.54,1.54,1.45,1.49,2092643
ERAS,2025-03-25,1.49,1.53,1.45,1.48,1009900
ERAS,2025-03-26,1.59,1.61,1.45,1.48,1982800
ERAS,2025-03-27,1.48,1.57,1.45,1.55,1304107
ERAS,2025-03-28,1.53,1.55,1.49,1.52,814700
ERAS,2025-03-31,1.49,1.49,1.36,1.37,2550400
ERAS,2025-04-01,1.35,1.36,1.2,1.21,2037920
ERAS,2025-04-02,1.17,1.27,1.04,1.26,3039745
ERAS,2025-04-03,1.18,1.26,1.17,1.21,1548644
ERAS,2025-04-04,1.13,1.21,1.09,1.16,3211106
ERAS,2025-04-07,1.07,1.24,1.03,1.23,2294600
ERAS,2025-04-08,1.28,1.28,1.02,1.06,3475300
ERAS,2025-04-09,1.02,1.38,1.01,1.2,2781500
ERAS,2025-04-10,1.14,1.15,1.02,1.07,1584700
ERAS,2025-04-11,1.05,1.28,1.03,1.24,1710000
ERAS,2025-04-14,1.25,1.28,1.13,1.24,2254123
ERAS,2025-04-15,1.27,1.29,1.16,1.19,1543800
ERAS,2025-04-16,1.18,1.2,1.15,1.17,793200
ERAS,2025-04-17,1.16,1.19,1.12,1.16,952500
ERAS,2025-04-21,1.17,1.42,1.13,1.24,1701242
ERAS,2025-04-22,1.24,1.43,1.23,1.38,1893700
ERAS,2025-04-23,1.37,1.55,1.37,1.42,2163500
ERAS,2025-04-24,1.44,1.47,1.36,1.4,584811
ERAS,2025-04-25,1.37,1.42,1.33,1.39,769518
ERAS,2025-04-28,1.39,1.41,1.27,1.4,1350000
ERAS,2025-04-29,1.39,1.46,1.38,1.43,3160830
ERAS,2025-04-30,1.39,1.51,1.37,1.46,740400
ERAS,2025-05-01,1.45,1.49,1.39,1.49,753531
ERAS,2025-05-02,1.5,1.61,1.48,1.58,1307250
ERAS,2025-05-05,1.57,1.57,1.44,1.45,929570
ERAS,2025-05-06,1.44,1.44,1.24,1.25,1069200
ERAS,2025-05-07,1.26,1.28,1.21,1.23,2814600
ERAS,2025-05-08,1.23,1.46,1.21,1.39,1718800
ERAS,2025-05-09,1.38,1.46,1.36,1.39,537400
ERAS,2025-05-12,1.48,1.53,1.34,1.39,893840
ERAS,2025-05-13,1.42,1.42,1.33,1.33,869000
ERAS,2025-05-14,1.36,1.52,1.24,1.27,1977301
ERAS,2025-05-15,1.26,1.29,1.13,1.27,1787845
ERAS,2025-05-16,1.24,1.31,1.24,1.29,889932
ERAS,2025-05-19,1.27,1.29,1.18,1.23,1480000
ERAS,2025-05-20,1.22,1.3,1.18,1.28,730400
ERAS,2025-05-21,1.25,1.27,1.2,1.22,547028
ERAS,2025-05-22,1.23,1.25,1.17,1.21,617000
ERAS,2025-05-23,1.16,1.24,1.16,1.22,933416
ERAS,2025-05-27,1.23,1.25,1.06,1.08,1960042
ERAS,2025-05-28,1.08,1.2,1.07,1.1,1357800
ERAS,2025-05-29,1.14,1.47,1.12,1.45,3990800
ERAS,2025-05-30,1.45,1.45,1.34,1.4,4007732
ERAS,2025-06-02,1.42,1.46,1.26,1.43,1486312
ERAS,2025-06-03,1.42,1.53,1.39,1.45,2037396
ERAS,2025-06-04,1.44,1.59,1.42,1.53,1972941
ERAS,2025-06-05,1.55,1.7,1.52,1.57,2095035
ERAS,2025-06-06,1.6,1.67,1.57,1.6,1733028
ERAS,2025-06-09,1.6,1.64,1.53,1.63,1790438
ERAS,2025-06-10,1.61,1.68,1.58,1.61,1027741
ERAS,2025-06-11,1.58,1.62,1.52,1.52,876400
ERAS,2025-06-12,1.5,1.57,1.45,1.53,902223
ERAS,2025-06-13,1.49,1.59,1.45,1.48,1456770
ERAS,2025-06-16,1.48,1.5,1.33,1.41,3291816
ERAS,2025-06-17,1.38,1.44,1.36,1.37,1295313
ERAS,2025-06-18,1.35,1.43,1.31,1.4,645600
ERAS,2025-06-20,1.42,1.45,1.35,1.37,1337600
ERAS,2025-06-23,1.37,1.41,1.31,1.39,995700
ERAS,2025-06-24,1.4,1.49,1.36,1.45,586102
ERAS,2025-06-25,1.44,1.44,1.37,1.38,880000
ERAS,2025-06-26,1.37,1.45,1.24,1.26,1269800
ERAS,2025-06-27,1.26,1.35,1.21,1.31,1890548
ERAS,2025-06-30,1.31,1.31,1.26,1.27,816831
ERAS,2025-07-01,1.26,1.38,1.24,1.36,1228535
ERAS,2025-07-02,1.37,1.51,1.34,1.45,1943248
ERAS,2025-07-03,1.47,1.47,1.39,1.44,867633
ERAS,2025-07-07,1.43,1.49,1.38,1.42,1040962
ERAS,2025-07-08,1.45,1.48,1.41,1.46,522616
ERAS,2025-07-09,1.49,1.58,1.48,1.54,1439227
ERAS,2025-07-10,1.56,1.56,1.48,1.52,869100
ERAS,2025-07-11,1.54,1.54,1.43,1.45,600250
ERAS,2025-07-14,1.43,1.5,1.42,1.46,482925
ERAS,2025-07-15,1.46,1.5,1.4,1.41,418645
ERAS,2025-07-16,1.42,1.45,1.34,1.44,1107300
ERAS,2025-07-17,1.43,1.52,1.43,1.49,915400
ERAS,2025-07-18,1.52,1.61,1.47,1.5,701303
ERAS,2025-07-21,1.5,1.57,1.48,1.5,532500
ERAS,2025-07-22,1.51,1.7,1.5,1.68,1548530
ERAS,2025-07-23,1.69,1.8,1.69,1.71,1261133
ERAS,2025-07-24,1.72,1.76,1.66,1.71,677431
ERAS,2025-07-25,1.74,1.77,1.67,1.74,654403
ERAS,2025-07-28,1.76,1.81,1.68,1.7,904100
ERAS,2025-07-29,1.72,1.72,1.53,1.55,1010346
ERAS,2025-07-30,1.59,1.6,1.54,1.55,542005
ERAS,2025-07-31,1.52,1.54,1.39,1.42,1016430
ERAS,2025-08-01,1.37,1.45,1.34,1.39,804408
ERAS,2025-08-04,1.39,1.43,1.36,1.4,684000
ERAS,2025-08-05,1.42,1.51,1.38,1.5,911203
ERAS,2025-08-06,1.5,1.54,1.43,1.43,658603
ERAS,2025-08-07,1.43,1.47,1.41,1.46,581300
ERAS,2025-08-08,1.47,1.47,1.38,1.4,490943
ERAS,2025-08-11,1.43,1.5,1.41,1.48,613000
ERAS,2025-08-12,1.51,1.59,1.48,1.56,731458
ERAS,2025-08-13,1.55,1.71,1.53,1.62,1035141
ERAS,2025-08-14,1.62,1.63,1.55,1.57,812100
ERAS,2025-08-15,1.58,1.65,1.54,1.64,456865
ERAS,2025-08-18,1.53,1.68,1.51,1.53,563344
ERAS,2025-08-19,1.52,1.57,1.49,1.52,768800
ERAS,2025-08-20,1.53,1.53,1.45,1.46,498730
ERAS,2025-08-21,1.46,1.51,1.44,1.5,1356845
ERAS,2025-08-22,1.52,1.64,1.51,1.6,1024753
ERAS,2025-08-25,1.58,1.61,1.53,1.59,617600
ERAS,2025-08-26,1.6,1.61,1.55,1.6,460805
ERAS,2025-08-27,1.59,1.62,1.57,1.58,396200
ERAS,2025-08-28,1.6,1.62,1.56,1.57,338844
ERAS,2025-08-29,1.59,1.6,1.55,1.57,511234
ERAS,2025-09-02,1.56,1.66,1.55,1.6,678700
ERAS,2025-09-03,1.49,1.49,1.33,1.43,2856413
ERAS,2025-09-04,1.43,1.49,1.41,1.48,993000
ERAS,2025-09-05,1.47,1.61,1.47,1.61,2977244
ERAS,2025-09-08,1.63,1.63,1.53,1.55,1265441
ERAS,2025-09-09,1.53,1.61,1.53,1.61,393612
ERAS,2025-09-10,1.61,1.63,1.54,1.55,879500
ERAS,2025-09-11,1.55,1.69,1.54,1.61,1065200
ERAS,2025-09-12,1.59,1.64,1.55,1.56,1006563
ERAS,2025-09-15,1.56,1.63,1.53,1.6,843316
ERAS,2025-09-16,1.6,1.73,1.59,1.71,1304505
ERAS,2025-09-17,1.74,1.8,1.65,1.67,1038234
ERAS,2025-09-18,1.69,1.87,1.67,1.87,910495
ERAS,2025-09-19,1.86,1.88,1.8,1.84,1885236
ERAS,2025-09-22,1.85,1.87,1.78,1.78,651472
ERAS,2025-09-23,1.79,1.89,1.75,1.77,2550738
ERAS,2025-09-24,1.8,1.94,1.78,1.91,2040900
ERAS,2025-09-25,1.91,1.91,1.78,1.81,898138
ERAS,2025-09-26,1.81,2.12,1.79,2.08,2535100
ERAS,2025-09-29,2.1,2.15,2.02,2.11,1550500
ERAS,2025-09-30,2.09,2.31,2.03,2.18,4202874
ERAS,2025-10-01,2.17,2.35,2.1,2.21,3149515
ERAS,2025-10-02,2.24,2.32,2.13,2.13,1452900
ERAS,2025-10-03,2.14,2.65,2.13,2.42,4670046
ERAS,2025-10-06,2.41,2.41,2.28,2.33,2215500
ERAS,2025-10-07,2.34,2.55,2.21,2.48,7980720
ERAS,2025-10-08,2.52,2.77,2.41,2.43,4900327
ERAS,2025-10-09,2.43,2.55,2.41,2.45,2517913
ERAS,2025-10-10,2.42,2.51,2.36,2.41,2145528
ERAS,2025-10-13,2.42,2.46,2.36,2.4,1116230
ERAS,2025-10-14,2.35,2.42,2.28,2.41,842128
ERAS,2025-10-15,2.43,2.54,2.39,2.49,1107946
ERAS,2025-10-16,2.59,2.65,2.5,2.53,2000320
ERAS,2025-10-17,2.52,2.55,2.36,2.42,1048100
ERAS,2025-10-20,2.48,2.51,2.4,2.46,748900
ERAS,2025-10-21,2.49,2.49,2.35,2.38,1050805
ERAS,2025-10-22,2.38,2.41,2.19,2.27,1321129
ERAS,2025-10-23,2.28,2.32,2.17,2.21,862300
ERAS,2025-10-24,2.25,2.42,2.25,2.38,1182050
ERAS,2025-10-27,2.42,2.51,2.37,2.39,815503
ERAS,2025-10-28,2.4,2.51,2.36,2.44,787917
