symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ETR,2024-08-27,56.85,57.04,56.6,56.75,2232364
ETR,2024-08-28,56.96,57.26,56.66,56.86,2678600
ETR,2024-08-29,56.83,57.15,56.29,57.12,2159884
ETR,2024-08-30,57.2,57.66,57.07,57.53,2729802
ETR,2024-09-03,57.36,58.68,57.19,58.23,3772200
ETR,2024-09-04,58.43,58.97,57.98,58.4,2624340
ETR,2024-09-05,58.84,58.93,58.07,58.3,2346602
ETR,2024-09-06,58.51,58.61,58.04,58.1,3047600
ETR,2024-09-09,58.09,58.51,57.7,58.23,7794800
ETR,2024-09-10,58.21,58.54,57.63,57.97,4613600
ETR,2024-09-11,57.69,58.35,57.19,58.26,4381400
ETR,2024-09-12,58.36,58.95,58.18,58.89,3143490
ETR,2024-09-13,59.51,60.69,59.4,60.58,6034216
ETR,2024-09-16,60.92,61.45,60.52,61.23,4948600
ETR,2024-09-17,61.66,61.8,60.91,61.52,5259140
ETR,2024-09-18,61.31,61.72,60.97,61.3,3653400
ETR,2024-09-19,61.09,61.26,60.22,60.85,3873200
ETR,2024-09-20,61.39,61.82,60.96,61.61,6308832
ETR,2024-09-23,61.9,62.04,61.54,61.98,3758406
ETR,2024-09-24,61.59,62.46,61.4,61.98,6605618
ETR,2024-09-25,62.29,62.29,61.55,61.84,5282026
ETR,2024-09-26,61.55,62.06,61.44,61.76,1909774
ETR,2024-09-27,62.06,62.7,61.9,62.5,1658294
ETR,2024-09-30,62.79,62.8,62.12,62.73,2933400
ETR,2024-10-01,62.87,63.57,62.37,63.36,3382952
ETR,2024-10-02,62.76,63.35,62.55,63.26,2249272
ETR,2024-10-03,63.39,63.47,62.97,63.39,1689290
ETR,2024-10-04,62.82,63.25,62.38,63.15,2066838
ETR,2024-10-07,62.91,62.94,62.29,62.39,2524430
ETR,2024-10-08,62.82,62.9,62.18,62.22,4944800
ETR,2024-10-09,62.2,62.59,61.75,61.99,2719904
ETR,2024-10-10,62.06,62.46,61.37,61.51,2308712
ETR,2024-10-11,61.79,62.38,61.69,62.26,1758866
ETR,2024-10-14,62.27,62.96,62.24,62.86,1594600
ETR,2024-10-15,63.39,64.17,63.24,63.56,2230270
ETR,2024-10-16,63.68,64.13,63.59,64.02,3147270
ETR,2024-10-17,64.08,64.42,63.73,64.17,2143600
ETR,2024-10-18,64.02,64.73,63.74,64.48,2034200
ETR,2024-10-21,64.47,64.83,64.27,64.36,2045284
ETR,2024-10-22,63.76,64.46,63.63,64.33,2022600
ETR,2024-10-23,64.25,65.33,64.24,65.27,2192086
ETR,2024-10-24,65.31,65.62,65.16,65.52,3878000
ETR,2024-10-25,65.88,65.88,64.51,64.52,4111824
ETR,2024-10-28,64.71,65.23,64.52,64.97,3359782
ETR,2024-10-29,64.58,64.6,63.89,63.93,5491000
ETR,2024-10-30,64.29,64.47,63.73,64.06,4791856
ETR,2024-10-31,67.68,74.76,67.4,73.77,12033530
ETR,2024-11-01,73.57,73.65,68.79,69.01,7743018
ETR,2024-11-04,68.71,68.98,66.94,67.89,5933856
ETR,2024-11-05,67.7,69.57,67.49,69.56,3213964
ETR,2024-11-06,69.42,70.7,68.79,69.61,3950032
ETR,2024-11-07,69.36,70.04,68.97,69.57,2840606
ETR,2024-11-08,69.59,71.18,69.26,71.01,4929282
ETR,2024-11-11,70.88,72.72,70.88,71.66,3857062
ETR,2024-11-12,71.48,71.83,70.75,71.12,3078308
ETR,2024-11-13,71.35,71.64,70.38,70.93,3292684
ETR,2024-11-14,71.14,71.36,70.56,70.65,3501800
ETR,2024-11-15,70.87,71.97,70.69,71.65,5188548
ETR,2024-11-18,71.42,72.65,71.42,71.72,2801138
ETR,2024-11-19,71.29,72.14,70.84,72.01,2150438
ETR,2024-11-20,72.34,72.97,71.94,72.41,3683286
ETR,2024-11-21,72.33,73.4,71.96,72.82,3386198
ETR,2024-11-22,73.51,73.65,72.52,72.58,3700070
ETR,2024-11-25,73.18,73.44,72.2,73.27,5319046
ETR,2024-11-26,73.58,74.97,73.34,74.92,3713104
ETR,2024-11-27,75.05,75.95,74.97,75.14,3827608
ETR,2024-11-29,75.37,75.62,74.71,75.03,1542212
ETR,2024-12-02,75.06,75.22,73.5,73.64,3390350
ETR,2024-12-03,74.17,74.46,72.7,72.71,3542372
ETR,2024-12-04,72.66,73.54,71.9,72.87,4636600
ETR,2024-12-05,72.73,74.41,72.6,73.86,3497600
ETR,2024-12-06,73.75,74.08,72.52,72.82,2250106
ETR,2024-12-09,72.86,73.03,71.84,71.86,2344078
ETR,2024-12-10,71.62,71.74,70.66,71.27,3279648
ETR,2024-12-11,71.41,71.55,70.97,71.05,2424374
ETR,2024-12-12,71.53,72.13,71.14,71.24,3252364
ETR,2024-12-13,71.23,71.58,70.74,71.34,3294544
ETR,2024-12-16,71.89,72.7,70.65,71.84,3607950
ETR,2024-12-17,71.53,72.73,71.0,71.92,3754819
ETR,2024-12-18,71.66,72.36,70.29,70.33,2807056
ETR,2024-12-19,70.75,72.14,70.56,71.58,4577152
ETR,2024-12-20,71.16,72.24,70.82,72.19,6807039
ETR,2024-12-23,71.79,72.6,71.29,72.48,2524342
ETR,2024-12-24,72.62,73.27,72.37,73.25,830719
ETR,2024-12-26,73.09,73.24,72.55,72.97,1391100
ETR,2024-12-27,72.48,73.3,72.31,72.8,1429306
ETR,2024-12-30,72.56,73.07,71.8,72.79,1829751
ETR,2024-12-31,72.83,73.22,72.3,72.86,2015400
ETR,2025-01-02,73.29,73.55,71.84,72.45,3188100
ETR,2025-01-03,72.71,74.14,71.88,73.68,2740139
ETR,2025-01-06,73.52,73.65,72.08,72.32,2733493
ETR,2025-01-07,72.54,73.73,72.54,72.99,2420123
ETR,2025-01-08,72.87,73.88,72.26,73.61,3373563
ETR,2025-01-10,73.46,73.8,72.52,73.21,3089072
ETR,2025-01-13,73.12,74.15,72.11,74.06,4703331
ETR,2025-01-14,74.03,74.9,73.65,74.53,3671555
ETR,2025-01-15,75.37,76.24,75.12,75.9,3611646
ETR,2025-01-16,75.7,78.19,75.58,78.13,3968586
ETR,2025-01-17,78.04,79.28,77.72,78.79,2853139
ETR,2025-01-21,79.46,80.96,79.37,80.35,3129087
ETR,2025-01-22,80.17,80.17,78.87,79.36,3043232
ETR,2025-01-23,79.75,79.91,78.53,78.7,4066200
ETR,2025-01-24,78.66,79.57,78.52,79.3,4218600
ETR,2025-01-27,78.6,79.44,74.71,75.71,7685200
ETR,2025-01-28,75.95,76.0,72.6,74.59,7949500
ETR,2025-01-29,74.9,77.1,74.64,76.14,4953232
ETR,2025-01-30,77.31,78.32,76.94,78.01,3595496
ETR,2025-01-31,77.9,78.54,77.55,77.91,7475600
ETR,2025-02-03,77.02,78.97,76.5,78.83,2746100
ETR,2025-02-04,78.31,79.28,77.51,78.47,2770524
ETR,2025-02-05,79.11,80.01,78.52,79.28,2844707
