symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
ETSY,2024-12-05,59.5,60.64,57.11,57.21,3304810
ETSY,2024-12-06,57.76,58.67,57.14,57.3,2618766
ETSY,2024-12-09,57.66,60.44,57.44,58.75,3374204
ETSY,2024-12-10,58.52,58.99,57.53,58.76,2565300
ETSY,2024-12-11,58.76,60.01,58.51,58.99,3222700
ETSY,2024-12-12,58.89,59.53,58.15,58.58,2154422
ETSY,2024-12-13,58.6,59.3,57.96,58.98,2823000
ETSY,2024-12-16,58.16,63.06,58.16,61.61,7660606
ETSY,2024-12-17,61.61,62.54,60.51,60.97,4419247
ETSY,2024-12-18,60.91,61.26,56.11,56.64,6214808
ETSY,2024-12-19,57.21,58.16,55.69,57.14,5125646
ETSY,2024-12-20,56.53,57.56,55.31,56.81,12521540
ETSY,2024-12-23,56.97,57.66,55.1,55.44,2976912
ETSY,2024-12-24,55.28,55.42,54.65,55.13,1318300
ETSY,2024-12-26,54.64,55.16,53.78,53.84,2706574
ETSY,2024-12-27,53.43,53.91,52.36,52.71,2576000
ETSY,2024-12-30,52.3,53.99,51.6,53.83,3109730
ETSY,2024-12-31,54.19,55.38,52.82,52.89,3910283
ETSY,2025-01-02,53.66,54.65,52.96,53.11,3081748
ETSY,2025-01-03,53.25,54.02,52.26,53.9,2280804
ETSY,2025-01-06,54.78,57.31,54.51,56.61,3975900
ETSY,2025-01-07,56.65,56.65,53.18,53.98,3510917
ETSY,2025-01-08,53.81,54.14,52.0,53.42,3254756
ETSY,2025-01-10,52.32,53.4,51.79,52.57,2946475
ETSY,2025-01-13,52.62,53.76,51.88,53.45,2442027
ETSY,2025-01-14,53.6,53.6,52.12,53.41,2251243
ETSY,2025-01-15,54.91,55.0,53.16,53.27,2369678
ETSY,2025-01-16,53.06,53.4,51.64,52.72,2240695
ETSY,2025-01-17,53.31,53.44,52.21,53.12,2851901
ETSY,2025-01-21,53.76,53.93,51.06,52.05,3815863
ETSY,2025-01-22,51.72,52.79,51.72,52.25,1980900
ETSY,2025-01-23,52.14,54.64,52.1,53.09,3222700
ETSY,2025-01-24,53.1,53.5,51.76,52.23,2454437
ETSY,2025-01-27,52.23,55.15,52.03,53.45,4158536
ETSY,2025-01-28,53.63,56.75,53.63,55.79,3474121
ETSY,2025-01-29,55.34,55.77,54.05,55.05,1756100
ETSY,2025-01-30,55.51,56.36,55.39,56.06,1968900
ETSY,2025-01-31,56.19,56.47,54.66,54.91,2034000
ETSY,2025-02-03,57.0,57.56,53.97,54.81,4917765
ETSY,2025-02-04,54.34,55.1,53.87,53.96,2107600
ETSY,2025-02-05,54.4,56.34,54.0,55.26,2775129
ETSY,2025-02-06,55.51,56.5,55.3,55.46,1776900
ETSY,2025-02-07,55.59,55.75,54.27,54.4,2184830
ETSY,2025-02-10,54.75,55.83,54.08,54.18,2368214
ETSY,2025-02-11,53.77,54.18,53.25,53.29,1946544
ETSY,2025-02-12,52.04,53.56,51.8,52.79,2322212
ETSY,2025-02-13,52.73,55.41,52.35,55.32,3058162
ETSY,2025-02-14,55.82,58.24,55.82,57.2,3997842
ETSY,2025-02-18,57.71,58.17,56.14,57.29,7482139
ETSY,2025-02-19,54.0,54.25,50.75,51.53,13317339
ETSY,2025-02-20,51.45,53.41,50.51,51.4,5381424
ETSY,2025-02-21,51.29,52.34,49.88,51.26,5002800
