symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EVER,2025-02-07,21.83,22.08,20.77,21.46,436720
EVER,2025-02-10,21.72,21.76,21.12,21.52,231500
EVER,2025-02-11,21.17,21.83,21.16,21.49,399400
EVER,2025-02-12,21.05,21.8,21.05,21.26,282900
EVER,2025-02-13,21.32,21.86,21.19,21.78,317427
EVER,2025-02-14,21.78,22.1,21.6,21.69,305900
EVER,2025-02-18,21.8,21.98,21.4,21.82,348804
EVER,2025-02-19,22.22,22.57,21.89,22.54,454703
EVER,2025-02-20,22.15,22.18,21.04,21.66,493389
EVER,2025-02-21,22.02,22.02,20.68,20.76,467900
EVER,2025-02-24,20.77,20.83,19.57,20.15,841900
EVER,2025-02-25,26.25,26.25,23.85,25.62,2828200
EVER,2025-02-26,25.5,26.99,24.65,25.74,1099444
EVER,2025-02-27,25.46,26.45,24.39,25.78,1257928
EVER,2025-02-28,25.6,26.96,25.3,26.88,731133
EVER,2025-03-03,26.15,26.87,25.34,25.45,699613
EVER,2025-03-04,24.79,26.52,24.55,26.36,671814
EVER,2025-03-05,25.93,26.7,25.8,25.86,533247
EVER,2025-03-06,25.39,26.4,25.27,26.03,443700
EVER,2025-03-07,26.13,26.48,25.06,25.77,499778
EVER,2025-03-10,25.25,25.67,24.22,24.45,668643
EVER,2025-03-11,24.45,25.7,23.83,25.23,514361
EVER,2025-03-12,25.76,26.15,24.55,26.04,447481
EVER,2025-03-13,25.91,26.1,25.04,25.68,314649
EVER,2025-03-14,25.9,26.86,25.32,26.61,512448
EVER,2025-03-17,26.44,28.25,26.11,28.05,1360700
EVER,2025-03-18,28.24,28.27,25.38,26.46,1075538
EVER,2025-03-19,26.25,28.5,25.5,28.27,811121
EVER,2025-03-20,27.78,28.43,27.55,28.05,957800
EVER,2025-03-21,27.57,29.07,27.56,28.71,1099300
EVER,2025-03-24,29.7,29.97,27.99,29.08,617515
EVER,2025-03-25,29.14,30.03,29.14,29.71,579327
EVER,2025-03-26,29.52,29.91,27.69,27.96,635630
EVER,2025-03-27,28.08,28.87,27.77,28.09,696400
EVER,2025-03-28,27.74,27.95,26.25,26.88,936700
EVER,2025-03-31,26.15,26.77,25.87,26.19,434200
EVER,2025-04-01,26.33,26.8,25.94,26.56,425237
EVER,2025-04-02,26.04,27.07,25.75,26.65,634754
EVER,2025-04-03,25.2,25.55,24.36,24.41,604926
EVER,2025-04-04,23.27,23.68,21.55,21.66,1232900
EVER,2025-04-07,20.68,22.84,20.29,21.15,1058342
EVER,2025-04-08,22.98,22.98,20.29,20.51,825285
EVER,2025-04-09,20.13,22.78,19.69,21.66,879700
EVER,2025-04-10,22.16,22.34,20.86,21.15,597700
EVER,2025-04-11,21.07,21.41,19.7,20.21,426446
EVER,2025-04-14,20.96,21.25,19.95,20.51,421400
EVER,2025-04-15,20.36,21.31,20.3,21.03,651368
EVER,2025-04-16,20.94,21.9,20.83,21.89,684402
EVER,2025-04-17,21.89,22.94,21.68,22.81,838267
EVER,2025-04-21,22.46,22.61,20.75,21.28,562800
EVER,2025-04-22,21.8,23.07,21.77,22.59,584486
EVER,2025-04-23,23.34,23.68,22.51,22.77,492007
EVER,2025-04-24,22.79,23.29,22.63,23.21,364593
EVER,2025-04-25,23.26,23.52,22.96,23.37,354714
EVER,2025-04-28,23.4,23.7,23.1,23.21,385118
EVER,2025-04-29,23.06,23.89,23.06,23.73,306027
EVER,2025-04-30,23.14,23.84,22.63,23.74,666103
EVER,2025-05-01,25.24,26.52,24.6,26.22,1264801
EVER,2025-05-02,26.26,26.82,25.37,26.71,968406
EVER,2025-05-05,26.71,27.05,25.54,26.34,983800
EVER,2025-05-06,24.7,25.3,22.34,23.18,1319129
EVER,2025-05-07,23.38,23.92,22.64,22.9,1000410
EVER,2025-05-08,23.3,23.77,22.75,23.13,769100
EVER,2025-05-09,23.41,23.9,23.01,23.2,438900
EVER,2025-05-12,24.49,24.55,23.52,24.1,511703
EVER,2025-05-13,24.21,25.39,24.21,24.9,535000
EVER,2025-05-14,25.0,25.56,24.65,24.94,450677
EVER,2025-05-15,24.86,25.12,24.42,24.45,387527
EVER,2025-05-16,24.77,24.77,24.02,24.27,429778
EVER,2025-05-19,23.7,24.22,23.39,23.99,332200
EVER,2025-05-20,23.97,24.02,23.32,23.65,723768
EVER,2025-05-21,23.1,23.31,22.38,22.61,549053
EVER,2025-05-22,22.83,23.08,22.51,22.65,529221
EVER,2025-05-23,22.08,23.0,21.86,22.59,412700
EVER,2025-05-27,23.11,23.41,23.0,23.4,562000
EVER,2025-05-28,23.29,23.62,22.9,23.26,435235
EVER,2025-05-29,23.52,23.52,22.86,23.12,338500
EVER,2025-05-30,23.08,23.31,22.76,23.05,328600
EVER,2025-06-02,23.01,23.93,22.88,23.91,395215
EVER,2025-06-03,23.95,24.41,23.61,24.28,434934
EVER,2025-06-04,24.16,24.39,24.0,24.13,303900
EVER,2025-06-05,24.2,24.69,24.09,24.61,359400
EVER,2025-06-06,25.0,25.45,24.73,25.37,335601
EVER,2025-06-09,25.47,25.95,25.12,25.93,393434
EVER,2025-06-10,25.97,26.37,25.56,25.87,416967
EVER,2025-06-11,26.02,26.74,26.02,26.19,346800
EVER,2025-06-12,25.81,26.17,25.55,25.74,271482
EVER,2025-06-13,25.23,25.48,24.56,24.66,286544
EVER,2025-06-16,24.86,25.42,24.2,24.34,607471
EVER,2025-06-17,24.11,25.31,24.11,24.55,386920
EVER,2025-06-18,24.56,25.14,24.3,24.52,552961
EVER,2025-06-20,24.78,24.78,23.81,24.16,675700
EVER,2025-06-23,24.03,24.03,22.84,23.85,559800
EVER,2025-06-24,24.08,24.28,23.7,24.09,364086
EVER,2025-06-25,24.18,24.48,23.65,23.73,365800
EVER,2025-06-26,23.8,23.9,23.14,23.83,489929
EVER,2025-06-27,24.07,24.29,23.67,24.25,711800
EVER,2025-06-30,24.43,25.0,24.08,24.18,525216
EVER,2025-07-01,24.04,24.9,23.8,24.42,333400
EVER,2025-07-02,24.28,24.48,23.82,24.19,431000
EVER,2025-07-03,24.48,24.64,24.22,24.53,156740
EVER,2025-07-07,24.31,24.85,24.26,24.72,507800
EVER,2025-07-08,24.8,24.98,24.11,24.53,306905
EVER,2025-07-09,24.82,25.03,24.51,24.89,259633
EVER,2025-07-10,24.98,25.45,24.57,25.36,444421
EVER,2025-07-11,25.17,25.98,24.33,24.36,281200
EVER,2025-07-14,24.3,24.69,24.04,24.59,258300
EVER,2025-07-15,24.82,25.29,24.47,24.64,328634
EVER,2025-07-16,24.97,25.2,24.31,24.51,234178
EVER,2025-07-17,24.47,24.81,24.47,24.69,266910
EVER,2025-07-18,24.82,25.12,24.51,24.78,285600
EVER,2025-07-21,24.77,25.2,24.58,25.18,401400
EVER,2025-07-22,25.23,26.58,25.23,25.66,508300
EVER,2025-07-23,25.78,25.88,25.13,25.74,326200
EVER,2025-07-24,25.56,26.24,25.29,25.87,336400
EVER,2025-07-25,26.0,26.61,25.59,25.71,614196
EVER,2025-07-28,25.79,26.16,25.05,25.2,381322
EVER,2025-07-29,25.2,25.2,23.6,24.27,554320
EVER,2025-07-30,24.44,24.73,24.13,24.29,420000
EVER,2025-07-31,24.47,24.93,24.36,24.59,347312
EVER,2025-08-01,24.39,24.39,23.77,24.1,398500
EVER,2025-08-04,24.31,25.84,24.16,25.76,608200
EVER,2025-08-05,23.67,24.98,23.01,23.76,1368112
EVER,2025-08-06,23.96,25.09,23.47,25.02,553573
EVER,2025-08-07,25.2,25.27,23.56,24.14,482300
EVER,2025-08-08,23.9,24.17,23.44,23.75,567300
EVER,2025-08-11,23.86,24.04,23.26,23.55,477207
EVER,2025-08-12,23.7,24.16,23.42,23.51,524435
EVER,2025-08-13,23.68,24.96,23.65,24.1,699059
EVER,2025-08-14,23.79,24.47,23.2,23.35,764758
