symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EXP,2025-02-10,256.02,256.32,252.85,254.46,278200
EXP,2025-02-11,252.12,255.43,252.12,253.48,276400
EXP,2025-02-12,243.54,248.86,235.0,244.79,585443
EXP,2025-02-13,249.16,249.87,247.16,249.01,343237
EXP,2025-02-14,250.95,251.17,248.51,250.92,239537
EXP,2025-02-18,252.99,257.32,247.09,249.03,521421
EXP,2025-02-19,244.59,246.55,238.32,239.0,440724
EXP,2025-02-20,238.45,239.26,231.19,231.54,466040
EXP,2025-02-21,234.32,234.32,220.81,222.85,528711
EXP,2025-02-24,222.66,228.18,219.29,225.53,497500
EXP,2025-02-25,226.51,229.34,223.6,226.41,323100
EXP,2025-02-26,227.43,230.47,224.55,227.03,235638
EXP,2025-02-27,225.8,227.95,222.25,222.95,297900
EXP,2025-02-28,223.71,225.71,219.66,224.86,272126
EXP,2025-03-03,227.33,229.24,216.96,217.47,367600
EXP,2025-03-04,213.35,218.91,206.79,213.77,379500
EXP,2025-03-05,215.79,220.38,212.17,219.58,435600
EXP,2025-03-06,217.82,220.88,215.41,219.48,511200
EXP,2025-03-07,218.28,218.59,204.22,212.34,690434
EXP,2025-03-10,208.34,217.41,208.0,214.55,567700
EXP,2025-03-11,213.75,215.38,209.52,210.19,438449
EXP,2025-03-12,213.08,216.67,207.75,208.31,428382
EXP,2025-03-13,207.61,209.06,204.7,206.26,388800
EXP,2025-03-14,209.01,212.79,207.42,212.04,346936
EXP,2025-03-17,211.28,216.96,210.63,215.56,264403
EXP,2025-03-18,214.74,215.98,211.15,214.09,370000
EXP,2025-03-19,211.62,217.52,211.0,217.08,324600
EXP,2025-03-20,214.53,219.28,213.37,216.25,304900
EXP,2025-03-21,213.76,217.16,211.25,217.11,640700
EXP,2025-03-24,220.33,227.09,219.54,226.79,398808
EXP,2025-03-25,224.85,229.3,224.12,227.62,402300
EXP,2025-03-26,227.11,230.96,225.93,227.75,348143
EXP,2025-03-27,227.04,227.66,222.12,224.74,273800
EXP,2025-03-28,223.43,224.6,215.89,219.91,204400
EXP,2025-03-31,216.05,221.05,211.74,220.86,472333
EXP,2025-04-01,219.53,226.86,216.95,226.39,391000
EXP,2025-04-02,222.03,234.87,222.03,234.07,482500
EXP,2025-04-03,224.12,232.9,219.95,227.55,893500
EXP,2025-04-04,219.09,221.38,211.18,216.25,914317
EXP,2025-04-07,209.17,223.91,204.71,211.1,614499
EXP,2025-04-08,217.95,221.49,202.1,204.93,524228
EXP,2025-04-09,202.57,228.26,200.64,224.09,784922
EXP,2025-04-10,218.88,223.34,211.98,215.49,598300
EXP,2025-04-11,212.98,224.47,212.88,222.71,330000
EXP,2025-04-14,225.88,226.84,217.51,225.86,309600
EXP,2025-04-15,226.57,227.81,221.97,222.7,256400
EXP,2025-04-16,220.93,222.3,212.15,215.43,531722
EXP,2025-04-17,215.07,218.43,214.87,215.34,352400
EXP,2025-04-21,213.54,213.75,205.21,207.86,336910
EXP,2025-04-22,212.3,214.66,209.96,212.51,291500
EXP,2025-04-23,217.57,222.92,211.95,215.24,438444
EXP,2025-04-24,214.46,221.25,213.48,220.23,236730
EXP,2025-04-25,219.29,220.02,216.37,217.83,233705
EXP,2025-04-28,217.53,221.02,216.72,220.3,305200
EXP,2025-04-29,219.26,222.51,215.93,220.68,224200
EXP,2025-04-30,219.38,226.02,215.9,225.3,333100
EXP,2025-05-01,226.46,231.79,224.99,226.65,242300
EXP,2025-05-02,228.93,236.36,228.93,232.85,254900
EXP,2025-05-05,231.21,237.64,230.72,233.77,206100
EXP,2025-05-06,229.72,232.82,229.23,229.3,223700
EXP,2025-05-07,230.97,231.22,221.29,223.85,405911
EXP,2025-05-08,226.81,231.86,223.03,228.73,302400
EXP,2025-05-09,228.92,230.93,227.48,229.12,213518
EXP,2025-05-12,238.96,240.66,233.32,238.41,245100
EXP,2025-05-13,240.73,240.73,236.8,236.81,161223
EXP,2025-05-14,237.27,239.58,232.78,233.31,412102
EXP,2025-05-15,231.51,234.18,230.67,233.43,296400
EXP,2025-05-16,234.84,238.9,233.87,238.78,366137
EXP,2025-05-19,235.83,241.83,233.78,240.79,577538
EXP,2025-05-20,227.6,231.84,218.49,219.63,1031413
EXP,2025-05-21,215.96,219.66,212.97,213.71,515231
EXP,2025-05-22,212.97,214.92,211.1,212.63,448200
EXP,2025-05-23,209.92,215.43,207.98,213.34,316841
EXP,2025-05-27,217.26,218.72,211.23,216.99,455130
EXP,2025-05-28,216.61,218.83,202.3,202.31,650000
EXP,2025-05-29,203.05,205.57,199.82,203.99,844100
EXP,2025-05-30,203.11,204.44,198.7,201.24,752500
EXP,2025-06-02,199.52,200.67,194.86,196.96,438729
EXP,2025-06-03,197.19,203.06,195.91,200.35,508200
EXP,2025-06-04,200.63,201.49,199.28,199.98,385900
EXP,2025-06-05,199.97,202.26,197.91,200.17,370824
