symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
EXPD,2024-12-05,120.18,120.23,118.7,119.0,1027410
EXPD,2024-12-06,119.85,119.99,117.68,117.84,974507
EXPD,2024-12-09,118.26,119.73,117.76,119.19,871835
EXPD,2024-12-10,119.34,120.39,118.21,119.64,820907
EXPD,2024-12-11,121.33,121.42,118.89,118.95,1023457
EXPD,2024-12-12,118.85,119.15,117.4,118.31,1119910
EXPD,2024-12-13,117.99,118.42,116.77,117.08,858500
EXPD,2024-12-16,116.82,117.39,116.34,116.36,938100
EXPD,2024-12-17,115.42,116.48,114.45,114.52,1240112
EXPD,2024-12-18,114.44,115.19,112.94,112.95,1033920
EXPD,2024-12-19,112.89,113.56,111.13,111.38,1272262
EXPD,2024-12-20,110.85,112.0,109.72,110.14,2367018
EXPD,2024-12-23,109.66,110.02,108.63,109.17,912919
EXPD,2024-12-24,109.18,109.89,108.7,109.85,289029
EXPD,2024-12-26,109.32,110.64,109.18,109.93,693300
EXPD,2024-12-27,109.27,110.72,109.27,110.08,774850
EXPD,2024-12-30,109.68,110.0,108.11,109.46,860800
EXPD,2024-12-31,109.95,110.72,109.14,109.43,705305
EXPD,2025-01-02,109.59,110.3,108.26,108.69,902500
EXPD,2025-01-03,108.87,110.28,108.31,109.94,670814
EXPD,2025-01-06,110.22,112.52,109.35,109.77,1078300
EXPD,2025-01-07,110.76,111.62,109.42,110.06,944200
EXPD,2025-01-08,110.37,111.58,108.96,111.53,986500
EXPD,2025-01-10,110.64,111.43,107.05,107.77,2136500
EXPD,2025-01-13,108.23,110.13,107.7,109.25,1219400
EXPD,2025-01-14,109.66,110.91,109.48,109.9,943600
EXPD,2025-01-15,110.98,112.39,109.77,110.11,924824
EXPD,2025-01-16,110.13,110.47,109.0,109.87,1107305
EXPD,2025-01-17,109.97,110.01,108.87,109.02,1701700
EXPD,2025-01-21,109.17,111.49,108.97,111.38,1344921
EXPD,2025-01-22,111.03,111.71,110.45,110.97,626805
EXPD,2025-01-23,111.72,113.3,111.0,112.92,682879
EXPD,2025-01-24,112.7,113.08,111.35,111.63,728200
EXPD,2025-01-27,112.24,114.42,112.24,113.93,870827
EXPD,2025-01-28,113.94,113.94,112.49,112.81,768300
EXPD,2025-01-29,112.52,114.55,112.27,112.92,887200
EXPD,2025-01-30,111.3,113.18,110.2,112.37,743408
EXPD,2025-01-31,112.4,113.74,111.46,112.21,1209545
EXPD,2025-02-03,110.81,110.89,108.52,109.44,1260936
