symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FANUY,2024-12-05,12.58,12.8,12.58,12.72,446536
FANUY,2024-12-06,12.59,13.12,12.59,12.81,425909
FANUY,2024-12-09,12.82,12.98,12.82,12.87,743615
FANUY,2024-12-10,13.02,13.11,12.97,12.99,449400
FANUY,2024-12-11,13.25,13.25,12.77,13.07,396330
FANUY,2024-12-12,12.89,13.04,12.77,12.9,729512
FANUY,2024-12-13,12.59,12.75,12.58,12.64,431800
FANUY,2024-12-16,12.53,12.68,12.53,12.63,1530200
FANUY,2024-12-17,12.55,12.71,12.54,12.57,562400
FANUY,2024-12-18,12.63,12.75,12.33,12.37,520600
FANUY,2024-12-19,12.18,12.67,12.18,12.4,597000
FANUY,2024-12-20,12.57,12.57,12.16,12.39,611904
FANUY,2024-12-23,12.26,12.47,12.24,12.35,1218000
FANUY,2024-12-24,12.2,12.39,12.01,12.31,532400
FANUY,2024-12-26,12.44,12.6,12.44,12.59,429328
FANUY,2024-12-27,12.5,12.77,12.35,12.64,511800
FANUY,2024-12-30,12.67,12.94,12.57,12.64,483424
FANUY,2024-12-31,12.4,12.66,12.27,12.57,290400
FANUY,2025-01-02,12.71,12.83,12.28,12.61,313800
FANUY,2025-01-03,12.84,12.84,12.58,12.71,333704
FANUY,2025-01-06,12.9,12.9,12.58,12.59,713800
FANUY,2025-01-07,12.78,13.32,12.75,12.77,492714
FANUY,2025-01-08,12.58,12.77,12.58,12.71,356000
FANUY,2025-01-10,12.38,12.49,12.32,12.36,421900
FANUY,2025-01-13,12.36,12.64,12.29,12.58,1277541
FANUY,2025-01-14,12.39,12.95,12.39,12.68,542800
FANUY,2025-01-15,13.14,13.86,13.12,13.54,397300
FANUY,2025-01-16,13.98,13.98,13.6,13.77,1511500
FANUY,2025-01-17,14.32,14.32,13.62,13.91,475110
FANUY,2025-01-21,14.22,14.52,14.17,14.51,689000
FANUY,2025-01-22,14.14,14.69,14.06,14.41,507400
FANUY,2025-01-23,14.32,14.46,14.04,14.46,295119
FANUY,2025-01-24,14.5,14.94,14.5,14.9,608700
FANUY,2025-01-27,14.45,14.7,14.27,14.57,794200
FANUY,2025-01-28,14.31,14.75,14.31,14.62,335900
FANUY,2025-01-29,14.62,14.88,14.56,14.6,329700
FANUY,2025-01-30,14.46,14.57,14.3,14.46,409900
FANUY,2025-01-31,14.94,14.94,14.08,14.35,344104
FANUY,2025-02-03,13.75,13.98,13.55,13.69,260319
FANUY,2025-02-04,14.13,14.13,13.4,13.82,286500
FANUY,2025-02-05,13.68,14.23,13.68,13.81,191518
FANUY,2025-02-06,13.79,13.91,13.48,13.88,167531
FANUY,2025-02-07,14.17,14.21,13.98,14.03,196631
FANUY,2025-02-10,14.08,14.33,14.08,14.29,189401
FANUY,2025-02-11,13.88,14.35,13.88,14.29,223431
FANUY,2025-02-12,13.77,14.46,13.77,14.12,875501
FANUY,2025-02-13,14.64,14.64,13.78,14.15,1099010
FANUY,2025-02-14,13.59,14.04,13.59,13.91,923707
FANUY,2025-02-18,14.06,14.56,14.06,14.08,588200
FANUY,2025-02-19,14.08,14.13,13.98,14.01,772340
FANUY,2025-02-20,14.17,14.23,14.08,14.17,157203
FANUY,2025-02-21,14.14,14.3,14.11,14.17,200012
FANUY,2025-02-24,14.19,14.28,13.84,14.02,328600
FANUY,2025-02-25,14.48,14.94,14.43,14.51,253100
FANUY,2025-02-26,14.38,14.57,14.37,14.44,245400
FANUY,2025-02-27,14.51,14.51,14.09,14.15,226500
FANUY,2025-02-28,13.79,13.9,13.73,13.88,231514
FANUY,2025-03-03,13.79,14.06,13.53,13.79,320648
FANUY,2025-03-04,13.54,13.92,13.54,13.69,278800
FANUY,2025-03-05,13.74,14.25,13.74,13.98,181827
FANUY,2025-03-06,13.79,14.05,13.71,13.71,246900
