symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FBP,2024-08-27,19.89,20.03,19.75,19.93,1029817
FBP,2024-08-28,19.89,20.24,19.89,20.19,1000616
FBP,2024-08-29,20.33,20.34,20.01,20.12,801322
FBP,2024-08-30,20.22,20.36,20.09,20.3,1037632
FBP,2024-09-03,20.1,20.45,19.98,20.13,1129300
FBP,2024-09-04,20.09,20.22,19.85,20.07,799522
FBP,2024-09-05,20.17,20.24,19.59,19.85,814900
FBP,2024-09-06,19.9,19.99,19.23,19.33,865100
FBP,2024-09-09,19.32,19.42,19.09,19.41,1213119
FBP,2024-09-10,19.34,19.4,18.64,18.94,1239900
FBP,2024-09-11,18.71,18.87,18.31,18.74,1262700
FBP,2024-09-12,18.9,19.01,18.66,18.9,805401
FBP,2024-09-13,19.16,19.26,18.99,19.21,873739
FBP,2024-09-16,19.25,19.32,19.01,19.19,1504829
FBP,2024-09-17,19.43,19.95,19.32,19.52,926200
FBP,2024-09-18,19.52,20.16,19.29,19.61,1204300
FBP,2024-09-19,20.05,20.07,19.71,19.95,967773
FBP,2024-09-20,19.8,19.84,19.53,19.61,3666900
FBP,2024-09-23,19.71,19.72,19.44,19.61,939000
FBP,2024-09-24,19.56,19.63,19.36,19.51,787342
FBP,2024-09-25,19.48,19.65,19.42,19.6,1175700
FBP,2024-09-26,19.85,20.03,19.67,19.95,1319207
FBP,2024-09-27,20.08,20.22,19.81,19.81,1050100
FBP,2024-09-30,19.76,20.26,19.63,20.1,890200
FBP,2024-10-01,19.88,19.92,19.06,19.08,863500
FBP,2024-10-02,19.1,19.24,18.88,18.96,590200
FBP,2024-10-03,18.86,19.09,18.75,19.01,488180
FBP,2024-10-04,19.37,19.55,19.36,19.52,525613
FBP,2024-10-07,19.42,19.42,19.14,19.29,600200
FBP,2024-10-08,19.29,19.33,19.03,19.05,551033
FBP,2024-10-09,18.99,19.44,18.99,19.23,781427
FBP,2024-10-10,19.08,19.32,18.98,19.32,942700
FBP,2024-10-11,19.47,20.01,19.47,19.87,674000
FBP,2024-10-14,19.96,20.16,19.8,20.08,560319
FBP,2024-10-15,20.16,20.78,20.0,20.3,685600
FBP,2024-10-16,20.51,20.6,20.1,20.13,1069405
FBP,2024-10-17,20.14,20.41,20.08,20.36,575200
FBP,2024-10-18,20.39,20.39,19.77,19.8,603900
FBP,2024-10-21,19.84,19.84,19.09,19.1,882045
FBP,2024-10-22,19.17,19.38,19.09,19.37,824011
FBP,2024-10-23,19.28,19.43,18.04,18.32,1713953
FBP,2024-10-24,18.4,18.47,17.99,18.34,1354830
FBP,2024-10-25,18.45,18.47,17.84,17.92,1399847
FBP,2024-10-28,18.13,18.7,18.05,18.6,1399328
FBP,2024-10-29,18.47,18.58,18.31,18.37,842400
FBP,2024-10-30,18.32,18.74,18.29,18.42,640000
FBP,2024-10-31,18.43,18.56,18.29,18.3,1162640
FBP,2024-11-01,18.41,18.56,18.28,18.32,785600
FBP,2024-11-04,18.19,18.34,17.91,18.17,718311
FBP,2024-11-05,18.19,18.5,18.19,18.49,618713
FBP,2024-11-06,20.01,21.26,19.92,21.07,2411600
FBP,2024-11-07,20.89,20.92,19.8,19.86,1500941
FBP,2024-11-08,20.09,20.4,19.89,20.0,1032542
FBP,2024-11-11,20.23,20.76,20.23,20.58,1252300
FBP,2024-11-12,20.59,20.93,20.55,20.55,1087546
FBP,2024-11-13,20.71,21.03,20.21,20.23,955141
FBP,2024-11-14,20.29,20.31,19.71,19.87,936203
FBP,2024-11-15,19.99,20.09,19.6,19.88,828410
FBP,2024-11-18,20.01,20.03,19.66,19.75,854900
FBP,2024-11-19,19.41,19.73,19.35,19.5,970500
FBP,2024-11-20,19.53,19.66,19.31,19.64,968600
FBP,2024-11-21,19.74,20.13,19.66,19.95,1020806
FBP,2024-11-22,20.03,20.27,19.92,20.22,1510300
FBP,2024-11-25,20.45,20.92,20.45,20.51,1407800
FBP,2024-11-26,20.61,20.65,20.13,20.18,831338
FBP,2024-11-27,20.17,20.39,19.97,20.04,812400
FBP,2024-11-29,20.2,20.2,19.54,19.79,669100
FBP,2024-12-02,19.92,20.08,19.62,19.8,1399300
FBP,2024-12-03,19.82,19.97,19.54,19.64,822300
FBP,2024-12-04,19.63,19.77,19.51,19.66,948600
FBP,2024-12-05,19.86,20.08,19.56,19.57,863678
FBP,2024-12-06,19.71,19.75,19.46,19.69,509700
FBP,2024-12-09,19.79,19.82,19.57,19.62,833607
FBP,2024-12-10,19.65,19.77,19.31,19.36,1026234
FBP,2024-12-11,19.59,19.66,19.26,19.27,782108
FBP,2024-12-12,19.29,19.29,19.05,19.06,630500
FBP,2024-12-13,19.04,19.17,18.79,18.95,600200
FBP,2024-12-16,19.02,19.23,18.9,19.19,1010000
FBP,2024-12-17,19.04,19.21,18.59,18.61,1081200
FBP,2024-12-18,18.69,18.82,17.59,17.76,1345042
FBP,2024-12-19,18.0,18.18,17.45,17.52,1493814
FBP,2024-12-20,17.33,17.94,17.31,17.58,4763223
FBP,2024-12-23,17.47,17.85,17.47,17.82,822300
FBP,2024-12-24,17.87,18.0,17.79,17.99,253700
FBP,2024-12-26,17.75,18.04,17.71,17.97,507305
FBP,2024-12-27,17.8,18.02,17.69,17.88,576200
FBP,2024-12-30,17.73,17.87,17.58,17.75,532900
FBP,2024-12-31,17.85,17.95,17.75,17.79,675700
FBP,2025-01-02,17.96,18.12,17.55,17.57,596818
FBP,2025-01-03,17.56,17.84,17.34,17.8,761002
FBP,2025-01-06,17.81,18.09,17.61,17.65,792600
FBP,2025-01-07,17.67,17.81,17.4,17.6,1251303
FBP,2025-01-08,17.52,17.95,17.4,17.87,1035800
FBP,2025-01-10,17.47,17.61,17.18,17.37,1040845
FBP,2025-01-13,17.26,17.69,17.17,17.65,777731
FBP,2025-01-14,17.78,18.34,17.75,18.34,1104100
FBP,2025-01-15,18.88,18.97,18.42,18.6,1002000
FBP,2025-01-16,18.47,18.68,18.44,18.57,853600
FBP,2025-01-17,18.73,18.82,18.49,18.82,1596400
FBP,2025-01-21,18.83,19.15,18.78,18.83,1149800
FBP,2025-01-22,18.81,18.89,18.72,18.74,1439534
FBP,2025-01-23,19.14,20.09,19.13,19.83,1811600
FBP,2025-01-24,20.19,20.19,19.52,19.64,1357400
FBP,2025-01-27,19.89,20.16,19.68,20.05,1219800
FBP,2025-01-28,19.86,20.22,19.81,19.89,720211
FBP,2025-01-29,19.81,20.17,19.81,20.09,1190900
FBP,2025-01-30,20.26,20.31,19.78,20.02,611148
FBP,2025-01-31,20.09,20.18,19.68,19.86,963305
FBP,2025-02-03,19.46,19.66,19.2,19.33,651800
FBP,2025-02-04,19.31,19.85,19.19,19.81,650100
FBP,2025-02-05,19.85,19.9,19.6,19.89,857300
FBP,2025-02-06,19.89,20.19,19.79,20.17,617800
FBP,2025-02-07,20.12,20.12,19.65,19.94,577200
FBP,2025-02-10,19.96,19.97,19.65,19.71,659804
FBP,2025-02-11,19.64,20.09,19.57,20.07,640700
FBP,2025-02-12,19.8,19.84,19.42,19.43,1234800
FBP,2025-02-13,19.5,19.61,19.36,19.57,663529
FBP,2025-02-14,19.63,19.84,19.46,19.53,713218
FBP,2025-02-18,19.55,19.8,19.45,19.69,836100
FBP,2025-02-19,19.31,19.7,19.31,19.48,1157700
FBP,2025-02-20,19.49,19.59,19.0,19.24,1201600
FBP,2025-02-21,19.44,19.45,18.65,18.73,1394014
FBP,2025-02-24,18.92,19.0,18.47,18.51,923033
FBP,2025-02-25,18.67,18.78,18.44,18.53,777900
FBP,2025-02-26,18.5,18.71,18.32,18.57,728400
FBP,2025-02-27,18.49,18.73,18.43,18.57,568900
FBP,2025-02-28,18.7,18.85,18.53,18.8,884639
FBP,2025-03-03,18.86,19.31,18.69,18.88,1480800
FBP,2025-03-04,18.66,18.66,17.94,18.16,1197721
FBP,2025-03-05,18.24,18.31,17.82,18.1,819700
FBP,2025-03-06,17.94,17.97,17.67,17.88,1134335
FBP,2025-03-07,17.88,18.01,17.64,17.85,924449
FBP,2025-03-10,17.47,17.67,16.84,16.92,1330800
FBP,2025-03-11,17.02,17.15,16.67,16.83,1220900
FBP,2025-03-12,16.99,17.12,16.77,16.95,1419517
FBP,2025-03-13,17.08,17.43,16.97,17.03,1130792
FBP,2025-03-14,17.28,17.63,17.18,17.63,1117941
FBP,2025-03-17,17.5,17.68,17.15,17.68,1686000
FBP,2025-03-18,17.62,17.88,17.62,17.78,1597721
FBP,2025-03-19,17.75,17.95,17.6,17.72,1521500
FBP,2025-03-20,17.52,18.02,17.51,17.73,1573703
FBP,2025-03-21,17.62,18.23,17.61,18.21,8043329
FBP,2025-03-24,18.4,18.5,18.27,18.38,1580400
FBP,2025-03-25,18.5,18.93,18.5,18.75,1244022
FBP,2025-03-26,18.82,19.09,18.56,18.75,1086434
FBP,2025-03-27,18.78,18.87,18.5,18.76,1077500
FBP,2025-03-28,18.63,18.77,18.35,18.54,1056043
FBP,2025-03-31,18.23,18.61,18.2,18.51,835131
FBP,2025-04-01,18.36,18.59,18.32,18.53,1060500
FBP,2025-04-02,18.27,18.71,18.27,18.69,921500
FBP,2025-04-03,17.7,17.94,17.21,17.24,1950013
FBP,2025-04-04,16.43,16.68,16.03,16.57,1751300
FBP,2025-04-07,16.13,17.44,15.84,16.26,1754800
FBP,2025-04-08,16.8,17.16,16.12,16.41,1725575
FBP,2025-04-09,16.37,18.07,16.28,17.74,2322519
FBP,2025-04-10,17.29,17.54,16.6,16.97,1892829
FBP,2025-04-11,16.85,17.27,16.74,17.13,1208436
FBP,2025-04-14,17.36,17.49,16.85,17.27,1492600
FBP,2025-04-15,17.28,17.71,17.28,17.39,1571700
FBP,2025-04-16,17.37,17.66,17.15,17.41,1475769
FBP,2025-04-17,17.45,17.71,17.45,17.62,1366843
FBP,2025-04-21,17.47,17.53,17.24,17.41,1113700
FBP,2025-04-22,17.67,18.09,17.58,18.01,862802
FBP,2025-04-23,18.47,18.99,18.46,18.88,3458905
FBP,2025-04-24,18.34,18.98,18.09,18.9,1483800
FBP,2025-04-25,18.73,18.89,18.4,18.59,1138926
FBP,2025-04-28,18.82,19.04,18.62,19.04,1101015
FBP,2025-04-29,19.01,19.2,18.82,19.16,880700
FBP,2025-04-30,18.82,19.06,18.62,18.96,1256200
FBP,2025-05-01,18.99,19.31,18.8,19.13,1052431
FBP,2025-05-02,19.44,19.72,19.36,19.61,915249
FBP,2025-05-05,19.31,19.72,19.31,19.47,592150
FBP,2025-05-06,19.3,19.49,19.2,19.32,751344
FBP,2025-05-07,19.51,19.53,19.28,19.42,744941
FBP,2025-05-08,19.31,19.88,19.31,19.58,1829300
FBP,2025-05-09,19.7,19.7,19.35,19.39,1007600
FBP,2025-05-12,20.34,20.45,20.02,20.09,1925400
FBP,2025-05-13,20.22,20.34,20.07,20.21,904341
FBP,2025-05-14,20.1,20.24,20.05,20.12,752422
FBP,2025-05-15,20.07,20.37,20.04,20.37,1073904
FBP,2025-05-16,20.36,20.37,20.06,20.23,831540
FBP,2025-05-19,19.99,20.25,19.94,20.2,754720
FBP,2025-05-20,20.18,20.25,20.08,20.12,554700
FBP,2025-05-21,19.87,19.99,19.62,19.65,740048
FBP,2025-05-22,19.53,19.62,19.33,19.44,1446500
FBP,2025-05-23,19.05,19.58,19.05,19.53,938224
FBP,2025-05-27,19.75,19.92,19.64,19.92,1119449
FBP,2025-05-28,19.9,19.91,19.53,19.54,1012578
FBP,2025-05-29,19.64,19.64,19.28,19.55,2159540
FBP,2025-05-30,19.49,19.56,19.26,19.46,1327493
FBP,2025-06-02,19.47,19.49,19.16,19.42,1073046
FBP,2025-06-03,19.35,19.77,19.35,19.63,1012441
FBP,2025-06-04,19.5,19.69,19.49,19.51,824300
FBP,2025-06-05,19.51,19.51,19.21,19.36,766916
FBP,2025-06-06,19.68,19.74,19.42,19.68,754800
FBP,2025-06-09,19.73,19.95,19.61,19.74,967200
FBP,2025-06-10,19.73,19.98,19.68,19.84,578943
FBP,2025-06-11,19.92,20.08,19.74,19.78,1585100
FBP,2025-06-12,19.56,19.7,19.42,19.68,693321
FBP,2025-06-13,19.39,19.47,19.13,19.22,817900
FBP,2025-06-16,19.42,19.48,19.01,19.09,965808
FBP,2025-06-17,18.78,19.06,18.74,18.86,1127907
FBP,2025-06-18,18.76,19.11,18.76,19.02,716627
FBP,2025-06-20,19.11,19.2,18.94,19.08,2125442
FBP,2025-06-23,19.17,19.8,19.04,19.78,920300
FBP,2025-06-24,20.01,20.13,19.75,19.76,868900
FBP,2025-06-25,19.83,20.04,19.7,20.04,806731
FBP,2025-06-26,20.06,20.54,20.06,20.52,1032800
FBP,2025-06-27,20.56,20.66,20.28,20.34,3851600
FBP,2025-06-30,20.53,20.57,20.29,20.29,931743
FBP,2025-07-01,20.24,21.01,20.2,20.82,1260600
FBP,2025-07-02,20.91,21.17,20.72,21.11,947039
FBP,2025-07-03,21.26,21.5,21.18,21.36,500439
FBP,2025-07-07,21.21,21.52,21.01,21.06,870309
FBP,2025-07-08,21.11,21.36,21.06,21.14,880400
FBP,2025-07-09,21.33,21.36,21.04,21.15,688533
FBP,2025-07-10,21.06,21.42,21.06,21.25,720300
FBP,2025-07-11,21.05,21.54,21.05,21.46,1184323
FBP,2025-07-14,21.36,21.71,21.36,21.71,1159400
FBP,2025-07-15,21.53,21.67,20.93,20.94,1172500
FBP,2025-07-16,21.04,21.19,20.66,21.11,1282200
FBP,2025-07-17,21.08,21.69,21.08,21.64,1652300
FBP,2025-07-18,21.71,21.78,21.37,21.51,1303500
FBP,2025-07-21,21.57,21.72,21.3,21.3,1026723
FBP,2025-07-22,21.45,21.62,20.63,20.78,1919703
FBP,2025-07-23,20.93,20.96,20.62,20.74,1283800
FBP,2025-07-24,20.62,20.79,20.42,20.43,1174900
FBP,2025-07-25,20.51,20.8,20.32,20.59,1333108
FBP,2025-07-28,20.61,20.83,20.61,20.76,958718
