symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FCFS,2025-02-12,112.31,115.16,111.42,114.88,295239
FCFS,2025-02-13,115.14,116.85,114.88,116.1,318500
FCFS,2025-02-14,116.4,117.58,115.65,115.98,286235
FCFS,2025-02-18,115.68,116.72,114.36,116.01,231300
FCFS,2025-02-19,115.04,116.23,114.21,114.86,213321
FCFS,2025-02-20,114.31,115.08,112.33,113.06,251916
FCFS,2025-02-21,113.79,113.8,112.4,113.35,240300
FCFS,2025-02-24,113.54,113.69,112.6,113.12,268649
FCFS,2025-02-25,113.62,114.75,112.53,113.36,325350
FCFS,2025-02-26,114.24,114.25,110.15,110.16,215227
FCFS,2025-02-27,109.7,110.58,109.57,109.76,211100
FCFS,2025-02-28,110.37,111.06,108.32,111.06,232700
FCFS,2025-03-03,110.96,112.3,109.69,110.6,216400
FCFS,2025-03-04,110.05,112.7,108.97,110.35,338804
FCFS,2025-03-05,110.43,113.84,110.11,112.52,299600
FCFS,2025-03-06,111.85,114.8,111.43,114.09,325800
FCFS,2025-03-07,114.07,115.09,112.1,114.17,353212
FCFS,2025-03-10,113.95,114.33,111.44,113.06,327240
FCFS,2025-03-11,113.22,115.6,112.66,114.71,441900
FCFS,2025-03-12,114.95,115.66,112.16,112.19,337736
FCFS,2025-03-13,112.48,113.44,110.25,111.81,237600
FCFS,2025-03-14,112.31,116.01,112.09,115.67,234500
FCFS,2025-03-17,115.37,117.01,114.95,115.8,187200
FCFS,2025-03-18,115.64,116.8,115.12,115.76,191941
FCFS,2025-03-19,115.89,117.03,115.59,116.88,198700
FCFS,2025-03-20,116.08,116.96,114.69,116.18,289100
FCFS,2025-03-21,115.24,116.01,112.97,115.6,573342
FCFS,2025-03-24,116.5,117.11,115.55,116.46,236616
FCFS,2025-03-25,116.65,118.32,114.83,117.3,158518
FCFS,2025-03-26,117.26,119.18,117.19,118.87,168848
FCFS,2025-03-27,120.15,120.15,118.6,118.85,161403
FCFS,2025-03-28,118.68,118.95,117.44,118.06,146302
FCFS,2025-03-31,117.45,120.04,116.5,119.01,373900
FCFS,2025-04-01,118.32,120.23,118.11,119.74,230400
FCFS,2025-04-02,119.53,120.99,117.98,120.75,276900
FCFS,2025-04-03,117.63,126.46,117.63,125.93,548350
FCFS,2025-04-04,123.42,128.2,119.2,121.69,767600
FCFS,2025-04-07,121.7,124.11,116.4,118.86,524118
FCFS,2025-04-08,121.14,123.26,115.39,116.72,425800
FCFS,2025-04-09,115.83,122.55,115.39,118.88,682739
FCFS,2025-04-10,120.42,120.49,116.03,118.07,406611
FCFS,2025-04-11,117.35,119.99,116.04,119.31,400709
FCFS,2025-04-14,120.02,120.99,118.99,119.98,458833
FCFS,2025-04-15,120.35,121.03,119.16,119.66,315100
FCFS,2025-04-16,119.77,120.28,118.31,118.76,264501
FCFS,2025-04-17,118.7,121.17,118.24,120.12,269715
FCFS,2025-04-21,120.12,120.3,118.28,119.11,268112
FCFS,2025-04-22,120.24,121.18,117.71,120.29,310100
FCFS,2025-04-23,120.48,122.82,119.25,119.4,514000
FCFS,2025-04-24,124.82,132.69,122.58,130.29,837360
FCFS,2025-04-25,130.98,131.01,128.92,130.52,445200
FCFS,2025-04-28,130.78,132.23,130.36,131.24,641600
FCFS,2025-04-29,131.03,132.72,130.76,132.01,467800
FCFS,2025-04-30,131.86,133.39,130.61,132.51,532600
FCFS,2025-05-01,132.56,132.93,130.48,131.21,251400
FCFS,2025-05-02,132.27,132.87,131.56,132.46,310100
FCFS,2025-05-05,132.33,134.1,131.93,134.09,308200
FCFS,2025-05-06,133.12,133.98,132.08,132.74,396212
FCFS,2025-05-07,133.48,133.48,131.54,132.0,282800
FCFS,2025-05-08,133.49,133.49,132.34,132.48,213400
FCFS,2025-05-09,132.36,133.05,130.94,131.31,282821
FCFS,2025-05-12,132.75,132.75,129.42,130.72,343841
FCFS,2025-05-13,131.09,131.82,128.06,128.5,404400
FCFS,2025-05-14,128.71,130.09,127.47,127.57,376700
FCFS,2025-05-15,127.6,128.8,125.83,126.11,272000
FCFS,2025-05-16,126.02,126.47,124.1,125.68,370532
FCFS,2025-05-19,125.53,127.62,124.87,127.13,243224
FCFS,2025-05-20,126.54,127.64,125.5,126.12,250933
FCFS,2025-05-21,125.24,125.95,123.98,124.73,251912
FCFS,2025-05-22,124.44,126.09,123.39,125.99,364501
FCFS,2025-05-23,124.88,127.89,124.39,126.48,258120
FCFS,2025-05-27,126.89,127.96,126.19,126.9,212515
FCFS,2025-05-28,126.62,127.09,125.48,125.68,216776
FCFS,2025-05-29,125.68,126.42,125.22,126.23,146944
FCFS,2025-05-30,125.97,127.6,125.77,126.89,303495
FCFS,2025-06-02,126.73,127.31,126.12,127.06,208216
FCFS,2025-06-03,126.64,126.88,124.05,125.55,218733
FCFS,2025-06-04,125.36,126.56,123.17,123.39,278600
FCFS,2025-06-05,123.83,123.83,121.79,123.08,197700
FCFS,2025-06-06,124.01,125.3,122.92,124.78,227401
FCFS,2025-06-09,124.78,130.13,124.5,130.03,336000
FCFS,2025-06-10,130.51,132.78,128.87,130.89,257600
FCFS,2025-06-11,130.81,131.1,128.56,129.7,309500
FCFS,2025-06-12,129.51,131.26,129.04,130.13,274400
FCFS,2025-06-13,128.47,129.58,128.17,129.1,269000
FCFS,2025-06-16,130.45,130.45,128.84,129.39,191400
FCFS,2025-06-17,128.55,129.25,127.05,128.61,284838
FCFS,2025-06-18,128.42,129.19,127.29,127.47,207133
FCFS,2025-06-20,127.76,128.62,127.45,128.53,420300
FCFS,2025-06-23,128.91,129.22,127.87,129.1,226253
FCFS,2025-06-24,129.32,130.29,128.85,129.46,198042
FCFS,2025-06-25,129.37,134.56,128.69,133.44,477800
FCFS,2025-06-26,132.97,137.31,130.22,136.53,480500
FCFS,2025-06-27,136.09,136.09,130.81,133.44,708400
FCFS,2025-06-30,133.64,134.65,132.37,134.06,313400
FCFS,2025-07-01,133.65,135.29,133.55,134.42,247341
FCFS,2025-07-02,134.42,136.07,133.82,135.67,261000
FCFS,2025-07-03,136.64,136.82,135.02,135.68,128319
FCFS,2025-07-07,135.61,136.66,134.15,134.82,231634
FCFS,2025-07-08,134.99,136.7,132.3,132.85,325800
FCFS,2025-07-09,133.47,133.47,131.12,132.62,236800
FCFS,2025-07-10,132.53,134.53,131.51,131.68,240686
