symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FCN,2025-02-12,192.16,194.33,191.21,191.87,122742
FCN,2025-02-13,192.79,195.0,190.23,191.41,111800
FCN,2025-02-14,192.44,192.44,187.21,187.61,191048
FCN,2025-02-18,186.82,190.39,186.82,188.39,185800
FCN,2025-02-19,188.0,190.69,187.62,190.16,384200
FCN,2025-02-20,183.7,183.7,161.57,162.99,843419
FCN,2025-02-21,163.01,167.29,161.24,164.69,797700
FCN,2025-02-24,165.64,167.26,161.79,166.03,640900
FCN,2025-02-25,164.4,167.18,164.03,164.2,554100
FCN,2025-02-26,162.59,166.44,162.59,164.07,456707
FCN,2025-02-27,162.89,165.78,162.72,164.84,434200
FCN,2025-02-28,164.98,165.75,162.53,165.6,267224
FCN,2025-03-03,165.6,167.69,164.48,164.76,357700
FCN,2025-03-04,164.29,171.48,164.04,169.7,446327
FCN,2025-03-05,168.93,172.01,167.4,169.81,485317
FCN,2025-03-06,169.7,170.03,167.68,168.75,451311
FCN,2025-03-07,167.82,173.5,167.82,169.56,373849
FCN,2025-03-10,168.14,169.9,166.36,166.36,466015
FCN,2025-03-11,166.16,167.9,162.48,163.19,436100
FCN,2025-03-12,163.95,163.95,160.0,160.63,337928
FCN,2025-03-13,159.81,161.99,158.92,161.63,321200
FCN,2025-03-14,161.5,164.52,161.35,162.7,412200
FCN,2025-03-17,162.66,164.7,162.66,163.65,276306
FCN,2025-03-18,163.18,166.9,162.44,166.59,341933
FCN,2025-03-19,166.87,167.7,163.38,165.02,215344
FCN,2025-03-20,164.88,164.88,161.11,161.9,281700
FCN,2025-03-21,160.71,161.07,158.88,160.54,1379410
FCN,2025-03-24,161.28,163.76,159.95,160.9,452708
FCN,2025-03-25,160.86,162.79,160.15,161.29,267936
FCN,2025-03-26,162.0,163.71,160.93,162.36,245234
FCN,2025-03-27,162.77,164.71,161.84,163.36,357700
FCN,2025-03-28,162.97,163.47,161.39,162.07,224100
FCN,2025-03-31,161.7,165.43,161.07,164.08,336500
FCN,2025-04-01,163.28,165.19,162.69,164.12,290800
FCN,2025-04-02,160.9,162.99,157.52,161.27,549602
FCN,2025-04-03,160.16,162.78,159.09,161.43,456135
FCN,2025-04-04,159.35,161.58,157.46,157.95,578931
FCN,2025-04-07,154.91,160.52,153.41,154.85,599900
FCN,2025-04-08,156.21,158.17,151.85,152.87,689300
FCN,2025-04-09,152.29,162.29,151.75,161.59,810900
FCN,2025-04-10,160.27,163.1,158.62,160.52,460300
FCN,2025-04-11,160.43,165.33,160.43,164.61,351200
FCN,2025-04-14,165.33,167.52,164.26,167.1,379729
