symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FFBC,2024-08-27,24.82,24.82,24.49,24.56,263300
FFBC,2024-08-28,24.45,25.14,24.45,24.92,342226
FFBC,2024-08-29,25.1,25.16,24.74,24.86,379700
FFBC,2024-08-30,24.85,25.09,24.63,25.04,311741
FFBC,2024-09-03,24.77,25.12,24.65,24.7,411905
FFBC,2024-09-04,24.7,24.96,24.45,24.56,336335
FFBC,2024-09-05,24.74,24.74,24.12,24.27,416500
FFBC,2024-09-06,24.31,24.43,23.75,23.88,232000
FFBC,2024-09-09,23.87,24.04,23.73,23.95,434200
FFBC,2024-09-10,23.99,24.02,23.35,23.79,304100
FFBC,2024-09-11,23.52,23.72,22.82,23.26,402811
FFBC,2024-09-12,23.38,23.43,23.07,23.29,283300
FFBC,2024-09-13,23.6,23.8,23.5,23.78,280100
FFBC,2024-09-16,23.85,24.08,23.52,24.0,311100
FFBC,2024-09-17,24.17,24.69,23.94,24.01,422144
FFBC,2024-09-18,24.01,24.88,23.75,24.01,424120
FFBC,2024-09-19,24.64,24.79,24.28,24.7,339148
FFBC,2024-09-20,24.51,24.61,24.05,24.07,1824025
FFBC,2024-09-23,24.27,24.33,23.9,23.95,384500
FFBC,2024-09-24,24.03,24.11,23.69,23.77,530300
FFBC,2024-09-25,23.81,23.81,23.33,23.36,324825
FFBC,2024-09-26,23.72,24.3,23.39,23.48,319938
FFBC,2024-09-27,23.73,23.82,23.38,23.47,275246
FFBC,2024-09-30,23.44,24.0,23.42,23.86,413042
FFBC,2024-10-01,23.68,23.68,22.9,23.05,342849
FFBC,2024-10-02,22.9,23.29,22.62,22.73,350228
FFBC,2024-10-03,22.68,22.9,22.49,22.68,307400
FFBC,2024-10-04,23.02,23.24,22.88,22.98,256522
FFBC,2024-10-07,22.89,22.95,22.75,22.9,197049
FFBC,2024-10-08,22.96,23.14,22.76,22.98,453600
FFBC,2024-10-09,22.98,23.35,22.93,23.24,296700
FFBC,2024-10-10,23.04,23.24,22.88,23.14,308200
FFBC,2024-10-11,23.25,24.02,23.25,23.86,274900
FFBC,2024-10-14,23.83,24.19,23.65,24.03,249800
FFBC,2024-10-15,24.12,25.0,24.06,24.42,495113
FFBC,2024-10-16,24.67,25.01,24.58,24.82,369100
