symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FICO,2025-02-10,1870.0,1875.0,1851.86,1857.35,213752
FICO,2025-02-11,1861.27,1861.27,1790.16,1797.17,194653
FICO,2025-02-12,1772.31,1792.6,1755.62,1767.41,212300
FICO,2025-02-13,1785.08,1812.6,1761.46,1802.79,149614
FICO,2025-02-14,1800.0,1816.43,1789.44,1799.19,99662
FICO,2025-02-18,1789.0,1800.29,1770.57,1794.24,124443
FICO,2025-02-19,1794.24,1794.24,1745.29,1755.26,200400
FICO,2025-02-20,1740.05,1744.52,1706.97,1725.54,149400
FICO,2025-02-21,1724.4,1724.4,1687.2,1698.11,157642
FICO,2025-02-24,1703.77,1740.0,1679.69,1732.2,183919
FICO,2025-02-25,1729.67,1822.95,1715.27,1816.76,251706
FICO,2025-02-26,1875.0,1924.32,1862.66,1869.97,223043
FICO,2025-02-27,1870.0,1895.31,1827.58,1836.18,149600
FICO,2025-02-28,1832.9,1886.35,1832.9,1886.35,248509
FICO,2025-03-03,1890.06,1914.5,1851.82,1864.88,215210
FICO,2025-03-04,1848.59,1919.6,1846.05,1871.03,247500
FICO,2025-03-05,1870.8,1887.36,1856.52,1873.01,196918
FICO,2025-03-06,1833.73,1874.65,1809.85,1816.51,183306
FICO,2025-03-07,1819.61,1859.76,1767.2,1834.13,213628
FICO,2025-03-10,1790.61,1790.61,1688.8,1695.35,279057
FICO,2025-03-11,1695.35,1751.37,1676.86,1722.85,280418
FICO,2025-03-12,1756.02,1792.16,1731.41,1779.0,266036
FICO,2025-03-13,1770.0,1770.0,1720.58,1743.54,159300
FICO,2025-03-14,1759.0,1814.68,1757.53,1799.9,145900
FICO,2025-03-17,1797.89,1872.31,1797.89,1845.85,200600
FICO,2025-03-18,1836.77,1851.44,1794.07,1813.61,131345
FICO,2025-03-19,1827.43,1885.47,1824.93,1872.99,154320
FICO,2025-03-20,1849.96,1880.09,1849.09,1853.46,141542
FICO,2025-03-21,1841.84,1859.7,1818.35,1853.29,216000
FICO,2025-03-24,1886.54,1906.92,1879.15,1897.66,166036
FICO,2025-03-25,1897.0,1925.0,1893.28,1919.64,142984
FICO,2025-03-26,1919.64,1919.64,1865.55,1887.0,129000
FICO,2025-03-27,1886.72,1890.46,1849.99,1872.28,88846
FICO,2025-03-28,1874.09,1874.09,1811.96,1835.24,140100
FICO,2025-03-31,1814.71,1850.93,1784.61,1844.16,198400
FICO,2025-04-01,1835.1,1872.63,1825.35,1868.47,129494
FICO,2025-04-02,1843.83,1892.63,1824.51,1889.89,105416
FICO,2025-04-03,1820.0,1853.53,1797.88,1801.05,152529
FICO,2025-04-04,1757.2,1765.0,1673.59,1673.98,300865
FICO,2025-04-07,1612.9,1769.41,1585.18,1713.2,334800
FICO,2025-04-08,1770.0,1792.28,1642.64,1677.11,210300
FICO,2025-04-09,1665.43,1870.85,1662.12,1848.0,306600
FICO,2025-04-10,1810.88,1880.0,1799.09,1850.06,194429
FICO,2025-04-11,1831.88,1902.86,1824.34,1888.45,230912
FICO,2025-04-14,1904.0,1943.43,1892.02,1932.74,209548
FICO,2025-04-15,1935.0,1957.17,1911.78,1923.93,221400
FICO,2025-04-16,1900.8,1936.83,1882.29,1899.78,177238
FICO,2025-04-17,1913.93,1931.07,1888.27,1908.69,151100
FICO,2025-04-21,1891.67,1896.82,1791.23,1816.08,127154
FICO,2025-04-22,1848.92,1886.48,1838.33,1872.9,116485
FICO,2025-04-23,1943.12,1971.12,1919.0,1926.06,168400
FICO,2025-04-24,1940.03,1951.93,1922.01,1936.81,181783
FICO,2025-04-25,1933.14,1956.75,1885.62,1952.31,182431
FICO,2025-04-28,1952.0,1955.74,1920.09,1943.27,201315
FICO,2025-04-29,1948.0,1978.81,1946.58,1961.5,198576
FICO,2025-04-30,1910.0,2016.78,1910.0,1989.68,270198
FICO,2025-05-01,1999.63,2046.45,1946.16,2001.68,197900
FICO,2025-05-02,2025.5,2072.52,2023.5,2048.17,204432
FICO,2025-05-05,2037.92,2112.05,2037.92,2080.41,170000
FICO,2025-05-06,2053.56,2090.0,2035.94,2060.86,116500
FICO,2025-05-07,2057.9,2101.22,2056.81,2095.03,160000
FICO,2025-05-08,2105.0,2129.65,2089.53,2105.76,184961
FICO,2025-05-09,2105.85,2131.17,2083.64,2088.22,139200
FICO,2025-05-12,2150.86,2150.86,2116.99,2130.0,182028
FICO,2025-05-13,2135.0,2173.31,2131.63,2136.03,150910
FICO,2025-05-14,2141.34,2170.0,2113.06,2125.9,108221
FICO,2025-05-15,2139.59,2188.51,2139.59,2180.44,161856
FICO,2025-05-16,2193.44,2210.93,2180.34,2201.89,163800
FICO,2025-05-19,2190.0,2217.6,2178.79,2206.01,201900
FICO,2025-05-20,2191.76,2199.92,1900.0,2027.0,579535
FICO,2025-05-21,1964.6,1964.6,1658.04,1707.94,941747
FICO,2025-05-22,1720.21,1800.0,1694.11,1700.32,609323
FICO,2025-05-23,1690.71,1724.07,1672.5,1694.36,290334
FICO,2025-05-27,1721.89,1739.21,1484.29,1503.62,1000423
FICO,2025-05-28,1543.58,1648.95,1525.0,1619.94,736051
FICO,2025-05-29,1645.0,1688.79,1624.69,1685.0,558608
FICO,2025-05-30,1683.08,1750.0,1675.64,1726.28,446519
FICO,2025-06-02,1708.71,1751.29,1700.33,1748.26,318930
FICO,2025-06-03,1743.36,1768.74,1721.42,1741.55,270908
FICO,2025-06-04,1735.03,1764.6,1728.27,1755.03,193563
FICO,2025-06-05,1757.8,1785.82,1742.94,1771.9,162031
FICO,2025-06-06,1781.03,1783.0,1760.23,1775.1,176346
FICO,2025-06-09,1780.5,1784.11,1720.73,1749.41,234892
FICO,2025-06-10,1752.91,1788.71,1733.93,1785.0,198394
FICO,2025-06-11,1780.66,1816.78,1779.83,1805.0,220300
FICO,2025-06-12,1819.54,1840.62,1772.13,1784.37,217971
FICO,2025-06-13,1755.45,1799.95,1746.6,1784.57,268948
FICO,2025-06-16,1783.93,1833.78,1783.93,1814.39,185906
FICO,2025-06-17,1799.95,1819.8,1776.33,1776.94,208436
FICO,2025-06-18,1777.56,1811.81,1760.87,1763.64,219907
FICO,2025-06-20,1802.75,1827.76,1782.42,1804.82,261308
FICO,2025-06-23,1806.96,1893.03,1794.24,1881.25,260036
FICO,2025-06-24,1891.38,1930.86,1873.53,1926.52,211656
FICO,2025-06-25,1925.44,1940.6,1893.45,1893.45,185011
FICO,2025-06-26,1896.03,1896.03,1780.51,1815.84,320001
FICO,2025-06-27,1820.0,1880.93,1731.8,1816.26,446035
FICO,2025-06-30,1822.81,1834.21,1795.93,1827.96,296129
FICO,2025-07-01,1806.42,1846.3,1801.72,1843.18,185467
FICO,2025-07-02,1825.34,1847.41,1811.97,1842.78,177330
FICO,2025-07-03,1825.01,1866.6,1825.01,1855.38,88800
FICO,2025-07-07,1863.69,1905.33,1850.63,1869.83,191631
FICO,2025-07-08,1878.86,1894.91,1520.0,1703.17,1366100
