symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FIVE,2024-08-27,83.03,84.0,82.04,82.52,1895700
FIVE,2024-08-28,81.85,82.99,78.37,78.94,3907400
FIVE,2024-08-29,82.81,83.83,76.24,78.24,4733800
FIVE,2024-08-30,78.35,79.19,74.12,75.43,2446909
FIVE,2024-09-03,75.3,77.53,74.2,76.28,1930139
FIVE,2024-09-04,74.47,75.39,72.91,74.54,1649329
FIVE,2024-09-05,75.25,76.86,73.6,76.05,1075800
FIVE,2024-09-06,76.05,80.44,76.04,79.17,2331000
FIVE,2024-09-09,79.0,85.13,78.47,84.07,2722819
FIVE,2024-09-10,84.19,84.95,81.59,83.97,1808451
FIVE,2024-09-11,84.46,89.96,84.4,89.58,2965221
FIVE,2024-09-12,90.13,93.05,88.53,92.53,1968700
FIVE,2024-09-13,94.94,98.57,94.58,96.56,2824308
FIVE,2024-09-16,97.01,101.19,96.8,98.92,2333800
FIVE,2024-09-17,99.74,102.27,99.1,101.76,1621133
FIVE,2024-09-18,102.0,102.46,99.02,100.2,1320240
FIVE,2024-09-19,99.0,99.4,95.03,97.98,2620214
FIVE,2024-09-20,97.4,97.68,94.56,95.41,2731200
FIVE,2024-09-23,95.81,97.27,93.8,96.31,1728842
FIVE,2024-09-24,97.09,97.35,93.59,93.99,1482923
FIVE,2024-09-25,94.46,94.46,90.94,91.04,1674002
FIVE,2024-09-26,92.88,96.32,91.74,94.98,1797919
FIVE,2024-09-27,96.19,98.11,92.44,92.59,2018687
FIVE,2024-09-30,90.6,91.97,87.39,88.35,2314231
FIVE,2024-10-01,89.34,90.57,87.54,89.53,1455435
FIVE,2024-10-02,89.7,89.77,87.45,89.06,984760
FIVE,2024-10-03,88.02,89.84,87.47,89.75,1065826
FIVE,2024-10-04,93.22,95.88,93.01,94.27,1921500
FIVE,2024-10-07,94.11,94.28,90.85,91.8,1299200
FIVE,2024-10-08,91.83,93.34,90.78,92.07,750128
FIVE,2024-10-09,92.07,93.06,90.91,91.43,792117
FIVE,2024-10-10,91.19,91.76,90.31,91.53,954818
FIVE,2024-10-11,91.15,93.89,90.96,93.4,1111150
FIVE,2024-10-14,92.97,93.27,88.7,90.48,1552505
FIVE,2024-10-15,90.63,96.27,90.63,93.6,1835693
FIVE,2024-10-16,94.37,96.89,93.68,95.75,1052506
FIVE,2024-10-17,96.14,96.63,93.62,95.05,1175200
FIVE,2024-10-18,96.22,96.37,94.0,94.91,966630
FIVE,2024-10-21,94.28,95.17,89.25,91.65,1655877
FIVE,2024-10-22,91.73,91.73,89.55,89.97,1086845
FIVE,2024-10-23,89.51,89.79,87.51,88.44,1085508
FIVE,2024-10-24,89.21,89.96,88.2,89.09,615767
FIVE,2024-10-25,90.4,90.88,87.29,87.37,958079
FIVE,2024-10-28,89.65,92.23,88.87,91.1,1332928
FIVE,2024-10-29,90.41,91.6,89.39,90.54,899500
FIVE,2024-10-30,90.06,93.21,89.8,93.08,1146700
FIVE,2024-10-31,93.67,95.49,91.77,94.79,1442521
FIVE,2024-11-01,95.09,96.28,92.21,95.93,1230728
FIVE,2024-11-04,96.61,99.53,94.41,95.0,1725300
FIVE,2024-11-05,94.77,95.0,90.48,93.69,1505120
FIVE,2024-11-06,83.86,88.05,82.23,84.42,5263523
FIVE,2024-11-07,85.1,93.3,85.06,91.52,3617373
FIVE,2024-11-08,92.37,92.38,85.05,86.28,2194919
FIVE,2024-11-11,87.37,87.37,82.79,83.0,2476456
FIVE,2024-11-12,82.7,83.97,80.82,83.26,1963400
FIVE,2024-11-13,83.22,86.29,82.71,84.51,1671313
FIVE,2024-11-14,83.62,89.73,83.53,88.05,2164241
