symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FLNC,2024-08-27,19.08,19.23,18.59,18.76,1440700
FLNC,2024-08-28,18.62,18.99,17.89,17.99,1136141
FLNC,2024-08-29,18.21,18.78,17.99,18.3,1310635
FLNC,2024-08-30,18.5,18.68,18.05,18.37,1179900
FLNC,2024-09-03,18.08,18.3,16.9,17.34,1936700
FLNC,2024-09-04,17.35,19.05,17.15,18.51,2229100
FLNC,2024-09-05,18.67,19.47,18.48,19.44,1718823
FLNC,2024-09-06,19.42,19.5,18.14,18.35,1393374
FLNC,2024-09-09,18.6,19.41,18.56,18.87,1523023
FLNC,2024-09-10,18.5,18.99,17.95,18.92,1429154
FLNC,2024-09-11,19.86,21.16,19.76,21.09,3408700
FLNC,2024-09-12,21.04,21.73,20.5,21.65,1904530
FLNC,2024-09-13,22.0,22.77,21.53,21.73,2536111
FLNC,2024-09-16,21.56,22.35,21.15,21.99,1234800
FLNC,2024-09-17,22.21,22.48,21.79,21.95,1486501
FLNC,2024-09-18,21.61,23.0,21.57,21.7,1800106
FLNC,2024-09-19,22.68,22.68,21.17,21.34,1783824
FLNC,2024-09-20,21.21,21.76,21.11,21.56,1522771
FLNC,2024-09-23,21.55,21.96,21.03,21.88,902300
FLNC,2024-09-24,22.0,22.72,21.54,22.36,1284500
FLNC,2024-09-25,22.28,22.41,21.51,21.62,1057629
FLNC,2024-09-26,22.05,22.69,21.58,22.16,1355700
FLNC,2024-09-27,22.27,23.09,22.21,22.92,1663100
FLNC,2024-09-30,22.92,23.21,22.44,22.71,1439116
FLNC,2024-10-01,21.95,21.95,20.82,21.57,2647800
FLNC,2024-10-02,21.3,22.01,19.81,21.85,3024332
FLNC,2024-10-03,21.55,21.93,21.12,21.57,1483237
FLNC,2024-10-04,22.13,22.81,21.51,21.99,1493491
FLNC,2024-10-07,21.77,22.61,20.86,21.16,1405000
FLNC,2024-10-08,21.04,21.04,20.09,20.68,1480278
FLNC,2024-10-09,20.64,21.64,20.4,21.39,1126100
FLNC,2024-10-10,20.9,21.0,20.23,20.57,1275100
FLNC,2024-10-11,20.23,21.91,20.13,21.7,956497
FLNC,2024-10-14,21.95,22.03,21.22,21.87,792018
FLNC,2024-10-15,21.63,21.65,20.78,21.3,1179500
FLNC,2024-10-16,21.93,22.45,21.45,22.41,1215732
FLNC,2024-10-17,22.44,22.48,21.31,21.38,1168800
FLNC,2024-10-18,21.41,21.69,21.01,21.06,814126
FLNC,2024-10-21,21.0,21.11,20.42,20.68,1193756
FLNC,2024-10-22,20.65,20.65,19.77,19.81,1626538
FLNC,2024-10-23,19.34,19.86,19.15,19.8,1739140
FLNC,2024-10-24,20.52,21.45,20.2,20.74,1703800
FLNC,2024-10-25,21.0,21.4,20.61,20.66,1359735
FLNC,2024-10-28,21.0,21.65,20.78,20.81,1007661
FLNC,2024-10-29,20.32,20.89,20.0,20.84,995004
FLNC,2024-10-30,20.52,22.11,20.39,21.19,1756272
FLNC,2024-10-31,21.14,21.98,20.66,21.75,1058800
FLNC,2024-11-01,21.96,22.69,21.27,21.28,1475186
FLNC,2024-11-04,21.38,22.7,21.31,22.15,1998165
FLNC,2024-11-05,21.74,22.45,20.91,22.42,1887566
FLNC,2024-11-06,18.73,20.09,18.2,19.47,4929900
FLNC,2024-11-07,19.59,20.48,19.26,20.14,2243571
FLNC,2024-11-08,20.26,20.71,19.38,20.67,1750969
FLNC,2024-11-11,20.78,21.7,20.2,21.67,1209500
FLNC,2024-11-12,21.2,21.45,19.95,20.45,1707217
FLNC,2024-11-13,20.5,21.34,20.12,20.22,1260321
FLNC,2024-11-14,20.26,21.07,19.84,21.01,1820654
FLNC,2024-11-15,21.15,21.15,19.28,19.34,1684446
FLNC,2024-11-18,19.27,19.68,18.8,19.64,2386121
FLNC,2024-11-19,19.94,21.35,19.39,21.09,2154611
FLNC,2024-11-20,21.0,22.12,20.81,21.91,1645414
FLNC,2024-11-21,21.72,22.14,21.16,21.18,1573007
FLNC,2024-11-22,21.25,23.16,21.07,23.02,2777002
FLNC,2024-11-25,24.0,24.0,22.51,23.5,3608023
FLNC,2024-11-26,21.0,21.22,18.78,19.0,9581100
FLNC,2024-11-27,19.27,19.38,17.86,18.37,6605300
FLNC,2024-11-29,18.53,18.99,17.95,18.81,1801900
FLNC,2024-12-02,18.91,19.24,18.62,18.77,2422625
FLNC,2024-12-03,18.89,18.95,18.24,18.33,1947655
FLNC,2024-12-04,18.29,18.5,16.66,17.08,5737300
FLNC,2024-12-05,17.13,17.38,16.8,16.84,2075900
FLNC,2024-12-06,17.16,17.6,16.71,16.92,1667135
FLNC,2024-12-09,17.27,18.99,17.12,18.52,2948502
FLNC,2024-12-10,16.19,17.31,15.77,16.42,11611400
FLNC,2024-12-11,16.25,16.75,15.9,16.67,14715905
FLNC,2024-12-12,16.68,17.6,16.53,17.07,3277403
FLNC,2024-12-13,16.75,17.62,16.73,17.17,3408647
FLNC,2024-12-16,17.17,17.24,16.61,16.95,3544730
FLNC,2024-12-17,16.79,17.37,16.56,17.04,1769227
FLNC,2024-12-18,16.6,17.71,15.79,16.07,3577338
FLNC,2024-12-19,16.27,16.53,14.81,15.0,4570824
FLNC,2024-12-20,14.75,15.74,14.72,15.21,3404363
FLNC,2024-12-23,15.19,15.97,15.03,15.94,2004735
FLNC,2024-12-24,15.95,16.27,15.95,16.13,782300
FLNC,2024-12-26,15.75,16.08,15.75,15.8,1500900
FLNC,2024-12-27,16.18,16.6,15.85,16.24,2097089
FLNC,2024-12-30,16.0,16.53,15.92,16.42,1650856
FLNC,2024-12-31,16.58,16.85,15.71,15.88,2549007
FLNC,2025-01-02,16.51,17.27,16.28,16.91,1697395
FLNC,2025-01-03,17.36,17.8,17.0,17.35,2357492
FLNC,2025-01-06,17.96,18.58,17.35,17.39,4130747
FLNC,2025-01-07,17.75,18.37,17.41,17.66,3162688
FLNC,2025-01-08,17.21,17.6,16.78,17.09,1812436
FLNC,2025-01-10,16.64,17.0,15.99,16.09,1949103
FLNC,2025-01-13,15.95,16.81,15.61,16.56,5131283
FLNC,2025-01-14,16.88,17.19,15.92,16.15,2114700
