symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FLS,2024-08-27,47.7,48.01,47.59,47.88,556241
FLS,2024-08-28,47.76,48.05,47.28,47.47,418697
FLS,2024-08-29,47.87,48.72,47.55,48.23,836100
FLS,2024-08-30,48.38,48.67,47.71,48.62,927900
FLS,2024-09-03,48.16,48.26,46.21,46.43,888949
FLS,2024-09-04,46.24,46.65,45.85,46.13,586617
FLS,2024-09-05,46.19,46.25,45.37,45.42,471800
FLS,2024-09-06,45.37,46.03,44.31,44.36,834542
FLS,2024-09-09,44.72,45.08,44.35,44.69,662900
FLS,2024-09-10,44.74,44.88,44.1,44.24,811747
FLS,2024-09-11,44.2,44.49,43.21,44.45,1192400
FLS,2024-09-12,44.67,45.23,44.19,45.04,733218
FLS,2024-09-13,45.3,45.84,45.16,45.47,1110500
FLS,2024-09-16,45.71,46.02,45.39,45.51,1394600
FLS,2024-09-17,45.82,46.26,45.5,45.97,1333800
FLS,2024-09-18,45.94,46.46,45.54,45.67,1627745
FLS,2024-09-19,46.53,47.07,46.22,47.06,1694810
FLS,2024-09-20,46.75,47.07,46.27,46.69,2994600
FLS,2024-09-23,46.93,47.44,46.84,47.37,1243121
FLS,2024-09-24,48.25,50.9,48.25,50.82,3010700
FLS,2024-09-25,51.04,52.5,50.75,50.85,2970727
FLS,2024-09-26,51.41,51.91,50.77,51.2,1767300
FLS,2024-09-27,51.59,51.64,50.16,50.27,1351824
FLS,2024-09-30,50.05,50.65,49.82,50.58,854897
FLS,2024-10-01,50.43,50.93,49.81,50.76,1155532
FLS,2024-10-02,50.69,51.82,50.43,51.66,1912600
FLS,2024-10-03,51.36,51.67,50.76,51.08,2065318
FLS,2024-10-04,51.85,52.04,51.04,51.56,1029700
FLS,2024-10-07,51.66,53.44,51.34,53.41,1792549
FLS,2024-10-08,53.24,53.31,51.8,52.23,1326000
FLS,2024-10-09,52.59,53.2,52.33,53.06,1037184
FLS,2024-10-10,52.72,52.96,52.3,52.71,630600
FLS,2024-10-11,52.74,54.0,52.65,53.92,1042400
FLS,2024-10-14,53.98,54.19,53.55,54.15,1195736
FLS,2024-10-15,54.05,54.14,52.5,52.54,1531078
FLS,2024-10-16,53.09,53.84,52.96,53.71,1213100
FLS,2024-10-17,54.0,54.71,53.44,53.62,644334
FLS,2024-10-18,53.75,53.91,53.07,53.34,664100
FLS,2024-10-21,53.47,53.53,52.74,52.77,802006
FLS,2024-10-22,52.43,52.82,52.13,52.38,1076600
FLS,2024-10-23,51.86,52.26,51.36,51.87,851625
FLS,2024-10-24,51.78,51.88,50.95,51.4,1011900
FLS,2024-10-25,51.66,51.76,51.19,51.53,799245
FLS,2024-10-28,51.85,52.34,51.68,51.81,1767741
FLS,2024-10-29,50.41,53.6,49.3,52.98,3900606
FLS,2024-10-30,52.62,53.39,52.32,52.61,1805926
FLS,2024-10-31,52.47,52.56,51.5,51.51,1251326
FLS,2024-11-01,51.71,52.81,51.69,52.4,1370398
FLS,2024-11-04,52.33,53.58,52.27,52.59,911721
FLS,2024-11-05,52.54,54.23,52.5,54.12,1121717
FLS,2024-11-06,57.6,58.93,56.86,58.3,2599517
FLS,2024-11-07,58.07,58.41,57.29,57.42,1401252
FLS,2024-11-08,57.27,58.64,57.27,58.6,1284700
FLS,2024-11-11,59.15,60.29,58.98,59.84,1790826
FLS,2024-11-12,59.62,59.7,58.83,59.14,797432
FLS,2024-11-13,59.21,59.35,58.51,58.62,996000
FLS,2024-11-14,58.71,58.76,57.67,57.92,698590
FLS,2024-11-15,58.04,58.28,57.55,57.96,676300
FLS,2024-11-18,57.94,58.59,57.72,58.29,932306
FLS,2024-11-19,57.62,58.98,57.35,58.8,1241500
FLS,2024-11-20,59.04,59.08,58.25,58.61,1102644
FLS,2024-11-21,58.72,59.18,58.3,58.77,1859900
FLS,2024-11-22,60.08,60.83,59.37,59.7,3080900
FLS,2024-11-25,60.19,60.89,60.03,60.53,1920400
FLS,2024-11-26,60.19,60.37,59.64,60.0,928700
FLS,2024-11-27,60.08,60.61,59.32,59.43,621524
FLS,2024-11-29,59.5,60.1,59.5,59.72,337000
FLS,2024-12-02,59.86,60.14,59.45,59.56,648300
FLS,2024-12-03,59.69,60.55,59.36,60.23,1346829
FLS,2024-12-04,60.09,60.7,59.99,60.67,1014339
FLS,2024-12-05,60.69,60.99,60.22,60.39,790600
FLS,2024-12-06,60.54,60.56,58.89,59.53,1768700
FLS,2024-12-09,59.7,60.18,59.13,59.55,969700
FLS,2024-12-10,59.3,60.15,58.58,59.27,1157807
FLS,2024-12-11,59.7,60.26,59.46,60.09,1180834
FLS,2024-12-12,60.35,60.5,59.58,59.81,1082400
FLS,2024-12-13,59.64,59.92,59.21,59.32,941931
FLS,2024-12-16,59.17,60.48,59.01,59.93,3424779
FLS,2024-12-17,59.59,59.85,58.16,58.55,1940104
FLS,2024-12-18,59.07,59.34,56.18,56.22,1078550
FLS,2024-12-19,57.15,57.54,56.6,56.91,887937
FLS,2024-12-20,56.31,57.62,56.27,56.82,2015566
FLS,2024-12-23,56.71,56.91,56.08,56.85,483042
FLS,2024-12-24,56.76,57.21,56.67,57.2,178600
FLS,2024-12-26,56.99,57.42,56.78,57.21,568400
FLS,2024-12-27,56.66,57.3,56.41,56.75,492200
FLS,2024-12-30,56.37,56.8,55.53,56.45,692926
FLS,2024-12-31,56.62,57.26,56.38,56.49,1043110
FLS,2025-01-02,56.82,57.31,56.06,56.32,769600
FLS,2025-01-03,56.55,57.51,56.05,57.41,797400
FLS,2025-01-06,57.68,58.58,57.21,58.2,1682200
FLS,2025-01-07,58.2,59.23,57.93,58.37,1374322
FLS,2025-01-08,57.99,58.18,56.78,57.96,1080900
FLS,2025-01-10,57.38,57.82,56.57,57.22,1128200
FLS,2025-01-13,56.59,58.13,56.59,58.1,700733
FLS,2025-01-14,58.54,58.97,57.94,58.6,2370300
FLS,2025-01-15,59.81,59.95,59.26,59.6,714500
FLS,2025-01-16,59.96,62.1,59.85,61.63,2481107
FLS,2025-01-17,61.95,62.72,61.68,62.37,1052310
FLS,2025-01-21,63.02,63.8,62.81,63.59,1332643
FLS,2025-01-22,63.74,63.92,62.7,63.14,1162100
FLS,2025-01-23,63.14,63.57,62.68,63.17,961402
FLS,2025-01-24,63.28,63.54,62.68,62.94,990100
FLS,2025-01-27,61.61,61.78,58.32,58.78,1742545
FLS,2025-01-28,58.86,60.16,58.6,60.06,1618728
FLS,2025-01-29,60.15,60.84,59.92,60.33,1178700
FLS,2025-01-30,61.0,62.14,60.79,61.83,1412733
FLS,2025-01-31,62.02,62.28,61.34,61.5,967501
FLS,2025-02-03,59.75,61.48,59.64,60.84,1084396
FLS,2025-02-04,61.19,61.74,61.12,61.36,840438
FLS,2025-02-05,61.62,62.36,61.24,62.09,1195826
FLS,2025-02-06,62.37,62.59,61.56,62.22,1160633
FLS,2025-02-07,62.53,62.66,61.23,61.73,603232
FLS,2025-02-10,61.96,62.53,61.52,62.43,1607734
FLS,2025-02-11,62.12,62.58,61.36,61.98,803446
FLS,2025-02-12,61.04,61.67,60.62,60.89,1226210
FLS,2025-02-13,61.05,61.65,60.67,61.61,1004627
FLS,2025-02-14,61.41,61.53,60.7,61.18,1268925
FLS,2025-02-18,61.66,62.72,61.24,61.97,1863102
FLS,2025-02-19,56.65,59.53,56.4,57.95,3978500
FLS,2025-02-20,57.98,58.44,55.6,56.43,1823086
FLS,2025-02-21,56.87,56.87,53.53,54.4,2004531
FLS,2025-02-24,54.6,54.99,53.79,53.88,1468125
FLS,2025-02-25,53.89,54.61,52.69,53.64,1580000
FLS,2025-02-26,54.14,55.19,53.74,54.18,956537
FLS,2025-02-27,54.3,54.68,53.41,53.42,865342
FLS,2025-02-28,53.33,54.11,53.13,54.06,1326236
FLS,2025-03-03,54.69,54.96,51.44,51.8,1272254
FLS,2025-03-04,50.74,50.86,48.82,49.56,3009757
FLS,2025-03-05,49.82,50.54,48.93,49.93,2331200
FLS,2025-03-06,49.03,49.53,47.68,47.92,2683626
FLS,2025-03-07,47.59,48.11,45.89,47.58,2926800
FLS,2025-03-10,46.57,46.91,45.17,45.64,2558700
FLS,2025-03-11,45.69,47.29,45.23,46.52,2335300
FLS,2025-03-12,47.56,48.26,47.21,47.71,1968800
FLS,2025-03-13,47.68,47.95,46.48,46.75,1503700
FLS,2025-03-14,47.69,48.76,47.42,48.13,1541600
FLS,2025-03-17,49.2,49.82,48.77,49.46,2126000
FLS,2025-03-18,49.08,49.54,48.52,49.05,1328500
FLS,2025-03-19,49.0,50.83,48.99,50.39,2148995
FLS,2025-03-20,49.68,50.79,49.61,50.51,1298500
FLS,2025-03-21,49.63,49.93,48.8,49.67,2206926
FLS,2025-03-24,50.66,51.59,50.49,51.51,1002235
FLS,2025-03-25,51.61,52.57,51.04,51.5,952918
FLS,2025-03-26,51.58,52.04,50.18,50.44,1139135
FLS,2025-03-27,50.26,50.64,49.29,49.53,1373047
FLS,2025-03-28,49.24,49.47,47.72,48.11,1161041
FLS,2025-03-31,47.1,48.69,46.39,48.17,1773600
FLS,2025-04-01,47.88,48.67,47.35,48.52,1130100
FLS,2025-04-02,47.51,49.35,47.51,49.18,753460
FLS,2025-04-03,45.83,47.35,42.76,43.0,1972200
FLS,2025-04-04,40.82,41.88,37.71,39.52,2818727
FLS,2025-04-07,37.45,41.11,36.83,39.43,2103381
FLS,2025-04-08,41.72,41.96,38.24,38.95,1568844
FLS,2025-04-09,38.46,44.49,38.0,44.0,2571617
FLS,2025-04-10,42.41,43.0,40.37,41.26,2356600
FLS,2025-04-11,41.0,42.05,40.39,41.7,1798525
FLS,2025-04-14,42.59,42.84,41.39,41.92,1708500
FLS,2025-04-15,41.94,43.08,41.81,42.22,1632300
FLS,2025-04-16,41.65,42.17,40.96,41.61,1335600
FLS,2025-04-17,41.8,42.02,41.09,41.16,1672600
FLS,2025-04-21,40.49,40.77,39.31,39.93,2067126
FLS,2025-04-22,40.61,41.45,40.17,41.08,2390167
FLS,2025-04-23,42.91,43.69,41.53,41.74,2558300
FLS,2025-04-24,41.84,44.19,41.49,44.01,1382717
FLS,2025-04-25,43.71,44.52,43.51,44.21,1263200
FLS,2025-04-28,44.43,45.07,43.74,44.05,1467900
FLS,2025-04-29,43.91,44.42,43.45,44.27,2941518
FLS,2025-04-30,44.51,45.12,42.87,44.61,4342000
FLS,2025-05-01,45.17,46.04,44.44,45.53,2106527
FLS,2025-05-02,46.48,47.16,45.97,46.83,1964000
FLS,2025-05-05,46.22,47.23,46.01,46.55,1502300
FLS,2025-05-06,45.75,46.43,45.7,46.0,1149009
FLS,2025-05-07,46.25,46.59,45.72,46.05,1044038
FLS,2025-05-08,46.73,47.84,46.4,47.25,1096073
FLS,2025-05-09,47.82,47.98,47.01,47.1,1011900
FLS,2025-05-12,49.77,50.92,49.76,50.13,1465800
FLS,2025-05-13,50.33,51.74,50.25,51.4,1823335
FLS,2025-05-14,51.24,51.78,51.14,51.42,1382200
FLS,2025-05-15,50.81,51.34,50.25,50.38,1722826
FLS,2025-05-16,50.45,50.93,49.92,50.91,1702100
FLS,2025-05-19,49.89,50.92,49.7,50.67,874800
FLS,2025-05-20,50.42,50.82,49.94,50.14,831600
FLS,2025-05-21,49.55,49.85,48.78,48.79,933000
