symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FNF,2024-08-27,55.35,55.45,54.82,54.92,844400
FNF,2024-08-28,54.94,55.61,54.81,55.32,518743
FNF,2024-08-29,55.6,55.81,55.05,55.42,635300
FNF,2024-08-30,55.53,55.88,55.21,55.44,1559808
FNF,2024-09-03,55.19,55.68,54.66,55.36,929100
FNF,2024-09-04,55.87,56.6,55.24,55.61,1138214
FNF,2024-09-05,55.92,56.01,55.15,55.47,815800
FNF,2024-09-06,55.59,56.2,55.09,55.32,907900
FNF,2024-09-09,55.35,55.68,54.77,55.39,1010315
FNF,2024-09-10,55.56,55.66,54.51,55.34,642900
FNF,2024-09-11,55.04,55.23,54.29,54.88,903800
FNF,2024-09-12,54.9,55.87,54.9,55.79,746300
FNF,2024-09-13,56.2,56.93,56.01,56.92,1018600
FNF,2024-09-16,57.15,57.89,57.11,57.45,823604
FNF,2024-09-17,57.62,57.79,57.15,57.61,558820
FNF,2024-09-18,57.64,58.49,57.38,57.81,741900
FNF,2024-09-19,58.47,58.47,57.43,57.69,904630
FNF,2024-09-20,58.78,58.78,57.14,57.78,2811315
FNF,2024-09-23,57.93,58.1,57.4,57.79,898800
FNF,2024-09-24,57.83,57.86,57.22,57.59,847900
FNF,2024-09-25,57.59,57.83,57.12,57.37,943024
FNF,2024-09-26,57.56,57.79,57.18,57.2,841700
FNF,2024-09-27,57.54,58.33,57.27,57.94,1288882
FNF,2024-09-30,57.94,58.88,57.36,58.83,1548983
FNF,2024-10-01,58.67,58.82,57.83,58.01,886942
FNF,2024-10-02,57.61,58.32,57.37,57.9,867523
FNF,2024-10-03,57.79,57.85,57.22,57.57,691800
FNF,2024-10-04,57.82,57.93,57.0,57.07,788722
FNF,2024-10-07,57.45,57.55,56.26,56.87,991030
FNF,2024-10-08,57.15,57.46,56.3,57.04,813800
FNF,2024-10-09,56.87,57.31,56.49,56.85,1040200
FNF,2024-10-10,56.84,56.97,55.39,55.84,1227389
FNF,2024-10-11,56.2,57.5,56.2,57.34,1160118
FNF,2024-10-14,57.42,57.89,57.16,57.84,851424
FNF,2024-10-15,58.14,59.38,58.11,58.56,695411
FNF,2024-10-16,58.81,59.58,58.76,59.49,1197326
FNF,2024-10-17,59.53,59.69,59.01,59.4,1008100
FNF,2024-10-18,59.56,59.68,58.8,58.92,615855
FNF,2024-10-21,58.72,58.79,57.18,57.58,1460219
FNF,2024-10-22,57.46,57.66,57.05,57.62,755752
FNF,2024-10-23,57.33,57.63,56.35,56.85,1336715
FNF,2024-10-24,57.35,57.46,56.87,57.45,1002642
FNF,2024-10-25,57.45,57.91,56.68,56.84,906615
FNF,2024-10-28,57.15,57.72,57.09,57.45,664100
FNF,2024-10-29,56.88,57.13,56.54,56.92,1067129
FNF,2024-10-30,56.78,58.17,56.6,57.79,824218
FNF,2024-10-31,57.6,57.95,57.04,57.04,633248
FNF,2024-11-01,56.99,57.35,55.63,55.74,860425
FNF,2024-11-04,55.86,56.49,55.78,55.89,1043620
FNF,2024-11-05,55.6,56.44,55.38,56.39,1024700
FNF,2024-11-06,58.74,58.74,55.72,57.72,1619474
FNF,2024-11-07,56.24,56.64,55.26,56.04,2398920
FNF,2024-11-08,56.62,57.86,56.38,57.09,1344700
FNF,2024-11-11,57.62,58.3,57.01,57.05,725711
FNF,2024-11-12,56.87,58.03,56.73,57.87,1220300
FNF,2024-11-13,58.17,58.61,57.59,57.61,1411770
FNF,2024-11-14,57.61,58.15,57.4,57.8,706406
FNF,2024-11-15,57.73,58.28,57.3,57.58,709200
FNF,2024-11-18,57.41,57.88,57.13,57.86,709600
FNF,2024-11-19,57.45,58.1,57.23,57.77,633244
FNF,2024-11-20,57.67,57.76,56.59,56.95,624218
FNF,2024-11-21,56.95,57.86,56.78,57.5,1260764
FNF,2024-11-22,57.55,58.76,57.55,58.71,1054454
