symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FTAI,2024-08-27,120.24,121.5,119.07,120.27,507200
FTAI,2024-08-28,119.74,121.0,118.12,119.42,476293
FTAI,2024-08-29,119.92,125.06,119.66,123.33,744769
FTAI,2024-08-30,124.69,127.11,122.79,126.48,956181
FTAI,2024-09-03,125.87,126.3,116.26,116.7,1020500
FTAI,2024-09-04,114.81,119.62,114.11,118.17,588349
FTAI,2024-09-05,117.97,119.0,115.81,117.64,467618
FTAI,2024-09-06,117.57,119.49,110.89,111.38,1142280
FTAI,2024-09-09,113.42,115.96,111.65,111.85,1092126
FTAI,2024-09-10,112.56,113.3,110.16,112.71,571400
FTAI,2024-09-11,112.11,115.62,110.99,114.67,812257
FTAI,2024-09-12,114.76,121.91,114.76,119.81,1044337
FTAI,2024-09-13,121.58,125.43,120.86,123.93,1146827
FTAI,2024-09-16,123.7,127.66,123.34,125.64,2152410
FTAI,2024-09-17,126.91,127.24,124.4,125.45,757500
FTAI,2024-09-18,125.21,129.17,123.91,125.12,954957
FTAI,2024-09-19,130.76,131.04,126.44,128.87,1443719
FTAI,2024-09-20,129.21,131.55,128.24,129.03,3087600
FTAI,2024-09-23,129.13,130.36,127.51,128.65,815843
FTAI,2024-09-24,128.67,128.87,125.31,128.77,864449
FTAI,2024-09-25,128.94,130.32,127.81,128.72,630000
FTAI,2024-09-26,130.42,130.42,124.61,124.73,800529
FTAI,2024-09-27,126.67,129.33,125.7,128.2,1137462
FTAI,2024-09-30,128.87,132.52,128.44,131.52,1499356
FTAI,2024-10-01,131.15,131.73,127.31,130.28,1205539
FTAI,2024-10-02,127.43,133.99,127.43,133.22,1305100
FTAI,2024-10-03,132.37,134.96,131.84,132.06,842803
FTAI,2024-10-04,133.97,138.84,133.11,138.69,1691614
FTAI,2024-10-07,138.25,140.32,137.4,137.93,992415
FTAI,2024-10-08,138.88,146.25,138.35,144.93,1467829
FTAI,2024-10-09,145.46,145.57,141.88,143.44,1187100
FTAI,2024-10-10,140.36,143.59,138.85,142.6,1783852
FTAI,2024-10-11,142.22,145.92,141.53,144.88,1368091
FTAI,2024-10-14,146.45,147.14,144.71,146.55,1150749
FTAI,2024-10-15,146.56,148.18,139.99,143.5,1392341
FTAI,2024-10-16,143.88,145.03,143.38,144.28,696500
FTAI,2024-10-17,144.76,147.54,143.67,143.78,639403
FTAI,2024-10-18,144.47,144.93,139.64,142.06,864858
FTAI,2024-10-21,140.66,142.03,139.3,140.88,926968
FTAI,2024-10-22,140.3,141.12,138.08,138.77,964636
FTAI,2024-10-23,138.07,140.03,135.16,139.37,785414
FTAI,2024-10-24,139.8,142.66,138.91,141.69,1125539
FTAI,2024-10-25,142.6,143.61,140.18,142.74,732636
FTAI,2024-10-28,143.04,144.06,141.0,141.03,951759
FTAI,2024-10-29,140.23,142.04,138.56,141.94,992337
FTAI,2024-10-30,139.49,144.32,138.77,143.79,1145700
FTAI,2024-10-31,137.05,142.49,125.91,133.04,2465489
FTAI,2024-11-01,147.35,147.87,140.16,140.98,2497500
FTAI,2024-11-04,141.01,141.31,134.73,136.12,1372314
FTAI,2024-11-05,132.17,137.99,132.11,137.69,1542176
FTAI,2024-11-06,144.29,147.88,142.04,147.47,1771656
FTAI,2024-11-07,148.84,149.33,146.44,148.46,1116974
FTAI,2024-11-08,149.78,156.81,148.57,155.44,1308683
FTAI,2024-11-11,158.34,164.12,158.33,162.97,1188893
FTAI,2024-11-12,163.1,164.27,157.34,159.77,815102
FTAI,2024-11-13,162.42,162.49,159.82,160.74,678700
FTAI,2024-11-14,162.07,162.35,155.62,156.3,710640
FTAI,2024-11-15,156.48,157.59,153.75,157.08,632418
