symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FTI,2024-12-06,32.04,32.18,30.5,30.52,5341100
FTI,2024-12-09,30.73,30.77,30.09,30.11,5978242
FTI,2024-12-10,30.41,30.56,29.89,29.93,2508000
FTI,2024-12-11,30.25,30.95,29.76,30.72,3253760
FTI,2024-12-12,30.7,30.84,30.12,30.67,2525731
FTI,2024-12-13,30.86,30.88,30.59,30.79,2355630
FTI,2024-12-16,30.49,30.82,30.29,30.6,3221360
FTI,2024-12-17,30.07,30.2,29.03,29.76,4996100
FTI,2024-12-18,30.02,30.03,28.52,28.66,4766354
FTI,2024-12-19,29.6,29.83,28.19,28.44,3959400
FTI,2024-12-20,28.28,28.99,28.17,28.7,7244789
FTI,2024-12-23,28.49,28.76,28.22,28.63,2809832
FTI,2024-12-24,28.8,29.08,28.26,28.89,1763300
FTI,2024-12-26,28.94,29.12,28.69,28.96,1527000
FTI,2024-12-27,28.8,29.05,28.67,28.84,2175705
FTI,2024-12-30,28.74,29.13,28.39,28.76,2600628
FTI,2024-12-31,28.82,29.19,28.74,28.75,2609732
FTI,2025-01-02,29.21,29.64,28.97,29.37,2412040
FTI,2025-01-03,29.8,31.14,29.55,31.14,5383539
FTI,2025-01-06,31.23,32.05,31.11,31.47,4257580
FTI,2025-01-07,31.76,32.28,31.35,31.96,3186581
FTI,2025-01-08,31.58,32.34,31.58,32.33,2959100
FTI,2025-01-10,32.68,33.23,31.42,31.49,4040849
FTI,2025-01-13,31.46,32.1,31.43,32.02,2854916
FTI,2025-01-14,31.83,32.59,31.79,32.25,2617400
FTI,2025-01-15,32.5,32.53,31.89,32.23,5294153
FTI,2025-01-16,32.05,32.56,31.82,32.34,5163127
FTI,2025-01-17,32.43,33.05,32.27,32.35,2897696
FTI,2025-01-21,32.85,33.02,32.16,32.33,3345356
FTI,2025-01-22,32.29,32.44,31.67,31.67,3824813
FTI,2025-01-23,31.92,32.12,31.37,31.52,3286400
FTI,2025-01-24,31.51,31.76,31.12,31.18,1929580
FTI,2025-01-27,30.95,31.17,29.99,30.27,3484357
FTI,2025-01-28,30.5,30.72,30.19,30.52,2595882
FTI,2025-01-29,30.48,30.68,29.79,29.98,3736700
FTI,2025-01-30,30.24,30.64,29.93,30.39,3480800
FTI,2025-01-31,30.69,30.79,29.76,29.85,2734521
FTI,2025-02-03,29.6,30.25,29.14,29.95,3033146
FTI,2025-02-04,29.75,31.02,29.68,30.91,3034916
FTI,2025-02-05,30.91,31.19,30.81,31.02,2586000
FTI,2025-02-06,31.09,31.32,30.32,30.62,3887228
FTI,2025-02-07,30.7,31.08,30.37,30.59,2766700
FTI,2025-02-10,30.8,31.74,30.8,31.65,2676350
FTI,2025-02-11,31.65,31.74,31.3,31.39,2363626
FTI,2025-02-12,30.76,31.26,30.39,30.48,3016000
FTI,2025-02-13,30.39,30.51,29.86,30.08,3623000
FTI,2025-02-14,30.05,30.28,29.92,30.16,4087908
FTI,2025-02-18,30.42,31.04,30.22,30.91,3258300
FTI,2025-02-19,30.58,30.84,30.38,30.57,2339664
FTI,2025-02-20,30.41,30.66,30.13,30.28,2109400
FTI,2025-02-21,30.19,30.27,28.5,28.93,4306800
FTI,2025-02-24,29.09,29.28,27.92,28.42,4339074
FTI,2025-02-25,28.1,28.31,27.44,27.66,5686079
FTI,2025-02-26,27.57,27.96,27.32,27.7,7461257
FTI,2025-02-27,28.2,29.42,27.84,28.62,5774874
FTI,2025-02-28,28.31,29.5,28.22,29.24,6781123
FTI,2025-03-03,29.61,29.65,27.84,28.01,5220255
FTI,2025-03-04,27.4,27.7,26.06,26.8,6801722
FTI,2025-03-05,26.41,26.79,25.81,26.37,6303299
FTI,2025-03-06,25.95,26.54,25.78,26.13,6537700
FTI,2025-03-07,26.32,26.86,25.9,26.49,8601100
FTI,2025-03-10,26.14,26.3,24.45,25.13,12805600
FTI,2025-03-11,24.74,25.92,24.6,25.71,8685215
FTI,2025-03-12,25.92,26.48,25.84,26.2,3751013
FTI,2025-03-13,26.22,26.59,26.07,26.32,6164100
FTI,2025-03-14,26.5,27.16,26.22,27.06,3922800
FTI,2025-03-17,27.32,28.26,27.1,28.08,3228551
FTI,2025-03-18,28.28,28.28,27.61,27.97,2980300
FTI,2025-03-19,28.08,28.93,27.83,28.71,5602748
FTI,2025-03-20,28.34,29.26,28.3,29.14,3884522
FTI,2025-03-21,28.93,29.37,28.93,29.21,11451401
FTI,2025-03-24,29.35,29.82,29.28,29.69,3887200
