symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
FWONK,2024-08-27,77.12,77.78,76.35,77.39,814300
FWONK,2024-08-28,77.41,77.44,76.68,77.25,785924
FWONK,2024-08-29,77.21,78.43,76.83,77.71,849300
FWONK,2024-08-30,77.95,78.16,77.28,78.05,1217324
FWONK,2024-09-03,77.73,77.98,76.8,77.02,703900
FWONK,2024-09-04,76.73,78.04,76.73,77.54,1135900
FWONK,2024-09-05,77.54,77.65,75.85,76.42,873900
FWONK,2024-09-06,76.37,76.92,75.08,75.95,966515
FWONK,2024-09-09,76.09,76.37,75.29,75.44,999623
FWONK,2024-09-10,75.61,76.01,74.69,75.65,1127500
FWONK,2024-09-11,75.54,75.98,74.51,75.27,1675100
FWONK,2024-09-12,75.38,76.05,74.87,75.3,817400
FWONK,2024-09-13,75.76,76.47,75.01,75.39,1024518
FWONK,2024-09-16,75.6,78.29,75.37,77.59,1026209
FWONK,2024-09-17,78.35,78.66,77.68,78.21,1013630
FWONK,2024-09-18,78.55,78.61,76.98,77.39,947903
FWONK,2024-09-19,78.53,80.06,78.18,79.03,1028100
FWONK,2024-09-20,78.74,79.29,76.98,77.73,1581100
FWONK,2024-09-23,77.95,78.18,76.71,77.12,1078546
FWONK,2024-09-24,77.06,77.59,76.33,77.45,880320
FWONK,2024-09-25,77.4,77.4,76.56,77.07,794200
FWONK,2024-09-26,77.26,78.09,77.26,77.63,622925
FWONK,2024-09-27,78.05,78.86,77.61,78.15,844575
FWONK,2024-09-30,78.16,78.72,76.81,77.43,1787200
FWONK,2024-10-01,77.66,77.81,75.99,76.13,1245700
FWONK,2024-10-02,76.01,77.71,75.91,77.0,1620827
FWONK,2024-10-03,77.05,77.6,76.31,76.43,1051000
FWONK,2024-10-04,76.67,77.17,75.6,77.14,1203538
FWONK,2024-10-07,76.91,77.0,74.34,74.39,964555
FWONK,2024-10-08,74.93,75.32,74.47,75.07,717200
FWONK,2024-10-09,74.75,76.83,74.69,76.76,716100
FWONK,2024-10-10,76.81,77.86,76.01,77.27,806200
FWONK,2024-10-11,77.22,79.32,77.22,78.82,1106839
FWONK,2024-10-14,78.78,79.47,78.75,79.17,433500
FWONK,2024-10-15,79.45,80.33,79.24,79.9,1025200
FWONK,2024-10-16,79.95,80.27,79.3,79.69,775600
FWONK,2024-10-17,79.3,79.94,78.84,79.82,995600
FWONK,2024-10-18,80.09,80.61,79.66,80.28,698300
FWONK,2024-10-21,79.96,80.25,79.17,79.24,531200
FWONK,2024-10-22,78.84,80.53,78.56,80.18,607000
FWONK,2024-10-23,80.01,80.48,79.16,79.24,724400
FWONK,2024-10-24,78.84,79.98,78.0,79.4,996620
FWONK,2024-10-25,79.98,80.52,79.12,79.15,443420
FWONK,2024-10-28,79.74,80.8,79.35,80.06,1011500
FWONK,2024-10-29,80.08,81.47,79.92,80.93,755500
FWONK,2024-10-30,80.84,81.88,80.45,80.66,919625
FWONK,2024-10-31,80.51,81.56,79.81,79.84,1053200
FWONK,2024-11-01,80.26,81.55,79.95,80.65,763439
FWONK,2024-11-04,80.61,80.91,79.72,80.01,804521
FWONK,2024-11-05,79.87,81.7,79.87,81.4,826731
FWONK,2024-11-06,82.77,84.4,82.33,82.86,1175300
