symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GDDY,2024-08-27,163.39,165.72,163.01,164.72,605258
GDDY,2024-08-28,164.75,165.64,163.23,164.05,670620
GDDY,2024-08-29,164.35,165.61,163.96,164.99,657835
GDDY,2024-08-30,165.59,167.65,164.47,167.41,2573537
GDDY,2024-09-03,166.91,166.91,158.59,159.5,1210968
GDDY,2024-09-04,159.1,159.65,155.91,157.29,1352400
GDDY,2024-09-05,154.32,156.41,152.7,153.0,1920985
GDDY,2024-09-06,152.59,154.79,149.76,150.0,2002606
GDDY,2024-09-09,151.61,153.5,151.04,152.87,1683309
GDDY,2024-09-10,153.43,154.0,149.35,149.66,1449640
GDDY,2024-09-11,149.26,151.69,148.55,151.43,1772971
GDDY,2024-09-12,150.83,153.14,150.0,152.61,987438
GDDY,2024-09-13,152.49,153.62,152.14,152.28,726200
GDDY,2024-09-16,152.17,152.75,150.16,150.3,1084105
GDDY,2024-09-17,150.96,153.92,150.57,153.9,1140615
GDDY,2024-09-18,154.05,156.07,153.62,154.28,1051738
GDDY,2024-09-19,158.0,160.2,157.54,160.14,1446952
GDDY,2024-09-20,159.11,161.0,158.48,160.55,2044414
GDDY,2024-09-23,160.5,161.5,158.3,158.53,989621
GDDY,2024-09-24,158.82,159.23,156.36,157.77,808466
GDDY,2024-09-25,157.69,159.5,157.48,158.81,735356
GDDY,2024-09-26,159.84,160.22,155.56,155.63,1126752
GDDY,2024-09-27,155.58,156.59,154.8,156.0,925000
GDDY,2024-09-30,155.84,156.96,155.14,156.78,973106
GDDY,2024-10-01,155.6,155.97,152.86,153.16,806834
GDDY,2024-10-02,152.44,155.26,152.0,154.95,653031
GDDY,2024-10-03,154.58,154.68,152.42,154.41,582034
GDDY,2024-10-04,155.43,156.43,154.06,156.33,679364
GDDY,2024-10-07,156.16,157.21,154.95,155.26,1049723
GDDY,2024-10-08,155.95,160.38,155.26,160.12,1041145
GDDY,2024-10-09,160.01,161.48,159.18,161.21,1425689
GDDY,2024-10-10,160.66,162.26,160.5,162.14,710346
GDDY,2024-10-11,162.57,163.83,162.06,163.13,768912
GDDY,2024-10-14,163.98,164.64,163.25,164.07,767106
GDDY,2024-10-15,164.16,164.94,162.5,162.92,836138
GDDY,2024-10-16,162.36,164.73,161.56,163.85,556928
GDDY,2024-10-17,164.42,165.6,162.68,164.42,958079
GDDY,2024-10-18,165.0,165.65,164.08,164.7,823848
GDDY,2024-10-21,164.71,166.17,163.3,163.89,887800
GDDY,2024-10-22,162.78,164.45,162.33,163.65,668700
GDDY,2024-10-23,163.48,164.64,160.3,161.89,636919
GDDY,2024-10-24,162.03,163.57,161.28,161.45,672800
GDDY,2024-10-25,161.9,162.82,160.01,160.53,682723
GDDY,2024-10-28,161.96,162.17,159.82,159.9,822630
GDDY,2024-10-29,160.0,161.5,159.71,161.35,878214
GDDY,2024-10-30,161.82,162.83,160.97,161.6,1423618
GDDY,2024-10-31,164.3,171.93,163.68,166.8,2680875
GDDY,2024-11-01,167.79,167.98,162.21,163.36,1545938
GDDY,2024-11-04,163.35,165.71,161.43,165.51,1299456
GDDY,2024-11-05,165.5,168.05,165.25,167.63,945338
GDDY,2024-11-06,171.0,175.98,170.0,175.81,1874768
GDDY,2024-11-07,176.52,177.77,175.04,177.31,1212964
GDDY,2024-11-08,177.25,178.28,175.37,177.84,852949
GDDY,2024-11-11,179.0,184.38,178.76,183.13,1271608
GDDY,2024-11-12,184.0,187.55,183.16,187.23,1810175
GDDY,2024-11-13,186.17,190.21,184.86,188.74,1467218
GDDY,2024-11-14,188.68,189.44,184.27,185.29,1444789
GDDY,2024-11-15,183.8,184.93,181.96,182.92,1354914
GDDY,2024-11-18,183.45,186.09,181.77,185.02,1203183
GDDY,2024-11-19,183.8,188.03,183.45,187.4,1253144
GDDY,2024-11-20,188.0,190.54,186.75,190.12,1080305
GDDY,2024-11-21,191.03,193.26,190.01,193.01,884540
GDDY,2024-11-22,192.85,196.71,191.59,196.35,1226977
GDDY,2024-11-25,197.65,200.16,196.62,197.43,2847983
GDDY,2024-11-26,198.29,202.56,197.34,199.73,1925843
GDDY,2024-11-27,199.4,199.4,197.07,197.85,1340813
GDDY,2024-11-29,197.87,199.99,197.05,197.57,1047100
GDDY,2024-12-02,197.77,199.02,196.55,197.62,1533823
GDDY,2024-12-03,197.13,198.73,194.83,198.36,1868224
GDDY,2024-12-04,199.59,208.71,198.36,208.15,2202031
GDDY,2024-12-05,208.0,210.3,206.0,208.54,1200938
GDDY,2024-12-06,207.95,209.07,206.04,206.56,1044259
GDDY,2024-12-09,205.59,206.41,200.93,203.39,2118769
GDDY,2024-12-10,203.3,206.24,201.14,204.85,1461866
GDDY,2024-12-11,205.89,208.57,205.81,208.34,1255940
GDDY,2024-12-12,207.22,209.96,205.9,208.91,855600
GDDY,2024-12-13,209.08,209.87,206.18,206.78,784957
GDDY,2024-12-16,207.35,211.11,206.27,209.03,938052
GDDY,2024-12-17,208.24,209.96,205.83,207.46,988544
GDDY,2024-12-18,207.55,208.7,200.05,200.13,1292665
GDDY,2024-12-19,202.24,205.05,200.85,202.94,1263103
GDDY,2024-12-20,200.77,206.62,200.03,205.41,2417400
GDDY,2024-12-23,204.49,205.74,202.84,204.84,824409
GDDY,2024-12-24,205.29,207.8,204.9,206.74,331606
GDDY,2024-12-26,206.0,207.47,205.34,206.2,698749
GDDY,2024-12-27,205.42,205.5,201.81,203.45,530533
GDDY,2024-12-30,199.61,200.67,195.59,199.45,913900
GDDY,2024-12-31,199.62,199.62,195.85,197.37,958130
GDDY,2025-01-02,199.01,201.04,196.89,198.91,961650
GDDY,2025-01-03,199.85,201.33,199.0,200.39,842547
GDDY,2025-01-06,200.77,201.29,196.64,199.34,990739
GDDY,2025-01-07,200.17,200.17,194.43,195.57,992304
GDDY,2025-01-08,195.64,197.19,193.0,197.14,768600
GDDY,2025-01-10,194.76,195.47,192.11,192.86,1052100
GDDY,2025-01-13,190.63,193.71,189.45,193.49,1186600
GDDY,2025-01-14,195.41,199.38,193.5,197.48,1269400
GDDY,2025-01-15,200.57,202.71,196.48,199.17,1627045
GDDY,2025-01-16,199.6,203.42,199.6,200.85,1186056
GDDY,2025-01-17,203.69,204.35,199.96,200.91,1308366
GDDY,2025-01-21,202.94,206.75,201.03,205.59,1116357
GDDY,2025-01-22,206.62,207.06,203.96,204.3,1030919
GDDY,2025-01-23,204.48,207.19,203.28,207.19,956399
GDDY,2025-01-24,207.4,208.63,205.67,207.3,793512
GDDY,2025-01-27,203.12,207.4,202.01,204.93,856562
GDDY,2025-01-28,207.36,215.35,205.88,214.35,1722374
GDDY,2025-01-29,214.03,214.91,212.04,213.91,971097
GDDY,2025-01-30,214.99,216.0,212.26,213.53,1493878
GDDY,2025-01-31,214.44,215.8,211.76,212.65,1146000
GDDY,2025-02-03,207.7,214.76,205.2,212.73,1221100
GDDY,2025-02-04,214.37,214.37,208.56,210.43,885300
GDDY,2025-02-05,211.19,212.5,209.0,209.87,981155
GDDY,2025-02-06,210.46,211.57,208.82,210.97,1082032
GDDY,2025-02-07,211.6,214.32,210.96,211.4,1003973
GDDY,2025-02-10,212.4,213.87,210.82,211.57,1006281
GDDY,2025-02-11,210.51,210.51,205.48,206.26,1852681
GDDY,2025-02-12,204.46,208.4,202.71,207.53,1522138
GDDY,2025-02-13,208.39,213.11,207.22,212.54,1595735
GDDY,2025-02-14,194.75,195.7,181.72,182.19,4396900
GDDY,2025-02-18,182.01,182.42,177.47,181.08,2379767
GDDY,2025-02-19,178.16,180.59,175.05,176.55,2171682
GDDY,2025-02-20,176.41,178.26,174.16,176.57,1600906
GDDY,2025-02-21,176.04,176.93,172.93,173.77,1477426
GDDY,2025-02-24,173.71,174.66,168.87,174.07,1823506
