symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GEO,2024-08-27,13.53,13.6,13.28,13.3,1443531
GEO,2024-08-28,13.3,13.6,13.26,13.56,1141384
GEO,2024-08-29,13.62,13.69,13.34,13.55,1291900
GEO,2024-08-30,13.67,13.87,13.6,13.87,1599292
GEO,2024-09-03,13.68,13.74,13.08,13.21,1683466
GEO,2024-09-04,13.17,13.24,12.87,13.07,1540800
GEO,2024-09-05,13.09,13.44,12.97,13.23,1418342
GEO,2024-09-06,13.17,13.33,12.98,13.13,1514100
GEO,2024-09-09,13.4,13.72,13.09,13.45,3382703
GEO,2024-09-10,13.52,13.59,13.21,13.47,2201002
GEO,2024-09-11,12.51,12.73,11.75,12.55,5043743
GEO,2024-09-12,12.61,12.83,12.53,12.61,1340203
GEO,2024-09-13,12.65,12.97,12.42,12.96,1562726
GEO,2024-09-16,13.01,13.29,12.98,13.12,1308394
GEO,2024-09-17,13.26,13.28,12.8,12.84,1689447
GEO,2024-09-18,12.9,13.0,12.5,12.51,1552727
GEO,2024-09-19,13.01,13.01,12.41,12.49,2253528
GEO,2024-09-20,12.38,12.67,12.29,12.37,3395046
GEO,2024-09-23,12.48,12.69,12.39,12.62,1752200
GEO,2024-09-24,12.66,12.85,12.65,12.68,1241100
GEO,2024-09-25,12.7,12.81,12.41,12.43,1050932
GEO,2024-09-26,12.6,12.85,12.55,12.71,1573251
GEO,2024-09-27,12.85,12.94,12.58,12.71,1516760
GEO,2024-09-30,12.64,13.36,12.62,12.85,2773873
GEO,2024-10-01,12.75,13.0,12.54,12.83,1310821
GEO,2024-10-02,12.81,13.08,12.8,13.04,1254297
GEO,2024-10-03,12.95,13.43,12.86,13.32,1890811
GEO,2024-10-04,13.5,13.52,13.2,13.41,1445200
GEO,2024-10-07,13.39,13.81,13.23,13.72,1622800
GEO,2024-10-08,13.74,14.0,13.55,13.75,1613817
GEO,2024-10-09,13.72,13.85,13.54,13.62,1707900
GEO,2024-10-10,13.52,13.94,13.36,13.86,2714686
GEO,2024-10-11,13.83,14.16,13.75,13.92,1652338
GEO,2024-10-14,14.05,14.81,14.05,14.75,2212427
GEO,2024-10-15,14.85,15.16,14.62,14.99,2400578
GEO,2024-10-16,14.99,15.66,14.94,15.19,2853100
GEO,2024-10-17,15.28,15.55,14.95,15.15,2652100
GEO,2024-10-18,15.19,15.26,14.85,15.2,1488745
GEO,2024-10-21,15.24,15.4,15.03,15.15,1343481
GEO,2024-10-22,15.03,15.64,15.02,15.55,1736207
GEO,2024-10-23,15.43,15.9,15.09,15.29,2207402
GEO,2024-10-24,15.4,15.52,15.25,15.25,1102600
GEO,2024-10-25,15.27,15.5,15.17,15.19,1601800
GEO,2024-10-28,15.6,16.37,15.59,16.24,3657226
GEO,2024-10-29,16.32,16.38,15.95,16.28,1473539
GEO,2024-10-30,16.2,16.47,15.85,15.91,2253129
GEO,2024-10-31,15.91,15.91,15.11,15.18,2927039
GEO,2024-11-01,15.3,15.46,14.41,14.45,3457100
GEO,2024-11-04,14.3,14.3,13.59,14.18,5533800
GEO,2024-11-05,14.52,15.27,14.47,15.13,5772433
GEO,2024-11-06,19.34,21.54,19.06,21.5,20190734
GEO,2024-11-07,20.1,24.58,20.0,24.43,14703341
GEO,2024-11-08,24.96,25.88,24.17,25.36,8126900
GEO,2024-11-11,27.0,27.88,26.18,26.48,9317500
GEO,2024-11-12,26.01,26.2,24.31,25.05,6177512
GEO,2024-11-13,25.33,26.59,24.91,25.47,5171100
GEO,2024-11-14,26.04,27.0,25.73,26.1,5385700
GEO,2024-11-15,26.17,27.54,25.91,26.6,4890841
GEO,2024-11-18,26.25,26.98,25.74,26.38,2788917
GEO,2024-11-19,25.56,28.58,25.36,28.4,4089909
GEO,2024-11-20,28.33,28.6,27.22,27.81,2380200
GEO,2024-11-21,28.07,29.48,27.66,28.73,4146900
GEO,2024-11-22,29.0,29.57,28.44,28.68,2514430
GEO,2024-11-25,28.6,28.89,27.94,27.94,2926900
GEO,2024-11-26,27.88,29.09,27.69,27.83,3633600
GEO,2024-11-27,28.16,29.15,27.83,28.69,2501499
GEO,2024-11-29,28.71,29.3,28.04,28.51,1434236
GEO,2024-12-02,28.25,28.51,27.01,27.12,3872400
GEO,2024-12-03,26.72,27.19,26.56,26.95,2444213
GEO,2024-12-04,26.55,29.28,26.45,29.2,5546724
GEO,2024-12-05,29.75,29.86,28.56,29.13,2496104
GEO,2024-12-06,29.17,29.24,28.15,28.42,2081323
GEO,2024-12-09,28.42,28.93,27.94,28.14,2032931
GEO,2024-12-10,28.4,29.44,27.91,27.93,3945413
GEO,2024-12-11,27.91,28.11,27.44,27.8,2271900
GEO,2024-12-12,27.54,28.56,27.4,27.77,1395851
GEO,2024-12-13,27.71,27.92,27.06,27.41,2241804
GEO,2024-12-16,27.0,28.11,26.93,27.73,1548100
GEO,2024-12-17,26.93,28.23,26.61,27.53,3120690
GEO,2024-12-18,27.8,27.84,25.85,26.37,2739834
GEO,2024-12-19,26.97,28.37,26.22,28.0,3564778
GEO,2024-12-20,27.4,28.31,27.23,27.51,7128335
GEO,2024-12-23,28.19,28.88,27.15,28.01,1755800
GEO,2024-12-24,27.74,28.56,27.41,28.12,726900
GEO,2024-12-26,28.13,28.43,27.91,28.29,1676582
GEO,2024-12-27,28.15,28.78,27.57,27.66,1718769
GEO,2024-12-30,27.49,28.19,27.39,27.54,1515600
GEO,2024-12-31,27.81,28.66,27.65,27.98,2044437
GEO,2025-01-02,27.83,28.93,27.41,28.29,1994871
GEO,2025-01-03,28.3,29.41,27.71,29.31,2654146
GEO,2025-01-06,29.39,29.4,28.25,29.08,2644400
GEO,2025-01-07,29.27,29.39,27.8,28.69,1858533
GEO,2025-01-08,28.68,31.13,28.24,31.07,4063200
GEO,2025-01-10,31.0,31.77,30.25,30.94,3453600
GEO,2025-01-13,30.56,30.73,29.42,30.66,2636831
GEO,2025-01-14,31.09,31.71,30.51,31.67,2061100
GEO,2025-01-15,33.63,34.12,32.81,33.85,3653809
GEO,2025-01-16,34.0,34.85,33.7,34.0,3222100
GEO,2025-01-17,34.35,35.62,34.01,35.35,4530600
GEO,2025-01-21,35.82,36.46,33.87,34.87,5312400
GEO,2025-01-22,34.27,34.69,32.34,34.35,4186009
