symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GLPI,2024-08-27,45.29,45.62,45.14,45.59,727300
GLPI,2024-08-28,45.57,45.82,45.36,45.64,798900
GLPI,2024-08-29,45.6,46.0,45.36,45.82,783100
GLPI,2024-08-30,45.9,46.58,45.9,46.48,2206846
GLPI,2024-09-03,46.5,46.73,45.91,46.1,1140100
GLPI,2024-09-04,45.95,46.81,45.95,46.43,1094100
GLPI,2024-09-05,46.69,46.84,45.76,46.01,1452400
GLPI,2024-09-06,46.01,46.56,45.85,46.03,1317505
GLPI,2024-09-09,46.0,46.67,45.94,46.56,1528139
GLPI,2024-09-10,46.61,47.0,46.48,46.77,1191700
GLPI,2024-09-11,46.5,46.77,45.83,46.67,895230
GLPI,2024-09-12,46.85,46.94,46.35,46.56,1079538
GLPI,2024-09-13,46.93,47.16,46.66,46.8,1673000
GLPI,2024-09-16,47.0,47.2,46.69,46.83,2012319
GLPI,2024-09-17,46.84,47.02,46.45,46.55,1260508
GLPI,2024-09-18,46.61,47.1,46.35,46.42,862700
GLPI,2024-09-19,46.58,46.66,45.97,46.1,1072904
GLPI,2024-09-20,46.06,46.16,45.78,46.15,2121446
GLPI,2024-09-23,46.5,46.67,46.2,46.37,1107819
GLPI,2024-09-24,46.33,46.58,46.06,46.18,837418
GLPI,2024-09-25,46.28,46.28,45.67,45.82,732000
GLPI,2024-09-26,45.72,46.28,45.65,46.17,1006300
GLPI,2024-09-27,46.58,46.63,45.87,46.01,1242800
GLPI,2024-09-30,46.2,46.76,45.91,46.65,2417254
GLPI,2024-10-01,46.67,46.7,46.02,46.37,1173300
GLPI,2024-10-02,46.13,46.56,46.08,46.37,1381700
GLPI,2024-10-03,46.34,46.36,46.05,46.35,1138505
GLPI,2024-10-04,46.24,46.4,45.74,46.24,1326200
GLPI,2024-10-07,46.15,46.32,45.93,46.24,985400
GLPI,2024-10-08,46.24,46.4,46.01,46.25,1234591
GLPI,2024-10-09,46.25,46.52,46.22,46.27,1298500
GLPI,2024-10-10,46.26,46.26,45.57,45.72,861946
GLPI,2024-10-11,45.96,46.06,45.74,46.04,574800
GLPI,2024-10-14,45.93,46.41,45.79,46.26,499735
GLPI,2024-10-15,46.37,46.94,46.24,46.27,1041328
GLPI,2024-10-16,46.33,46.79,46.33,46.52,1177836
GLPI,2024-10-17,46.43,46.55,46.16,46.21,1311500
GLPI,2024-10-18,46.13,46.72,46.13,46.67,914417
GLPI,2024-10-21,46.49,46.73,45.88,45.99,1013418
GLPI,2024-10-22,46.02,46.33,45.84,46.07,848900
GLPI,2024-10-23,45.93,46.3,45.84,46.17,1105754
GLPI,2024-10-24,46.15,46.4,46.05,46.09,1026128
GLPI,2024-10-25,46.32,46.34,44.96,45.12,1539600
GLPI,2024-10-28,45.22,45.86,45.22,45.78,1919907
GLPI,2024-10-29,45.65,46.16,45.31,46.12,2367745
GLPI,2024-10-30,46.06,46.7,45.96,46.04,1252996
GLPI,2024-10-31,45.85,46.2,45.28,45.5,2030015
GLPI,2024-11-01,45.58,46.21,45.02,45.17,1296635
GLPI,2024-11-04,45.17,46.13,45.17,45.87,1111300
GLPI,2024-11-05,45.67,46.04,45.41,46.04,824039
GLPI,2024-11-06,46.49,46.49,43.9,44.46,2220327
GLPI,2024-11-07,44.54,45.15,44.44,44.78,1542700
GLPI,2024-11-08,44.88,45.27,44.85,45.12,1055800
GLPI,2024-11-11,44.99,45.14,44.6,44.63,1161523
GLPI,2024-11-12,44.59,44.82,44.24,44.57,937700
GLPI,2024-11-13,44.98,45.08,44.1,44.51,1358600
GLPI,2024-11-14,44.51,44.51,43.97,44.17,988504
GLPI,2024-11-15,44.2,44.65,44.07,44.6,982500
GLPI,2024-11-18,44.54,45.16,44.4,44.82,1190600
GLPI,2024-11-19,44.51,45.61,44.27,45.56,1499300
GLPI,2024-11-20,45.93,46.06,45.31,45.82,1223113
GLPI,2024-11-21,45.79,46.03,45.58,45.92,752344
GLPI,2024-11-22,46.15,46.46,46.11,46.17,1010900
GLPI,2024-11-25,46.33,46.93,46.33,46.49,1950500
GLPI,2024-11-26,46.66,46.66,46.12,46.39,1372211
GLPI,2024-11-27,46.61,47.13,46.6,46.84,737047
GLPI,2024-11-29,46.84,47.39,46.78,46.79,843700
GLPI,2024-12-02,46.93,46.93,46.34,46.56,1046726
GLPI,2024-12-03,46.66,46.66,45.96,46.32,804943
GLPI,2024-12-04,46.44,46.7,46.16,46.6,1126362
GLPI,2024-12-05,46.48,46.81,46.37,46.71,1102932
GLPI,2024-12-06,46.85,47.03,46.18,46.41,1474200
GLPI,2024-12-09,46.48,46.58,46.05,46.1,807600
GLPI,2024-12-10,46.03,46.28,45.5,45.77,1019900
GLPI,2024-12-11,45.59,46.03,45.41,45.65,1329834
GLPI,2024-12-12,45.35,45.98,45.35,45.64,815400
GLPI,2024-12-13,45.77,46.22,45.65,46.1,1173994
GLPI,2024-12-16,46.0,46.34,45.77,45.82,1056348
GLPI,2024-12-17,45.54,45.84,45.06,45.08,1274900
GLPI,2024-12-18,45.02,45.4,43.32,43.34,1381300
GLPI,2024-12-19,43.36,43.88,42.7,42.76,1449600
GLPI,2024-12-20,43.01,43.92,43.01,43.33,4321611
