symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GPC,2024-08-27,135.1,135.35,134.32,134.92,649325
GPC,2024-08-28,135.05,135.7,134.14,134.73,755741
GPC,2024-08-29,135.51,135.73,134.03,134.51,476817
GPC,2024-08-30,134.98,135.59,133.81,135.44,821937
GPC,2024-09-03,135.18,136.55,133.8,135.37,739511
GPC,2024-09-04,135.51,136.3,131.74,133.49,742100
GPC,2024-09-05,133.66,134.14,127.64,129.84,1620500
GPC,2024-09-06,129.81,131.22,127.66,127.9,932300
GPC,2024-09-09,128.48,130.32,126.89,130.1,824100
GPC,2024-09-10,130.32,130.37,128.3,129.29,726627
GPC,2024-09-11,128.56,128.84,126.0,128.61,775900
GPC,2024-09-12,128.62,129.75,126.86,129.72,669310
GPC,2024-09-13,130.52,131.28,129.64,130.8,874325
GPC,2024-09-16,131.72,132.77,130.35,130.8,756200
GPC,2024-09-17,131.39,132.61,130.63,130.78,529930
GPC,2024-09-18,132.76,134.38,131.28,131.51,489708
GPC,2024-09-19,132.96,133.33,131.61,132.51,528018
GPC,2024-09-20,131.99,132.07,129.49,130.49,1358220
GPC,2024-09-23,130.6,131.36,129.63,131.18,932233
GPC,2024-09-24,130.85,133.23,130.52,133.0,846500
GPC,2024-09-25,133.48,133.48,131.46,131.92,888317
GPC,2024-09-26,132.57,134.88,132.17,134.76,686403
GPC,2024-09-27,135.56,136.74,134.31,134.51,618200
GPC,2024-09-30,134.6,134.6,132.29,133.02,680735
GPC,2024-10-01,132.89,133.81,131.43,132.99,764912
GPC,2024-10-02,132.13,133.03,131.31,132.16,666305
GPC,2024-10-03,131.28,131.45,129.81,130.06,553422
GPC,2024-10-04,130.9,131.71,129.78,130.18,649623
GPC,2024-10-07,129.55,130.06,128.38,128.56,619800
GPC,2024-10-08,127.61,127.9,126.43,127.3,716900
GPC,2024-10-09,127.74,128.53,126.77,127.38,807700
GPC,2024-10-10,127.38,128.16,126.67,127.08,613233
GPC,2024-10-11,127.31,131.18,127.31,130.7,864529
GPC,2024-10-14,130.38,132.94,130.15,132.79,1025507
GPC,2024-10-15,132.82,135.47,132.82,133.72,1153900
GPC,2024-10-16,135.44,136.96,134.79,136.34,879700
GPC,2024-10-17,136.29,137.1,135.4,136.78,750489
GPC,2024-10-18,137.42,137.42,135.66,136.35,852075
GPC,2024-10-21,136.82,137.34,135.68,136.3,990109
GPC,2024-10-22,114.7,116.7,107.37,107.72,6715600
GPC,2024-10-23,108.58,110.95,107.76,110.7,2768429
GPC,2024-10-24,108.97,110.34,107.55,107.72,2219400
GPC,2024-10-25,107.62,109.49,107.62,108.8,2138120
GPC,2024-10-28,110.14,113.41,109.87,112.71,3932740
GPC,2024-10-29,111.6,112.87,111.02,111.69,2502178
GPC,2024-10-30,112.47,113.34,110.41,110.73,1532421
GPC,2024-10-31,110.47,111.39,108.64,109.23,2763124
GPC,2024-11-01,109.39,110.02,107.9,108.2,1318782
GPC,2024-11-04,108.58,111.23,108.55,110.52,1216440
GPC,2024-11-05,110.5,111.13,109.76,111.04,1068300
GPC,2024-11-06,114.28,117.66,113.41,117.4,2574383
GPC,2024-11-07,117.32,118.85,116.55,117.18,1696267
GPC,2024-11-08,116.93,117.46,116.34,116.58,1220592
GPC,2024-11-11,117.35,118.64,116.21,116.53,957990
GPC,2024-11-12,116.26,117.29,115.61,116.85,1535273
GPC,2024-11-13,116.56,118.55,116.29,117.79,1438700
GPC,2024-11-14,119.04,120.33,117.91,117.95,1430046
GPC,2024-11-15,118.53,119.0,116.55,116.78,1077400
GPC,2024-11-18,117.24,119.04,116.99,118.27,905822
GPC,2024-11-19,116.9,118.09,115.41,115.48,1053892
GPC,2024-11-20,115.87,115.87,114.04,115.0,1043354
GPC,2024-11-21,115.73,116.92,114.55,116.84,973500
GPC,2024-11-22,117.42,119.1,117.14,118.85,953331
GPC,2024-11-25,120.5,124.38,120.33,123.3,1648818
GPC,2024-11-26,122.51,122.88,121.27,121.8,917520
GPC,2024-11-27,121.9,122.59,120.55,120.82,908029
GPC,2024-11-29,120.49,121.59,120.31,120.69,554500
GPC,2024-12-02,121.51,122.41,120.52,121.45,3119753
GPC,2024-12-03,121.19,121.82,120.1,121.3,924000
GPC,2024-12-04,120.7,121.44,119.79,119.89,796618
GPC,2024-12-05,119.87,120.15,117.96,118.68,1144255
GPC,2024-12-06,120.0,120.61,117.77,118.49,931746
GPC,2024-12-09,119.24,122.48,119.14,120.89,1291155
GPC,2024-12-10,120.59,121.48,118.31,120.39,928364
GPC,2024-12-11,120.47,120.47,117.92,118.08,1473954
GPC,2024-12-12,117.95,118.03,115.23,116.92,937663
GPC,2024-12-13,116.8,117.61,115.48,116.38,936500
GPC,2024-12-16,116.31,116.53,113.77,113.84,1376888
GPC,2024-12-17,113.26,114.87,112.75,113.76,1280300
GPC,2024-12-18,113.62,114.92,110.91,110.97,1281108
GPC,2024-12-19,111.02,112.52,109.96,110.04,1589268
GPC,2024-12-20,109.79,112.01,108.95,111.11,2689411
GPC,2024-12-23,110.26,112.81,109.8,111.54,1134100
GPC,2024-12-24,111.47,112.61,110.96,112.61,346621
GPC,2024-12-26,111.68,112.96,111.58,111.89,884935
GPC,2024-12-27,111.36,112.95,110.99,112.29,846200
GPC,2024-12-30,111.55,112.33,110.73,111.19,1295300
GPC,2024-12-31,111.48,112.77,111.45,112.1,880039
GPC,2025-01-02,112.67,114.09,111.24,111.42,1041400
GPC,2025-01-03,111.66,112.54,110.26,112.19,1218100
GPC,2025-01-06,112.46,114.44,112.2,112.68,1076893
GPC,2025-01-07,113.52,114.47,111.68,111.95,848221
GPC,2025-01-08,111.38,112.07,110.31,111.88,941106
GPC,2025-01-10,110.63,112.06,110.21,111.28,1245009
GPC,2025-01-13,111.32,112.74,110.57,111.86,1301500
GPC,2025-01-14,111.93,113.1,111.51,112.35,1208440
GPC,2025-01-15,113.97,114.4,112.31,112.69,1225041
GPC,2025-01-16,114.36,115.19,112.9,114.65,1625919
GPC,2025-01-17,113.29,114.32,111.94,113.79,2448100
GPC,2025-01-21,113.78,115.59,113.34,115.27,1451200
