symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GPK,2024-08-27,28.41,28.64,28.13,28.56,1179134
GPK,2024-08-28,28.52,28.7,28.11,28.23,1879900
GPK,2024-08-29,28.36,28.64,28.27,28.31,1363055
GPK,2024-08-30,28.34,28.78,28.33,28.78,1916100
GPK,2024-09-03,28.31,28.64,28.0,28.19,2378221
GPK,2024-09-04,27.71,27.95,27.17,27.76,3597308
GPK,2024-09-05,27.88,28.02,27.38,27.77,1836302
GPK,2024-09-06,27.81,28.16,27.75,27.95,1591400
GPK,2024-09-09,27.95,28.34,27.81,28.15,2189700
GPK,2024-09-10,28.17,28.27,27.97,28.17,2162510
GPK,2024-09-11,28.16,28.17,27.43,27.89,1515800
GPK,2024-09-12,27.99,28.44,27.88,28.43,1327012
GPK,2024-09-13,28.68,29.03,28.58,28.83,1234100
GPK,2024-09-16,28.99,29.39,28.82,29.34,1503407
GPK,2024-09-17,29.35,29.48,28.81,28.82,1985475
GPK,2024-09-18,28.84,29.17,28.68,28.81,1691000
GPK,2024-09-19,29.33,29.47,29.02,29.43,1866929
GPK,2024-09-20,29.19,29.28,28.86,29.05,4885400
GPK,2024-09-23,28.25,28.46,27.75,28.05,2923600
GPK,2024-09-24,28.27,28.46,28.05,28.18,2759900
GPK,2024-09-25,28.29,28.37,27.63,27.68,1752900
GPK,2024-09-26,27.98,28.54,27.95,28.51,1611900
GPK,2024-09-27,28.66,28.91,28.38,28.46,1523143
GPK,2024-09-30,28.43,28.59,28.14,28.55,1563100
GPK,2024-10-01,28.64,28.91,28.33,28.69,2399300
GPK,2024-10-02,28.51,28.63,27.96,27.98,1455334
GPK,2024-10-03,27.83,28.14,27.42,27.61,2715500
GPK,2024-10-04,27.85,27.93,27.57,27.78,1511421
GPK,2024-10-07,27.59,27.68,27.14,27.56,2060834
GPK,2024-10-08,27.42,27.89,27.15,27.71,2365500
GPK,2024-10-09,27.62,28.04,27.58,27.79,1257222
GPK,2024-10-10,27.66,27.71,27.42,27.53,1784009
GPK,2024-10-11,27.57,28.14,27.47,28.08,1764400
GPK,2024-10-14,27.98,28.56,27.9,28.48,1974423
GPK,2024-10-15,28.42,28.8,28.31,28.33,2817000
GPK,2024-10-16,28.39,28.6,28.11,28.44,2020142
GPK,2024-10-17,28.56,28.87,28.36,28.73,3630041
GPK,2024-10-18,28.94,29.19,28.68,29.04,2600200
GPK,2024-10-21,28.94,29.03,28.68,28.78,2887300
GPK,2024-10-22,28.72,28.9,28.31,28.49,1612692
GPK,2024-10-23,28.86,29.02,28.59,28.74,2921414
GPK,2024-10-24,28.68,29.05,28.57,28.98,2350609
GPK,2024-10-25,29.13,29.14,28.56,28.62,2348000
GPK,2024-10-28,28.84,29.62,28.61,29.28,4588200
GPK,2024-10-29,28.41,28.89,27.63,27.65,6146431
GPK,2024-10-30,27.4,27.81,27.14,27.26,8780125
GPK,2024-10-31,27.4,27.58,27.07,27.26,7656300
GPK,2024-11-01,27.37,27.58,27.05,27.28,3189100
GPK,2024-11-04,27.24,27.62,26.79,26.82,2481000
GPK,2024-11-05,26.84,27.31,26.64,27.18,2008059
GPK,2024-11-06,28.25,28.26,27.58,28.02,1796719
GPK,2024-11-07,28.06,28.68,27.94,28.03,2566800
GPK,2024-11-08,27.83,28.45,27.83,28.44,2166523
GPK,2024-11-11,28.53,28.77,28.31,28.35,1145707
GPK,2024-11-12,28.34,28.41,28.05,28.08,1000500
GPK,2024-11-13,28.03,28.14,27.57,27.62,1137112
GPK,2024-11-14,27.63,27.7,27.18,27.38,2033846
GPK,2024-11-15,27.29,27.47,26.89,27.25,2372609
GPK,2024-11-18,27.24,27.42,27.12,27.35,1845842
GPK,2024-11-19,27.19,27.63,27.07,27.25,1812221
GPK,2024-11-20,27.29,27.66,27.14,27.53,1607400
GPK,2024-11-21,27.54,28.07,27.36,27.8,1492800
GPK,2024-11-22,27.85,28.4,27.75,28.25,3488803
GPK,2024-11-25,28.42,28.97,28.34,28.56,2503900
