symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GRND,2024-08-27,12.27,12.39,11.89,11.98,381212
GRND,2024-08-28,11.98,12.04,11.39,11.84,598905
GRND,2024-08-29,11.96,12.16,11.96,12.04,297844
GRND,2024-08-30,12.12,12.14,11.93,12.03,290900
GRND,2024-09-03,12.0,12.18,11.72,11.82,357527
GRND,2024-09-04,11.75,11.95,11.72,11.88,247211
GRND,2024-09-05,11.95,12.09,11.68,11.86,430200
GRND,2024-09-06,11.95,11.95,11.55,11.61,293400
GRND,2024-09-09,11.58,11.92,11.47,11.83,426700
GRND,2024-09-10,11.76,11.91,11.54,11.69,376881
GRND,2024-09-11,11.59,11.73,11.51,11.62,357200
GRND,2024-09-12,11.68,11.8,11.57,11.78,274433
GRND,2024-09-13,11.83,12.27,11.75,12.03,644800
GRND,2024-09-16,12.03,12.45,12.03,12.2,580500
GRND,2024-09-17,12.29,12.35,12.11,12.26,705334
GRND,2024-09-18,12.3,12.51,12.16,12.35,732700
GRND,2024-09-19,12.53,12.69,12.29,12.41,1025200
GRND,2024-09-20,12.49,12.49,11.94,11.96,1199191
GRND,2024-09-23,11.96,12.07,11.82,12.01,685900
GRND,2024-09-24,12.0,12.3,11.98,12.13,686100
GRND,2024-09-25,12.1,12.41,11.93,12.35,440200
GRND,2024-09-26,12.49,12.74,12.12,12.16,553951
GRND,2024-09-27,12.17,12.18,11.99,12.05,321742
GRND,2024-09-30,12.05,12.32,11.89,11.93,571200
GRND,2024-10-01,11.95,11.95,11.69,11.78,380622
GRND,2024-10-02,11.68,11.81,11.6,11.75,257332
GRND,2024-10-03,11.71,11.87,11.62,11.76,258500
GRND,2024-10-04,11.8,11.85,11.51,11.72,460600
GRND,2024-10-07,11.71,11.91,11.61,11.84,443256
GRND,2024-10-08,11.97,13.0,11.86,12.92,1725700
GRND,2024-10-09,13.22,13.25,12.53,12.77,628600
GRND,2024-10-10,12.7,12.78,12.59,12.63,261000
GRND,2024-10-11,12.52,12.67,12.49,12.66,305600
GRND,2024-10-14,12.68,13.08,12.68,13.08,582739
GRND,2024-10-15,13.15,13.23,12.77,12.8,319208
GRND,2024-10-16,12.86,12.95,12.8,12.83,239800
