symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GTLB,2024-08-27,47.21,47.81,46.57,47.01,758823
GTLB,2024-08-28,46.97,47.34,45.47,46.1,1514728
GTLB,2024-08-29,46.61,48.75,46.61,47.89,1199500
GTLB,2024-08-30,47.97,48.38,46.43,47.4,3248887
GTLB,2024-09-03,46.63,47.11,44.5,44.68,5198700
GTLB,2024-09-04,50.43,54.88,50.19,54.35,13611622
GTLB,2024-09-05,54.72,56.9,54.36,55.85,4384036
GTLB,2024-09-06,55.75,56.03,52.86,53.09,2322643
GTLB,2024-09-09,53.85,54.8,52.82,53.5,1765900
GTLB,2024-09-10,53.99,56.33,53.25,56.2,2399900
GTLB,2024-09-11,56.11,56.64,54.41,55.29,1516208
GTLB,2024-09-12,54.42,54.55,53.12,54.15,1636225
GTLB,2024-09-13,54.31,55.33,53.92,54.49,1464200
GTLB,2024-09-16,54.46,54.46,52.65,52.74,2232033
GTLB,2024-09-17,53.33,53.33,51.3,51.63,1604700
GTLB,2024-09-18,51.12,52.47,50.54,51.17,1416228
GTLB,2024-09-19,52.58,53.86,52.08,52.35,1901700
GTLB,2024-09-20,51.9,52.5,51.48,52.05,2041233
GTLB,2024-09-23,52.58,53.84,52.3,53.18,2154698
GTLB,2024-09-24,53.45,53.79,52.52,53.09,1014247
GTLB,2024-09-25,52.9,53.48,51.57,51.65,1111024
GTLB,2024-09-26,52.23,52.45,50.35,51.41,1205467
GTLB,2024-09-27,51.72,51.82,50.85,51.65,948113
GTLB,2024-09-30,51.38,52.06,50.22,51.54,980979
GTLB,2024-10-01,51.55,51.55,49.27,49.68,1193512
GTLB,2024-10-02,50.04,50.54,49.53,50.23,1160200
GTLB,2024-10-03,49.09,50.06,48.53,48.76,1155835
GTLB,2024-10-04,49.8,50.47,48.93,50.16,1066734
GTLB,2024-10-07,50.29,50.75,49.16,49.47,1132500
GTLB,2024-10-08,49.58,50.28,49.03,49.97,1013400
GTLB,2024-10-09,52.66,53.99,51.74,53.84,3680000
GTLB,2024-10-10,53.25,55.19,53.25,54.36,1611714
GTLB,2024-10-11,54.41,55.55,54.12,54.73,1596311
GTLB,2024-10-14,54.96,55.39,53.74,54.97,947670
GTLB,2024-10-15,55.0,55.2,54.03,54.42,857266
GTLB,2024-10-16,54.75,54.75,53.5,54.35,839820
GTLB,2024-10-17,54.28,55.09,53.84,54.43,1060921
GTLB,2024-10-18,55.19,56.61,54.33,55.34,1992137
GTLB,2024-10-21,57.17,57.9,55.17,55.43,1783300
GTLB,2024-10-22,55.2,55.2,53.89,54.85,1589321
GTLB,2024-10-23,54.55,54.62,52.44,53.06,1064229
GTLB,2024-10-24,53.93,56.58,53.82,55.64,1824015
GTLB,2024-10-25,56.0,56.93,54.77,55.12,946800
GTLB,2024-10-28,55.53,55.99,53.71,53.88,1279254
GTLB,2024-10-29,53.95,55.73,53.59,54.73,902247
GTLB,2024-10-30,55.37,55.65,54.21,54.56,1204298
GTLB,2024-10-31,54.5,54.92,53.28,53.75,1072300
GTLB,2024-11-01,55.73,57.34,54.82,56.94,2165300
GTLB,2024-11-04,56.94,56.94,55.08,55.99,1171963
GTLB,2024-11-05,55.45,56.99,55.44,56.42,854487
GTLB,2024-11-06,57.93,60.68,57.93,60.21,2609900
GTLB,2024-11-07,60.09,61.66,59.15,61.19,1555832
GTLB,2024-11-08,60.6,61.04,58.72,60.5,1195295
