symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GTLS,2024-08-27,125.99,126.98,124.68,126.04,530337
GTLS,2024-08-28,125.21,125.54,119.75,120.73,520306
GTLS,2024-08-29,122.96,127.37,121.97,124.05,532228
GTLS,2024-08-30,124.99,125.23,120.77,122.4,524700
GTLS,2024-09-03,121.32,121.44,112.95,114.05,861305
GTLS,2024-09-04,113.23,115.5,110.52,112.88,784312
GTLS,2024-09-05,114.0,115.65,112.05,113.08,906100
GTLS,2024-09-06,113.07,115.25,111.1,112.06,822400
GTLS,2024-09-09,112.26,112.86,108.79,110.09,819900
GTLS,2024-09-10,110.22,110.22,104.33,106.83,1634351
GTLS,2024-09-11,106.55,110.8,101.6,110.28,1096677
GTLS,2024-09-12,111.19,114.49,108.77,111.62,721100
GTLS,2024-09-13,113.58,115.34,111.98,114.98,949808
GTLS,2024-09-16,119.2,119.2,114.0,117.29,760700
GTLS,2024-09-17,119.13,122.77,118.16,119.77,815800
GTLS,2024-09-18,120.56,125.97,119.27,121.6,728600
GTLS,2024-09-19,125.63,126.72,122.63,124.31,918400
GTLS,2024-09-20,123.54,124.34,121.79,122.43,1134738
GTLS,2024-09-23,123.31,125.35,122.89,124.99,644835
GTLS,2024-09-24,127.34,128.42,124.05,124.52,559300
GTLS,2024-09-25,125.12,125.39,121.96,122.79,474100
GTLS,2024-09-26,125.29,126.48,122.03,124.23,642027
GTLS,2024-09-27,126.71,128.72,125.11,125.7,479800
GTLS,2024-09-30,124.64,126.65,122.59,124.14,723400
GTLS,2024-10-01,122.3,122.56,118.47,119.65,645047
GTLS,2024-10-02,119.62,120.94,117.71,119.8,511900
GTLS,2024-10-03,117.97,120.07,116.36,119.96,1122248
GTLS,2024-10-04,123.22,124.36,120.87,123.81,828895
GTLS,2024-10-07,123.03,126.26,122.21,125.98,539607
GTLS,2024-10-08,125.45,125.49,123.38,124.03,514700
GTLS,2024-10-09,123.55,127.49,123.5,126.36,584345
GTLS,2024-10-10,124.14,125.02,122.0,124.74,542486
GTLS,2024-10-11,124.71,129.27,124.71,127.28,679318
GTLS,2024-10-14,126.3,127.58,125.3,127.4,404500
GTLS,2024-10-15,127.1,128.32,124.51,124.56,525515
GTLS,2024-10-16,125.36,128.5,125.17,126.84,505562
GTLS,2024-10-17,127.35,128.56,124.01,126.77,469800
GTLS,2024-10-18,127.47,127.51,124.52,126.01,378200
GTLS,2024-10-21,125.88,126.48,123.5,125.72,547212
GTLS,2024-10-22,125.38,126.62,122.29,122.3,581600
GTLS,2024-10-23,121.58,122.83,119.11,120.61,478044
GTLS,2024-10-24,121.19,123.24,119.41,122.62,1224320
GTLS,2024-10-25,123.94,125.52,122.5,123.68,411500
GTLS,2024-10-28,124.95,126.75,123.92,123.95,459637
GTLS,2024-10-29,122.83,125.37,122.25,123.43,469331
GTLS,2024-10-30,123.2,127.04,122.73,122.78,468300
GTLS,2024-10-31,122.04,123.1,120.38,120.72,807230
GTLS,2024-11-01,126.51,136.0,125.74,130.0,3290900
GTLS,2024-11-04,130.11,142.41,129.48,141.43,2491425
GTLS,2024-11-05,141.42,149.33,140.35,149.07,1157226
GTLS,2024-11-06,160.0,166.37,155.14,166.01,2009098
GTLS,2024-11-07,166.41,167.0,161.75,162.96,1119200
GTLS,2024-11-08,161.83,167.58,160.98,166.59,857528
GTLS,2024-11-11,169.09,172.71,167.12,171.15,792162
GTLS,2024-11-12,168.64,173.08,168.0,170.57,1285400
GTLS,2024-11-13,172.0,174.32,170.92,172.3,776500
GTLS,2024-11-14,174.7,176.17,169.38,169.38,682387
GTLS,2024-11-15,170.63,171.07,162.89,165.62,1240430
GTLS,2024-11-18,166.4,169.16,164.42,166.26,939919
GTLS,2024-11-19,163.15,169.9,163.1,169.07,643539
GTLS,2024-11-20,167.87,170.46,166.54,168.62,545700
GTLS,2024-11-21,170.02,178.1,168.54,176.08,651308
GTLS,2024-11-22,176.93,186.18,176.3,183.8,1099228
GTLS,2024-11-25,186.92,192.99,184.1,189.73,1216646
GTLS,2024-11-26,191.28,192.64,187.44,190.6,990546
GTLS,2024-11-27,191.0,196.19,191.0,195.6,813800
GTLS,2024-11-29,195.24,196.91,191.81,193.25,479043
GTLS,2024-12-02,193.0,194.32,190.73,192.25,746924
GTLS,2024-12-03,192.0,194.59,187.38,193.9,559528
GTLS,2024-12-04,193.04,194.7,188.24,190.99,685452
GTLS,2024-12-05,192.12,193.69,188.54,190.6,504651
GTLS,2024-12-06,192.64,194.51,189.35,190.41,1215146
GTLS,2024-12-09,189.7,195.37,189.7,191.08,621200
GTLS,2024-12-10,190.03,195.4,187.51,192.08,572000
GTLS,2024-12-11,197.69,201.1,191.23,197.81,736602
GTLS,2024-12-12,196.7,200.0,194.75,197.86,528919
GTLS,2024-12-13,198.05,200.27,196.13,197.87,853764
GTLS,2024-12-16,197.71,204.23,196.13,202.35,1562880
GTLS,2024-12-17,199.48,199.48,192.55,196.51,922440
GTLS,2024-12-18,198.87,201.1,183.12,184.96,799100
GTLS,2024-12-19,186.67,188.21,179.03,180.79,1091301
