symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GWRE,2024-08-27,146.05,148.25,146.05,147.58,469008
GWRE,2024-08-28,146.83,148.35,146.22,147.26,433415
GWRE,2024-08-29,147.81,149.4,147.19,147.5,523500
GWRE,2024-08-30,148.24,149.33,147.02,148.77,1038300
GWRE,2024-09-03,148.88,150.2,145.62,146.14,938073
GWRE,2024-09-04,145.0,147.59,143.22,147.08,1576508
GWRE,2024-09-05,145.46,146.8,142.94,143.93,1257000
GWRE,2024-09-06,169.29,171.74,159.0,161.72,3637000
GWRE,2024-09-09,163.21,168.55,162.72,168.08,1366016
GWRE,2024-09-10,169.2,169.5,165.75,167.46,1049600
GWRE,2024-09-11,166.36,169.29,166.36,168.07,861800
GWRE,2024-09-12,168.8,170.44,167.7,169.8,813835
GWRE,2024-09-13,169.88,171.95,168.26,171.81,758249
GWRE,2024-09-16,171.81,173.19,171.12,172.76,661142
GWRE,2024-09-17,172.29,173.72,170.72,173.03,891122
GWRE,2024-09-18,172.17,173.08,170.7,172.43,939800
GWRE,2024-09-19,173.88,174.68,171.38,174.65,804300
GWRE,2024-09-20,174.78,176.0,172.86,174.54,1238838
GWRE,2024-09-23,174.59,175.09,173.48,173.97,640000
GWRE,2024-09-24,174.93,176.09,173.34,176.05,1095500
GWRE,2024-09-25,175.98,177.35,175.28,176.76,501206
GWRE,2024-09-26,179.1,179.13,175.15,176.76,655733
GWRE,2024-09-27,177.16,177.99,175.73,177.97,709500
GWRE,2024-09-30,179.24,183.23,177.35,182.94,1145495
GWRE,2024-10-01,182.69,182.69,178.71,180.99,972476
GWRE,2024-10-02,180.5,182.16,179.8,180.36,719600
GWRE,2024-10-03,181.83,182.84,180.8,182.31,497900
GWRE,2024-10-04,184.16,184.96,182.66,184.22,618799
GWRE,2024-10-07,183.68,184.58,181.85,182.17,614619
GWRE,2024-10-08,183.91,184.89,182.52,182.65,855318
GWRE,2024-10-09,182.71,185.2,182.01,184.68,850750
GWRE,2024-10-10,183.22,184.39,181.72,183.37,718900
GWRE,2024-10-11,185.2,187.85,184.63,185.82,995971
GWRE,2024-10-14,187.26,188.47,185.46,187.92,777620
GWRE,2024-10-15,185.66,189.42,185.25,188.19,1112800
GWRE,2024-10-16,190.25,191.48,187.02,190.39,3320312
GWRE,2024-10-17,191.08,191.2,188.08,189.14,987800
GWRE,2024-10-18,187.68,190.14,187.19,189.09,824600
GWRE,2024-10-21,188.78,190.11,187.79,189.04,652873
GWRE,2024-10-22,188.14,188.79,186.46,187.18,585594
GWRE,2024-10-23,186.56,187.07,185.39,186.89,738900
GWRE,2024-10-24,187.8,189.53,187.23,188.05,569400
GWRE,2024-10-25,188.69,189.75,187.0,187.11,590700
GWRE,2024-10-28,188.18,188.62,187.14,188.03,481501
GWRE,2024-10-29,187.82,189.79,187.62,188.17,607800
GWRE,2024-10-30,187.74,190.74,187.74,189.53,744814
GWRE,2024-10-31,187.63,188.77,185.82,186.26,745703
GWRE,2024-11-01,186.51,187.61,184.67,186.04,649134
GWRE,2024-11-04,185.42,187.12,184.55,185.52,357600
GWRE,2024-11-05,186.44,187.51,184.8,186.21,740013
GWRE,2024-11-06,192.06,192.36,189.74,191.9,625067
GWRE,2024-11-07,192.33,195.78,192.33,195.08,1056864
GWRE,2024-11-08,196.0,196.65,194.28,194.93,832023
GWRE,2024-11-11,196.55,196.93,194.68,195.62,898400
GWRE,2024-11-12,194.92,196.08,194.31,195.55,644974
GWRE,2024-11-13,196.53,199.33,195.99,196.43,687327
GWRE,2024-11-14,196.68,196.68,193.57,195.26,616242
GWRE,2024-11-15,193.77,194.62,191.21,192.22,1055334
GWRE,2024-11-18,192.96,194.51,191.52,194.04,1039500
GWRE,2024-11-19,193.36,197.05,193.26,196.37,832754
GWRE,2024-11-20,197.72,197.72,194.81,197.23,454622
GWRE,2024-11-21,197.72,201.6,197.25,199.86,423934
GWRE,2024-11-22,200.2,202.99,199.14,202.82,500807
GWRE,2024-11-25,206.48,207.1,201.84,203.11,701647
GWRE,2024-11-26,203.62,205.17,203.05,204.46,850100
GWRE,2024-11-27,202.85,204.3,200.11,201.88,664629
GWRE,2024-11-29,203.04,204.15,202.49,202.89,631200
GWRE,2024-12-02,202.39,203.28,200.42,200.87,916612
GWRE,2024-12-03,200.05,204.15,200.0,204.13,1092811
GWRE,2024-12-04,206.02,208.56,205.11,207.12,851190
GWRE,2024-12-05,205.95,209.15,203.63,206.57,1462634
GWRE,2024-12-06,193.59,193.59,173.01,177.57,4582100
GWRE,2024-12-09,178.51,178.88,172.0,173.74,2242894
GWRE,2024-12-10,172.79,173.78,170.32,171.34,1305834
GWRE,2024-12-11,171.79,173.64,170.5,170.69,974762
GWRE,2024-12-12,170.84,176.37,170.81,173.72,1373746
GWRE,2024-12-13,173.84,176.57,172.0,172.76,1096000
GWRE,2024-12-16,172.43,173.85,171.22,171.42,1052772
GWRE,2024-12-17,170.52,174.31,168.51,172.49,1776900
GWRE,2024-12-18,172.43,178.57,171.36,174.52,2392037
GWRE,2024-12-19,174.43,177.5,171.6,172.06,1445319
GWRE,2024-12-20,170.43,176.33,170.1,176.03,1411259
GWRE,2024-12-23,175.61,176.47,171.9,173.74,603344
GWRE,2024-12-24,173.57,174.95,172.97,174.62,249900
GWRE,2024-12-26,174.55,174.78,172.78,174.39,382311
GWRE,2024-12-27,173.05,173.48,170.83,171.23,545100
GWRE,2024-12-30,170.68,171.67,167.43,168.86,1086300
GWRE,2024-12-31,169.2,169.28,167.05,168.58,1101100
GWRE,2025-01-02,169.95,170.88,168.54,169.5,909200
GWRE,2025-01-03,170.5,172.94,169.4,172.31,1086100
GWRE,2025-01-06,172.72,173.37,169.54,170.45,930400
GWRE,2025-01-07,170.76,171.2,168.22,171.09,676129
GWRE,2025-01-08,171.43,172.07,169.63,171.63,534614
GWRE,2025-01-10,169.9,172.18,168.95,171.03,561714
GWRE,2025-01-13,169.43,170.54,167.62,169.52,697820
GWRE,2025-01-14,171.0,172.98,169.79,171.97,962041
GWRE,2025-01-15,174.78,176.27,173.84,174.47,680700
GWRE,2025-01-16,174.73,180.87,174.73,179.76,984100
GWRE,2025-01-17,181.06,181.06,178.37,178.58,692719
GWRE,2025-01-21,180.0,183.11,179.64,181.49,697600
GWRE,2025-01-22,183.21,185.0,182.32,183.49,583800
GWRE,2025-01-23,194.12,212.0,192.52,204.6,3569102
GWRE,2025-01-24,205.0,210.62,205.0,205.96,13926136
GWRE,2025-01-27,202.5,207.79,200.13,202.8,1698239
GWRE,2025-01-28,204.06,208.87,200.99,207.12,1280736
