symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GWW,2024-12-05,1175.63,1182.46,1173.69,1175.87,192000
GWW,2024-12-06,1177.71,1179.83,1168.43,1172.42,194709
GWW,2024-12-09,1176.85,1176.85,1144.44,1149.56,309111
GWW,2024-12-10,1146.33,1149.83,1131.14,1145.07,285800
GWW,2024-12-11,1157.16,1157.16,1135.64,1143.08,262345
GWW,2024-12-12,1146.66,1146.66,1129.12,1136.66,208649
GWW,2024-12-13,1132.93,1137.24,1126.82,1130.34,179800
GWW,2024-12-16,1133.11,1137.65,1124.7,1127.63,255800
GWW,2024-12-17,1122.2,1124.11,1103.4,1108.27,306100
GWW,2024-12-18,1110.7,1112.57,1077.92,1079.6,339408
GWW,2024-12-19,1086.89,1092.0,1069.74,1069.92,325244
GWW,2024-12-20,1066.03,1087.34,1060.32,1081.21,732600
GWW,2024-12-23,1076.5,1076.5,1063.63,1070.7,257300
GWW,2024-12-24,1073.08,1081.09,1071.24,1079.25,121100
GWW,2024-12-26,1077.7,1077.95,1069.01,1070.99,118400
GWW,2024-12-27,1063.28,1071.12,1053.35,1057.49,173532
GWW,2024-12-30,1049.42,1054.42,1034.1,1046.83,181000
GWW,2024-12-31,1048.47,1050.71,1039.75,1042.72,168600
GWW,2025-01-02,1052.41,1053.95,1027.59,1030.51,160200
GWW,2025-01-03,1032.06,1047.04,1026.5,1042.66,170500
GWW,2025-01-06,1042.34,1053.29,1037.99,1042.68,212444
GWW,2025-01-07,1040.11,1053.89,1034.29,1051.33,298100
GWW,2025-01-08,1048.01,1067.52,1045.43,1057.35,239800
GWW,2025-01-10,1045.15,1056.72,1037.99,1041.17,288900
GWW,2025-01-13,1041.16,1066.74,1041.16,1064.41,267812
GWW,2025-01-14,1073.2,1083.37,1065.98,1076.19,296015
GWW,2025-01-15,1090.11,1104.99,1079.99,1081.61,539811
GWW,2025-01-16,1086.89,1104.58,1081.64,1098.41,300739
GWW,2025-01-17,1097.73,1115.56,1081.68,1101.63,697500
GWW,2025-01-21,1111.47,1121.14,1100.49,1109.45,343300
GWW,2025-01-22,1109.94,1116.53,1105.0,1110.86,308305
GWW,2025-01-23,1114.88,1118.37,1106.74,1109.35,141438
