symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
H,2024-08-27,145.8,148.0,144.22,147.6,464547
H,2024-08-28,146.94,147.87,145.48,145.9,700700
H,2024-08-29,147.64,150.0,146.48,148.2,623710
H,2024-08-30,149.13,151.42,147.96,150.99,542315
H,2024-09-03,150.18,150.97,147.65,148.21,484300
H,2024-09-04,146.65,148.14,146.38,146.69,461100
H,2024-09-05,147.95,147.95,145.42,146.37,449300
H,2024-09-06,148.01,148.47,143.56,143.61,616800
H,2024-09-09,144.44,146.2,143.75,144.9,801500
H,2024-09-10,144.47,145.09,139.66,142.3,863400
H,2024-09-11,142.12,144.36,140.28,144.34,388944
H,2024-09-12,145.14,145.58,143.43,144.4,468900
H,2024-09-13,145.53,145.69,143.94,144.78,513016
H,2024-09-16,145.69,147.16,143.57,143.96,354200
H,2024-09-17,145.41,147.49,144.54,147.47,428219
H,2024-09-18,147.13,149.56,146.71,147.36,351705
H,2024-09-19,150.59,153.49,149.3,153.13,480200
H,2024-09-20,152.2,154.38,151.01,153.94,789800
H,2024-09-23,153.99,153.99,150.12,150.66,543700
H,2024-09-24,153.23,155.2,151.59,154.79,510311
H,2024-09-25,155.04,155.97,152.42,152.53,469804
H,2024-09-26,154.07,157.18,153.89,156.8,404026
H,2024-09-27,157.1,159.38,156.04,157.38,330729
H,2024-09-30,156.8,157.91,149.69,151.26,716994
H,2024-10-01,151.52,151.91,145.51,148.58,813200
H,2024-10-02,147.41,150.28,147.41,149.68,286405
H,2024-10-03,148.25,149.26,147.07,149.08,474119
H,2024-10-04,150.86,152.83,150.78,152.74,281046
H,2024-10-07,152.36,152.36,150.33,151.48,331039
H,2024-10-08,151.51,152.42,150.56,151.5,262944
H,2024-10-09,151.22,154.45,151.22,153.08,446213
H,2024-10-10,152.4,153.89,152.02,153.28,309727
H,2024-10-11,153.11,155.39,153.11,154.14,363829
H,2024-10-14,153.38,154.61,151.01,151.38,533700
H,2024-10-15,150.97,152.08,150.06,150.65,421500
H,2024-10-16,152.06,152.87,151.21,152.58,331700
H,2024-10-17,153.17,154.05,151.28,151.67,393840
H,2024-10-18,152.85,153.4,151.28,152.98,262410
H,2024-10-21,152.88,153.66,150.08,151.24,301500
H,2024-10-22,151.05,153.45,150.75,153.33,300500
H,2024-10-23,152.06,152.54,146.83,147.2,522283
H,2024-10-24,148.29,152.16,147.13,151.59,468800
H,2024-10-25,152.96,153.87,151.9,153.61,626902
H,2024-10-28,155.35,156.62,153.94,155.62,513720
H,2024-10-29,155.05,155.9,154.3,155.59,557800
H,2024-10-30,155.87,157.87,155.18,156.14,867365
H,2024-10-31,150.05,152.93,144.43,144.56,1159000
H,2024-11-01,144.53,145.77,142.83,144.15,645300
H,2024-11-04,142.28,142.81,140.67,142.19,655300
H,2024-11-05,142.06,143.78,141.48,142.22,815211
H,2024-11-06,150.36,154.99,149.91,152.17,819700
H,2024-11-07,152.17,154.89,151.15,152.94,486600
H,2024-11-08,153.06,155.21,153.06,154.22,448500
H,2024-11-11,155.28,156.61,154.42,156.45,500351
H,2024-11-12,155.47,156.57,154.35,156.51,646300
H,2024-11-13,157.03,159.19,156.31,158.55,440300
H,2024-11-14,159.78,160.84,156.52,156.8,467700
H,2024-11-15,156.46,157.0,151.8,152.0,499817
H,2024-11-18,151.53,152.35,149.49,151.78,525110
H,2024-11-19,150.84,152.35,148.14,152.24,526102
H,2024-11-20,152.06,153.9,151.33,153.88,527323
H,2024-11-21,154.05,155.82,152.76,155.04,384520
H,2024-11-22,154.83,156.88,154.83,155.42,402500
H,2024-11-25,157.52,160.69,157.06,159.48,757300
H,2024-11-26,158.76,158.76,155.33,155.64,477748
H,2024-11-27,155.24,156.1,153.85,155.3,310800
H,2024-11-29,155.48,157.54,155.48,157.12,185200
H,2024-12-02,157.05,157.81,154.34,155.4,419700
H,2024-12-03,155.92,157.82,155.7,157.22,363919
H,2024-12-04,157.23,161.42,156.14,160.97,528800
H,2024-12-05,161.89,164.72,161.39,163.77,601231
H,2024-12-06,165.7,167.34,162.24,162.56,2330247
H,2024-12-09,162.96,163.31,156.57,157.71,698300
H,2024-12-10,157.98,160.28,155.75,158.4,467000
H,2024-12-11,161.29,162.29,159.12,160.58,475451
H,2024-12-12,160.95,162.08,158.66,158.71,534415
H,2024-12-13,159.33,159.72,157.2,158.17,415102
H,2024-12-16,158.17,162.7,157.87,159.21,508663
H,2024-12-17,158.58,160.15,155.96,156.83,363801
H,2024-12-18,157.19,158.89,150.28,150.53,524727
H,2024-12-19,152.45,154.88,151.99,154.34,540599
H,2024-12-20,153.46,160.66,153.32,159.01,1833000
H,2024-12-23,156.49,157.94,154.55,156.75,556632
H,2024-12-24,156.9,158.07,156.19,157.78,156500
H,2024-12-26,157.11,159.35,156.74,158.67,302628
H,2024-12-27,157.47,158.68,156.09,157.64,285008
H,2024-12-30,154.86,157.73,153.4,157.34,399240
H,2024-12-31,157.21,158.15,155.6,156.17,264162
H,2025-01-02,157.48,157.48,154.16,155.5,300200
H,2025-01-03,155.96,156.66,153.19,155.87,278800
H,2025-01-06,157.73,158.22,152.71,152.92,486147
H,2025-01-07,153.9,155.47,151.62,152.3,450848
H,2025-01-08,151.52,152.56,151.04,151.55,469400
H,2025-01-10,149.23,152.06,149.23,150.29,453129
H,2025-01-13,149.22,152.35,149.22,151.6,554220
H,2025-01-14,152.75,153.7,151.33,153.14,410023
H,2025-01-15,156.8,157.06,153.61,153.92,390100
H,2025-01-16,154.34,155.89,153.12,154.17,336500
H,2025-01-17,155.4,156.99,154.98,155.18,360200
H,2025-01-21,155.56,156.83,152.69,155.35,377919
H,2025-01-22,155.67,155.82,153.34,154.05,514300
H,2025-01-23,153.63,155.45,152.28,154.73,525167
H,2025-01-24,154.73,155.94,152.58,153.97,409201
H,2025-01-27,152.21,155.59,151.21,155.16,336700
H,2025-01-28,154.96,159.08,154.41,157.24,491808
H,2025-01-29,157.84,158.71,156.07,156.64,346700
H,2025-01-30,158.19,159.89,157.52,158.28,427879
H,2025-01-31,159.3,160.42,156.99,157.41,497260
H,2025-02-03,154.2,156.84,152.55,156.06,482581
H,2025-02-04,157.03,157.86,155.86,156.94,270312
H,2025-02-05,157.3,159.55,157.3,157.74,496800
H,2025-02-06,158.11,165.78,158.11,165.48,1021931
H,2025-02-07,166.17,167.15,162.68,163.17,442513
H,2025-02-10,167.13,167.23,160.98,161.55,709646
H,2025-02-11,158.55,159.87,153.27,158.06,941600
H,2025-02-12,159.55,162.97,157.53,161.27,1200373
H,2025-02-13,150.14,151.92,139.45,146.62,3700409
H,2025-02-14,146.29,146.79,142.0,142.01,1575509
H,2025-02-18,142.0,146.28,140.79,145.24,1236018
H,2025-02-19,143.12,146.76,141.41,146.13,804100
H,2025-02-20,145.95,145.95,142.98,145.01,831521
H,2025-02-21,145.49,145.73,138.81,139.3,1281008
H,2025-02-24,140.75,141.08,136.63,137.3,853492
H,2025-02-25,138.9,138.98,134.63,137.85,929812
H,2025-02-26,138.9,141.7,138.73,139.1,598415
H,2025-02-27,139.99,140.59,136.39,138.47,504435
H,2025-02-28,138.9,141.38,138.24,140.37,875754
H,2025-03-03,141.19,142.97,137.89,139.3,631300
H,2025-03-04,136.53,138.42,133.51,136.68,902521
H,2025-03-05,139.16,139.67,137.0,139.29,583533
H,2025-03-06,136.85,138.63,135.01,136.47,611601
H,2025-03-07,136.31,136.97,132.88,135.17,1256802
H,2025-03-10,132.98,133.71,127.92,129.18,1314219
H,2025-03-11,128.91,129.21,123.61,126.57,1355616
H,2025-03-12,127.41,128.3,121.62,124.27,2054068
H,2025-03-13,124.18,125.15,118.81,120.33,2067646
H,2025-03-14,122.15,122.97,120.39,121.71,1376680
H,2025-03-17,121.57,126.55,121.57,125.96,1341300
H,2025-03-18,124.97,125.88,121.51,121.71,1003400
H,2025-03-19,122.44,126.7,122.44,125.18,830000
H,2025-03-20,122.03,125.89,122.03,123.41,742387
H,2025-03-21,120.79,121.85,115.65,121.09,1518030
H,2025-03-24,122.8,124.18,121.96,123.18,1041500
H,2025-03-25,124.38,125.65,123.64,125.19,637907
H,2025-03-26,124.99,126.89,124.23,124.69,810339
H,2025-03-27,123.21,125.19,121.3,124.18,803600
H,2025-03-28,123.31,123.57,120.0,121.09,914638
H,2025-03-31,118.68,122.49,117.81,122.0,696300
H,2025-04-01,121.92,122.64,119.22,121.28,922800
H,2025-04-02,119.5,124.56,119.5,124.25,740699
H,2025-04-03,118.12,118.12,113.55,114.77,1481300
H,2025-04-04,109.82,112.24,107.03,109.31,1116851
H,2025-04-07,104.88,111.98,102.31,105.56,1833875
H,2025-04-08,110.44,110.49,102.32,103.84,1210510
H,2025-04-09,102.85,119.67,102.01,118.67,1670437
H,2025-04-10,114.52,116.31,108.0,110.79,851942
H,2025-04-11,110.8,112.79,108.35,112.07,627800
H,2025-04-14,111.44,111.74,106.71,108.62,1247516
H,2025-04-15,109.22,110.54,107.57,108.02,673767
H,2025-04-16,107.15,108.47,104.09,105.57,1163922
H,2025-04-17,106.18,106.82,104.42,105.47,1018800
