symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HASI,2024-08-27,30.01,30.45,29.6,29.65,752798
HASI,2024-08-28,29.46,29.63,29.27,29.51,496000
HASI,2024-08-29,29.57,29.99,29.22,29.45,625447
HASI,2024-08-30,29.61,29.99,29.26,29.45,684200
HASI,2024-09-03,29.47,29.84,29.0,29.8,890516
HASI,2024-09-04,29.7,30.15,29.4,29.55,651700
HASI,2024-09-05,29.79,30.15,29.53,30.13,587838
HASI,2024-09-06,30.14,30.24,29.15,29.19,637108
HASI,2024-09-09,29.19,29.49,28.52,29.41,977000
HASI,2024-09-10,29.5,29.8,29.05,29.78,652200
HASI,2024-09-11,29.74,30.73,29.49,30.49,985100
HASI,2024-09-12,30.51,31.56,30.22,31.51,2087745
HASI,2024-09-13,31.66,31.93,31.38,31.55,1464047
HASI,2024-09-16,31.54,31.97,31.12,31.62,761039
HASI,2024-09-17,31.69,32.15,31.37,32.05,781533
HASI,2024-09-18,31.79,32.88,31.59,31.85,955372
HASI,2024-09-19,32.79,32.87,31.85,31.93,1140065
HASI,2024-09-20,31.61,31.93,31.15,31.51,1992841
HASI,2024-09-23,31.77,31.95,31.43,31.73,738600
HASI,2024-09-24,31.65,31.73,31.29,31.6,893700
HASI,2024-09-25,31.63,31.63,30.39,30.74,1050555
HASI,2024-09-26,31.13,31.49,30.46,30.48,718516
HASI,2024-09-27,31.37,31.83,30.84,31.28,962131
HASI,2024-09-30,31.3,31.52,30.93,31.35,976700
HASI,2024-10-01,31.16,31.28,29.98,30.36,841452
HASI,2024-10-02,30.28,30.88,30.02,30.73,540535
HASI,2024-10-03,30.43,31.22,30.43,31.2,535500
HASI,2024-10-04,31.28,31.92,31.13,31.82,1328700
HASI,2024-10-07,31.69,32.16,31.4,31.97,1631006
HASI,2024-10-08,31.79,32.04,31.37,31.75,1044504
HASI,2024-10-09,31.59,31.92,31.5,31.84,592500
HASI,2024-10-10,31.5,31.96,30.4,30.52,1399700
HASI,2024-10-11,30.6,31.37,30.6,31.35,463600
HASI,2024-10-14,31.39,32.3,31.2,32.22,1137400
HASI,2024-10-15,32.43,32.66,32.1,32.21,670342
HASI,2024-10-16,32.42,32.62,32.1,32.6,1311400
HASI,2024-10-17,32.57,32.77,32.23,32.53,688200
HASI,2024-10-18,32.59,32.71,32.08,32.31,440428
HASI,2024-10-21,32.22,32.4,31.51,31.7,940800
HASI,2024-10-22,31.87,31.97,31.48,31.61,692431
HASI,2024-10-23,31.36,31.74,31.26,31.7,529363
HASI,2024-10-24,31.73,32.03,31.22,31.37,906000
HASI,2024-10-25,31.36,31.55,31.03,31.41,506200
HASI,2024-10-28,31.58,32.05,31.42,31.78,659300
HASI,2024-10-29,31.76,31.84,31.43,31.5,500307
HASI,2024-10-30,31.28,32.25,31.26,32.24,661743
HASI,2024-10-31,32.26,32.76,31.87,32.2,872200
HASI,2024-11-01,32.46,32.7,31.62,31.69,517200
HASI,2024-11-04,32.22,33.64,32.21,32.89,1301440
HASI,2024-11-05,32.86,33.27,31.97,32.47,2098700
HASI,2024-11-06,31.29,31.82,28.3,29.67,4651299
HASI,2024-11-07,29.7,30.19,29.25,29.53,1709036
HASI,2024-11-08,29.17,29.22,26.15,26.32,3420709
HASI,2024-11-11,26.43,27.46,26.14,26.86,1972535
HASI,2024-11-12,26.55,26.63,24.73,24.76,2290338
HASI,2024-11-13,25.2,25.54,24.8,25.17,1695000
HASI,2024-11-14,25.27,25.62,24.79,25.35,2134375
HASI,2024-11-15,25.43,25.79,24.95,25.05,1378628
HASI,2024-11-18,24.96,25.33,24.59,25.04,998700
HASI,2024-11-19,24.86,25.9,24.78,25.54,990300
HASI,2024-11-20,25.62,26.02,25.55,25.82,755800
HASI,2024-11-21,26.19,26.51,25.79,26.31,1021518
HASI,2024-11-22,26.5,27.02,26.28,26.7,1159991
HASI,2024-11-25,27.38,28.34,27.24,28.0,1458707
HASI,2024-11-26,27.84,28.14,27.49,27.92,1045616
HASI,2024-11-27,28.22,28.89,28.09,28.78,654900
HASI,2024-11-29,28.88,29.07,28.63,28.86,424138
HASI,2024-12-02,28.78,29.06,28.49,28.66,1048004
HASI,2024-12-03,28.76,28.9,27.97,28.24,599313
HASI,2024-12-04,28.25,28.67,28.13,28.46,1102400
HASI,2024-12-05,28.66,28.86,28.44,28.49,822200
HASI,2024-12-06,28.92,29.0,28.42,28.63,678700
HASI,2024-12-09,28.87,29.42,28.63,29.07,2509711
HASI,2024-12-10,28.81,28.9,27.94,28.15,912023
HASI,2024-12-11,28.17,28.45,27.63,28.02,1977200
HASI,2024-12-12,27.93,27.97,27.05,27.64,902318
HASI,2024-12-13,27.61,27.75,26.86,27.38,1233900
HASI,2024-12-16,27.22,27.31,26.34,26.43,1591629
HASI,2024-12-17,26.12,26.44,25.56,25.68,2059820
HASI,2024-12-18,25.81,26.4,24.29,24.48,1688800
HASI,2024-12-19,24.75,24.95,24.12,24.29,1440236
HASI,2024-12-20,24.21,25.68,24.21,25.39,3407340
HASI,2024-12-23,25.26,25.38,24.89,25.12,618233
HASI,2024-12-24,25.06,25.54,24.81,25.51,412000
HASI,2024-12-26,25.26,25.56,25.02,25.42,419432
HASI,2024-12-27,25.23,25.66,25.12,25.2,546833
HASI,2024-12-30,25.12,25.22,24.62,24.96,756435
HASI,2024-12-31,25.23,25.63,25.05,25.08,986230
HASI,2025-01-02,25.28,25.87,25.15,25.37,991900
HASI,2025-01-03,25.47,25.94,25.33,25.94,922702
HASI,2025-01-06,26.06,26.29,25.54,25.57,841169
HASI,2025-01-07,25.7,25.96,25.2,25.82,918141
HASI,2025-01-08,25.74,26.07,25.55,25.81,1737800
HASI,2025-01-10,25.41,25.65,24.91,25.2,798200
HASI,2025-01-13,24.99,25.0,24.37,24.74,1016235
HASI,2025-01-14,24.89,26.15,24.84,25.69,963950
HASI,2025-01-15,26.63,26.75,25.62,25.76,631400
HASI,2025-01-16,25.8,26.53,25.7,26.32,549700
HASI,2025-01-17,26.59,26.6,25.98,26.09,789300
HASI,2025-01-21,26.1,26.16,25.53,25.75,1023900
HASI,2025-01-22,25.63,25.63,24.96,25.28,1441940
HASI,2025-01-23,25.01,25.21,24.69,24.94,1212706
HASI,2025-01-24,24.96,25.73,24.88,25.53,1465100
HASI,2025-01-27,25.59,26.19,25.55,26.08,1531740
HASI,2025-01-28,25.79,25.96,25.14,25.52,791221
HASI,2025-01-29,25.61,26.35,25.53,26.33,1114700
HASI,2025-01-30,26.83,26.96,26.55,26.78,940255
HASI,2025-01-31,26.72,27.11,25.98,26.18,2002317
HASI,2025-02-03,25.64,26.04,25.45,25.76,950931
HASI,2025-02-04,25.7,25.96,25.19,25.81,1973644
HASI,2025-02-05,26.07,26.08,25.63,25.9,661419
HASI,2025-02-06,26.47,26.51,26.08,26.43,675900
HASI,2025-02-07,26.48,26.5,25.9,26.37,692727
HASI,2025-02-10,26.36,26.77,26.07,26.67,765130
HASI,2025-02-11,26.47,26.54,26.05,26.23,867700
HASI,2025-02-12,25.71,26.23,25.52,25.95,1278215
HASI,2025-02-13,26.1,26.33,25.75,26.1,969958
HASI,2025-02-14,28.84,28.88,25.56,26.19,2901161
HASI,2025-02-18,26.28,27.56,26.05,27.22,1752300
HASI,2025-02-19,26.94,27.32,26.76,27.05,1438800
HASI,2025-02-20,26.98,27.2,26.71,27.06,1314500
HASI,2025-02-21,27.33,27.55,26.06,26.21,935748
HASI,2025-02-24,26.29,26.77,25.94,26.5,744577
HASI,2025-02-25,26.67,26.87,26.22,26.72,1173900
HASI,2025-02-26,26.93,27.44,26.61,26.92,868307
HASI,2025-02-27,27.39,27.39,26.4,26.61,768300
HASI,2025-02-28,26.4,26.88,26.01,26.85,1227424
HASI,2025-03-03,26.62,26.94,25.71,25.94,799800
HASI,2025-03-04,25.46,26.65,25.16,26.4,1055396
HASI,2025-03-05,26.43,26.87,26.06,26.66,1205200
HASI,2025-03-06,26.36,26.97,26.36,26.88,1020808
HASI,2025-03-07,26.98,28.17,26.65,27.96,1184926
HASI,2025-03-10,27.73,28.08,27.08,27.13,1393400
HASI,2025-03-11,27.3,27.4,26.39,26.74,960512
HASI,2025-03-12,26.87,27.04,25.92,26.66,1058500
HASI,2025-03-13,26.69,27.08,26.5,26.64,2407100
HASI,2025-03-14,26.87,27.31,26.76,27.17,881700
HASI,2025-03-17,27.2,27.77,27.04,27.7,909300
HASI,2025-03-18,27.64,27.71,27.31,27.52,659440
HASI,2025-03-19,27.62,27.87,27.24,27.56,1975700
HASI,2025-03-20,27.38,27.86,27.34,27.75,575100
HASI,2025-03-21,27.47,27.68,27.27,27.38,2272700
HASI,2025-03-24,27.51,27.75,27.3,27.31,609028
HASI,2025-03-25,27.36,27.97,27.27,27.8,619618
HASI,2025-03-26,27.7,27.81,27.23,27.4,464044
HASI,2025-03-27,27.33,27.79,27.33,27.43,497800
HASI,2025-03-28,27.44,27.51,27.19,27.51,787411
HASI,2025-03-31,27.23,27.55,26.93,27.33,803300
HASI,2025-04-01,27.33,27.38,26.54,27.16,1141630
HASI,2025-04-02,26.98,27.42,26.86,27.3,1124334
HASI,2025-04-03,26.49,27.3,26.49,27.15,806600
HASI,2025-04-04,26.34,26.44,25.06,25.66,1833400
HASI,2025-04-07,24.7,26.17,23.97,24.4,2050000
HASI,2025-04-08,25.13,25.16,22.46,23.0,1639717
HASI,2025-04-09,22.61,24.01,21.49,23.32,3679200
HASI,2025-04-10,22.61,22.64,20.84,21.55,2351038
HASI,2025-04-11,21.57,22.15,21.15,21.82,2010004
HASI,2025-04-14,22.23,23.05,21.98,22.96,1819300
HASI,2025-04-15,22.95,23.47,22.46,22.5,1166056
HASI,2025-04-16,22.45,23.21,22.35,22.6,1264054
HASI,2025-04-17,22.38,23.4,22.37,22.97,939917
HASI,2025-04-21,22.8,23.02,21.88,22.24,965212
HASI,2025-04-22,22.63,23.28,22.5,23.03,974416
HASI,2025-04-23,23.36,23.88,22.94,23.09,1028101
HASI,2025-04-24,23.24,23.51,23.0,23.47,644000
HASI,2025-04-25,23.36,23.84,23.19,23.78,869616
HASI,2025-04-28,23.78,24.28,23.78,24.22,1113100
HASI,2025-04-29,24.24,24.34,23.9,24.15,730700
HASI,2025-04-30,23.75,23.88,23.04,23.69,1038914
HASI,2025-05-01,23.57,24.07,23.57,23.62,787102
HASI,2025-05-02,23.9,24.29,23.7,24.28,950160
HASI,2025-05-05,24.16,24.32,23.74,24.12,1148433
HASI,2025-05-06,24.07,24.54,23.85,24.49,1159753
HASI,2025-05-07,24.51,24.85,24.4,24.43,885408
HASI,2025-05-08,25.51,25.57,23.75,24.56,1695006
HASI,2025-05-09,24.72,25.64,24.62,25.57,1558700
HASI,2025-05-12,26.28,26.57,25.09,25.18,1669523
HASI,2025-05-13,25.35,26.0,25.31,25.97,1634334
HASI,2025-05-14,25.74,26.2,25.71,25.82,1645335
HASI,2025-05-15,25.94,27.08,25.71,26.88,1749006
HASI,2025-05-16,26.84,27.25,26.74,27.05,1097004
HASI,2025-05-19,26.58,26.84,26.49,26.79,990207
HASI,2025-05-20,26.52,26.79,26.43,26.53,1056041
HASI,2025-05-21,26.34,26.44,25.52,25.53,938514
HASI,2025-05-22,25.32,25.32,23.65,24.11,2681500
HASI,2025-05-23,23.84,24.15,23.76,23.96,1116012
HASI,2025-05-27,24.01,24.44,23.58,24.25,1847841
HASI,2025-05-28,24.28,24.34,23.93,24.02,1085530
HASI,2025-05-29,24.26,24.38,23.8,24.14,1324900
HASI,2025-05-30,24.08,24.13,23.66,23.75,1697600
HASI,2025-06-02,23.56,23.69,23.03,23.46,1122136
