symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HIG,2024-08-27,110.23,110.82,109.92,110.2,1354006
HIG,2024-08-28,110.21,111.77,109.92,111.03,1240200
HIG,2024-08-29,111.3,112.98,110.48,112.81,1860711
HIG,2024-08-30,112.81,113.17,111.89,112.76,2096765
HIG,2024-09-03,112.56,113.93,112.11,113.3,2089115
HIG,2024-09-04,114.1,114.54,112.85,113.12,1380315
HIG,2024-09-05,113.79,114.04,111.09,112.22,1620645
HIG,2024-09-06,112.31,113.23,111.48,111.65,1281900
HIG,2024-09-09,112.49,114.4,112.07,114.01,1802200
HIG,2024-09-10,114.36,114.76,112.81,113.94,1569500
HIG,2024-09-11,113.36,113.36,110.33,111.23,1453045
HIG,2024-09-12,111.11,112.34,110.94,112.31,945600
HIG,2024-09-13,112.73,112.73,112.01,112.5,1337300
HIG,2024-09-16,113.31,114.22,113.02,113.74,1292825
HIG,2024-09-17,113.73,114.6,113.44,114.16,1247048
HIG,2024-09-18,114.41,114.91,113.54,113.8,984800
HIG,2024-09-19,114.6,114.6,112.63,113.06,1575623
HIG,2024-09-20,112.46,113.67,111.93,113.43,3178055
HIG,2024-09-23,113.66,114.49,113.47,114.08,1510500
HIG,2024-09-24,113.81,114.29,113.3,113.58,925624
HIG,2024-09-25,113.9,114.28,113.44,113.74,892909
HIG,2024-09-26,113.12,114.43,112.92,113.63,1747424
HIG,2024-09-27,113.44,114.46,113.03,113.88,1110400
HIG,2024-09-30,113.85,114.73,112.4,114.69,1481900
HIG,2024-10-01,114.43,115.56,114.0,115.03,1123431
HIG,2024-10-02,114.61,116.1,114.45,114.66,1160717
HIG,2024-10-03,114.68,114.78,113.43,113.76,1366600
HIG,2024-10-04,112.68,115.41,112.68,115.16,1318648
HIG,2024-10-07,114.83,115.43,110.71,111.6,2299631
HIG,2024-10-08,112.15,113.57,111.99,112.75,1590137
HIG,2024-10-09,112.58,114.36,112.31,113.4,1840600
HIG,2024-10-10,115.41,115.47,112.72,113.42,1423840
HIG,2024-10-11,114.24,115.08,113.8,114.45,1224440
HIG,2024-10-14,115.06,115.82,114.2,115.55,780000
HIG,2024-10-15,115.98,117.38,115.4,115.65,1273305
HIG,2024-10-16,115.86,116.87,115.27,116.65,1222548
HIG,2024-10-17,118.52,120.17,118.14,119.29,2373322
HIG,2024-10-18,119.29,119.29,118.01,118.97,1299026
HIG,2024-10-21,118.97,119.37,117.77,117.93,969943
HIG,2024-10-22,117.16,117.81,115.59,117.08,1142240
HIG,2024-10-23,116.65,117.33,116.3,116.88,1335006
HIG,2024-10-24,117.02,117.75,116.8,117.47,1474854
HIG,2024-10-25,110.9,111.79,108.51,109.47,2956001
HIG,2024-10-28,110.59,111.25,110.01,110.58,1741304
HIG,2024-10-29,110.55,111.02,109.31,109.36,2030407
HIG,2024-10-30,110.12,110.98,109.57,109.92,1498500
HIG,2024-10-31,109.37,110.22,107.66,107.7,2486629
HIG,2024-11-01,108.33,108.67,107.2,107.36,2056300
HIG,2024-11-04,107.56,108.45,107.33,108.4,1411406
HIG,2024-11-05,108.36,109.01,107.86,108.86,1184528
HIG,2024-11-06,114.54,114.72,112.56,113.82,2309205
HIG,2024-11-07,113.11,113.31,111.98,112.33,1154525
HIG,2024-11-08,113.14,114.81,112.58,114.52,1615147
HIG,2024-11-11,115.07,115.97,114.67,114.78,1059142
HIG,2024-11-12,114.65,115.56,114.46,114.97,1414829
HIG,2024-11-13,114.64,115.41,114.42,114.72,1126711
HIG,2024-11-14,114.37,114.7,113.19,113.54,1242300
HIG,2024-11-15,114.04,115.37,113.7,115.02,1260025
HIG,2024-11-18,114.86,115.56,114.05,115.2,875932
HIG,2024-11-19,114.03,114.4,112.93,113.92,1664626
HIG,2024-11-20,114.88,115.72,113.61,115.28,1584829
HIG,2024-11-21,115.9,117.08,114.91,116.67,903900
HIG,2024-11-22,116.52,117.88,116.52,117.72,1063950
HIG,2024-11-25,118.03,119.29,117.8,118.5,3381273
HIG,2024-11-26,118.6,119.7,118.06,119.58,1034400
HIG,2024-11-27,120.22,121.8,119.59,120.67,1044600
HIG,2024-11-29,120.94,121.62,120.14,120.25,816408
HIG,2024-12-02,120.91,120.98,118.6,118.71,1821774
HIG,2024-12-03,119.43,119.87,117.89,118.34,1156236
HIG,2024-12-04,117.96,118.48,117.3,118.1,1498600
HIG,2024-12-05,118.56,119.64,118.26,118.71,1087903
HIG,2024-12-06,118.31,119.07,116.62,117.06,982217
HIG,2024-12-09,116.9,117.26,113.21,113.8,2023557
HIG,2024-12-10,113.17,113.17,109.03,110.64,2817925
HIG,2024-12-11,110.94,111.2,109.29,110.69,1875154
HIG,2024-12-12,111.41,112.19,108.38,108.62,3065400
HIG,2024-12-13,109.67,110.04,108.91,109.76,1615700
HIG,2024-12-16,109.68,110.44,108.4,108.44,1455100
HIG,2024-12-17,107.57,107.78,106.26,106.79,2117033
HIG,2024-12-18,106.32,107.4,104.76,104.84,1889018
HIG,2024-12-19,105.37,106.51,104.63,104.84,1620328
HIG,2024-12-20,104.44,107.5,103.91,107.2,5819000
HIG,2024-12-23,106.58,107.63,106.38,107.45,1095600
HIG,2024-12-24,107.44,108.3,107.0,108.28,397800
HIG,2024-12-26,108.06,108.78,107.72,108.68,574200
HIG,2024-12-27,107.79,109.1,107.51,107.83,856215
HIG,2024-12-30,106.77,107.48,106.0,107.01,847509
HIG,2024-12-31,107.04,107.72,106.62,107.13,661200
HIG,2025-01-02,107.72,107.99,106.39,106.78,1332200
HIG,2025-01-03,107.72,107.91,106.33,107.23,941719
HIG,2025-01-06,107.75,108.51,106.11,106.4,1642253
HIG,2025-01-07,106.41,108.21,106.41,106.76,1158412
HIG,2025-01-08,106.61,107.25,105.62,107.15,1229202
HIG,2025-01-10,104.99,106.08,102.76,104.11,2819018
HIG,2025-01-13,103.47,105.4,103.36,105.25,1740000
HIG,2025-01-14,105.3,107.19,104.85,107.12,1786800
HIG,2025-01-15,108.91,109.38,108.26,108.93,1161200
HIG,2025-01-16,108.91,110.53,108.91,110.14,1268407
HIG,2025-01-17,110.29,111.06,109.55,109.61,1211300
HIG,2025-01-21,109.95,110.91,109.24,109.67,2079145
HIG,2025-01-22,110.91,111.35,109.15,109.25,1810749
HIG,2025-01-23,108.8,109.4,107.92,108.59,1667338
HIG,2025-01-24,108.72,109.35,108.26,109.18,1404800
HIG,2025-01-27,109.96,112.09,109.96,112.05,1328977
