symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HLT,2024-08-27,214.54,218.53,213.51,217.62,1005359
HLT,2024-08-28,217.13,217.68,215.57,216.36,1637413
HLT,2024-08-29,218.69,219.73,216.59,216.94,1196117
HLT,2024-08-30,217.93,219.42,216.28,218.91,1582400
HLT,2024-09-03,218.34,219.28,213.74,214.93,1581400
HLT,2024-09-04,214.13,214.41,212.27,213.54,1043000
HLT,2024-09-05,214.09,215.76,212.57,215.28,1273900
HLT,2024-09-06,215.84,218.75,212.18,212.39,1492870
HLT,2024-09-09,214.04,216.71,213.77,214.23,1654333
HLT,2024-09-10,214.33,214.59,209.09,209.95,2052400
HLT,2024-09-11,209.51,211.27,206.37,210.88,2262130
HLT,2024-09-12,213.25,215.87,212.69,215.41,1811360
HLT,2024-09-13,215.98,217.17,215.03,216.1,1241543
HLT,2024-09-16,217.43,220.08,216.57,217.38,1845223
HLT,2024-09-17,218.77,220.06,217.3,219.65,1403235
HLT,2024-09-18,221.27,222.73,219.36,220.25,1982100
HLT,2024-09-19,224.28,225.07,222.42,224.79,1599179
HLT,2024-09-20,224.42,224.87,222.82,223.89,3133466
HLT,2024-09-23,223.98,224.58,221.27,223.91,912016
HLT,2024-09-24,225.51,227.79,224.89,227.71,975847
HLT,2024-09-25,227.93,228.18,225.77,226.64,1030000
HLT,2024-09-26,228.17,232.41,227.46,232.14,1660345
HLT,2024-09-27,232.94,234.89,232.21,233.58,1419200
HLT,2024-09-30,232.86,233.57,228.52,229.73,2158334
HLT,2024-10-01,230.79,231.06,225.81,229.07,1948307
HLT,2024-10-02,227.75,230.85,227.16,230.69,1044012
HLT,2024-10-03,229.34,230.36,228.11,230.11,1088354
HLT,2024-10-04,232.67,233.93,231.45,232.94,1217862
HLT,2024-10-07,232.78,234.18,230.51,231.73,1359937
HLT,2024-10-08,233.06,233.88,231.52,233.41,1108107
HLT,2024-10-09,233.7,236.75,233.7,236.19,1343000
HLT,2024-10-10,235.49,236.29,234.33,235.17,1035100
HLT,2024-10-11,235.22,238.46,235.22,237.34,954371
HLT,2024-10-14,236.35,237.71,235.47,236.97,1117400
HLT,2024-10-15,237.1,238.15,234.96,235.34,1247100
HLT,2024-10-16,235.7,237.3,235.38,236.7,1019900
HLT,2024-10-17,237.98,238.74,237.02,237.68,1129319
HLT,2024-10-18,239.21,239.21,236.61,238.02,1238314
HLT,2024-10-21,237.16,238.0,235.17,236.16,1141400
HLT,2024-10-22,237.35,238.27,235.99,237.34,1842946
HLT,2024-10-23,236.71,236.71,230.36,232.72,2598803
HLT,2024-10-24,232.33,235.82,231.49,234.43,1601019
HLT,2024-10-25,236.54,236.56,234.25,235.33,1055893
HLT,2024-10-28,237.12,237.13,234.78,236.38,1417100
HLT,2024-10-29,235.72,239.17,235.72,238.36,1060322
HLT,2024-10-30,237.8,240.02,237.1,237.62,1772844
HLT,2024-10-31,237.68,240.44,233.76,234.07,1761900
HLT,2024-11-01,234.07,238.09,234.07,235.68,1043166
HLT,2024-11-04,234.5,234.93,231.93,232.63,1431000
HLT,2024-11-05,233.05,235.76,232.66,234.87,1109721
HLT,2024-11-06,244.05,248.53,242.4,245.61,2507165
HLT,2024-11-07,245.61,246.91,243.93,245.41,1471144
HLT,2024-11-08,245.72,248.34,245.48,246.83,2392600
HLT,2024-11-11,248.76,251.51,248.25,249.53,1229700
HLT,2024-11-12,248.86,250.61,248.3,249.77,963944
HLT,2024-11-13,249.3,253.22,249.09,251.81,1480307
HLT,2024-11-14,253.57,255.01,249.13,249.21,1443200
HLT,2024-11-15,248.61,250.11,246.28,247.73,1851700
HLT,2024-11-18,247.46,249.17,246.8,248.36,1003900
HLT,2024-11-19,245.63,249.5,245.07,249.08,941640
HLT,2024-11-20,249.32,249.92,247.46,249.46,787503
HLT,2024-11-21,250.33,251.72,249.1,251.14,1174400
HLT,2024-11-22,251.17,253.12,250.59,252.31,1290443
HLT,2024-11-25,254.32,254.78,252.41,252.94,2023800
HLT,2024-11-26,253.04,253.82,251.25,252.31,1108140
HLT,2024-11-27,250.28,251.96,249.04,249.74,1489000
HLT,2024-11-29,250.78,254.06,250.46,252.75,869441
HLT,2024-12-02,252.75,253.73,248.93,249.79,1264800
HLT,2024-12-03,251.04,251.18,248.89,250.33,1306451
HLT,2024-12-04,250.1,253.34,249.09,253.32,1192739
HLT,2024-12-05,253.77,256.04,253.25,254.69,1430600
HLT,2024-12-06,254.92,258.3,254.92,257.75,1676939
