symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HPE,2024-08-27,18.19,18.46,18.16,18.23,7637300
HPE,2024-08-28,18.14,18.3,17.95,18.14,8707000
HPE,2024-08-29,18.1,18.17,17.81,17.83,9558700
HPE,2024-08-30,18.28,18.68,18.24,18.49,18330200
HPE,2024-09-03,18.41,18.56,18.1,18.2,15341500
HPE,2024-09-04,18.07,18.16,17.72,17.92,21890700
HPE,2024-09-05,16.37,17.18,16.09,16.84,29090200
HPE,2024-09-06,16.78,16.99,16.51,16.73,16208800
HPE,2024-09-09,16.8,17.04,16.73,16.8,13693000
HPE,2024-09-10,15.65,15.78,15.23,15.37,70663200
HPE,2024-09-11,15.37,15.72,15.06,15.66,70763400
HPE,2024-09-12,15.62,16.17,15.47,16.1,41955200
HPE,2024-09-13,16.15,16.42,16.07,16.37,19822600
HPE,2024-09-16,16.08,16.53,16.05,16.45,14943400
HPE,2024-09-17,17.15,17.56,16.9,17.37,28391600
HPE,2024-09-18,17.44,17.73,17.21,17.47,17767100
HPE,2024-09-19,17.95,18.21,17.93,18.12,17085300
HPE,2024-09-20,18.06,18.16,17.78,18.08,30623000
HPE,2024-09-23,18.09,18.13,17.91,18.1,11338800
HPE,2024-09-24,18.22,18.23,18.06,18.15,10154800
HPE,2024-09-25,18.93,19.3,18.82,19.08,24344100
HPE,2024-09-26,19.44,19.69,19.2,19.56,17618600
HPE,2024-09-27,19.66,19.69,19.35,19.36,10396800
HPE,2024-09-30,19.31,19.72,19.17,19.67,16962200
HPE,2024-10-01,19.55,19.59,19.06,19.18,14802400
HPE,2024-10-02,19.23,19.86,19.18,19.71,12851100
HPE,2024-10-03,19.6,20.02,19.44,19.56,10884200
HPE,2024-10-04,19.89,19.94,19.49,19.82,8528200
HPE,2024-10-07,19.71,20.11,19.7,20.05,10961300
HPE,2024-10-08,20.15,20.24,19.96,20.16,11588800
HPE,2024-10-09,20.01,20.09,19.7,20.04,10816900
HPE,2024-10-10,19.89,20.12,19.6,19.74,18463700
HPE,2024-10-11,19.74,20.01,19.71,19.87,8488000
HPE,2024-10-14,19.85,20.12,19.83,19.92,8153300
HPE,2024-10-15,20.01,20.28,19.86,19.94,14362600
HPE,2024-10-16,19.99,20.16,19.89,20.08,13599300
HPE,2024-10-17,20.01,20.19,19.87,20.13,9672800
HPE,2024-10-18,20.22,20.25,19.6,19.89,10429200
HPE,2024-10-21,19.88,19.88,19.12,19.2,15063900
HPE,2024-10-22,19.08,19.19,18.81,19.12,11112200
HPE,2024-10-23,19.06,19.08,18.5,18.56,10069800
HPE,2024-10-24,18.67,18.72,18.5,18.65,9434600
HPE,2024-10-25,18.83,19.09,18.69,18.71,7901400
HPE,2024-10-28,18.84,19.11,18.73,18.97,8955900
HPE,2024-10-29,18.97,19.21,18.93,19.1,9709400
HPE,2024-10-30,20.14,20.23,19.44,19.55,15599700
HPE,2024-10-31,19.4,19.45,18.73,18.73,12163500
HPE,2024-11-01,18.8,19.46,18.75,19.28,12602000
HPE,2024-11-04,19.36,19.6,19.23,19.23,8093400
HPE,2024-11-05,19.24,19.48,19.09,19.22,9456000
HPE,2024-11-06,19.92,20.56,19.88,20.5,15601000
HPE,2024-11-07,20.53,20.83,20.35,20.61,11975400
HPE,2024-11-08,20.64,21.34,20.56,21.19,14164900
HPE,2024-11-11,21.27,21.54,21.05,21.17,10395900
HPE,2024-11-12,20.99,21.26,20.86,20.89,8487500
HPE,2024-11-13,20.91,21.29,20.77,21.0,10682400
HPE,2024-11-14,20.87,21.18,20.51,20.51,9000700
HPE,2024-11-15,20.56,20.65,20.16,20.25,10918000
HPE,2024-11-18,20.96,21.01,20.46,20.55,12030800
HPE,2024-11-19,20.4,20.74,20.06,20.7,9248700
HPE,2024-11-20,20.73,20.73,20.26,20.36,10338300
HPE,2024-11-21,20.5,21.11,20.48,20.9,12939500
HPE,2024-11-22,20.96,21.36,20.87,21.24,8865800
HPE,2024-11-25,21.53,21.74,21.22,21.35,21880100
HPE,2024-11-26,21.31,21.39,21.08,21.27,8299400
HPE,2024-11-27,20.3,20.61,19.84,19.99,16174000
HPE,2024-11-29,20.03,20.59,20.01,20.4,7085600
HPE,2024-12-02,20.38,20.77,20.18,20.43,12697300
HPE,2024-12-03,20.24,20.49,20.14,20.47,9325900
HPE,2024-12-04,20.67,21.23,20.55,20.92,11767000
HPE,2024-12-05,21.72,21.86,20.73,20.81,26020400
HPE,2024-12-06,21.8,23.3,21.59,23.02,37723200
HPE,2024-12-09,22.92,22.99,22.16,22.21,22240200
HPE,2024-12-10,21.75,22.01,20.93,21.07,20630800
HPE,2024-12-11,20.98,21.15,20.38,21.06,16182300
HPE,2024-12-12,20.97,21.31,20.91,20.98,12668200
HPE,2024-12-13,20.88,21.21,20.84,20.98,10279500
HPE,2024-12-16,20.98,21.18,20.42,21.0,22024400
HPE,2024-12-17,20.53,21.06,20.53,20.7,13269400
HPE,2024-12-18,20.83,20.95,19.75,19.79,15360500
HPE,2024-12-19,20.27,20.38,19.96,20.08,18372300
HPE,2024-12-20,19.93,20.93,19.92,20.9,43682400
HPE,2024-12-23,20.9,21.15,20.69,21.11,14384000
HPE,2024-12-24,21.15,21.21,21.04,21.18,5955400
HPE,2024-12-26,21.08,21.33,21.06,21.31,4815400
HPE,2024-12-27,21.11,21.2,20.81,20.94,6571000
HPE,2024-12-30,20.62,20.9,20.44,20.7,7219100
HPE,2024-12-31,20.77,20.88,20.49,20.65,7318600
HPE,2025-01-02,20.74,20.87,20.46,20.77,11584500
HPE,2025-01-03,20.87,21.14,20.74,21.11,8661800
HPE,2025-01-06,21.49,22.3,21.44,22.1,21505800
HPE,2025-01-07,22.29,22.29,21.52,21.55,12107300
HPE,2025-01-08,21.47,21.52,20.89,21.31,14520700
HPE,2025-01-10,21.12,22.23,20.79,21.36,26537200
HPE,2025-01-13,20.83,21.28,20.48,21.26,14949500
HPE,2025-01-14,21.43,22.15,21.31,21.8,17645900
HPE,2025-01-15,22.4,22.58,22.2,22.54,17963000
HPE,2025-01-16,22.6,22.75,22.47,22.65,11090300
HPE,2025-01-17,22.92,22.92,22.33,22.38,19931100
HPE,2025-01-21,22.53,22.98,22.36,22.93,11827700
HPE,2025-01-22,23.3,23.85,23.06,23.62,14117400
HPE,2025-01-23,23.47,23.62,23.27,23.56,9303000
HPE,2025-01-24,23.72,23.72,23.37,23.57,9462800
HPE,2025-01-27,22.5,22.7,21.65,22.2,17887200
HPE,2025-01-28,22.29,22.29,20.3,20.76,30977900
HPE,2025-01-29,21.12,21.47,20.92,20.95,15537200
HPE,2025-01-30,21.33,21.37,19.68,20.5,27898800
HPE,2025-01-31,20.52,20.87,20.3,20.5,17010800
HPE,2025-02-03,19.94,20.24,19.74,19.79,16941500
HPE,2025-02-04,19.91,20.16,19.72,20.15,15540300
HPE,2025-02-05,20.13,20.78,20.1,20.66,12062000
HPE,2025-02-06,20.85,20.99,20.54,20.66,10698800
HPE,2025-02-07,20.86,21.0,20.45,20.58,10204900
HPE,2025-02-10,20.69,20.77,20.39,20.73,10673500
HPE,2025-02-11,20.54,20.72,20.43,20.49,11291800
HPE,2025-02-12,20.3,20.57,20.18,20.4,7928600
HPE,2025-02-13,20.55,20.73,20.3,20.58,9625100
HPE,2025-02-14,20.59,21.06,20.49,21.0,9807700
HPE,2025-02-18,21.1,21.15,20.6,21.07,11685600
HPE,2025-02-19,20.99,21.2,20.9,21.14,8427700
HPE,2025-02-20,21.15,21.25,20.83,21.03,8675800
HPE,2025-02-21,21.18,21.26,20.37,20.45,7811900
HPE,2025-02-24,20.51,20.56,19.98,20.07,13306200
HPE,2025-02-25,20.04,20.06,19.51,19.63,11058000
HPE,2025-02-26,19.82,20.1,19.57,19.7,10821500
HPE,2025-02-27,19.82,20.0,19.16,19.19,9331100
HPE,2025-02-28,18.96,19.37,18.61,19.16,17708400
HPE,2025-03-03,19.42,19.44,18.27,18.41,11757900
HPE,2025-03-04,18.24,18.49,17.73,18.22,16369000
HPE,2025-03-05,18.33,18.47,17.97,18.27,15371900
HPE,2025-03-06,17.72,18.08,17.29,17.37,25150000
HPE,2025-03-07,14.76,15.51,14.44,15.29,81950800
HPE,2025-03-10,15.01,15.16,14.37,14.59,32930200
HPE,2025-03-11,14.53,15.0,14.43,14.84,29627200
HPE,2025-03-12,14.75,15.02,14.45,14.6,26594000
HPE,2025-03-13,14.62,14.93,14.16,14.29,30915000
HPE,2025-03-14,14.56,15.18,14.56,15.11,27800100
HPE,2025-03-17,15.14,15.44,15.09,15.32,19419600
HPE,2025-03-18,15.25,15.52,15.21,15.41,24407600
HPE,2025-03-19,15.56,16.01,15.54,15.81,21482800
HPE,2025-03-20,15.57,15.94,15.54,15.7,19402600
HPE,2025-03-21,15.54,15.72,15.39,15.65,47407400
HPE,2025-03-24,15.99,16.14,15.91,16.07,24161700
HPE,2025-03-25,16.04,16.17,15.98,16.1,21198200
HPE,2025-03-26,16.09,16.14,15.63,15.67,23621500
HPE,2025-03-27,15.56,15.66,15.36,15.54,18129300
HPE,2025-03-28,15.45,15.52,15.13,15.39,19216400
HPE,2025-03-31,15.09,15.16,14.85,15.04,31786500
HPE,2025-04-01,15.1,15.34,14.89,15.25,22897300
HPE,2025-04-02,15.0,15.79,15.0,15.71,23638200
HPE,2025-04-03,14.75,14.92,13.26,13.34,35325800
HPE,2025-04-04,12.98,12.98,11.67,12.47,32655000
HPE,2025-04-07,12.03,13.84,12.0,12.99,35719900
HPE,2025-04-08,13.37,13.6,11.96,12.2,31348400
HPE,2025-04-09,12.06,14.24,11.85,14.14,39493500
HPE,2025-04-10,13.58,13.71,12.86,13.39,23011200
HPE,2025-04-11,13.38,13.82,13.09,13.78,23791800
HPE,2025-04-14,14.49,14.49,13.91,13.92,24166100
HPE,2025-04-15,13.92,15.15,13.84,14.63,48695200
HPE,2025-04-16,14.35,14.81,14.24,14.51,25806100
HPE,2025-04-17,14.59,14.88,14.38,14.76,22462900
HPE,2025-04-21,14.58,14.65,14.19,14.45,19119900
HPE,2025-04-22,14.64,14.86,14.54,14.77,15465600
HPE,2025-04-23,15.38,15.85,14.92,14.96,19315600
HPE,2025-04-24,15.05,15.86,15.03,15.77,18837500
HPE,2025-04-25,15.81,15.92,15.65,15.83,10292000
HPE,2025-04-28,15.88,16.13,15.8,16.08,15464700
HPE,2025-04-29,15.94,16.08,15.85,15.9,10251100
HPE,2025-04-30,15.32,15.88,15.31,15.81,18477400
HPE,2025-05-01,15.99,16.34,15.99,16.0,14720300
HPE,2025-05-02,16.36,16.57,16.24,16.44,15404600
HPE,2025-05-05,16.24,16.56,16.21,16.25,14118200
HPE,2025-05-06,16.16,16.23,15.92,16.08,12831500
HPE,2025-05-07,16.14,16.18,15.76,16.14,13249300
HPE,2025-05-08,16.29,16.7,16.27,16.45,11542200
HPE,2025-05-09,16.55,16.68,16.34,16.47,15585200
HPE,2025-05-12,17.4,17.52,17.1,17.29,19595800
HPE,2025-05-13,17.35,17.61,17.23,17.47,14354000
HPE,2025-05-14,17.52,17.72,17.31,17.4,16650200
HPE,2025-05-15,17.28,17.28,17.0,17.18,16691600
HPE,2025-05-16,17.23,17.38,17.13,17.3,11741700
HPE,2025-05-19,16.92,17.11,16.89,17.02,16883600
HPE,2025-05-20,17.56,17.56,17.13,17.27,16293800
HPE,2025-05-21,17.16,17.62,17.05,17.1,19962700
HPE,2025-05-22,17.09,17.26,16.91,17.11,14241400
HPE,2025-05-23,16.75,17.03,16.6,16.98,9263400
HPE,2025-05-27,17.38,17.53,17.16,17.49,16322100
HPE,2025-05-28,17.5,17.55,17.19,17.25,10687900
HPE,2025-05-29,17.4,17.45,17.14,17.21,15549200
HPE,2025-05-30,16.95,17.02,16.66,16.85,26151300
HPE,2025-06-02,16.84,16.94,16.59,16.9,15657300
HPE,2025-06-03,16.89,17.33,16.73,17.25,27275600
HPE,2025-06-04,18.69,18.72,17.14,17.39,45635500
HPE,2025-06-05,17.33,17.6,17.08,17.31,23709700
HPE,2025-06-06,17.41,17.77,17.31,17.65,14262900
HPE,2025-06-09,17.74,18.12,17.7,17.85,13415500
HPE,2025-06-10,18.06,18.06,17.72,17.88,12940900
HPE,2025-06-11,17.84,17.95,17.66,17.76,12487100
HPE,2025-06-12,17.6,17.78,17.51,17.67,12763100
HPE,2025-06-13,17.32,17.51,17.09,17.21,13037100
HPE,2025-06-16,17.35,17.78,17.31,17.78,13992300
HPE,2025-06-17,17.58,17.8,17.39,17.45,14023000
HPE,2025-06-18,17.55,17.84,17.38,17.46,18678700
HPE,2025-06-20,17.7,17.87,17.46,17.64,33361800
HPE,2025-06-23,17.58,17.65,17.18,17.49,25782800
HPE,2025-06-24,17.67,17.93,17.62,17.83,12645900
HPE,2025-06-25,17.91,18.29,17.88,18.16,12015900
HPE,2025-06-26,18.26,18.3,18.0,18.04,15446600
HPE,2025-06-27,18.11,18.25,17.94,18.08,17126500
HPE,2025-06-30,20.33,20.6,19.77,20.09,58082000
HPE,2025-07-01,19.77,20.34,19.75,20.12,26402600
HPE,2025-07-02,20.17,21.09,19.9,20.87,29651200
HPE,2025-07-03,21.06,21.09,20.77,20.96,12296600
HPE,2025-07-07,20.84,20.9,20.4,20.54,24657200
HPE,2025-07-08,20.57,20.64,20.18,20.45,23841100
HPE,2025-07-09,20.65,20.65,20.22,20.43,18238600
HPE,2025-07-10,20.57,21.33,20.35,20.91,34641500
HPE,2025-07-11,20.67,20.67,20.31,20.35,20877600
HPE,2025-07-14,20.21,20.48,20.08,20.3,12232300
HPE,2025-07-15,20.49,20.53,19.92,19.92,11868700
HPE,2025-07-16,20.03,20.15,19.71,19.99,15635300
HPE,2025-07-17,20.52,20.78,20.23,20.46,18801600
HPE,2025-07-18,20.59,20.8,20.5,20.73,14176300
HPE,2025-07-21,20.63,20.71,20.27,20.29,15437700
HPE,2025-07-22,20.29,20.33,19.9,20.05,13488100
HPE,2025-07-23,20.29,20.78,20.29,20.39,16135000
HPE,2025-07-24,20.34,20.37,20.14,20.15,12227700
HPE,2025-07-25,20.36,20.36,20.13,20.36,8927400
HPE,2025-07-28,20.45,20.56,20.3,20.51,21449000
HPE,2025-07-29,20.57,20.73,20.35,20.48,18352500
HPE,2025-07-30,20.51,20.72,20.39,20.52,14022900
HPE,2025-07-31,20.55,20.82,20.29,20.32,11267300
HPE,2025-08-01,19.93,19.93,19.31,19.46,14724600
HPE,2025-08-04,19.67,19.7,19.47,19.66,14705200
HPE,2025-08-05,19.73,19.79,19.29,19.52,12199300
HPE,2025-08-06,19.5,19.95,19.3,19.77,18907400
HPE,2025-08-07,20.1,20.19,19.77,20.04,16213100
HPE,2025-08-08,20.19,20.64,20.15,20.44,15199300
HPE,2025-08-11,20.55,20.7,20.2,20.22,15792900
HPE,2025-08-12,20.53,21.05,20.37,20.94,17056900
HPE,2025-08-13,21.02,21.38,20.9,21.18,16222700
HPE,2025-08-14,20.86,21.1,20.75,20.94,7800500
HPE,2025-08-15,21.0,21.0,20.65,20.78,14998500
HPE,2025-08-18,20.74,21.29,20.73,21.25,12214900
HPE,2025-08-19,21.17,21.29,20.92,20.96,11587600
HPE,2025-08-20,21.22,21.24,20.08,20.67,16999500
HPE,2025-08-21,21.29,21.52,21.04,21.43,20562600
HPE,2025-08-22,21.48,22.29,21.45,22.05,18245300
HPE,2025-08-25,22.09,22.27,21.95,22.16,17379112
HPE,2025-08-26,22.15,22.35,22.0,22.1,17056443
HPE,2025-08-27,21.93,22.47,21.85,22.33,23389934
HPE,2025-08-28,22.42,22.9,22.3,22.75,24964920
HPE,2025-08-29,22.44,22.46,22.03,22.17,19962851
HPE,2025-09-02,21.66,22.31,21.53,22.28,27797200
HPE,2025-09-03,22.55,22.63,22.17,22.41,34179900
HPE,2025-09-04,23.48,23.75,22.28,22.75,62528800
HPE,2025-09-05,22.75,23.14,22.29,23.1,24237500
HPE,2025-09-08,23.18,23.35,22.64,23.08,19157100
HPE,2025-09-09,23.01,23.56,22.97,23.46,16873535
HPE,2025-09-10,23.59,24.25,23.51,24.01,21361400
HPE,2025-09-11,24.14,24.52,24.02,24.42,20845513
HPE,2025-09-12,24.42,24.65,24.29,24.29,20692424
