symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HPQ,2024-08-27,32.9,33.06,32.75,32.99,6473819
HPQ,2024-08-28,32.92,33.09,32.11,32.22,12074200
HPQ,2024-08-29,31.61,34.17,31.32,32.86,18740425
HPQ,2024-08-30,33.04,33.59,32.86,33.53,12068600
HPQ,2024-09-03,33.36,33.52,32.57,32.79,9151741
HPQ,2024-09-04,32.76,33.03,32.57,32.74,6514274
HPQ,2024-09-05,32.29,32.46,31.82,31.88,6862109
HPQ,2024-09-06,31.76,32.1,31.29,31.34,7995956
HPQ,2024-09-09,31.77,32.28,31.53,31.68,9803668
HPQ,2024-09-10,31.53,31.68,30.93,31.02,7863000
HPQ,2024-09-11,31.0,31.24,30.54,31.18,7186832
HPQ,2024-09-12,31.06,31.21,30.79,30.93,6508797
HPQ,2024-09-13,31.03,31.35,30.97,31.14,5924200
HPQ,2024-09-16,31.02,31.63,30.97,31.55,7775915
HPQ,2024-09-17,31.81,32.62,31.76,32.17,10054403
HPQ,2024-09-18,32.34,32.69,32.06,32.27,7077894
HPQ,2024-09-19,32.8,32.91,32.52,32.54,7466700
HPQ,2024-09-20,32.43,32.63,32.13,32.48,37215904
HPQ,2024-09-23,32.51,32.93,32.36,32.81,7951741
HPQ,2024-09-24,32.95,33.53,32.94,33.49,6576949
HPQ,2024-09-25,33.64,34.03,33.58,33.69,6622000
HPQ,2024-09-26,34.08,34.5,33.7,34.43,6278208
HPQ,2024-09-27,33.42,33.72,32.81,33.09,9961863
HPQ,2024-09-30,33.17,33.63,33.17,33.52,8304171
HPQ,2024-10-01,32.74,32.88,31.91,32.48,10361189
HPQ,2024-10-02,32.51,33.15,32.2,32.87,8804148
HPQ,2024-10-03,32.77,33.28,32.69,33.27,7227119
HPQ,2024-10-04,33.64,33.74,33.23,33.63,5116933
HPQ,2024-10-07,33.62,33.86,33.38,33.56,4302100
HPQ,2024-10-08,33.45,33.79,32.9,33.64,8667217
HPQ,2024-10-09,33.62,34.4,33.51,34.18,5376459
HPQ,2024-10-10,34.16,34.44,34.03,34.34,4763434
HPQ,2024-10-11,34.51,35.02,34.44,34.58,5832200
HPQ,2024-10-14,34.58,35.02,34.49,34.99,5060210
HPQ,2024-10-15,35.09,35.48,34.44,34.55,6502102
HPQ,2024-10-16,34.61,34.84,34.61,34.74,3413851
HPQ,2024-10-17,34.85,35.39,34.63,35.12,7099600
HPQ,2024-10-18,35.23,35.34,34.73,34.84,4726696
HPQ,2024-10-21,34.89,35.09,34.06,34.07,5593930
HPQ,2024-10-22,33.94,33.99,33.55,33.86,4919246
