symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HRL,2024-08-27,29.98,30.0,29.65,29.82,1712500
HRL,2024-08-28,29.81,30.13,29.71,29.98,2172016
HRL,2024-08-29,30.17,30.28,29.7,29.8,1800400
HRL,2024-08-30,29.82,30.15,29.74,30.13,3679910
HRL,2024-09-03,30.13,30.7,29.88,30.68,3205832
HRL,2024-09-04,27.64,28.78,27.04,28.71,5813500
HRL,2024-09-05,29.03,29.85,28.77,29.72,4269610
HRL,2024-09-06,29.68,30.33,29.62,30.15,2687905
HRL,2024-09-09,30.15,30.22,29.84,29.99,2533569
HRL,2024-09-10,30.05,30.13,29.76,29.83,2123654
HRL,2024-09-11,29.67,29.82,28.91,29.01,1760208
HRL,2024-09-12,28.89,29.3,28.76,29.27,2398989
HRL,2024-09-13,29.32,29.74,29.27,29.7,1703229
HRL,2024-09-16,29.94,30.18,29.86,30.11,1711602
HRL,2024-09-17,29.88,30.28,29.88,29.97,1759465
HRL,2024-09-18,29.98,30.39,29.88,29.99,1699437
HRL,2024-09-19,30.01,30.1,29.52,29.74,1817046
HRL,2024-09-20,29.73,29.81,29.28,29.41,6532309
HRL,2024-09-23,29.33,29.48,29.09,29.14,2028176
HRL,2024-09-24,29.22,29.27,28.79,28.85,1919068
HRL,2024-09-25,28.99,29.02,28.63,28.8,3227600
HRL,2024-09-26,28.69,29.26,28.69,29.22,3654682
HRL,2024-09-27,29.39,29.72,29.32,29.36,1653228
HRL,2024-09-30,29.6,29.6,29.25,29.35,1980902
HRL,2024-10-01,29.27,29.44,29.01,29.31,2161500
HRL,2024-10-02,29.18,29.37,29.05,29.2,1906850
HRL,2024-10-03,29.07,29.07,28.59,28.8,2163619
HRL,2024-10-04,28.73,29.09,28.7,29.02,1816800
HRL,2024-10-07,29.02,29.02,28.8,28.94,1620855
HRL,2024-10-08,28.88,28.94,28.48,28.76,1869348
HRL,2024-10-09,28.83,28.87,28.59,28.68,1914971
HRL,2024-10-10,28.8,29.0,28.59,28.69,1702323
HRL,2024-10-11,28.86,28.94,28.64,28.77,1814345
HRL,2024-10-14,28.83,28.93,28.61,28.91,1571500
HRL,2024-10-15,29.02,29.43,28.93,29.09,2068247
HRL,2024-10-16,29.07,29.28,28.99,29.17,2239625
HRL,2024-10-17,29.14,29.54,29.08,29.48,1934900
HRL,2024-10-18,29.56,30.09,29.27,30.07,2855600
HRL,2024-10-21,29.63,29.78,29.19,29.26,1880437
HRL,2024-10-22,29.25,29.25,28.87,29.04,1409926
HRL,2024-10-23,28.92,29.2,28.84,29.13,1311148
HRL,2024-10-24,29.21,29.39,29.03,29.04,1383825
