symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HST,2024-12-05,17.02,17.43,16.88,17.27,9272383
HST,2024-12-06,17.38,17.48,17.12,17.27,5650018
HST,2024-12-09,17.37,17.59,17.3,17.4,6789110
HST,2024-12-10,17.45,17.64,17.25,17.51,6518900
HST,2024-12-11,17.67,17.79,17.33,17.39,6231000
HST,2024-12-12,17.37,17.48,17.24,17.29,5529300
HST,2024-12-13,17.28,17.37,17.0,17.06,4514400
HST,2024-12-16,17.08,17.48,17.0,17.14,8159757
HST,2024-12-17,17.0,17.32,16.94,17.19,7336300
HST,2024-12-18,17.21,17.29,16.1,16.12,10588700
HST,2024-12-19,16.16,16.39,16.12,16.19,7594946
HST,2024-12-20,16.01,16.87,15.97,16.72,19799315
HST,2024-12-23,16.7,16.73,16.45,16.6,4286000
HST,2024-12-24,16.61,16.78,16.54,16.73,1710037
HST,2024-12-26,16.71,16.85,16.62,16.79,3034500
HST,2024-12-27,16.66,16.75,16.37,16.51,7022274
HST,2024-12-30,16.42,16.45,16.1,16.33,5850408
HST,2024-12-31,16.4,16.49,16.25,16.37,5422200
HST,2025-01-02,16.42,16.43,16.03,16.07,5125165
HST,2025-01-03,16.08,16.33,15.93,16.3,7547936
HST,2025-01-06,16.38,16.49,16.13,16.14,6391650
HST,2025-01-07,16.29,16.33,15.88,15.93,5538041
HST,2025-01-08,15.99,15.99,15.66,15.84,5663600
HST,2025-01-10,15.53,15.98,15.46,15.95,6579173
HST,2025-01-13,15.84,16.07,15.75,16.03,5721100
HST,2025-01-14,16.2,16.23,16.06,16.14,4425600
HST,2025-01-15,16.3,16.56,16.13,16.18,5303600
HST,2025-01-16,16.22,16.3,15.94,15.95,4135816
HST,2025-01-17,16.07,16.15,15.91,15.94,5648100
HST,2025-01-21,15.99,16.17,15.99,16.08,4326900
HST,2025-01-22,16.01,16.22,15.89,16.15,9609600
HST,2025-01-23,16.17,16.36,16.0,16.28,6195807
HST,2025-01-24,16.25,16.33,15.69,15.82,10224111
HST,2025-01-27,15.85,16.12,15.69,16.05,14916400
HST,2025-01-28,16.08,16.3,15.89,15.93,8823237
HST,2025-01-29,15.93,16.0,15.43,15.5,11728800
HST,2025-01-30,15.73,15.77,15.42,15.54,9613310
HST,2025-01-31,15.6,15.8,15.5,15.61,11269088
HST,2025-02-03,15.41,15.54,14.92,15.4,11518728
HST,2025-02-04,15.38,15.43,15.19,15.31,4919959
HST,2025-02-05,15.38,15.39,15.11,15.29,6948686
HST,2025-02-06,15.38,15.6,15.38,15.59,8755985
HST,2025-02-07,15.65,15.76,15.46,15.66,8154325
HST,2025-02-10,15.65,15.78,15.44,15.46,12576600
HST,2025-02-11,15.32,15.46,15.19,15.4,4612900
HST,2025-02-12,15.19,15.32,15.14,15.24,4368605
HST,2025-02-13,15.27,15.38,15.19,15.34,3968217
HST,2025-02-14,15.41,15.54,15.24,15.31,4885000
HST,2025-02-18,15.32,15.98,15.31,15.93,12502765
HST,2025-02-19,15.8,16.02,15.7,15.95,10142600
HST,2025-02-20,15.6,15.82,15.26,15.66,14540325
HST,2025-02-21,15.69,15.7,15.09,15.26,17225821
HST,2025-02-24,15.39,15.4,15.03,15.18,6277315
HST,2025-02-25,15.24,15.24,14.81,14.96,11435245
HST,2025-02-26,15.0,15.15,14.82,14.96,7467100
HST,2025-02-27,15.02,15.26,14.93,14.95,9171100
HST,2025-02-28,15.04,15.14,14.88,15.07,11062816
HST,2025-03-03,15.18,15.45,15.07,15.08,11331866
HST,2025-03-04,15.0,15.01,14.62,14.81,9622505
HST,2025-03-05,14.74,15.11,14.74,15.02,8864600
HST,2025-03-06,14.92,15.02,14.71,14.76,11659204
HST,2025-03-07,14.78,15.27,14.73,15.25,9836123
HST,2025-03-10,15.12,15.22,14.74,14.85,10884100
HST,2025-03-11,14.84,14.94,14.26,14.33,11097726
HST,2025-03-12,14.4,14.43,14.01,14.11,9687278
HST,2025-03-13,14.08,14.24,13.51,13.56,10892100
HST,2025-03-14,13.77,14.0,13.72,13.93,11947900
HST,2025-03-17,13.92,14.35,13.92,14.29,6877700
HST,2025-03-18,14.26,14.27,14.02,14.08,5699335
HST,2025-03-19,14.06,14.3,14.05,14.12,12360400
HST,2025-03-20,14.03,14.16,13.88,13.97,10562018
HST,2025-03-21,13.82,13.82,13.31,13.72,19640500
HST,2025-03-24,13.94,14.08,13.8,14.03,6922200
HST,2025-03-25,14.08,14.15,13.74,13.83,5701521
HST,2025-03-26,13.85,13.94,13.67,13.83,8612608
