symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HTGC,2024-08-27,15.72,16.1,15.7,16.01,913796
HTGC,2024-08-28,16.01,16.21,15.96,16.02,608901
HTGC,2024-08-29,16.13,16.31,16.12,16.15,729603
HTGC,2024-08-30,16.25,16.39,16.2,16.39,714500
HTGC,2024-09-03,16.32,16.5,16.22,16.28,858706
HTGC,2024-09-04,16.31,16.4,16.09,16.15,683600
HTGC,2024-09-05,16.2,16.3,16.13,16.21,547900
HTGC,2024-09-06,16.24,16.26,15.77,15.86,708497
HTGC,2024-09-09,16.01,16.05,15.9,15.9,549600
HTGC,2024-09-10,15.95,15.99,15.74,15.89,479500
HTGC,2024-09-11,15.89,16.04,15.69,16.01,563200
HTGC,2024-09-12,16.08,16.32,15.96,16.29,714926
HTGC,2024-09-13,16.42,16.61,16.4,16.57,708852
HTGC,2024-09-16,16.67,16.75,16.55,16.74,635497
HTGC,2024-09-17,16.78,16.87,16.65,16.66,586473
HTGC,2024-09-18,16.73,16.82,16.55,16.64,724131
HTGC,2024-09-19,16.89,16.93,16.7,16.73,561820
HTGC,2024-09-20,16.71,16.77,16.6,16.74,731435
HTGC,2024-09-23,16.82,16.92,16.78,16.8,436348
HTGC,2024-09-24,16.8,16.96,16.78,16.92,555713
HTGC,2024-09-25,16.96,16.98,16.69,16.71,628000
HTGC,2024-09-26,16.8,16.8,16.69,16.73,570606
HTGC,2024-09-27,16.77,16.95,16.77,16.89,462423
HTGC,2024-09-30,16.82,16.91,16.79,16.79,502121
HTGC,2024-10-01,16.81,16.89,16.65,16.72,610743
HTGC,2024-10-02,16.71,16.84,16.6,16.72,531889
HTGC,2024-10-03,16.71,16.94,16.71,16.88,482500
HTGC,2024-10-04,17.03,17.18,16.99,17.14,706733
HTGC,2024-10-07,17.14,17.24,17.04,17.11,433600
HTGC,2024-10-08,17.15,17.3,17.06,17.25,433040
HTGC,2024-10-09,17.28,17.4,17.18,17.2,489164
HTGC,2024-10-10,17.18,17.19,16.66,16.88,1348400
HTGC,2024-10-11,16.93,16.99,16.68,16.78,921300
HTGC,2024-10-14,16.84,16.96,16.76,16.93,409700
HTGC,2024-10-15,16.97,17.1,16.97,17.0,458914
HTGC,2024-10-16,17.06,17.28,17.04,17.25,500896
HTGC,2024-10-17,17.36,17.46,17.19,17.22,663500
HTGC,2024-10-18,17.25,17.28,17.19,17.25,367929
HTGC,2024-10-21,17.23,17.32,17.2,17.29,632358
HTGC,2024-10-22,17.28,17.31,17.13,17.14,458786
HTGC,2024-10-23,17.13,17.15,16.77,16.98,787045
HTGC,2024-10-24,17.07,17.14,16.97,17.08,786442
HTGC,2024-10-25,17.2,17.26,16.93,17.02,478220
HTGC,2024-10-28,17.05,17.24,17.02,17.22,1005846
HTGC,2024-10-29,17.11,17.14,17.03,17.09,611307
HTGC,2024-10-30,17.04,17.21,17.01,17.02,895404
HTGC,2024-10-31,16.93,17.08,16.68,16.9,1026000
HTGC,2024-11-01,16.9,17.11,16.44,16.44,2069847
HTGC,2024-11-04,16.5,16.53,16.2,16.36,1570463
HTGC,2024-11-05,16.39,16.54,16.27,16.36,845441
HTGC,2024-11-06,16.93,16.93,16.37,16.92,2246500
HTGC,2024-11-07,16.94,17.03,16.81,16.84,995611
HTGC,2024-11-08,16.98,17.08,16.73,16.82,1685000
HTGC,2024-11-11,17.05,17.16,16.92,17.08,1708077
HTGC,2024-11-12,16.98,17.09,16.88,16.93,1167000
HTGC,2024-11-13,16.84,17.0,16.69,16.82,1120356
HTGC,2024-11-14,16.87,16.91,16.63,16.69,1097300
HTGC,2024-11-15,16.63,16.69,16.28,16.58,1491251
HTGC,2024-11-18,16.56,16.64,16.39,16.53,1265053
HTGC,2024-11-19,16.4,16.86,16.4,16.72,1534259
HTGC,2024-11-20,16.75,16.77,16.38,16.49,1697800
HTGC,2024-11-21,16.51,16.55,16.21,16.23,1635797
HTGC,2024-11-22,16.3,16.54,16.26,16.44,1317151
HTGC,2024-11-25,16.52,16.65,16.44,16.58,952440
HTGC,2024-11-26,16.47,16.53,16.37,16.49,992317
HTGC,2024-11-27,16.49,16.59,16.44,16.55,724168
HTGC,2024-11-29,16.63,16.8,16.57,16.58,533905
HTGC,2024-12-02,16.66,16.67,16.39,16.62,925774
HTGC,2024-12-03,16.69,16.76,16.6,16.67,631700
HTGC,2024-12-04,16.64,16.7,16.56,16.68,697603
HTGC,2024-12-05,16.7,16.72,16.37,16.57,749993
HTGC,2024-12-06,16.63,17.15,16.6,17.09,1172824
HTGC,2024-12-09,17.23,17.3,16.86,16.99,773116
HTGC,2024-12-10,17.0,17.26,16.88,17.21,781677
HTGC,2024-12-11,17.22,17.27,16.88,17.0,1212100
HTGC,2024-12-12,17.29,17.37,16.94,17.03,1860843
HTGC,2024-12-13,16.97,17.05,16.85,17.01,987700
HTGC,2024-12-16,16.89,17.07,16.84,16.85,974444
HTGC,2024-12-17,16.86,16.88,16.69,16.8,658102
HTGC,2024-12-18,16.86,17.03,16.46,16.47,986986
HTGC,2024-12-19,16.64,16.84,16.49,16.66,877902
HTGC,2024-12-20,16.63,17.07,16.63,16.83,1278254
HTGC,2024-12-23,16.86,16.97,16.74,16.94,777014
HTGC,2024-12-24,16.95,17.17,16.94,17.16,270631
HTGC,2024-12-26,17.11,17.43,17.07,17.4,1017968
HTGC,2024-12-27,17.4,17.66,17.37,17.59,945064
HTGC,2024-12-30,17.52,17.65,17.33,17.54,958143
HTGC,2024-12-31,17.64,17.71,17.48,17.6,961758
HTGC,2025-01-02,17.62,17.95,17.61,17.86,1123918
HTGC,2025-01-03,17.88,18.09,17.56,17.63,2095478
HTGC,2025-01-06,17.77,17.89,17.52,17.72,1347945
HTGC,2025-01-07,17.73,17.75,17.41,17.54,945603
HTGC,2025-01-08,17.44,17.53,17.35,17.5,875845
HTGC,2025-01-10,17.4,17.43,17.13,17.29,1069154
HTGC,2025-01-13,17.13,17.44,17.07,17.4,724324
HTGC,2025-01-14,17.53,17.68,17.52,17.65,653056
HTGC,2025-01-15,17.88,17.89,17.63,17.73,772615
HTGC,2025-01-16,17.77,18.11,17.74,18.11,931448
HTGC,2025-01-17,18.14,18.31,18.08,18.18,932000
HTGC,2025-01-21,18.18,18.3,18.16,18.27,950286
