symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HUBB,2024-12-05,461.88,463.79,457.88,459.74,330711
HUBB,2024-12-06,462.69,464.09,452.39,454.68,429505
HUBB,2024-12-09,453.84,453.84,439.65,445.08,345440
HUBB,2024-12-10,443.85,446.72,439.08,441.51,329466
HUBB,2024-12-11,448.75,453.41,442.54,449.78,365012
HUBB,2024-12-12,449.78,450.69,444.63,448.15,299313
HUBB,2024-12-13,450.16,452.68,444.63,446.46,233620
HUBB,2024-12-16,444.81,449.35,442.51,448.62,339265
HUBB,2024-12-17,444.59,444.72,430.51,432.59,561240
HUBB,2024-12-18,435.06,437.83,418.58,418.7,419054
HUBB,2024-12-19,425.19,425.19,414.24,417.85,493283
HUBB,2024-12-20,414.67,425.06,412.21,420.06,821461
HUBB,2024-12-23,419.76,421.06,416.09,419.18,203799
HUBB,2024-12-24,419.57,426.29,419.57,425.22,168146
HUBB,2024-12-26,423.8,426.94,422.45,423.66,313521
HUBB,2024-12-27,420.04,423.3,415.01,416.43,280292
HUBB,2024-12-30,411.19,414.57,406.17,412.57,194028
HUBB,2024-12-31,412.92,415.56,411.01,412.28,197933
HUBB,2025-01-02,417.69,420.8,410.55,413.36,253009
HUBB,2025-01-03,416.11,425.11,415.03,424.16,343400
HUBB,2025-01-06,429.86,434.65,426.91,433.59,328763
HUBB,2025-01-07,433.6,434.11,421.54,427.11,376482
HUBB,2025-01-08,423.91,428.41,417.37,427.9,333073
HUBB,2025-01-10,422.59,422.59,412.19,413.61,571707
HUBB,2025-01-13,407.14,413.97,402.64,413.87,693525
HUBB,2025-01-14,419.79,424.96,417.25,421.45,549220
HUBB,2025-01-15,433.08,434.25,418.04,422.16,704578
HUBB,2025-01-16,425.68,428.52,422.3,427.07,446923
HUBB,2025-01-17,431.82,431.82,425.25,430.47,375904
HUBB,2025-01-21,434.63,443.63,434.63,443.27,365649
HUBB,2025-01-22,455.94,469.88,449.21,449.65,883494
HUBB,2025-01-23,447.25,449.64,444.44,446.62,496531
HUBB,2025-01-24,448.79,453.69,445.92,448.07,470149
HUBB,2025-01-27,422.55,423.4,401.75,407.98,1280856
HUBB,2025-01-28,412.89,414.92,398.77,406.83,896819
HUBB,2025-01-29,408.42,415.76,405.6,411.11,605976
HUBB,2025-01-30,418.11,422.82,412.71,419.83,481399
HUBB,2025-01-31,420.96,423.95,413.67,416.33,497521
HUBB,2025-02-03,400.64,407.12,391.52,402.28,1063397
HUBB,2025-02-04,405.33,409.08,387.38,394.58,1522155
HUBB,2025-02-05,399.32,399.4,391.85,393.75,661776
HUBB,2025-02-06,396.09,396.63,385.14,388.75,963201
HUBB,2025-02-07,392.28,396.78,389.72,394.6,639127
HUBB,2025-02-10,397.11,399.5,392.16,393.49,742494
HUBB,2025-02-11,390.28,394.34,387.98,390.8,657139
HUBB,2025-02-12,382.52,388.36,380.36,385.03,635241
HUBB,2025-02-13,386.86,388.22,381.52,387.02,642032
HUBB,2025-02-14,388.8,390.76,383.14,383.98,655544
HUBB,2025-02-18,389.45,392.25,386.18,389.3,572103
HUBB,2025-02-19,386.71,387.32,382.72,386.18,330246
HUBB,2025-02-20,386.47,389.22,378.91,383.27,443368
HUBB,2025-02-21,383.57,385.55,370.19,371.52,639038
HUBB,2025-02-24,372.52,375.24,360.94,363.42,916596
HUBB,2025-02-25,359.9,369.73,358.87,366.33,779638
HUBB,2025-02-26,372.03,377.35,369.36,371.43,697487
HUBB,2025-02-27,372.08,374.75,362.83,363.44,486397
HUBB,2025-02-28,362.79,367.14,360.33,367.03,550784
HUBB,2025-03-03,367.64,369.59,347.59,350.59,724620
HUBB,2025-03-04,343.95,355.21,336.2,347.47,955228
HUBB,2025-03-05,349.6,355.6,347.05,349.51,969461
HUBB,2025-03-06,339.75,344.89,333.82,342.03,863903
HUBB,2025-03-07,341.15,352.85,339.37,350.12,1078895
HUBB,2025-03-10,339.23,343.19,333.08,333.54,1205562
HUBB,2025-03-11,332.8,339.88,328.88,336.24,1078206
HUBB,2025-03-12,343.86,347.89,329.88,330.58,911248
HUBB,2025-03-13,329.73,332.1,326.27,327.73,708840
HUBB,2025-03-14,335.68,339.53,331.96,336.64,605022
HUBB,2025-03-17,334.81,343.84,334.81,339.84,369384
HUBB,2025-03-18,337.22,337.3,331.59,332.25,382492
HUBB,2025-03-19,333.95,342.25,332.11,338.01,454625
HUBB,2025-03-20,333.17,338.74,329.84,335.02,615504
HUBB,2025-03-21,331.17,335.25,328.33,334.21,813564
HUBB,2025-03-24,340.5,345.68,339.63,345.21,577255
HUBB,2025-03-25,345.12,350.98,342.4,349.28,580780
HUBB,2025-03-26,346.96,349.16,340.64,342.38,714454
HUBB,2025-03-27,339.45,343.85,335.82,337.8,379099
HUBB,2025-03-28,335.27,336.58,326.66,327.94,387277
HUBB,2025-03-31,321.01,328.76,312.46,326.85,669387
HUBB,2025-04-01,325.07,330.84,321.93,328.78,470908
HUBB,2025-04-02,321.89,337.89,321.54,337.43,345287
HUBB,2025-04-03,317.26,322.52,309.29,317.41,1033709
HUBB,2025-04-04,307.39,316.42,295.75,312.06,1202143
HUBB,2025-04-07,304.15,329.3,297.08,313.0,1037760
HUBB,2025-04-08,322.7,327.57,309.08,313.6,1154432
HUBB,2025-04-09,312.49,350.86,310.92,347.63,1340732
HUBB,2025-04-10,337.72,347.05,329.36,337.65,869092
HUBB,2025-04-11,335.83,351.62,331.43,349.09,1052244
HUBB,2025-04-14,353.65,355.69,345.0,346.21,1009217
HUBB,2025-04-15,345.81,349.15,341.46,342.34,595590
HUBB,2025-04-16,337.22,341.26,330.1,334.62,464181
HUBB,2025-04-17,336.56,338.01,332.96,334.81,466124
HUBB,2025-04-21,330.18,330.79,321.09,325.18,464458
HUBB,2025-04-22,329.48,337.67,329.48,336.34,357800
HUBB,2025-04-23,353.18,354.66,341.56,341.71,599098
HUBB,2025-04-24,342.89,357.52,342.89,355.86,470586
HUBB,2025-04-25,353.28,360.93,352.56,355.42,434579
HUBB,2025-04-28,355.31,358.94,350.22,353.59,409796
HUBB,2025-04-29,353.59,357.13,350.4,355.06,440238
HUBB,2025-04-30,348.88,359.02,346.96,358.72,736800
HUBB,2025-05-01,361.44,362.84,336.85,338.91,1468575
HUBB,2025-05-02,345.34,351.73,343.09,351.54,1047052
HUBB,2025-05-05,349.95,355.06,347.69,349.17,515697
HUBB,2025-05-06,345.71,349.21,341.83,344.04,611346
HUBB,2025-05-07,345.78,349.46,345.12,348.07,500916
HUBB,2025-05-08,352.93,353.9,349.49,350.22,719215
HUBB,2025-05-09,352.15,354.13,349.18,352.34,465712
HUBB,2025-05-12,368.6,377.18,368.6,373.77,788757
HUBB,2025-05-13,373.77,384.28,373.41,381.92,843225
HUBB,2025-05-14,384.0,385.26,379.29,380.95,640012
HUBB,2025-05-15,379.56,383.49,377.92,381.9,821403
HUBB,2025-05-16,382.91,388.19,379.55,387.41,659441
HUBB,2025-05-19,381.8,388.13,380.16,385.98,474774
HUBB,2025-05-20,382.35,387.57,381.27,384.31,434469
HUBB,2025-05-21,379.65,385.04,376.82,377.22,831891
HUBB,2025-05-22,375.34,388.18,372.14,384.61,868848
HUBB,2025-05-23,378.36,388.42,378.36,385.8,737746
HUBB,2025-05-27,389.8,396.35,387.76,393.97,715590
HUBB,2025-05-28,394.55,395.91,389.31,390.37,501077
HUBB,2025-05-29,394.94,394.94,390.28,392.07,528875
HUBB,2025-05-30,390.62,392.3,382.72,386.09,1127960
HUBB,2025-06-02,384.86,386.07,371.32,377.92,621023
HUBB,2025-06-03,379.93,387.27,378.72,386.57,631744
HUBB,2025-06-04,387.46,389.34,386.46,387.22,370224
HUBB,2025-06-05,389.98,389.98,382.8,385.12,547167
HUBB,2025-06-06,390.95,393.89,388.91,391.73,391942
HUBB,2025-06-09,394.23,394.77,388.75,388.82,335379
HUBB,2025-06-10,390.12,390.25,381.9,384.61,513913
HUBB,2025-06-11,385.97,390.73,382.81,385.5,559656
HUBB,2025-06-12,381.19,387.97,380.23,387.53,337278
HUBB,2025-06-13,382.21,384.8,377.44,378.6,447156
HUBB,2025-06-16,386.31,388.5,383.1,388.37,471367
HUBB,2025-06-17,387.16,392.19,386.41,387.71,543258
HUBB,2025-06-18,387.92,398.76,387.92,395.15,606325
HUBB,2025-06-20,397.66,398.25,391.37,392.24,757149
HUBB,2025-06-23,390.84,391.35,382.45,391.15,784204
HUBB,2025-06-24,395.35,401.04,392.79,399.38,526977
HUBB,2025-06-25,400.78,400.78,395.07,395.48,386644
HUBB,2025-06-26,398.17,403.31,397.39,401.62,447995
HUBB,2025-06-27,407.23,410.59,400.26,402.97,562260
HUBB,2025-06-30,403.96,405.48,400.62,404.75,395562
HUBB,2025-07-01,401.83,409.27,398.44,406.83,466087
