symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
HWM,2024-08-27,95.96,96.76,95.0,96.52,1961800
HWM,2024-08-28,97.12,97.71,95.75,96.09,1947409
HWM,2024-08-29,96.41,97.32,95.24,96.53,1949366
HWM,2024-08-30,96.73,97.06,94.89,96.23,3188800
HWM,2024-09-03,96.73,97.47,92.04,92.61,3271479
HWM,2024-09-04,92.49,94.29,92.17,93.93,2147834
HWM,2024-09-05,93.66,94.39,92.64,93.79,3001812
HWM,2024-09-06,93.59,93.74,90.32,91.04,4137000
HWM,2024-09-09,92.69,94.21,92.13,93.28,1803456
HWM,2024-09-10,93.68,93.68,91.79,92.74,2120900
HWM,2024-09-11,92.77,93.84,90.63,93.68,1440703
HWM,2024-09-12,93.68,94.69,93.18,93.81,1842300
HWM,2024-09-13,93.09,95.55,92.36,94.86,2815679
HWM,2024-09-16,95.29,96.12,93.71,94.72,2284549
HWM,2024-09-17,94.82,94.84,93.09,94.17,2040832
HWM,2024-09-18,94.52,95.53,93.84,94.26,1714700
HWM,2024-09-19,96.51,97.09,95.04,97.0,2520109
HWM,2024-09-20,96.82,97.86,96.09,97.02,6550394
HWM,2024-09-23,97.11,98.54,96.81,98.2,2082932
HWM,2024-09-24,98.18,99.16,97.61,98.88,3043144
HWM,2024-09-25,99.21,100.07,98.94,99.28,1547477
HWM,2024-09-26,99.85,100.17,98.58,98.86,1454600
HWM,2024-09-27,98.86,99.27,98.15,98.77,1543600
HWM,2024-09-30,98.12,99.93,97.43,99.81,2005714
HWM,2024-10-01,99.53,101.25,98.46,100.47,2084508
HWM,2024-10-02,100.49,101.68,99.59,100.84,1763008
HWM,2024-10-03,101.04,101.81,99.7,100.31,2418735
HWM,2024-10-04,101.36,102.55,100.58,101.58,2063335
HWM,2024-10-07,101.3,102.93,100.95,102.38,1778989
HWM,2024-10-08,103.38,103.78,102.49,102.54,1494300
HWM,2024-10-09,102.65,103.64,102.14,103.24,1498109
HWM,2024-10-10,102.84,102.87,101.17,101.65,1460739
HWM,2024-10-11,101.71,103.96,101.69,103.36,1624068
HWM,2024-10-14,103.36,103.55,101.75,102.2,2571755
HWM,2024-10-15,102.44,103.83,101.76,103.45,2479600
HWM,2024-10-16,103.56,104.99,103.47,104.85,1511210
HWM,2024-10-17,105.55,106.27,105.11,105.74,2450600
HWM,2024-10-18,106.28,106.28,104.27,105.07,1706598
HWM,2024-10-21,105.64,106.46,105.25,105.85,1724400
HWM,2024-10-22,105.09,105.37,101.38,102.2,2807723
HWM,2024-10-23,102.24,103.36,102.05,102.38,1851400
HWM,2024-10-24,99.76,101.62,98.72,100.18,1983378
HWM,2024-10-25,100.55,101.39,100.23,100.94,1398259
HWM,2024-10-28,101.63,102.15,100.86,101.93,2230900
HWM,2024-10-29,100.62,100.78,98.4,99.65,2844984
HWM,2024-10-30,99.65,100.9,99.37,100.69,3435035
HWM,2024-10-31,100.41,101.03,98.66,99.28,2673815
HWM,2024-11-01,100.16,100.56,99.36,99.59,1523319
HWM,2024-11-04,99.72,100.6,98.96,99.4,1728653
HWM,2024-11-05,99.85,101.71,99.46,101.71,2556900
HWM,2024-11-06,110.56,114.87,105.71,114.35,5796300
HWM,2024-11-07,113.85,114.49,110.65,110.73,2607800
HWM,2024-11-08,111.59,113.66,110.6,113.23,2012930
HWM,2024-11-11,114.82,115.55,113.61,114.25,1534827
HWM,2024-11-12,114.57,115.08,111.9,113.16,2177200
HWM,2024-11-13,114.29,116.16,113.75,115.34,2331734
HWM,2024-11-14,115.34,116.31,112.02,112.8,2688130
HWM,2024-11-15,111.88,112.66,110.72,111.59,2221703
HWM,2024-11-18,111.62,113.02,111.32,112.75,1817861
HWM,2024-11-19,112.77,115.6,112.58,115.57,2488802
HWM,2024-11-20,116.63,117.76,114.66,117.66,3650318
HWM,2024-11-21,117.66,118.83,116.5,116.54,2592866
HWM,2024-11-22,117.43,118.36,115.94,118.0,5093495
HWM,2024-11-25,117.15,117.9,114.63,115.41,2907490
HWM,2024-11-26,115.56,117.12,115.47,116.74,1947882
HWM,2024-11-27,116.74,117.13,115.41,116.27,1766622
HWM,2024-11-29,117.8,118.46,116.94,117.94,1352042
HWM,2024-12-02,118.25,118.25,116.85,117.25,2926400
HWM,2024-12-03,117.81,118.96,117.21,118.67,2251874
HWM,2024-12-04,118.66,119.79,118.36,119.64,2313505
HWM,2024-12-05,119.55,120.25,118.8,119.62,2472535
HWM,2024-12-06,119.65,120.26,117.13,117.87,1913041
HWM,2024-12-09,117.33,117.76,112.48,113.33,3015100
HWM,2024-12-10,113.34,114.84,113.1,113.66,2009185
HWM,2024-12-11,114.99,115.9,114.48,115.65,2399621
HWM,2024-12-12,115.72,115.96,113.28,113.28,2119485
HWM,2024-12-13,113.82,114.37,112.7,113.01,1565500
HWM,2024-12-16,113.58,113.89,112.14,112.86,1917789
HWM,2024-12-17,111.57,112.16,110.11,111.51,2764700
HWM,2024-12-18,111.78,111.89,107.13,107.29,2448500
HWM,2024-12-19,109.16,110.38,108.12,108.94,2915800
HWM,2024-12-20,107.93,110.98,107.93,110.42,5806215
HWM,2024-12-23,109.62,110.37,108.48,110.13,1537036
HWM,2024-12-24,110.14,111.68,109.65,111.62,616905
HWM,2024-12-26,111.23,112.27,110.56,112.11,755323
HWM,2024-12-27,111.29,112.11,109.81,110.82,1363227
HWM,2024-12-30,108.92,110.35,107.76,109.87,1199869
HWM,2024-12-31,110.22,110.35,108.46,108.96,1330300
HWM,2025-01-02,109.79,112.04,109.09,110.38,2069252
HWM,2025-01-03,110.76,113.26,110.18,112.34,2132760
HWM,2025-01-06,113.3,113.93,111.57,112.05,2115872
HWM,2025-01-07,112.1,112.46,109.38,111.24,2574400
HWM,2025-01-08,111.39,114.73,110.69,114.62,2318819
HWM,2025-01-10,113.38,114.3,112.1,112.22,2474266
HWM,2025-01-13,110.58,114.56,110.37,114.32,2205642
HWM,2025-01-14,115.85,118.84,115.37,118.75,3202468
HWM,2025-01-15,122.36,123.69,120.01,121.41,4736858
HWM,2025-01-16,122.54,123.09,121.03,122.52,2895900
HWM,2025-01-17,123.56,125.79,122.24,124.83,3921408
HWM,2025-01-21,127.18,128.62,125.66,126.69,3341010
HWM,2025-01-22,127.56,127.85,125.37,126.24,2605800
HWM,2025-01-23,126.98,128.61,126.45,127.26,3093127
HWM,2025-01-24,126.53,127.08,125.77,126.56,2102857
HWM,2025-01-27,122.25,124.26,119.45,121.63,3448800
HWM,2025-01-28,124.06,126.17,123.54,125.94,3629801
HWM,2025-01-29,125.91,126.68,125.31,125.89,1958999
HWM,2025-01-30,126.45,127.28,125.05,126.9,2419401
HWM,2025-01-31,127.52,127.83,125.46,126.11,2363137
HWM,2025-02-03,123.89,126.58,123.04,125.91,1907869
HWM,2025-02-04,126.92,127.19,124.27,125.01,1901322
HWM,2025-02-05,125.76,127.81,125.38,127.32,1838994
HWM,2025-02-06,127.52,128.52,126.55,128.52,2342637
HWM,2025-02-07,128.89,129.31,126.97,127.33,1560792
HWM,2025-02-10,128.05,128.36,126.35,127.83,1759989
HWM,2025-02-11,128.0,129.19,126.44,128.94,1522400
HWM,2025-02-12,127.32,129.57,127.24,127.72,3334428
HWM,2025-02-13,125.28,128.32,122.37,127.71,4829405
HWM,2025-02-14,128.49,133.53,126.52,133.03,4278503
HWM,2025-02-18,135.85,137.01,133.71,136.27,3219021
HWM,2025-02-19,136.13,140.14,136.13,138.98,2903323
HWM,2025-02-20,138.9,139.13,134.73,138.04,3030100
HWM,2025-02-21,138.36,138.46,129.16,129.45,3518800
HWM,2025-02-24,130.99,132.82,127.31,129.18,3562740
HWM,2025-02-25,129.58,131.23,126.32,129.85,2614926
HWM,2025-02-26,131.24,134.83,130.79,131.59,2720569
HWM,2025-02-27,133.14,135.19,131.45,133.03,2760100
HWM,2025-02-28,133.0,136.37,132.21,136.2,4363330
HWM,2025-03-03,137.53,138.85,130.49,130.64,3224494
HWM,2025-03-04,127.29,129.56,122.67,126.65,5528935
HWM,2025-03-05,127.24,131.34,126.41,129.92,3285100
HWM,2025-03-06,127.24,128.75,123.37,124.13,3090100
HWM,2025-03-07,123.1,124.65,118.69,124.04,5132740
HWM,2025-03-10,120.64,122.95,119.97,121.95,4430517
HWM,2025-03-11,122.11,126.52,122.02,125.13,4067533
HWM,2025-03-12,128.63,129.0,124.73,127.56,2474099
HWM,2025-03-13,126.63,127.62,121.24,122.41,3882560
HWM,2025-03-14,124.63,126.38,122.77,126.14,2564349
HWM,2025-03-17,125.33,129.77,124.94,128.89,2275760
HWM,2025-03-18,127.77,128.63,123.98,127.88,2595883
HWM,2025-03-19,128.5,132.61,128.37,131.59,2427355
HWM,2025-03-20,129.94,132.98,129.53,131.29,2075299
HWM,2025-03-21,130.79,131.16,128.44,130.47,3841503
HWM,2025-03-24,132.88,136.09,131.99,135.7,2406863
HWM,2025-03-25,136.15,137.41,134.51,137.32,2661801
HWM,2025-03-26,137.47,137.66,133.44,133.75,2733412
HWM,2025-03-27,133.19,134.28,130.35,132.04,1543373
HWM,2025-03-28,131.24,132.62,128.16,129.31,1945700
HWM,2025-03-31,127.09,130.29,123.81,129.35,3282139
HWM,2025-04-01,128.56,131.61,127.65,131.4,2241791
HWM,2025-04-02,128.79,133.74,128.62,133.51,1749400
HWM,2025-04-03,127.43,129.63,124.44,124.64,2372619
HWM,2025-04-04,115.61,116.88,109.1,112.0,6664433
HWM,2025-04-07,107.09,118.9,104.73,115.44,5805735
HWM,2025-04-08,121.88,122.6,112.37,114.29,4242076
HWM,2025-04-09,112.95,129.09,111.76,127.72,5275036
HWM,2025-04-10,124.52,127.08,119.99,123.83,3076541
HWM,2025-04-11,123.01,125.98,121.57,125.3,2036000
HWM,2025-04-14,128.08,128.71,125.89,127.09,2011548
HWM,2025-04-15,123.24,126.2,122.69,124.11,3606937
HWM,2025-04-16,123.54,125.93,121.89,123.57,2864167
HWM,2025-04-17,123.22,124.77,122.6,122.87,2189090
HWM,2025-04-21,122.13,122.63,117.74,119.12,2008233
HWM,2025-04-22,120.94,124.66,120.72,123.94,2234612
HWM,2025-04-23,128.81,131.92,127.14,129.23,2931645
HWM,2025-04-24,128.9,133.95,128.9,133.1,2224306
HWM,2025-04-25,133.9,136.06,133.35,135.36,1603441
HWM,2025-04-28,137.86,139.2,134.66,135.95,2878883
HWM,2025-04-29,135.6,138.01,135.36,137.1,2450157
HWM,2025-04-30,134.71,138.57,134.42,138.18,3140949
HWM,2025-05-01,146.03,150.04,144.29,147.6,4819600
HWM,2025-05-02,149.77,154.28,149.77,153.62,3652086
HWM,2025-05-05,152.62,155.14,152.37,153.89,1882133
HWM,2025-05-06,150.88,156.35,150.19,155.35,2646400
HWM,2025-05-07,155.17,156.97,153.86,156.66,2908231
HWM,2025-05-08,158.23,158.58,156.59,157.04,2806200
HWM,2025-05-09,157.54,158.61,154.37,157.05,2232699
HWM,2025-05-12,160.26,161.22,155.26,156.61,4990823
HWM,2025-05-13,156.26,159.78,154.87,157.94,3635342
HWM,2025-05-14,158.43,160.47,157.76,159.1,3505186
HWM,2025-05-15,158.65,161.36,158.65,160.93,4660646
HWM,2025-05-16,160.76,162.54,160.23,162.43,1839414
HWM,2025-05-19,162.13,166.0,160.03,165.86,2585664
HWM,2025-05-20,165.37,166.13,163.71,164.73,1836152
HWM,2025-05-21,163.97,165.32,161.79,162.39,1858801
HWM,2025-05-22,162.19,163.98,161.16,162.64,2073469
HWM,2025-05-23,161.22,165.66,159.65,164.72,2045900
HWM,2025-05-27,166.9,169.43,166.77,169.31,2845123
HWM,2025-05-28,169.37,171.14,168.97,169.94,2781500
HWM,2025-05-29,169.73,170.92,167.91,169.71,3286005
HWM,2025-05-30,169.16,170.41,167.52,169.51,4750300
HWM,2025-06-02,169.86,172.37,169.54,172.26,2287840
HWM,2025-06-03,172.17,174.27,169.79,172.22,2764455
HWM,2025-06-04,172.91,174.87,172.37,173.55,2118813
HWM,2025-06-05,174.58,175.04,172.78,174.61,1989111
HWM,2025-06-06,175.44,176.85,174.2,174.97,1656190
HWM,2025-06-09,176.17,176.47,172.4,172.48,2277916
HWM,2025-06-10,171.11,173.02,166.49,168.24,5076998
HWM,2025-06-11,168.68,171.71,165.13,170.35,2979988
HWM,2025-06-12,168.3,171.63,168.12,171.13,2280959
HWM,2025-06-13,170.53,172.16,169.71,170.81,2418598
HWM,2025-06-16,172.4,173.99,170.9,171.21,2340010
HWM,2025-06-17,171.08,172.53,170.48,171.73,1965541
HWM,2025-06-18,171.63,173.24,169.55,169.85,2343640
HWM,2025-06-20,171.32,173.07,168.68,172.95,4597637
HWM,2025-06-23,172.51,175.38,172.0,175.23,2427107
HWM,2025-06-24,176.6,177.1,173.39,176.17,2509698
HWM,2025-06-25,177.33,178.28,174.88,175.68,2692900
HWM,2025-06-26,178.18,178.91,175.45,176.45,4390800
HWM,2025-06-27,177.08,185.1,177.08,184.48,23827800
HWM,2025-06-30,182.63,187.09,181.75,185.71,4564919
HWM,2025-07-01,183.46,185.93,175.62,175.82,6061306
HWM,2025-07-02,174.97,176.56,173.11,175.55,3250144
HWM,2025-07-03,176.29,180.65,175.67,180.65,1766400
HWM,2025-07-07,180.54,181.91,178.37,179.84,2865229
HWM,2025-07-08,179.58,180.93,173.74,179.05,3289066
HWM,2025-07-09,180.99,182.03,178.6,181.01,2306283
HWM,2025-07-10,181.52,182.29,176.23,178.13,2824780
HWM,2025-07-11,177.98,179.9,177.59,179.27,1748339
HWM,2025-07-14,179.79,184.24,178.95,183.9,2085288
HWM,2025-07-15,184.08,184.7,181.74,184.26,1918785
HWM,2025-07-16,184.65,185.26,180.59,183.88,1844072
HWM,2025-07-17,185.57,189.05,184.83,188.4,3041000
